,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.27457104535281956,0.18865704955861728,0.6805998642339682,0.2751660408865391,0.38915049837542043,0.8141544362206605,0.4029313875645077,-0.17318224026940834,0.05519826657540183,-0.10231872404159738,0.06114799668810858,0.2054041940447829,0.05218884345068907,0.050929986667555785,-0.31515403735056646,-0.25274440305550894,0.0867524143728703,-0.030187931746064493,-0.2190710590777147,0.31224008959658794,-0.04855563266272169,-0.254508331651145,-0.21652659671387767,0.20377027598339928,0.17685319397165974,-0.026463564320562565,-0.07509690749151632,-0.09879941147678524,0.10111816105085729,0.29847035281262396,0.16775427793164674,-0.1578100966170916,0.15658972962043827,-0.14078682221825742,-0.1188807416794049,0.10360875075552332,0.041616020736697915,-0.11326674675991301,0.12402053899295015,0.08422780759282561,0.15039490485945714,0.039516773516843344,0.15606852168356486,0.09104281726319319,0.03081775147934489,-0.016790367973954032,0.05155779717081643,0.05046424282755059,-0.20037568710126727,0.03901097735491678,-0.0034751098269168155,0.2446237896054961,0.16215504986888893,-0.024061448990764796,0.011590857625991104,-0.1648533538723317,-0.04592955634508554,-0.06202133887172591,-0.17216959303586082,-0.08509887639335974,-0.16539509018586798,-0.05769828424355343,-0.17850355160213713,0.6059542770876603,0.02462543989918204,-0.07640540305073058,-0.5384760717182124,0.11222850584451206,0.005254738709229234,-0.01869327040849265,-0.004213787049873913,-0.021309063073691122,0.07632795943495906,-0.10941509291731495,-0.005488004113557299,0.06993502446458497,0.0654825145317308,0.12089529935276175,-0.020569056498995725,-0.04460240823458632,0.08265187840765,0.08142843189931336,-0.11292919385046403,0.02749277937688709,0.1608660641529743,0.22333337447054688,0.07552893557562138,-0.05161828836211655,0.003190462824571134,0.03110226649857986,0.25517630874627206,-0.013640268515160252,-0.08904812369134692,-0.0444831195393925,0.024547039085101294,0.030664140484674383,0.012048348177142376,0.3396941682286591,-0.022524540995729148,-0.012235348814766078,-0.023693765982137894,-0.03857815535373094,0.04846107895567558,-0.27745650935237665,-0.015286427066477254,-0.048082703418039566,-0.01094299415283635
blood_glucose_mean,0.27457104535281956,1.0,0.13915531579638787,0.20308304242165914,0.29356634059921866,0.07981186275411473,0.157387790066681,0.10277311786892643,-0.0930770556036456,0.018424570282611553,-0.07704379073104758,0.10669119029083772,0.11762847785887172,0.013653575294328951,-0.07318999087144219,-0.0750138693284543,-0.17077639774264144,0.1296727115759578,0.0871420240023825,-0.16355509909207017,0.17077778069053218,0.1694084898638948,-0.11193440639876336,-0.03209089695882366,0.3037982211756609,0.15076299839254992,-0.05224296273933985,-0.1160385068095136,-0.0616464047484123,0.1891764224882366,0.15363734335427748,0.2170714267287824,-0.29823115054718496,0.12951276832235178,-0.30979328238175147,-0.000156482971772026,0.028216011932271898,-0.016956970522251927,-0.3864756081815099,0.0494980623708928,0.06414485651436251,0.13667183537714603,0.05957696419238981,0.2873164065939665,0.0747198786556201,0.019478541566449407,-0.03142861210989838,0.04210309561783652,0.05801322633967962,-0.19528787409542694,-0.01698930288006054,-0.0005749135153481879,0.08782065880726764,0.04351536423598119,-0.054863739725786995,0.04865703967051728,-0.2500154384321312,-0.05387921215971123,-0.1222599755867076,-0.0758748975379105,-0.07389243753246649,-0.13451061513847176,-0.032300071013092554,-0.04663792442695156,0.17716524063985986,0.06920798536908146,0.09490468164682102,-0.14110414100390511,0.07763764716207262,-0.0668187851803866,-0.018441900734406283,-0.10366345323014091,0.005818528296499989,0.07745931749090404,-0.029267883820618054,0.028532638133873085,-0.07512842034672038,0.11190095704739443,0.11156230227758322,-0.033085290605124135,-0.027041369286892967,-0.02585915072217706,-0.015639838061712957,0.0010574033741737022,0.1157209081815853,0.1710539691444569,0.21617281952651418,0.12369539613855042,-0.03595412563298874,0.019728575914364676,0.03807087183795157,0.20987153690092009,-0.07292003047373193,0.021289480159575404,-0.08433479480487702,-0.01223915856079621,0.008040813315143804,0.03879227942893494,0.33771891272355065,-0.005713188101923923,-0.15144275606950539,0.08984479146739634,0.03169735817509309,0.03139013541944386,-0.12619943475144726,-0.1025928085219244,-0.06339423426198251,-0.058037638680190975
resp_rate_mean,0.18865704955861728,0.13915531579638787,1.0,0.14288905227408782,0.10737292394298904,0.08995401197160481,0.14498273770528788,0.09437500002677887,-0.0789286384994205,0.022155223641184583,-0.020019486472018084,0.07141856238873964,0.08467239538904647,0.027744030721870004,-0.058704254983074564,-0.017019210536801402,-0.08080661743205413,0.03292140865501536,0.023701687176057452,-0.14132336662715905,0.08853540425387157,0.11772769136312775,-0.018817492129151403,-0.04434624873215777,0.1642546118848274,0.06322243754453845,-0.06033932270748364,-0.05616886167061084,0.02884375091642251,0.0755872172135331,0.04943229444690551,0.09304435973170674,-0.12231234265574105,0.05898796265194765,-0.08472342914872534,0.05882752751006371,-0.03113671980161675,-0.010440654608628707,-0.11217219052278594,0.054571977544264294,0.03959296291158956,0.0547778969779201,0.012537823182265019,0.0961779896105103,0.10353707253035815,0.03811257424342174,-0.02359052815969398,0.039183539153796736,0.04094213817772329,-0.11005103338859172,0.027118013222489874,-0.011685582140108685,0.05908151655128308,0.05183088447866363,0.00542532464921287,0.03550681350667316,-0.12832509711548934,-0.03634823209599535,-0.03500525189345357,-0.05176385299218287,-0.06398106149369254,-0.07243846351000104,-0.03051668521191841,-0.06731907181317168,0.09197629282686957,0.012173629276319837,0.023706830579495273,-0.07029034485612136,0.042222590366178585,-0.024410886845516514,0.03256323575537956,-0.056059239399392724,0.021976730464998408,0.07024661012052046,-0.005817857988963648,0.04587170967858674,0.004367385470813205,0.021302072865136922,0.03791748615609703,0.02960194722352962,-0.004058348581861695,0.025342928490638718,0.021548359150738175,0.015961005867473496,0.03134633700437746,0.07649236744543911,0.08222661295510394,0.04100937615109383,-0.001987498176174402,0.02383581479972188,0.012279078347821746,0.07681725603669491,0.03181292483698279,0.00012480501673637484,-0.017863626439620698,-0.02417864974672984,-0.017425320539641492,0.017065205308700867,0.11250869710314736,0.03662321108665224,-0.08458072284815607,-0.06610101897983837,0.09907953711410648,0.030232011625725558,-0.07184149828284757,-0.017319315766967935,-0.017311424045981016,-0.0333603748424908
stress_mean,0.6805998642339682,0.20308304242165914,0.14288905227408782,1.0,0.19362737658855894,0.367341145732781,0.661284929692642,0.36608340215221724,-0.1868638822793662,0.04932745855580931,-0.08615372089398178,0.010593356188161854,0.17066012956803522,0.017056892128558158,0.08775157902688122,-0.29243924316082437,-0.2454848075935271,0.061563247847434534,-0.02098607648844665,-0.12966894242691154,0.28232687424444924,-0.08079255433333332,-0.20284727060083324,-0.23015851715941824,0.14594076042675283,0.10221135689567895,0.0025835249717601947,-0.05509973202571546,-0.11318016078276928,0.033443471242975906,0.3235714280139207,0.11446496188919535,-0.1449332362977907,0.13849529496814333,-0.04496954209187242,-0.12250043562884322,0.14733659530754137,0.05871507167889472,-0.02880904642050605,0.07602093471036236,0.05526453187093761,0.11626446048976169,0.034829871577376346,0.09672433833015709,0.10355614101848251,-0.006745996270186102,-0.0767396355720999,0.03344141588179036,0.008706032264898007,-0.11623856278428936,0.03120159988865639,0.04218676312534129,0.176840704909729,0.1189081348084015,-0.10596802261298063,-0.002920919284345344,-0.09978568688354025,-0.021646703428512645,-0.024537968570593625,-0.11226552094262883,-0.0721805542384089,-0.10083108758888312,-0.04767588157377353,-0.14608764742608812,0.5350907419465973,-0.05266568529780346,-0.12780624019366219,-0.5051687575967975,0.08827812882539496,0.020913224432371383,0.012198012929741662,-0.03186595387976708,-0.056278314362059885,0.027540158099190044,-0.12959202037056836,-0.04116908938281925,0.04252045259802231,0.03472893374639667,0.07790729515504191,0.005169327605564114,-0.02887138983573591,0.07471016394788521,0.03480726955281618,-0.13058301336919248,-0.01794044272194873,0.10367373369977537,0.12673167465640292,0.009716584441708333,-0.05600620529126137,-0.02308793817679046,0.010050018507329643,0.19794162316005814,-0.02099498316575719,-0.12149743246473439,-0.03880875535511501,-0.00438237816228791,0.018122312843977223,-0.034118088559779214,0.22410522705226818,-0.03612271624860538,-0.11298075205111573,0.03260968811150763,0.042760961017466535,0.0345702783550718,-0.2215240449123844,0.011949316061119963,-0.003282181220066855,0.009543254298412511
blood_glucose_std,0.2751660408865391,0.29356634059921866,0.10737292394298904,0.19362737658855894,1.0,0.05936458045695783,0.20113841367196766,0.0638434310228545,-0.0579313746958068,-0.012345884945186278,-0.062277382748602804,0.0787286758531147,0.07683279040846634,0.021000667529173952,-0.07085890697203692,-0.04895928911367684,-0.12000158677709398,0.07322810822371964,0.054468924144669084,-0.16738275930324154,0.11035895009788503,0.1294992799188144,-0.09847817677736934,-0.03505010042910499,0.23503219166411343,0.1567638009870806,-0.021243478017142995,-0.07098143735943101,-0.10712533169654931,0.19237613383096538,0.08400481040340901,0.1736758806666157,-0.19517391830420966,0.13030951420582743,-0.2734003384034893,-0.017306903209179565,-0.031244774519296293,-0.024761859941644107,-0.3307946829269028,0.04323562696478784,0.03951709876752027,0.048472412483657516,0.02208913237497754,0.21494273553812218,0.013884472544550882,0.022258395152339037,0.014302353675649986,0.035012257918669944,0.065655940761087,-0.16246047348281506,-0.016572913721544,-0.03674829875993783,0.11343452186659933,0.06479420147321191,-0.0428597365357862,0.007377101584594167,-0.1827059191619059,-0.0384911724568134,-0.11000429124273665,-0.06275818762432313,-0.022760935028980682,-0.0966458540136683,0.013045530988390562,-0.05250947731127948,0.13314604931843768,0.10460026697104831,0.1311607042407252,-0.06924872586652822,0.10848302991516673,-0.0654663721961748,-0.07107887548670618,-0.018459911353940726,0.03019582502439309,0.10077639724765461,-0.02866012962980564,0.06224388975867221,-0.018126526740241507,0.07967134013068415,0.11828242723332133,-0.016472284486633036,-0.025338390363248704,0.03829756661202077,0.01300585373188303,0.008969347915577902,0.07617006027773024,0.15613977586087058,0.24145559196404195,0.12135717371723317,-0.03177125944211589,-0.004888037370938213,0.017492443390321098,0.19138030813209808,-0.02790553025732912,0.04629807533557356,-0.047962904451841655,0.05307040787956891,0.03820388546756232,0.07949367019377214,0.3157077478284959,0.009348493306571967,0.050193277693015965,0.005921617565384391,-0.07424750825573026,0.04524166814606291,-0.14622939515421288,-0.07998692054481386,-0.08126670749560672,-0.04459688805485086
total_steps,0.38915049837542043,0.07981186275411473,0.08995401197160481,0.367341145732781,0.05936458045695783,1.0,0.36638568592193965,0.3948938897276284,-0.15349995526187088,0.005664862584834914,-0.07906009168546185,-0.027590646045461856,0.17131087069620926,0.06267509511372238,0.38617335692094296,-0.487368075929499,-0.10046346573066749,0.13132753201614683,0.04887089843010902,-0.02528144609775579,0.20619710559245247,-0.15780903367950708,-0.08980804731821193,-0.15534363065046825,0.12064153693524898,0.003981403693725313,0.061738525065854546,-0.003297698085870036,-0.03651658466721525,-0.08158650780200695,0.26927082804734687,0.054597303803548235,-0.024040960205865484,0.1618731955410753,0.04898817369508153,-0.09406942581117009,0.12126347611220983,0.1580853118553908,0.12021225581859896,0.09422062770074713,0.07101455484142752,0.07176094603284312,0.10194236481046261,0.04176010590904474,0.06745044263308297,-0.02204514830930567,-0.07719892390013934,0.04651300423786605,-0.002087054809861867,-0.1300311043386252,0.05996024467806339,0.11339890270427819,0.1625072613005192,0.12005961882729743,-0.07390029861645468,0.04007638243180703,-0.07083186523790962,-0.06294178344528878,0.0072302420052656295,-0.09322263477989558,-0.06291484703009184,-0.06864144012708565,-0.08970039804946706,-0.12029880085978496,0.37155367746631485,-0.09157688000476344,-0.1735458887618368,-0.3062674869245678,0.023838924675067114,0.05714286158277422,-0.035125888975218296,-0.036146098667252276,-0.10876879291547001,-0.07388180908893356,-0.13798189336474545,-0.17879186204910094,-0.022655129664193186,-0.020783179278152052,-0.015806868323155265,-0.06924085306979878,0.0362183326914721,-0.005337850795941037,-0.021179504748761166,-0.13916858033206142,-0.08891512294410804,-0.02471627306929533,-0.023011796066391248,-0.0933859881025187,-0.05447137348868647,-0.020025176674811313,-0.0071827097241879715,0.04487109604523688,-0.08665022461196313,-0.11138579474224088,-0.02073667585381389,-0.016190530625586827,-0.014128915452433232,-0.09780314719669819,0.028032673411807034,-0.09466136950406309,-0.0572179888216168,-0.0069545433076857645,0.02530209240255252,0.021970460392800633,-0.1273544551371183,0.02358962900681654,-0.01024400276555617,-0.05193327591186529
resting_heart_rate,0.8141544362206605,0.157387790066681,0.14498273770528788,0.661284929692642,0.20113841367196766,0.36638568592193965,1.0,0.38743511374988515,-0.13033496556781124,0.06526288854866277,-0.08071834187925618,0.04276758969107024,0.15550001782337233,0.021269053282463743,0.03759117850234162,-0.2526463635041827,-0.2386926950188542,0.046141153355015826,-0.08216898100772445,-0.23609573522458896,0.2630086778879111,-0.13032824475845634,-0.2376951949375167,-0.23738994640588046,0.10401787604645808,0.10890709542103025,-0.019032010970251312,-0.07547784228743809,-0.07481109374866436,0.024667629623522588,0.29267476318375363,0.09921239599551432,-0.060305039097566286,0.10516639829551791,-0.023137449968822957,-0.14649347416548486,0.0907954200413464,0.041390965899916074,0.03557252427746648,0.09308441775410055,0.055097604951967444,0.1160816502321386,-0.00015956800459704457,0.052167339874970194,0.0832843560928628,0.023280409453924972,-0.023976770992698255,0.014042454312484865,0.01277090829901938,-0.08912784358145719,0.02794480437657306,-0.004890262974667698,0.2074202629775404,0.14036437985083844,-0.02779368931122973,-0.028264083683274824,-0.04933194414866657,0.003440719722290576,-0.010037267916455699,-0.13030028354115614,-0.044747734794769685,-0.10650735883318414,-0.017214142310826838,-0.15763901712377726,0.6039034913167599,-0.008314526033894926,-0.10815307870138363,-0.5212501599768571,0.1348670781275333,0.01247812647843209,-0.013413417897108109,0.0071552883763671285,-0.01062018332107399,0.06790334417415601,-0.11065324239607545,-0.021997731609735234,0.1268129768667964,0.05465864751417706,0.08983701254160917,0.017573051132023593,-0.04019956530743864,0.11757235092446892,0.0873489743387218,-0.12043927634052572,0.0006566942184546164,0.12516535951404048,0.1725147943818487,0.03559377424154083,-0.03330130924790156,0.0016563774816982912,0.018645619439870687,0.23607507114930512,0.01878972839082853,-0.1253735481271869,-0.020266322330954194,0.02426170721192787,0.030262435800713004,0.023016535372974416,0.24309516562905786,-0.0068303989398196055,0.025909648546574616,-0.06146724549791247,-0.016821358051197825,0.03813063591987713,-0.23909536130706438,0.037838455887325595,-0.007964809152583551,0.027082612134405406
total_kcal,0.4029313875645077,0.10277311786892643,0.09437500002677887,0.36608340215221724,0.0638434310228545,0.3948938897276284,0.38743511374988515,1.0,-0.13724232931395283,0.014283882405637062,-0.03491316099155262,-0.03859716988825845,0.16584843068455085,0.0248254726014026,0.25630849346256,-0.3940271485865507,-0.12448138714638231,0.10076856459550212,0.0342248465122298,-0.04149663441605757,0.21815456363193106,-0.12168223308716063,-0.051349763875415184,-0.16449870156261048,0.12457573977107975,0.005229076798897632,0.021167302820765406,-0.00973081663897013,-0.003251359557636473,-0.07627678678104488,0.24544114375033607,0.07047024384747817,-0.03302774724952823,0.11232497784297459,0.08091054642044308,-0.09397635396631457,0.1202535298580085,0.09259184439189057,0.11833220050929906,0.07012870753442657,0.0690931584062313,0.07302352636526042,0.06753750692241327,0.01647794615420731,0.07780670771368864,-0.011912920216515266,-0.09565542973733575,0.025089876654971963,-0.024301743290368695,-0.01497334653819564,0.05954734239214877,0.04057730771821788,0.10656921010771275,0.1046064261326898,-0.08232530253993023,-0.006072765167915061,-0.01447845982194759,0.018896910098547944,0.027706822049351022,-0.05463327962729108,-0.04779473928180441,-0.07603619563600042,-0.02857201013161161,-0.08259143559240101,0.3739654210611324,-0.07992519025744164,-0.17235366663283577,-0.34111752451660804,0.039126047523257844,0.041793376170521396,0.013181221886012612,-0.04042371526359469,-0.08597624900447866,-0.05404717466250261,-0.10977246766929395,-0.1454993041487429,-0.022108643532476883,-0.018769950170441915,-0.02290892866298024,-0.008479370894081094,0.024354772997538184,0.013586436276872628,0.012775452131054483,-0.11009369251019507,-0.09072151291123631,0.004360461180377197,-0.019564240500424546,-0.07572591554654941,-0.013884910463922026,-0.04023469560377636,0.006478540203427769,0.056408013796706666,-0.06527710859752028,-0.1164619196866012,-0.023739633543001504,-0.0010501215866827527,0.004930401681487148,-0.06807502030542047,0.026967018046157167,-0.056742554594341764,-0.165103032239641,0.027444513818845013,0.09665544914816927,0.0418682802486314,-0.10536102652065127,0.055639012255777574,0.035155381851293986,0.031261529635703014
sleep_light_hrs,-0.17318224026940834,-0.0930770556036456,-0.0789286384994205,-0.1868638822793662,-0.0579313746958068,-0.15349995526187088,-0.13033496556781124,-0.13724232931395283,1.0,0.03949446767565231,0.07341102423382008,0.016945841755934075,-0.04983602948281678,-0.003011306262272017,-0.09669159439771528,0.18503834722742962,0.058945627791412346,-0.004821438785259317,-0.0065141134193479715,0.10935572510349545,-0.11226921630412096,0.037713339296863845,0.038045601913127655,0.1261535288817127,-0.08315209657815834,-0.00045053234710339135,0.03403527021213279,0.03719334303481145,-0.02072945871141294,0.05182315121867812,-0.05665588139765619,-0.03804755861113693,0.15461713151844841,-0.045001188400814365,0.06876845760073395,0.01657647478113779,0.07530890603449354,-0.06914970851309406,0.10581870073683217,0.04250436711780211,-0.0032467592519822767,0.0130920592324401,-0.012945531112296267,-0.05508957330037032,-0.03849231936272362,0.033970173379943736,0.12419439274816271,-0.006748824028253141,0.028662438160459557,0.09677095814260445,-0.0012309465566788746,-0.03152844016881152,0.00841391426082696,-0.011699639051326158,0.08347097336101708,0.020287364567386876,0.08670625459952021,0.04075350935565087,0.020880729409089336,0.02533775370208402,0.027926274643014875,0.02950340367340519,0.07751943493337143,0.05945140233631478,-0.16383939651523205,0.10354159652711376,0.12097602648046371,0.17900142071403724,0.0037773635016500914,0.01736541129037802,0.011272665444449761,0.06112565785768899,0.03536652274108553,0.0356717563568429,0.06273007118632636,0.08441786738105575,0.05999507820130291,0.005044250871279104,0.0065335009175258585,0.05142988535530169,0.006159998993260238,0.03047725586721087,0.021214617270098175,0.07140265305403828,-0.005662326128872412,0.005424073746824452,0.011732232670364912,0.012823013813135458,0.06848982118636278,0.023556800337217715,0.0025201979882260406,-0.02301266708907598,0.03553912035255774,0.03716138002293202,0.037816749077305055,0.03342110430366979,0.025874195622284036,0.03494698757334516,-0.059178110436613814,0.06689855415289822,0.1189406427411951,-0.05722187057039243,-0.050630282050676996,-0.0065885801802268275,0.08189233651510457,0.01708462507692622,0.036598967277564995,0.044578191743742515
sleep_deep_hrs,0.05519826657540183,0.018424570282611553,0.022155223641184583,0.04932745855580931,-0.012345884945186278,0.005664862584834914,0.06526288854866277,0.014283882405637062,0.03949446767565231,1.0,0.014231507968323273,0.004844802248636334,0.029732065503875797,-0.014712967791859391,-0.02011530433349022,-0.011122018451348782,0.011895664552798382,0.02992623494227036,0.036203540073731416,0.08575534607205797,0.05562826142037393,0.09063828096536548,0.005027347896353068,-0.0010260860834022023,0.04558212758318397,0.029110627656172613,0.050951226912026214,0.104372402892432,-0.13249329639888544,0.036791665866818195,0.02162742036693663,0.021326548882729005,0.03424109440206009,0.06452085807533557,-0.025505482375683595,-0.008243345661121471,0.11916547141202731,-0.010768995563272337,-0.003654786921191143,0.06134142988456667,0.004805511836988985,0.07195292252801891,-0.004526424695445552,-0.015903673886233278,0.05549363965171361,0.019081218490664964,0.00616914921125864,0.004307429159077375,0.03429376519165007,0.05997695555878207,0.05289774603964806,-0.06034465745681067,0.0025768569793957414,0.016268825737457002,0.0012551313632729072,0.004042703122392663,0.053824543032642454,0.019588617936773956,0.032751463386003474,0.0330299285858606,0.003550929809279895,-0.04094431433067106,0.029619618049394867,0.003772149363115357,0.05213466828372136,0.08748945526720434,-0.010276744609975548,-0.0468067920564618,-0.016592195960186837,0.040356559454720276,0.0713721291179188,0.02267100937386648,-0.0023397025470374257,0.069336934114691,0.0035282341080028912,0.0683088430754575,0.07424064264483142,0.0167198011174523,0.0053571003699261575,0.08369863360776499,0.013065657051642962,0.07632293146315866,0.043106433847048625,0.04212666633824899,0.02777426182348958,0.06850031980773633,0.06490563158440281,0.03589065718643187,0.03375154162103325,0.03695967853799183,0.04019724384920391,0.07734818109661762,0.03966086850368014,-0.03995099627218701,0.022976638268512237,0.011080135322691812,-0.004213854101345272,0.011902873475947215,0.03062806313350176,0.05050967147541014,-0.04945929085052971,-0.03190213991314341,0.0840265025480564,-0.005868475664144755,-0.032566155965678134,0.020470714463052025,0.036033498986975436,0.037649496351163984
