α=1.00%, θ*=0.90, TPR=0.0034, FPR=0.0046, PPV=0.4261, Advantage=-0.0012
α=2.00%, θ*=0.90, TPR=0.0034, FPR=0.0046, PPV=0.4261, Advantage=-0.0012
α=3.00%, θ*=0.95, TPR=0.0117, FPR=0.0230, PPV=0.3373, Advantage=-0.0113
α=4.00%, θ*=0.95, TPR=0.0117, FPR=0.0230, PPV=0.3373, Advantage=-0.0113
α=5.00%, θ*=1.00, TPR=0.0215, FPR=0.0414, PPV=0.3414, Advantage=-0.0199
α=6.00%, θ*=1.05, TPR=0.0322, FPR=0.0575, PPV=0.3589, Advantage=-0.0253
α=7.00%, θ*=1.10, TPR=0.0441, FPR=0.0690, PPV=0.3902, Advantage=-0.0248
α=8.00%, θ*=1.10, TPR=0.0441, FPR=0.0690, PPV=0.3902, Advantage=-0.0248
α=9.00%, θ*=1.15, TPR=0.0602, FPR=0.0897, PPV=0.4018, Advantage=-0.0294
α=10.00%, θ*=1.15, TPR=0.0602, FPR=0.0897, PPV=0.4018, Advantage=-0.0294
α=11.00%, θ*=1.20, TPR=0.0722, FPR=0.1057, PPV=0.4056, Advantage=-0.0336
α=12.00%, θ*=1.20, TPR=0.0722, FPR=0.1057, PPV=0.4056, Advantage=-0.0336
α=13.00%, θ*=1.25, TPR=0.0882, FPR=0.1264, PPV=0.4111, Advantage=-0.0382
α=14.00%, θ*=1.30, TPR=0.1007, FPR=0.1379, PPV=0.4219, Advantage=-0.0372
α=15.00%, θ*=1.30, TPR=0.1007, FPR=0.1379, PPV=0.4219, Advantage=-0.0372
α=16.00%, θ*=1.30, TPR=0.1007, FPR=0.1379, PPV=0.4219, Advantage=-0.0372
α=17.00%, θ*=1.30, TPR=0.1007, FPR=0.1379, PPV=0.4219, Advantage=-0.0372
α=18.00%, θ*=1.30, TPR=0.1007, FPR=0.1379, PPV=0.4219, Advantage=-0.0372
α=19.00%, θ*=1.35, TPR=0.1151, FPR=0.1839, PPV=0.3849, Advantage=-0.0688
α=20.00%, θ*=1.35, TPR=0.1151, FPR=0.1839, PPV=0.3849, Advantage=-0.0688
α=21.00%, θ*=1.35, TPR=0.1151, FPR=0.1839, PPV=0.3849, Advantage=-0.0688
α=22.00%, θ*=1.35, TPR=0.1151, FPR=0.1839, PPV=0.3849, Advantage=-0.0688
α=23.00%, θ*=1.40, TPR=0.1329, FPR=0.2299, PPV=0.3663, Advantage=-0.0970
α=24.00%, θ*=1.40, TPR=0.1329, FPR=0.2299, PPV=0.3663, Advantage=-0.0970
α=25.00%, θ*=1.40, TPR=0.1329, FPR=0.2299, PPV=0.3663, Advantage=-0.0970
α=26.00%, θ*=1.45, TPR=0.1667, FPR=0.2598, PPV=0.3910, Advantage=-0.0930
α=27.00%, θ*=1.45, TPR=0.1667, FPR=0.2598, PPV=0.3910, Advantage=-0.0930
α=28.00%, θ*=1.50, TPR=0.2050, FPR=0.2736, PPV=0.4284, Advantage=-0.0685
α=29.00%, θ*=1.55, TPR=0.2399, FPR=0.2851, PPV=0.4570, Advantage=-0.0452
α=30.00%, θ*=1.60, TPR=0.2784, FPR=0.2943, PPV=0.4862, Advantage=-0.0159
α=31.00%, θ*=1.60, TPR=0.2784, FPR=0.2943, PPV=0.4862, Advantage=-0.0159
α=32.00%, θ*=1.60, TPR=0.2784, FPR=0.2943, PPV=0.4862, Advantage=-0.0159
α=33.00%, θ*=1.65, TPR=0.3118, FPR=0.3264, PPV=0.4885, Advantage=-0.0146
α=34.00%, θ*=1.65, TPR=0.3118, FPR=0.3264, PPV=0.4885, Advantage=-0.0146
α=35.00%, θ*=1.65, TPR=0.3118, FPR=0.3264, PPV=0.4885, Advantage=-0.0146
α=36.00%, θ*=1.70, TPR=0.3425, FPR=0.3540, PPV=0.4917, Advantage=-0.0115
α=37.00%, θ*=1.70, TPR=0.3425, FPR=0.3540, PPV=0.4917, Advantage=-0.0115
α=38.00%, θ*=1.70, TPR=0.3425, FPR=0.3540, PPV=0.4917, Advantage=-0.0115
α=39.00%, θ*=1.70, TPR=0.3425, FPR=0.3540, PPV=0.4917, Advantage=-0.0115
α=40.00%, θ*=1.70, TPR=0.3425, FPR=0.3540, PPV=0.4917, Advantage=-0.0115
α=41.00%, θ*=1.75, TPR=0.3913, FPR=0.4092, PPV=0.4888, Advantage=-0.0179
α=42.00%, θ*=1.75, TPR=0.3913, FPR=0.4092, PPV=0.4888, Advantage=-0.0179
α=43.00%, θ*=1.75, TPR=0.3913, FPR=0.4092, PPV=0.4888, Advantage=-0.0179
α=44.00%, θ*=1.75, TPR=0.3913, FPR=0.4092, PPV=0.4888, Advantage=-0.0179
α=45.00%, θ*=1.75, TPR=0.3913, FPR=0.4092, PPV=0.4888, Advantage=-0.0179
α=46.00%, θ*=1.75, TPR=0.3913, FPR=0.4092, PPV=0.4888, Advantage=-0.0179
α=47.00%, θ*=1.75, TPR=0.3913, FPR=0.4092, PPV=0.4888, Advantage=-0.0179
α=48.00%, θ*=1.80, TPR=0.4369, FPR=0.4713, PPV=0.4811, Advantage=-0.0344
α=49.00%, θ*=1.80, TPR=0.4369, FPR=0.4713, PPV=0.4811, Advantage=-0.0344
α=50.00%, θ*=1.80, TPR=0.4369, FPR=0.4713, PPV=0.4811, Advantage=-0.0344
α=51.00%, θ*=1.80, TPR=0.4369, FPR=0.4713, PPV=0.4811, Advantage=-0.0344
α=52.00%, θ*=1.80, TPR=0.4369, FPR=0.4713, PPV=0.4811, Advantage=-0.0344
α=53.00%, θ*=1.85, TPR=0.4837, FPR=0.5287, PPV=0.4777, Advantage=-0.0451
α=54.00%, θ*=1.85, TPR=0.4837, FPR=0.5287, PPV=0.4777, Advantage=-0.0451
α=55.00%, θ*=1.85, TPR=0.4837, FPR=0.5287, PPV=0.4777, Advantage=-0.0451
α=56.00%, θ*=1.90, TPR=0.5195, FPR=0.5586, PPV=0.4819, Advantage=-0.0391
α=57.00%, θ*=1.90, TPR=0.5195, FPR=0.5586, PPV=0.4819, Advantage=-0.0391
α=58.00%, θ*=1.90, TPR=0.5195, FPR=0.5586, PPV=0.4819, Advantage=-0.0391
α=59.00%, θ*=1.90, TPR=0.5195, FPR=0.5586, PPV=0.4819, Advantage=-0.0391
α=60.00%, θ*=1.90, TPR=0.5195, FPR=0.5586, PPV=0.4819, Advantage=-0.0391
α=61.00%, θ*=1.95, TPR=0.5605, FPR=0.6023, PPV=0.4820, Advantage=-0.0418
α=62.00%, θ*=2.00, TPR=0.5968, FPR=0.6161, PPV=0.4920, Advantage=-0.0193
α=63.00%, θ*=2.00, TPR=0.5968, FPR=0.6161, PPV=0.4920, Advantage=-0.0193
α=64.00%, θ*=2.05, TPR=0.6368, FPR=0.6368, PPV=0.5000, Advantage=-0.0000
α=65.00%, θ*=2.10, TPR=0.6770, FPR=0.6483, PPV=0.5108, Advantage=0.0287
α=66.00%, θ*=2.10, TPR=0.6770, FPR=0.6483, PPV=0.5108, Advantage=0.0287
α=67.00%, θ*=2.10, TPR=0.6770, FPR=0.6483, PPV=0.5108, Advantage=0.0287
α=68.00%, θ*=2.15, TPR=0.7140, FPR=0.6736, PPV=0.5146, Advantage=0.0405
α=69.00%, θ*=2.15, TPR=0.7140, FPR=0.6736, PPV=0.5146, Advantage=0.0405
α=70.00%, θ*=2.15, TPR=0.7140, FPR=0.6736, PPV=0.5146, Advantage=0.0405
α=71.00%, θ*=2.15, TPR=0.7140, FPR=0.6736, PPV=0.5146, Advantage=0.0405
α=72.00%, θ*=2.20, TPR=0.7389, FPR=0.7195, PPV=0.5066, Advantage=0.0194
α=73.00%, θ*=2.20, TPR=0.7389, FPR=0.7195, PPV=0.5066, Advantage=0.0194
α=74.00%, θ*=2.20, TPR=0.7389, FPR=0.7195, PPV=0.5066, Advantage=0.0194
α=75.00%, θ*=2.20, TPR=0.7389, FPR=0.7195, PPV=0.5066, Advantage=0.0194
α=76.00%, θ*=2.20, TPR=0.7389, FPR=0.7195, PPV=0.5066, Advantage=0.0194
α=77.00%, θ*=2.25, TPR=0.7735, FPR=0.7609, PPV=0.5041, Advantage=0.0126
α=78.00%, θ*=2.25, TPR=0.7735, FPR=0.7609, PPV=0.5041, Advantage=0.0126
