α=1.00%, θ*=0.95, TPR=0.0117, FPR=0.0091, PPV=0.5618, Advantage=0.0026
α=2.00%, θ*=0.95, TPR=0.0117, FPR=0.0091, PPV=0.5618, Advantage=0.0026
α=3.00%, θ*=1.00, TPR=0.0222, FPR=0.0205, PPV=0.5193, Advantage=0.0017
α=4.00%, θ*=1.10, TPR=0.0439, FPR=0.0365, PPV=0.5459, Advantage=0.0074
α=5.00%, θ*=1.10, TPR=0.0439, FPR=0.0365, PPV=0.5459, Advantage=0.0074
α=6.00%, θ*=1.15, TPR=0.0607, FPR=0.0548, PPV=0.5258, Advantage=0.0060
α=7.00%, θ*=1.15, TPR=0.0607, FPR=0.0548, PPV=0.5258, Advantage=0.0060
α=8.00%, θ*=1.30, TPR=0.1010, FPR=0.0799, PPV=0.5583, Advantage=0.0211
α=9.00%, θ*=1.30, TPR=0.1010, FPR=0.0799, PPV=0.5583, Advantage=0.0211
α=10.00%, θ*=1.30, TPR=0.1010, FPR=0.0799, PPV=0.5583, Advantage=0.0211
α=11.00%, θ*=1.35, TPR=0.1164, FPR=0.1073, PPV=0.5203, Advantage=0.0091
α=12.00%, θ*=1.35, TPR=0.1164, FPR=0.1073, PPV=0.5203, Advantage=0.0091
α=13.00%, θ*=1.35, TPR=0.1164, FPR=0.1073, PPV=0.5203, Advantage=0.0091
α=14.00%, θ*=1.40, TPR=0.1320, FPR=0.1370, PPV=0.4907, Advantage=-0.0050
α=15.00%, θ*=1.40, TPR=0.1320, FPR=0.1370, PPV=0.4907, Advantage=-0.0050
α=16.00%, θ*=1.45, TPR=0.1574, FPR=0.1598, PPV=0.4961, Advantage=-0.0025
α=17.00%, θ*=1.45, TPR=0.1574, FPR=0.1598, PPV=0.4961, Advantage=-0.0025
α=18.00%, θ*=1.45, TPR=0.1574, FPR=0.1598, PPV=0.4961, Advantage=-0.0025
α=19.00%, θ*=1.50, TPR=0.1964, FPR=0.1872, PPV=0.5120, Advantage=0.0092
α=20.00%, θ*=1.50, TPR=0.1964, FPR=0.1872, PPV=0.5120, Advantage=0.0092
α=21.00%, θ*=1.50, TPR=0.1964, FPR=0.1872, PPV=0.5120, Advantage=0.0092
α=22.00%, θ*=1.50, TPR=0.1964, FPR=0.1872, PPV=0.5120, Advantage=0.0092
α=23.00%, θ*=1.55, TPR=0.2276, FPR=0.2283, PPV=0.4992, Advantage=-0.0007
α=24.00%, θ*=1.55, TPR=0.2276, FPR=0.2283, PPV=0.4992, Advantage=-0.0007
α=25.00%, θ*=1.55, TPR=0.2276, FPR=0.2283, PPV=0.4992, Advantage=-0.0007
α=26.00%, θ*=1.60, TPR=0.2679, FPR=0.2557, PPV=0.5116, Advantage=0.0122
α=27.00%, θ*=1.60, TPR=0.2679, FPR=0.2557, PPV=0.5116, Advantage=0.0122
α=28.00%, θ*=1.60, TPR=0.2679, FPR=0.2557, PPV=0.5116, Advantage=0.0122
α=29.00%, θ*=1.60, TPR=0.2679, FPR=0.2557, PPV=0.5116, Advantage=0.0122
α=30.00%, θ*=1.65, TPR=0.3045, FPR=0.2968, PPV=0.5064, Advantage=0.0077
α=31.00%, θ*=1.65, TPR=0.3045, FPR=0.2968, PPV=0.5064, Advantage=0.0077
α=32.00%, θ*=1.65, TPR=0.3045, FPR=0.2968, PPV=0.5064, Advantage=0.0077
α=33.00%, θ*=1.65, TPR=0.3045, FPR=0.2968, PPV=0.5064, Advantage=0.0077
α=34.00%, θ*=1.70, TPR=0.3425, FPR=0.3379, PPV=0.5034, Advantage=0.0046
α=35.00%, θ*=1.75, TPR=0.3857, FPR=0.3493, PPV=0.5248, Advantage=0.0364
α=36.00%, θ*=1.75, TPR=0.3857, FPR=0.3493, PPV=0.5248, Advantage=0.0364
α=37.00%, θ*=1.75, TPR=0.3857, FPR=0.3493, PPV=0.5248, Advantage=0.0364
α=38.00%, θ*=1.75, TPR=0.3857, FPR=0.3493, PPV=0.5248, Advantage=0.0364
α=39.00%, θ*=1.75, TPR=0.3857, FPR=0.3493, PPV=0.5248, Advantage=0.0364
α=40.00%, θ*=1.75, TPR=0.3857, FPR=0.3493, PPV=0.5248, Advantage=0.0364
α=41.00%, θ*=1.80, TPR=0.4404, FPR=0.4018, PPV=0.5229, Advantage=0.0385
α=42.00%, θ*=1.80, TPR=0.4404, FPR=0.4018, PPV=0.5229, Advantage=0.0385
α=43.00%, θ*=1.80, TPR=0.4404, FPR=0.4018, PPV=0.5229, Advantage=0.0385
α=44.00%, θ*=1.80, TPR=0.4404, FPR=0.4018, PPV=0.5229, Advantage=0.0385
α=45.00%, θ*=1.80, TPR=0.4404, FPR=0.4018, PPV=0.5229, Advantage=0.0385
α=46.00%, θ*=1.85, TPR=0.4823, FPR=0.4589, PPV=0.5124, Advantage=0.0234
α=47.00%, θ*=1.85, TPR=0.4823, FPR=0.4589, PPV=0.5124, Advantage=0.0234
α=48.00%, θ*=1.85, TPR=0.4823, FPR=0.4589, PPV=0.5124, Advantage=0.0234
α=49.00%, θ*=1.85, TPR=0.4823, FPR=0.4589, PPV=0.5124, Advantage=0.0234
α=50.00%, θ*=1.90, TPR=0.5289, FPR=0.4909, PPV=0.5187, Advantage=0.0380
α=51.00%, θ*=1.90, TPR=0.5289, FPR=0.4909, PPV=0.5187, Advantage=0.0380
α=52.00%, θ*=1.95, TPR=0.5677, FPR=0.5137, PPV=0.5250, Advantage=0.0540
α=53.00%, θ*=1.95, TPR=0.5677, FPR=0.5137, PPV=0.5250, Advantage=0.0540
α=54.00%, θ*=1.95, TPR=0.5677, FPR=0.5137, PPV=0.5250, Advantage=0.0540
α=55.00%, θ*=2.00, TPR=0.5948, FPR=0.5457, PPV=0.5215, Advantage=0.0491
α=56.00%, θ*=2.00, TPR=0.5948, FPR=0.5457, PPV=0.5215, Advantage=0.0491
α=57.00%, θ*=2.00, TPR=0.5948, FPR=0.5457, PPV=0.5215, Advantage=0.0491
α=58.00%, θ*=2.00, TPR=0.5948, FPR=0.5457, PPV=0.5215, Advantage=0.0491
α=59.00%, θ*=2.00, TPR=0.5948, FPR=0.5457, PPV=0.5215, Advantage=0.0491
α=60.00%, θ*=2.05, TPR=0.6248, FPR=0.5982, PPV=0.5109, Advantage=0.0266
α=61.00%, θ*=2.05, TPR=0.6248, FPR=0.5982, PPV=0.5109, Advantage=0.0266
α=62.00%, θ*=2.05, TPR=0.6248, FPR=0.5982, PPV=0.5109, Advantage=0.0266
α=63.00%, θ*=2.10, TPR=0.6633, FPR=0.6279, PPV=0.5137, Advantage=0.0355
α=64.00%, θ*=2.10, TPR=0.6633, FPR=0.6279, PPV=0.5137, Advantage=0.0355
α=65.00%, θ*=2.10, TPR=0.6633, FPR=0.6279, PPV=0.5137, Advantage=0.0355
α=66.00%, θ*=2.10, TPR=0.6633, FPR=0.6279, PPV=0.5137, Advantage=0.0355
α=67.00%, θ*=2.10, TPR=0.6633, FPR=0.6279, PPV=0.5137, Advantage=0.0355
α=68.00%, θ*=2.10, TPR=0.6633, FPR=0.6279, PPV=0.5137, Advantage=0.0355
α=69.00%, θ*=2.15, TPR=0.7058, FPR=0.6804, PPV=0.5092, Advantage=0.0254
α=70.00%, θ*=2.15, TPR=0.7058, FPR=0.6804, PPV=0.5092, Advantage=0.0254
α=71.00%, θ*=2.15, TPR=0.7058, FPR=0.6804, PPV=0.5092, Advantage=0.0254
α=72.00%, θ*=2.15, TPR=0.7058, FPR=0.6804, PPV=0.5092, Advantage=0.0254
α=73.00%, θ*=2.15, TPR=0.7058, FPR=0.6804, PPV=0.5092, Advantage=0.0254
α=74.00%, θ*=2.20, TPR=0.7438, FPR=0.7397, PPV=0.5014, Advantage=0.0041
α=75.00%, θ*=2.20, TPR=0.7438, FPR=0.7397, PPV=0.5014, Advantage=0.0041
α=76.00%, θ*=2.20, TPR=0.7438, FPR=0.7397, PPV=0.5014, Advantage=0.0041
α=77.00%, θ*=2.25, TPR=0.7758, FPR=0.7694, PPV=0.5021, Advantage=0.0064
α=78.00%, θ*=2.25, TPR=0.7758, FPR=0.7694, PPV=0.5021, Advantage=0.0064
α=79.00%, θ*=2.25, TPR=0.7758, FPR=0.7694, PPV=0.5021, Advantage=0.0064
α=80.00%, θ*=2.30, TPR=0.8051, FPR=0.7991, PPV=0.5019, Advantage=0.0060
α=81.00%, θ*=2.30, TPR=0.8051, FPR=0.7991, PPV=0.5019, Advantage=0.0060
α=82.00%, θ*=2.30, TPR=0.8051, FPR=0.7991, PPV=0.5019, Advantage=0.0060
α=83.00%, θ*=2.35, TPR=0.8336, FPR=0.8288, PPV=0.5015, Advantage=0.0049
α=84.00%, θ*=2.35, TPR=0.8336, FPR=0.8288, PPV=0.5015, Advantage=0.0049
α=85.00%, θ*=2.40, TPR=0.8551, FPR=0.8402, PPV=0.5044, Advantage=0.0149
α=86.00%, θ*=2.40, TPR=0.8551, FPR=0.8402, PPV=0.5044, Advantage=0.0149
α=87.00%, θ*=2.45, TPR=0.8753, FPR=0.8630, PPV=0.5035, Advantage=0.0123
α=88.00%, θ*=2.50, TPR=0.8966, FPR=0.8721, PPV=0.5069, Advantage=0.0244
α=89.00%, θ*=2.55, TPR=0.9178, FPR=0.8836, PPV=0.5095, Advantage=0.0342
α=90.00%, θ*=2.65, TPR=0.9400, FPR=0.8995, PPV=0.5110, Advantage=0.0404
α=91.00%, θ*=2.65, TPR=0.9400, FPR=0.8995, PPV=0.5110, Advantage=0.0404
α=92.00%, θ*=2.65, TPR=0.9400, FPR=0.8995, PPV=0.5110, Advantage=0.0404
