Logging
iteration 0 | D LOSS = 1.4492 | G LOSS = -0.0441 | AVG R =0.5020 | mean_pen: 0.0186 |  
iteration 50 | D LOSS = 1.2699 | G LOSS = -0.0876 | AVG R =0.4219 | mean_pen: 0.0168 |  
iteration 100 | D LOSS = 1.2711 | G LOSS = -0.0840 | AVG R =0.4418 | mean_pen: 0.0165 |  
iteration 150 | D LOSS = 1.2887 | G LOSS = -0.0933 | AVG R =0.4506 | mean_pen: 0.0140 |  
iteration 200 | D LOSS = 1.3061 | G LOSS = -0.0987 | AVG R =0.4592 | mean_pen: 0.0120 |  
iteration 250 | D LOSS = 1.3205 | G LOSS = -0.0944 | AVG R =0.4692 | mean_pen: 0.0090 |  
iteration 300 | D LOSS = 1.3323 | G LOSS = -0.1010 | AVG R =0.4743 | mean_pen: 0.0069 |  
iteration 350 | D LOSS = 1.3434 | G LOSS = -0.0952 | AVG R =0.4790 | mean_pen: 0.0055 |  
iteration 400 | D LOSS = 1.3511 | G LOSS = -0.0907 | AVG R =0.4844 | mean_pen: 0.0036 |  
iteration 450 | D LOSS = 1.3563 | G LOSS = -0.0871 | AVG R =0.4853 | mean_pen: 0.0030 |  
iteration 500 | D LOSS = 1.3607 | G LOSS = -0.0759 | AVG R =0.4871 | mean_pen: 0.0021 |  
iteration 550 | D LOSS = 1.3617 | G LOSS = -0.0752 | AVG R =0.4877 | mean_pen: 0.0014 |  
iteration 600 | D LOSS = 1.3643 | G LOSS = -0.0671 | AVG R =0.4895 | mean_pen: 0.0011 |  
iteration 650 | D LOSS = 1.3651 | G LOSS = -0.0606 | AVG R =0.4903 | mean_pen: 0.0010 |  
iteration 700 | D LOSS = 1.3626 | G LOSS = -0.0612 | AVG R =0.4891 | mean_pen: 0.0009 |  
iteration 750 | D LOSS = 1.3669 | G LOSS = -0.0506 | AVG R =0.4889 | mean_pen: 0.0007 |  
iteration 800 | D LOSS = 1.3652 | G LOSS = -0.0518 | AVG R =0.4897 | mean_pen: 0.0007 |  
iteration 850 | D LOSS = 1.3642 | G LOSS = -0.0547 | AVG R =0.4892 | mean_pen: 0.0007 |  
iteration 900 | D LOSS = 1.3628 | G LOSS = -0.0441 | AVG R =0.4877 | mean_pen: 0.0009 |  
iteration 950 | D LOSS = 1.3616 | G LOSS = -0.0427 | AVG R =0.4865 | mean_pen: 0.0011 |  
iteration 1000 | D LOSS = 1.3612 | G LOSS = -0.0415 | AVG R =0.4866 | mean_pen: 0.0011 |  
iteration 1050 | D LOSS = 1.3600 | G LOSS = -0.0435 | AVG R =0.4878 | mean_pen: 0.0010 |  
iteration 1100 | D LOSS = 1.3589 | G LOSS = -0.0414 | AVG R =0.4868 | mean_pen: 0.0009 |  
iteration 1150 | D LOSS = 1.3594 | G LOSS = -0.0465 | AVG R =0.4859 | mean_pen: 0.0008 |  
iteration 1200 | D LOSS = 1.3594 | G LOSS = -0.0408 | AVG R =0.4860 | mean_pen: 0.0009 |  
iteration 1250 | D LOSS = 1.3589 | G LOSS = -0.0344 | AVG R =0.4858 | mean_pen: 0.0008 |  
iteration 1300 | D LOSS = 1.3616 | G LOSS = -0.0458 | AVG R =0.4854 | mean_pen: 0.0008 |  
iteration 1350 | D LOSS = 1.3593 | G LOSS = -0.0449 | AVG R =0.4870 | mean_pen: 0.0010 |  
iteration 1400 | D LOSS = 1.3604 | G LOSS = -0.0379 | AVG R =0.4868 | mean_pen: 0.0009 |  
iteration 1450 | D LOSS = 1.3590 | G LOSS = -0.0438 | AVG R =0.4866 | mean_pen: 0.0008 |  
iteration 1500 | D LOSS = 1.3588 | G LOSS = -0.0414 | AVG R =0.4860 | mean_pen: 0.0010 |  
iteration 1550 | D LOSS = 1.3597 | G LOSS = -0.0409 | AVG R =0.4869 | mean_pen: 0.0013 |  
iteration 1600 | D LOSS = 1.3612 | G LOSS = -0.0347 | AVG R =0.4864 | mean_pen: 0.0011 |  
iteration 1650 | D LOSS = 1.3598 | G LOSS = -0.0193 | AVG R =0.4870 | mean_pen: 0.0013 |  
iteration 1700 | D LOSS = 1.3621 | G LOSS = -0.0382 | AVG R =0.4876 | mean_pen: 0.0014 |  
iteration 1750 | D LOSS = 1.3617 | G LOSS = -0.0386 | AVG R =0.4880 | mean_pen: 0.0013 |  
iteration 1800 | D LOSS = 1.3610 | G LOSS = -0.0295 | AVG R =0.4874 | mean_pen: 0.0016 |  
iteration 1850 | D LOSS = 1.3616 | G LOSS = -0.0334 | AVG R =0.4883 | mean_pen: 0.0015 |  
iteration 1900 | D LOSS = 1.3628 | G LOSS = -0.0215 | AVG R =0.4879 | mean_pen: 0.0014 |  
iteration 1950 | D LOSS = 1.3615 | G LOSS = -0.0258 | AVG R =0.4880 | mean_pen: 0.0015 |  
iteration 2000 | D LOSS = 1.3630 | G LOSS = -0.0224 | AVG R =0.4877 | mean_pen: 0.0015 |  
iteration 2050 | D LOSS = 1.3625 | G LOSS = -0.0261 | AVG R =0.4882 | mean_pen: 0.0015 |  
iteration 2100 | D LOSS = 1.3642 | G LOSS = -0.0291 | AVG R =0.4880 | mean_pen: 0.0012 |  
iteration 2150 | D LOSS = 1.3622 | G LOSS = -0.0251 | AVG R =0.4894 | mean_pen: 0.0014 |  
iteration 2200 | D LOSS = 1.3653 | G LOSS = -0.0346 | AVG R =0.4889 | mean_pen: 0.0013 |  
iteration 2250 | D LOSS = 1.3648 | G LOSS = -0.0271 | AVG R =0.4883 | mean_pen: 0.0013 |  
iteration 2300 | D LOSS = 1.3654 | G LOSS = -0.0334 | AVG R =0.4896 | mean_pen: 0.0010 |  
iteration 2350 | D LOSS = 1.3651 | G LOSS = -0.0258 | AVG R =0.4900 | mean_pen: 0.0010 |  
iteration 2400 | D LOSS = 1.3649 | G LOSS = -0.0340 | AVG R =0.4894 | mean_pen: 0.0009 |  
iteration 2450 | D LOSS = 1.3643 | G LOSS = -0.0286 | AVG R =0.4903 | mean_pen: 0.0011 |  
iteration 2500 | D LOSS = 1.3649 | G LOSS = -0.0222 | AVG R =0.4881 | mean_pen: 0.0009 |  
iteration 2550 | D LOSS = 1.3651 | G LOSS = -0.0318 | AVG R =0.4899 | mean_pen: 0.0010 |  
iteration 2600 | D LOSS = 1.3660 | G LOSS = -0.0264 | AVG R =0.4895 | mean_pen: 0.0009 |  
iteration 2650 | D LOSS = 1.3663 | G LOSS = -0.0025 | AVG R =0.4896 | mean_pen: 0.0009 |  
iteration 2700 | D LOSS = 1.3652 | G LOSS = 0.0051 | AVG R =0.4896 | mean_pen: 0.0010 |  
iteration 2750 | D LOSS = 1.3650 | G LOSS = -0.0210 | AVG R =0.4905 | mean_pen: 0.0010 |  
iteration 2800 | D LOSS = 1.3660 | G LOSS = -0.0156 | AVG R =0.4898 | mean_pen: 0.0009 |  
iteration 2850 | D LOSS = 1.3668 | G LOSS = -0.0070 | AVG R =0.4900 | mean_pen: 0.0010 |  
iteration 2900 | D LOSS = 1.3665 | G LOSS = 0.0446 | AVG R =0.4902 | mean_pen: 0.0008 |  
iteration 2950 | D LOSS = 1.3666 | G LOSS = 0.0338 | AVG R =0.4890 | mean_pen: 0.0008 |  
iteration 3000 | D LOSS = 1.3661 | G LOSS = 0.0590 | AVG R =0.4896 | mean_pen: 0.0009 |  
iteration 3050 | D LOSS = 1.3662 | G LOSS = 0.0655 | AVG R =0.4907 | mean_pen: 0.0007 |  
iteration 3100 | D LOSS = 1.3662 | G LOSS = 0.0285 | AVG R =0.4899 | mean_pen: 0.0006 |  
iteration 3150 | D LOSS = 1.3666 | G LOSS = 0.0667 | AVG R =0.4904 | mean_pen: 0.0009 |  
iteration 3200 | D LOSS = 1.3668 | G LOSS = 0.0609 | AVG R =0.4903 | mean_pen: 0.0007 |  
iteration 3250 | D LOSS = 1.3667 | G LOSS = 0.0756 | AVG R =0.4909 | mean_pen: 0.0008 |  
iteration 3300 | D LOSS = 1.3676 | G LOSS = 0.0235 | AVG R =0.4903 | mean_pen: 0.0007 |  
iteration 3350 | D LOSS = 1.3669 | G LOSS = 0.0646 | AVG R =0.4902 | mean_pen: 0.0009 |  
iteration 3400 | D LOSS = 1.3680 | G LOSS = 0.0926 | AVG R =0.4904 | mean_pen: 0.0009 |  
iteration 3450 | D LOSS = 1.3675 | G LOSS = 0.0881 | AVG R =0.4900 | mean_pen: 0.0007 |  
iteration 3500 | D LOSS = 1.3679 | G LOSS = 0.0893 | AVG R =0.4907 | mean_pen: 0.0008 |  
iteration 3550 | D LOSS = 1.3689 | G LOSS = 0.0742 | AVG R =0.4905 | mean_pen: 0.0007 |  
iteration 3600 | D LOSS = 1.3685 | G LOSS = 0.0539 | AVG R =0.4908 | mean_pen: 0.0006 |  
iteration 3650 | D LOSS = 1.3686 | G LOSS = 0.0815 | AVG R =0.4914 | mean_pen: 0.0004 |  
iteration 3700 | D LOSS = 1.3693 | G LOSS = 0.0133 | AVG R =0.4908 | mean_pen: 0.0005 |  
iteration 3750 | D LOSS = 1.3683 | G LOSS = 0.0255 | AVG R =0.4915 | mean_pen: 0.0006 |  
iteration 3800 | D LOSS = 1.3674 | G LOSS = 0.0892 | AVG R =0.4908 | mean_pen: 0.0007 |  
iteration 3850 | D LOSS = 1.3701 | G LOSS = 0.0391 | AVG R =0.4918 | mean_pen: 0.0005 |  
iteration 3900 | D LOSS = 1.3700 | G LOSS = 0.0012 | AVG R =0.4915 | mean_pen: 0.0004 |  
iteration 3950 | D LOSS = 1.3705 | G LOSS = 0.0389 | AVG R =0.4916 | mean_pen: 0.0004 |  
iteration 4000 | D LOSS = 1.3691 | G LOSS = 0.0002 | AVG R =0.4922 | mean_pen: 0.0005 |  
iteration 4050 | D LOSS = 1.3702 | G LOSS = -0.0140 | AVG R =0.4920 | mean_pen: 0.0004 |  
iteration 4100 | D LOSS = 1.3689 | G LOSS = -0.0313 | AVG R =0.4918 | mean_pen: 0.0004 |  
iteration 4150 | D LOSS = 1.3690 | G LOSS = -0.0288 | AVG R =0.4927 | mean_pen: 0.0003 |  
iteration 4200 | D LOSS = 1.3694 | G LOSS = -0.0170 | AVG R =0.4921 | mean_pen: 0.0004 |  
iteration 4250 | D LOSS = 1.3707 | G LOSS = -0.0259 | AVG R =0.4920 | mean_pen: 0.0004 |  
iteration 4300 | D LOSS = 1.3701 | G LOSS = -0.0312 | AVG R =0.4920 | mean_pen: 0.0005 |  
iteration 4350 | D LOSS = 1.3710 | G LOSS = -0.0178 | AVG R =0.4921 | mean_pen: 0.0005 |  
iteration 4400 | D LOSS = 1.3706 | G LOSS = -0.0117 | AVG R =0.4919 | mean_pen: 0.0005 |  
iteration 4450 | D LOSS = 1.3714 | G LOSS = -0.0211 | AVG R =0.4920 | mean_pen: 0.0004 |  
iteration 4500 | D LOSS = 1.3712 | G LOSS = -0.0266 | AVG R =0.4922 | mean_pen: 0.0004 |  
iteration 4550 | D LOSS = 1.3713 | G LOSS = -0.0212 | AVG R =0.4928 | mean_pen: 0.0003 |  
iteration 4600 | D LOSS = 1.3701 | G LOSS = -0.0172 | AVG R =0.4911 | mean_pen: 0.0004 |  
iteration 4650 | D LOSS = 1.3713 | G LOSS = -0.0258 | AVG R =0.4933 | mean_pen: 0.0004 |  
iteration 4700 | D LOSS = 1.3719 | G LOSS = -0.0366 | AVG R =0.4927 | mean_pen: 0.0003 |  
iteration 4750 | D LOSS = 1.3718 | G LOSS = -0.0295 | AVG R =0.4914 | mean_pen: 0.0004 |  
iteration 4800 | D LOSS = 1.3715 | G LOSS = -0.0311 | AVG R =0.4925 | mean_pen: 0.0004 |  
iteration 4850 | D LOSS = 1.3719 | G LOSS = -0.0330 | AVG R =0.4932 | mean_pen: 0.0004 |  
iteration 4900 | D LOSS = 1.3720 | G LOSS = -0.0318 | AVG R =0.4925 | mean_pen: 0.0003 |  
iteration 4950 | D LOSS = 1.3731 | G LOSS = -0.0334 | AVG R =0.4943 | mean_pen: 0.0004 |  
iteration 5000 | D LOSS = 1.3720 | G LOSS = -0.0337 | AVG R =0.4929 | mean_pen: 0.0004 |  
iteration 5050 | D LOSS = 1.3737 | G LOSS = -0.0388 | AVG R =0.4925 | mean_pen: 0.0003 |  
iteration 5100 | D LOSS = 1.3726 | G LOSS = -0.0348 | AVG R =0.4929 | mean_pen: 0.0003 |  
iteration 5150 | D LOSS = 1.3724 | G LOSS = -0.0391 | AVG R =0.4924 | mean_pen: 0.0002 |  
iteration 5200 | D LOSS = 1.3723 | G LOSS = -0.0419 | AVG R =0.4926 | mean_pen: 0.0003 |  
iteration 5250 | D LOSS = 1.3731 | G LOSS = -0.0413 | AVG R =0.4936 | mean_pen: 0.0002 |  
iteration 5300 | D LOSS = 1.3728 | G LOSS = -0.0328 | AVG R =0.4930 | mean_pen: 0.0002 |  
