α=1.00%, θ*=1.25, TPR=1.0000, FPR=0.0067, PPV=0.9934, Advantage=0.9933
α=2.00%, θ*=1.25, TPR=1.0000, FPR=0.0067, PPV=0.9934, Advantage=0.9933
α=3.00%, θ*=1.30, TPR=1.0000, FPR=0.0288, PPV=0.9720, Advantage=0.9712
α=4.00%, θ*=1.30, TPR=1.0000, FPR=0.0288, PPV=0.9720, Advantage=0.9712
α=5.00%, θ*=1.30, TPR=1.0000, FPR=0.0288, PPV=0.9720, Advantage=0.9712
α=6.00%, θ*=1.45, TPR=1.0000, FPR=0.0599, PPV=0.9435, Advantage=0.9401
α=7.00%, θ*=1.45, TPR=1.0000, FPR=0.0599, PPV=0.9435, Advantage=0.9401
α=8.00%, θ*=1.50, TPR=1.0000, FPR=0.0732, PPV=0.9318, Advantage=0.9268
α=9.00%, θ*=1.50, TPR=1.0000, FPR=0.0732, PPV=0.9318, Advantage=0.9268
α=10.00%, θ*=1.50, TPR=1.0000, FPR=0.0732, PPV=0.9318, Advantage=0.9268
α=11.00%, θ*=1.55, TPR=1.0000, FPR=0.1020, PPV=0.9074, Advantage=0.8980
α=12.00%, θ*=1.60, TPR=1.0000, FPR=0.1197, PPV=0.8931, Advantage=0.8803
α=13.00%, θ*=1.60, TPR=1.0000, FPR=0.1197, PPV=0.8931, Advantage=0.8803
α=14.00%, θ*=1.60, TPR=1.0000, FPR=0.1197, PPV=0.8931, Advantage=0.8803
α=15.00%, θ*=1.60, TPR=1.0000, FPR=0.1197, PPV=0.8931, Advantage=0.8803
α=16.00%, θ*=1.70, TPR=1.0000, FPR=0.1574, PPV=0.8640, Advantage=0.8426
α=17.00%, θ*=1.70, TPR=1.0000, FPR=0.1574, PPV=0.8640, Advantage=0.8426
α=18.00%, θ*=1.70, TPR=1.0000, FPR=0.1574, PPV=0.8640, Advantage=0.8426
α=19.00%, θ*=1.70, TPR=1.0000, FPR=0.1574, PPV=0.8640, Advantage=0.8426
α=20.00%, θ*=1.75, TPR=1.0000, FPR=0.1907, PPV=0.8399, Advantage=0.8093
α=21.00%, θ*=1.75, TPR=1.0000, FPR=0.1907, PPV=0.8399, Advantage=0.8093
α=22.00%, θ*=1.80, TPR=1.0000, FPR=0.2129, PPV=0.8245, Advantage=0.7871
α=23.00%, θ*=1.85, TPR=1.0000, FPR=0.2284, PPV=0.8141, Advantage=0.7716
α=24.00%, θ*=1.85, TPR=1.0000, FPR=0.2284, PPV=0.8141, Advantage=0.7716
α=25.00%, θ*=1.85, TPR=1.0000, FPR=0.2284, PPV=0.8141, Advantage=0.7716
α=26.00%, θ*=1.90, TPR=1.0000, FPR=0.2572, PPV=0.7954, Advantage=0.7428
α=27.00%, θ*=1.90, TPR=1.0000, FPR=0.2572, PPV=0.7954, Advantage=0.7428
α=28.00%, θ*=1.90, TPR=1.0000, FPR=0.2572, PPV=0.7954, Advantage=0.7428
α=29.00%, θ*=1.90, TPR=1.0000, FPR=0.2572, PPV=0.7954, Advantage=0.7428
α=30.00%, θ*=1.90, TPR=1.0000, FPR=0.2572, PPV=0.7954, Advantage=0.7428
α=31.00%, θ*=1.90, TPR=1.0000, FPR=0.2572, PPV=0.7954, Advantage=0.7428
α=32.00%, θ*=1.95, TPR=1.0000, FPR=0.3193, PPV=0.7580, Advantage=0.6807
α=33.00%, θ*=1.95, TPR=1.0000, FPR=0.3193, PPV=0.7580, Advantage=0.6807
