feature,avg_drop_acc
blood_glucose_mean,0.009760000000000008
Cataracts (1+ eyes),0.008200000000000008
blood_glucose_std,0.007800000000000007
Total Cholesterol (mg/dL)_value (mg/dL),0.0070800000000000056
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.006840000000000006
High blood pressure,0.006800000000000006
Arthritis,0.0060400000000000054
HDL Cholesterol (mg/dL)_value (mg/dL),0.0046800000000000045
Kidney problems,0.004520000000000004
High blood cholesterol,0.004280000000000004
Diabetic retinopathy (1+),0.004080000000000004
Rate,0.003120000000000003
Glucose (mg/dL)_value (mg/dL),0.002200000000000002
subtraction_value,0.0021600000000000018
Chloride (mEq/L)_value (mEq/L),0.0021200000000000017
moca_total_score_value,0.0019600000000000017
CRP - HS (mg/L)_value (mg/L),0.0018000000000000017
BORDERLINE,0.0017600000000000016
moca_orientation_value,0.0015200000000000012
lettera_time_value,0.001200000000000001
resting_heart_rate,0.0011600000000000009
delayed_recall_with_no_clue_time_value,0.001120000000000001
QT,0.0011200000000000008
Heart attack,0.0011200000000000008
Other heart issues (pacemaker),0.0010000000000000009
Dry eye (1+),0.0008800000000000008
Obesity,0.0008400000000000008
Chronic pullmonary problems,0.0007600000000000007
QTc,0.0006800000000000006
Creatinine (mg/dL)_value (md/dL),0.0005600000000000005
total_kcal,0.0004800000000000004
P,0.0004400000000000004
lettera_value,0.0004400000000000003
Cancer,0.00040000000000000034
Hearing impairment,0.00040000000000000034
stress_mean,0.00036000000000000024
Urinary problems,0.0003600000000000002
naming_value,0.0003200000000000003
memory_trial1_time_value,0.0003200000000000003
act_walking_hrs,0.0003200000000000003
Glaucoma (1+),0.0003200000000000003
Urine Albumin (mg/dL)_value (mg/DL),0.0003200000000000003
Retinal vascular occlusion,0.00028000000000000025
Digestive problems,0.0002800000000000002
cube_visuospatial_executive_time_value,0.0002800000000000002
resp_rate_mean,0.00020000000000000017
QRS,0.00012000000000000014
total_steps,0.0001200000000000001
memory_trial1_value,-3.999999999999993e-05
moca_abstraction_time_value,-4.000000000000002e-05
Stroke,-4.000000000000004e-05
sleep_light_hrs,-4.0000000000000085e-05
BUN (mg/dL)_value (mg/dL),-8.000000000000007e-05
AST (IU/L)_value (IU/L),-0.00012000000000000006
act_running_hrs,-0.00016000000000000015
Mild cognitive impairmen,-0.00016000000000000015
sleep_awake_hrs,-0.00016000000000000015
ALT (IU/L)_value (IU/L),-0.00020000000000000017
Marijuana user,-0.00020000000000000017
Triglycerides (mg/dL)_value (mg/dL),-0.00020000000000000017
Circulation problems,-0.00020000000000000017
subtraction_time_value,-0.00024000000000000025
Sodium (mEq/L)_value (mEq/L),-0.00024000000000000025
Multiple sclerosis,-0.00028000000000000025
Other neurological conditions,-0.00028000000000000025
INSULIN (ng/mL)_value (ng/mL),-0.0003200000000000003
Low blood pressure,-0.0003200000000000003
act_sedentary_hrs,-0.0003600000000000003
sleep_deep_hrs,-0.00040000000000000034
Alkaline Phosphatase (IU/L)_value (IU/L),-0.00040000000000000034
memory_trial2_value,-0.0004800000000000004
heart_rate_mean,-0.0004800000000000004
Age-related macular degeneration,-0.0004800000000000004
trails_visuospatial_executive_time_value,-0.0005200000000000004
naming_time_value,-0.0005200000000000004
fluency_language_value,-0.0005200000000000005
act_generic_hrs,-0.0005600000000000004
sleep_rem_hrs,-0.0005600000000000004
memory_trial2_time_value,-0.0006000000000000005
"Globulin, Total (g/dL)_value (g/dL)",-0.0006800000000000006
ABNORMAL,-0.0006800000000000006
moca_combined_mis_score_value,-0.0006800000000000007
OTHERWISE NORMAL,-0.0007200000000000006
"Protein, Total (g/dL)_value (g/dL)",-0.0007600000000000006
Osteoporosis,-0.0008000000000000007
QRSD,-0.0008800000000000008
Calcium (mg/dL)_value (mg/dL),-0.0009200000000000007
Potassium (mEq/L)_value (mEq/L),-0.0009600000000000008
Parkinson's disease,-0.0009600000000000008
Bilirubin Total (mg/dL)_value (mg/dL),-0.001040000000000001
moca_orientation_time_value,-0.0010800000000000009
moca_abstraction_value,-0.0012800000000000012
Albumin (g/dL)_value (g/dL),-0.0013200000000000013
PR,-0.0013200000000000013
digitspan_time_value,-0.0013600000000000012
T,-0.0013600000000000014
BUN/Creatinine ratio_value,-0.0014000000000000013
clock_visuospatial_executive_time_value,-0.0014000000000000013
C-Peptide (ng/mL)_value (ng/mL),-0.0014800000000000013
A/G Ratio_value,-0.0015200000000000014
repetition_time_value,-0.0015200000000000014
Urine Creatinine (mg/dL)_value (mg/DL),-0.0016000000000000014
cube_visuospatial_executive_value,-0.0018000000000000017
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",-0.0020000000000000018
trails_visuospatial_executive_value,-0.0021600000000000018
repetition_value,-0.002240000000000002
NORMAL,-0.002480000000000002
