Logging
iteration 0 | D LOSS = 1.4375 | G LOSS = 0.0087 | AVG R =0.4982 | mean_pen: 0.0180 |  
iteration 50 | D LOSS = 1.2599 | G LOSS = -0.0827 | AVG R =0.4266 | mean_pen: 0.0175 |  
iteration 100 | D LOSS = 1.2809 | G LOSS = -0.0891 | AVG R =0.4455 | mean_pen: 0.0159 |  
iteration 150 | D LOSS = 1.2900 | G LOSS = -0.0887 | AVG R =0.4523 | mean_pen: 0.0141 |  
iteration 200 | D LOSS = 1.3061 | G LOSS = -0.0915 | AVG R =0.4604 | mean_pen: 0.0120 |  
iteration 250 | D LOSS = 1.3230 | G LOSS = -0.0967 | AVG R =0.4681 | mean_pen: 0.0094 |  
iteration 300 | D LOSS = 1.3356 | G LOSS = -0.0898 | AVG R =0.4759 | mean_pen: 0.0070 |  
iteration 350 | D LOSS = 1.3494 | G LOSS = -0.0961 | AVG R =0.4813 | mean_pen: 0.0047 |  
iteration 400 | D LOSS = 1.3543 | G LOSS = -0.0887 | AVG R =0.4818 | mean_pen: 0.0043 |  
iteration 450 | D LOSS = 1.3605 | G LOSS = -0.0832 | AVG R =0.4864 | mean_pen: 0.0032 |  
iteration 500 | D LOSS = 1.3620 | G LOSS = -0.0800 | AVG R =0.4868 | mean_pen: 0.0024 |  
iteration 550 | D LOSS = 1.3607 | G LOSS = -0.0759 | AVG R =0.4875 | mean_pen: 0.0021 |  
iteration 600 | D LOSS = 1.3641 | G LOSS = -0.0783 | AVG R =0.4878 | mean_pen: 0.0018 |  
iteration 650 | D LOSS = 1.3636 | G LOSS = -0.0707 | AVG R =0.4895 | mean_pen: 0.0011 |  
iteration 700 | D LOSS = 1.3680 | G LOSS = -0.0668 | AVG R =0.4896 | mean_pen: 0.0010 |  
iteration 750 | D LOSS = 1.3649 | G LOSS = -0.0604 | AVG R =0.4900 | mean_pen: 0.0008 |  
iteration 800 | D LOSS = 1.3657 | G LOSS = -0.0630 | AVG R =0.4910 | mean_pen: 0.0008 |  
iteration 850 | D LOSS = 1.3651 | G LOSS = -0.0681 | AVG R =0.4893 | mean_pen: 0.0010 |  
iteration 900 | D LOSS = 1.3651 | G LOSS = -0.0537 | AVG R =0.4888 | mean_pen: 0.0008 |  
iteration 950 | D LOSS = 1.3625 | G LOSS = -0.0538 | AVG R =0.4892 | mean_pen: 0.0009 |  
iteration 1000 | D LOSS = 1.3608 | G LOSS = -0.0540 | AVG R =0.4884 | mean_pen: 0.0011 |  
iteration 1050 | D LOSS = 1.3613 | G LOSS = -0.0432 | AVG R =0.4874 | mean_pen: 0.0011 |  
iteration 1100 | D LOSS = 1.3624 | G LOSS = -0.0436 | AVG R =0.4883 | mean_pen: 0.0009 |  
iteration 1150 | D LOSS = 1.3613 | G LOSS = -0.0431 | AVG R =0.4867 | mean_pen: 0.0012 |  
iteration 1200 | D LOSS = 1.3600 | G LOSS = -0.0428 | AVG R =0.4868 | mean_pen: 0.0010 |  
iteration 1250 | D LOSS = 1.3610 | G LOSS = -0.0422 | AVG R =0.4865 | mean_pen: 0.0012 |  
iteration 1300 | D LOSS = 1.3593 | G LOSS = -0.0435 | AVG R =0.4865 | mean_pen: 0.0011 |  
iteration 1350 | D LOSS = 1.3587 | G LOSS = -0.0428 | AVG R =0.4869 | mean_pen: 0.0011 |  
iteration 1400 | D LOSS = 1.3587 | G LOSS = -0.0460 | AVG R =0.4864 | mean_pen: 0.0010 |  
iteration 1450 | D LOSS = 1.3594 | G LOSS = -0.0495 | AVG R =0.4858 | mean_pen: 0.0010 |  
iteration 1500 | D LOSS = 1.3597 | G LOSS = -0.0407 | AVG R =0.4873 | mean_pen: 0.0013 |  
iteration 1550 | D LOSS = 1.3594 | G LOSS = -0.0350 | AVG R =0.4865 | mean_pen: 0.0013 |  
iteration 1600 | D LOSS = 1.3595 | G LOSS = -0.0360 | AVG R =0.4871 | mean_pen: 0.0015 |  
iteration 1650 | D LOSS = 1.3609 | G LOSS = -0.0332 | AVG R =0.4861 | mean_pen: 0.0014 |  
iteration 1700 | D LOSS = 1.3602 | G LOSS = -0.0360 | AVG R =0.4864 | mean_pen: 0.0012 |  
iteration 1750 | D LOSS = 1.3602 | G LOSS = -0.0391 | AVG R =0.4870 | mean_pen: 0.0014 |  
iteration 1800 | D LOSS = 1.3606 | G LOSS = -0.0389 | AVG R =0.4870 | mean_pen: 0.0013 |  
iteration 1850 | D LOSS = 1.3608 | G LOSS = -0.0188 | AVG R =0.4868 | mean_pen: 0.0015 |  
iteration 1900 | D LOSS = 1.3606 | G LOSS = -0.0316 | AVG R =0.4874 | mean_pen: 0.0015 |  
iteration 1950 | D LOSS = 1.3635 | G LOSS = -0.0317 | AVG R =0.4875 | mean_pen: 0.0015 |  
iteration 2000 | D LOSS = 1.3628 | G LOSS = -0.0267 | AVG R =0.4878 | mean_pen: 0.0015 |  
iteration 2050 | D LOSS = 1.3636 | G LOSS = -0.0226 | AVG R =0.4884 | mean_pen: 0.0015 |  
iteration 2100 | D LOSS = 1.3620 | G LOSS = -0.0274 | AVG R =0.4886 | mean_pen: 0.0014 |  
iteration 2150 | D LOSS = 1.3622 | G LOSS = -0.0269 | AVG R =0.4883 | mean_pen: 0.0015 |  
iteration 2200 | D LOSS = 1.3622 | G LOSS = -0.0260 | AVG R =0.4892 | mean_pen: 0.0014 |  
iteration 2250 | D LOSS = 1.3630 | G LOSS = -0.0265 | AVG R =0.4888 | mean_pen: 0.0015 |  
iteration 2300 | D LOSS = 1.3633 | G LOSS = -0.0220 | AVG R =0.4895 | mean_pen: 0.0016 |  
iteration 2350 | D LOSS = 1.3638 | G LOSS = -0.0291 | AVG R =0.4879 | mean_pen: 0.0013 |  
iteration 2400 | D LOSS = 1.3641 | G LOSS = -0.0313 | AVG R =0.4901 | mean_pen: 0.0012 |  
iteration 2450 | D LOSS = 1.3645 | G LOSS = -0.0364 | AVG R =0.4889 | mean_pen: 0.0010 |  
iteration 2500 | D LOSS = 1.3640 | G LOSS = -0.0359 | AVG R =0.4886 | mean_pen: 0.0011 |  
iteration 2550 | D LOSS = 1.3646 | G LOSS = -0.0347 | AVG R =0.4892 | mean_pen: 0.0010 |  
