,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.17245577200880272,0.16826117508427982,0.8790315384014751,0.1397036150638873,0.5094813217933629,0.9700980266690891,0.5532205949075722,-0.31487534433273956,0.1180612342162942,-0.1686467323446325,0.052772180167768884,0.6238551914675472,-0.021343049051973952,0.025957934977682666,-0.3741377385588791,-0.21159377529901527,0.029311454596250407,-0.07259881220227538,-0.09494502073919216,0.11194167353792131,-0.0845057535753671,-0.1163501128307031,-0.20037675217674272,0.0932775892657517,0.14366675962681616,0.007305759099044359,-0.06772746739754854,-0.09985382965417346,-0.0026281181641264035,0.20632216996085795,0.175380192737331,-0.08809770450841581,0.14445841231951181,-0.04367667627993617,-0.05412157554188145,0.12882121130011934,-0.09140986521288903,-0.04202801475363883,0.08739858591708506,0.06024751407865549,0.09186021046656391,0.021377117064351765,-0.06620327627422938,-0.01530938253599013,-0.03886665691146607,-0.07495787017501447,-0.003710253842505566,0.006207096685888722,-0.01875219996022705,-0.005240212547855847,-0.021889036171966914,0.15109582938893415,0.08959541905485101,-0.07955141583761469,-0.030631611984892577,0.020141632674551196,0.043618471662410035,0.03186395440777626,-0.11152552692734041,0.006061091002666661,0.02585626183854685,2.185585565346728e-05,-0.06794703492661482,0.7134583072775867,-0.13858603227255117,-0.12817953365418644,-0.5732145024121382,0.236533660823173,0.06359345767342031,0.0413805400793263,-0.0778587166407611,-0.012061019264082092,-0.012828204063753599,-0.022917052458567812,-0.07843188727800147,0.054378801833151434,0.04474507637180011,0.11093645374770934,-0.028513588269113876,0.008764388353434495,0.012448942749036122,0.031452820899690606,-0.09709626972761841,-0.04958143863184119,0.06234341011456281,0.05821578810124173,0.005781897889667196,-0.030293800708957333,-0.03714633797684749,-0.029545416483143867,0.17524988605424963,0.009631254117449677,-0.048947554776810766,-0.026867727329888715,-0.043388341761159896,-0.017132298244682685,-0.036934812449815176,0.23327810258493115,-0.06559358075394683,-0.09070167751511994,0.019564629317675757,0.04065374833387689,0.04584643298426147,-0.15578622758793198,0.0016204519727269018,0.03733447378952337,-0.008994924356451406
blood_glucose_mean,0.17245577200880272,1.0,0.11625400606981667,0.18415556820073653,0.6774308835190771,-0.029784832996461005,0.2018860947719155,0.0026075616537362036,-0.06642590459401825,0.06629427820627562,-0.1143512814354948,0.04851747090435518,0.09435622180344772,-0.06814660316492908,-0.12039225892605493,0.046480364811498476,-0.14622767861887875,0.13657561670136942,0.08914085205466248,-0.0679118591489361,0.11399370255789845,0.1504271645515196,-0.010670278157755222,-0.03446283895998705,0.08177417434840051,0.1508234054918054,0.010905884407353905,-0.06506339616048669,-0.16443757499041503,0.1786062993121145,0.14292766484715017,0.6351771717981091,-0.22863085649324422,0.1418614850812345,-0.18038779092206295,0.035408352618918996,0.08800706835143284,-0.15939204722318603,-0.16739213824273783,0.2014238564784015,0.10320749221276866,-0.006937957765192213,0.017763084899055457,0.10981386451209862,0.030591273498734244,0.019983079565261963,0.02076211015839821,0.04495293795644463,0.06087274194495672,-0.1441127070286478,-0.008934049494132627,0.05400159780004002,0.005830141183706062,-0.017408554614310026,-0.00103508536050209,0.01348354909711919,-0.09726390662377865,-0.035253017938293676,-0.09918734446667662,-0.06138833986920403,-0.03530831602890891,-0.05276761221549277,-0.06903838458668145,-0.0141633955226342,0.22133467134581788,0.06925543679071668,0.09424124618769764,-0.11807727352131671,0.14578507589326023,-0.06441204488874647,-0.1210836607470488,-0.08646076206446429,0.015469645269334668,0.04507440727174453,0.061893027648558335,0.13338268762608876,-0.03150423631120832,0.005925373976621547,0.1844036968744857,-0.01881594499124891,-0.1101235183206444,0.04190389159973493,0.07977125562315775,0.052057228766230354,0.05721450272848672,0.12847483828258643,0.21012777413531886,0.14078549026561685,0.018028090647063406,0.005646234383562213,0.11463778858719485,0.1251221923401643,-0.05696908787788894,0.06862671017717181,-0.02254682467896532,-0.0031249911740804156,0.027197701232462526,0.06417547260522524,0.5026259759630299,-0.013955256921088201,0.0449634945158015,0.0569555791068073,-0.08008223117860458,-0.010964318116885084,-0.06387143177531425,-0.031263922859280875,-0.07622972912274428,-0.05388557749146091
resp_rate_mean,0.16826117508427982,0.11625400606981667,1.0,0.14771927761572964,0.12311020169197866,0.03869560170560921,0.17839711906449696,0.062474696072996015,-0.0523456236363052,0.12107594153594226,-0.12508785726720004,0.037517309029381565,0.12612330539107466,0.005631104114743512,-0.06161334016482775,-0.02237034611237317,-0.055076653020322684,0.0035042224480051455,-0.02733484671850221,-0.11532402175758426,0.025070298714054425,0.07071227723297521,-0.039762902285944125,-0.0030934251625885085,0.16957356939542703,0.13154903103392904,-0.030963474718225657,-0.06330884026961112,-0.020479555943366506,0.09961210572170938,0.020795808888694933,0.05431030649967996,-0.1652069916542529,0.11078276982015116,-0.1560517753044199,0.01360761072043014,-0.047937179056623286,-0.030184432410989042,-0.1869677496666002,0.007309063239357555,0.007276349698896274,0.04578064171531178,0.05978658222024015,0.0781679250321516,0.0049277000657818315,0.014914229920865756,-0.060120081668332666,0.03937763377072015,0.02981561826589687,-0.08807451644161697,-0.013351171526125659,-0.00957272861255891,0.06373454332716852,0.09540287864102448,-0.08022685781261207,0.01067442434189594,-0.06383227017574561,-0.004864642625298431,0.009550743642564832,-0.07130120057244499,-0.1434783028976495,0.030140708762237317,0.04179011200769654,-0.04857068338942881,0.10206539546418733,-0.04855679257886721,0.04416073502727306,-0.05366074578428852,0.056466596744870756,-0.06823463278141965,-0.059486323138780085,-0.0640266280459123,0.0653083608598067,0.08485584795567629,-0.00170087665004329,0.05010277109588242,0.1001059619306009,0.07093658966989382,0.0396719332614842,0.03834636265745477,0.04502870595114192,-0.05481026514817845,0.03520672579388917,0.053638913477082946,0.09593077910688498,0.11080697504343905,0.14640353938481418,0.0797690850484653,-0.038047546325931346,0.001725451481685245,-0.03048775806148522,0.04713773431290357,-0.011552499682729206,0.11480832880953876,-0.0644295959919939,0.1461922895064985,0.041325456193554995,0.01436319034554285,0.15439148147001097,0.004076119206955057,0.01566847296165158,-0.01761645115779865,-0.0012387058587395507,-0.0026928542491960607,-0.00621890829182344,-0.045597585728335645,-0.01852843871882453,-0.06112093455286093
stress_mean,0.8790315384014751,0.18415556820073653,0.14771927761572964,1.0,0.139283043508154,0.41564567918374146,0.8661553144103997,0.4410728349105861,-0.36094524608901807,0.16731729923629335,-0.20648171701815282,0.06547800449831008,0.5095094559146682,-0.03304433479274705,-0.006047785559920534,-0.28290700341290875,-0.18849150981282126,0.026884321025571815,-0.059798923631124684,-0.09918063575312361,0.09209062910434045,-0.032321126566503086,-0.0542210358821461,-0.1613992079374744,0.08919422985154729,0.10244508313226519,0.016056568666685304,-0.04094368236453874,-0.097718858190804,0.01117769079902959,0.18130949106642474,0.17086223202997627,-0.05439090999913164,0.1359804930239327,-0.03689371835631207,-0.05982330741347134,0.10413337732990986,-0.047839641910177304,-0.04120750098544299,0.041697903493043635,0.07830708913331463,0.0973866791113145,0.028631491807546663,-0.05279424491898223,-0.021990820441879784,-0.04254161251903747,-0.08910638175634507,0.012758158000102071,0.01544566156898619,-0.029002034456797752,0.0009596486102373423,-0.026511946906548227,0.14767159962002024,0.1018802392675746,-0.10124042257871411,-0.03607694511359761,0.024655755498247552,0.005397552834943413,0.057793078916516166,-0.11831156225321121,-0.0316762490729141,0.01770573065548177,0.004897745519380036,-0.06326583815861067,0.6112320817779578,-0.08680113132742406,-0.11440690136556414,-0.49001398504477606,0.1991876755798186,0.03803942835821283,0.00858210540427478,-0.10392040384937412,-0.0001052507850352495,-0.014847682414836048,-0.013534455776764103,-0.06588762295202394,0.041392973201580904,0.0564074065153677,0.06278789859937925,-0.039433748812096485,-0.0282066794868145,0.0644288347351073,0.0634084678993047,-0.09204967248255615,-0.054050777151211114,0.07875366932496719,0.08908106104382278,0.021452489503146387,0.00672397186816258,-0.01620854147497653,-0.016895863793530978,0.17260135922388006,0.016644014225238625,-0.03571065577290831,-0.031089645569526186,-0.05707292480337284,-0.0026237480565264445,0.0006096957094643039,0.22763830955673067,-0.03389408966267509,-0.08517049063497635,0.01684855584856529,0.018911752485383657,0.0655411666906513,-0.14978029282235122,0.01135882934416403,0.035514464975651604,0.009009896136320795
blood_glucose_std,0.1397036150638873,0.6774308835190771,0.12311020169197866,0.139283043508154,1.0,-0.025281882541486472,0.16486108825294318,-0.009099142679147344,-0.0657551725310093,0.026306571817346355,-0.12546407698941922,0.05657165974558032,0.08507082176811179,-0.07094173318079085,-0.10953361964273331,0.04318632992621915,-0.13636655448612164,0.11502468373581878,0.12551368700462975,-0.13330502130918767,0.15337147802775253,0.19670504555824714,-0.0072566737852658774,-0.05916372616774389,0.07213139778084919,0.1174659543179555,-0.05754287089281388,-0.10206273007968801,-0.07368923690650596,0.22777642982173407,0.10664720882749637,0.4529629239062441,-0.1660371281881521,0.12700059995899146,-0.23658337312073982,0.0400201096781793,0.018066173764393997,-0.06301279484593139,-0.2219188412811968,0.11752565836174653,0.13856895731597116,0.0027256752294673482,-0.007003765401782781,0.15138865107705826,0.03727848581347658,0.0037769483237899593,0.0395046493792144,0.053908381788088676,0.059480346092156994,-0.15057184587261013,0.01111469179989094,0.0711183734137769,0.017019815613776416,0.019842643203997163,-0.021995232281408112,0.010627418630604646,-0.11893365774639182,-0.0385949454305238,-0.07267581338368559,-0.08363284860176995,-0.10593751751197246,-0.0777687382038747,-0.06527356071683904,-0.0337913813409082,0.18902210422710033,0.06671073003383637,0.10611972380758249,-0.0878513979925624,0.14338867089405596,-0.02535992812884317,-0.10900218241126015,-0.0460029319785427,0.07565170099413003,0.09618349854977751,0.0512852979491313,0.15238434045160235,-0.001431359127592524,0.018378368063281178,0.2816719244821007,0.024399707700019545,-0.09666512012538488,0.06064314463007441,0.10974340932704753,0.07647493001856438,0.10769155810539616,0.1294574672700215,0.24705626374943845,0.22657659708782665,0.0017567084897508448,0.020555680492284678,0.11519249921961235,0.09113309803454894,0.0334279099764935,0.07618415374986154,-0.03926003976661895,0.025230155755554488,0.014552182261763956,0.07421885313734917,0.5046888911255346,0.016273545196148882,0.04496125637465589,0.04951075971297372,-0.10409490754882675,0.021596591127001973,-0.09896253978028156,0.030737425414558706,-0.07449651892726528,-0.034843784759826565
total_steps,0.5094813217933629,-0.029784832996461005,0.03869560170560921,0.41564567918374146,-0.025281882541486472,1.0,0.3480909094959555,0.8790088088149938,-0.19602582155571657,0.01035040677676583,-0.0983301717576553,-0.07360404697404387,0.5979642801828042,0.15610182838016748,0.6605412748563074,-0.8780993264590785,-0.06585005417366213,0.021504789872375054,-0.005863439239241979,0.03530477740320142,0.017684698295378207,-0.1005330112318353,-0.014701103618628648,-0.10077973348240803,-0.03050407786533272,0.004019693719768861,0.03131170524365328,-0.004680753660424986,-0.03436229971848614,-0.10225917656163629,0.08638703570904273,-0.007373517801493829,0.03912912419430344,0.01290065090750343,0.051203997236891535,-0.04399358216973376,0.09717591567614234,-0.05144665346089293,0.05539112742282922,0.0012273128116667721,-0.005868009513894558,-0.001742685151255659,0.02724855070337615,-0.07818726986522763,0.02114600348080097,-0.030782055828827773,0.0021392161960498255,0.02011488510561697,-0.006438961511010504,0.027378556060917,0.009846102954016583,0.023103671226651756,0.08417965996148367,0.048149248139558176,0.005175688328020134,0.009551421486339529,0.0427366635226123,0.03840811639217762,-0.006909047166496668,-0.05536240212634846,0.04628806854317579,0.038587436056348845,-0.020824878672572593,-0.07587481453234485,0.26084191507266924,-0.08321858357703761,-0.09680298301356174,-0.22926823797594595,0.035589760399448,0.02629682262495214,0.08635566011132921,-0.03198309967904954,-0.035186989449416096,-0.04388361809887553,-0.06493552103038881,-0.13491878134254903,-0.03946333871483622,-0.03397613884785973,-0.03187611223812272,-0.017162270360466286,0.0681708883705921,-0.003195791599390214,-0.0353296766070286,-0.10549254661703196,-0.08378503435450922,-0.04027657835130459,-0.06340606308246641,-0.07553027661171823,-0.04050286511695271,-0.04762976068845905,-0.022210753207819085,-0.019581001022976396,-0.07330879297313234,-0.09377443449156887,-0.050976938741792946,-0.052031066286022824,0.017209226359530833,-0.07324993714883275,-0.001628898087629723,-0.06952025981928592,-0.058559308744470455,0.005770786726943222,-0.0006220178458819543,0.06483253688864714,-0.024729740186593498,0.030446621775111347,0.01901337827883487,-0.009922414050786166
resting_heart_rate,0.9700980266690891,0.2018860947719155,0.17839711906449696,0.8661553144103997,0.16486108825294318,0.3480909094959555,1.0,0.39732076073169426,-0.3103904269417725,0.12908351094911327,-0.17308238280979646,0.0732708130390267,0.5177078706003408,-0.07018555451633628,-0.11388394573515481,-0.19908378094855197,-0.22957905175661675,0.025187699431509093,-0.08241090254344312,-0.11979996449229058,0.12885187364214654,-0.06972341409424715,-0.12650092253028422,-0.20751200517849655,0.11303963374738306,0.17144536458771295,0.0035847012279854778,-0.06950347864416401,-0.10365701931493314,0.022255963043528053,0.21875628062859973,0.1937790182275139,-0.1062601439077213,0.16237023207964124,-0.058508722421913885,-0.048902036219777144,0.12556279322904174,-0.08774645584360055,-0.06053357382278098,0.08886700026141205,0.07332825955830316,0.10846036809859483,0.026196497612042267,-0.05471660470010472,-0.01865338522760848,-0.048414297277438366,-0.08889025917378598,0.0005908728111788925,0.008822556621905665,-0.03363467047541089,-0.001028472196516501,-0.032987935657884625,0.15843663564621954,0.09973457663270918,-0.09566074222852736,-0.024176435097967842,0.010982680172994972,0.037062614943834976,0.03921579548019793,-0.12026044069053383,-0.0008588013388649086,0.013945375495633374,0.006702157565825225,-0.06357606993772519,0.7275526945093166,-0.13152003314677316,-0.1256077615124021,-0.5790785915574211,0.2568057612372997,0.06687554266062905,0.023524768618530617,-0.08222681508040122,0.00023040154408938366,0.0010424057896805982,-0.016322998842563226,-0.048274953830956424,0.07721667836385193,0.06043392380683751,0.13199259021902796,-0.021823018945699792,-0.010779788732724895,0.02797856669088451,0.04569737075968213,-0.08673903066305258,-0.030390368619911998,0.08724082385544567,0.09046461152240073,0.025380937454676872,-0.024971025294642367,-0.02560890974799114,-0.023661073048064633,0.20966867882873771,0.028120843152993614,-0.03334340521633487,-0.013065658234662955,-0.035274242470254874,-0.01883203110725889,-0.020282858599488984,0.26592844572327645,-0.055626292241822764,-0.0866097644168754,0.021456852704646697,0.05104192283483121,0.0280333864436702,-0.1745133811195386,-0.0012744991519789523,0.03206081952811812,-0.011992805225317128
total_kcal,0.5532205949075722,0.0026075616537362036,0.062474696072996015,0.4410728349105861,-0.009099142679147344,0.8790088088149938,0.39732076073169426,1.0,-0.16022166109164532,0.0356397981245323,-0.04890639900181113,-0.0550337177479131,0.6357919174132167,0.11648361967867647,0.5771790663553177,-0.8306481403666018,-0.08019539808594277,0.026037846138781646,-0.018893348440447575,0.021961430252321605,0.0171355920958913,-0.10195876883867372,-0.04904603667762662,-0.08229178903237008,0.008223721358671835,0.0013580536871350508,0.030301484985561226,-0.0157907426417365,-0.05474114779993845,-0.0801194519480633,0.09504331593222895,0.017187761156623904,-0.006542757174868977,0.039403582158497936,0.00668726171607347,-0.05347907674211821,0.09718870086622601,-0.05541117316145703,0.009628296559932487,0.02511406342773767,-0.016663958299171326,0.000505209948914082,0.025938164084690057,-0.07244594362933446,0.00770151416076931,0.0012988054465091958,-0.012925407300160154,-0.01159918551657382,0.00324341922270953,0.0342578726315825,-0.01611264778122347,0.016433142995100597,0.07234179898737472,0.037534940562116016,-0.003307782086905607,-0.005832007497087136,0.033123217929653476,0.04214560085720714,-0.013502235377075296,-0.04094205288761039,0.0277305758325603,0.04362693781895163,0.002028718888355384,-0.047098184578957675,0.29774812625278657,-0.0962555827255183,-0.07432744660899682,-0.2528132050904085,0.056853901085561626,0.020188724645499808,0.06067133407730255,-0.04950952575636275,-0.03863969505443831,-0.04813205777782061,-0.038371907317777794,-0.12559404822886389,-0.030959526023980617,-0.01370128224090226,-0.031538021761357116,-0.02741393611451896,0.04070668611075117,-0.012213873211745626,-0.025926407754178118,-0.0930595989384538,-0.08053586719607048,-0.033468693271765305,-0.04066486509465608,-0.06349548768588849,-0.03251927884669877,-0.04495854863432223,-0.028245414987320448,0.005682684393746265,-0.0702482769562237,-0.08574355087329613,-0.03556948002322339,-0.02385595598775025,-0.014441273783594855,-0.06487239021033349,0.029344225043156424,-0.07410935370638348,-0.05416740027508859,0.016746062382347122,0.0022803678352131982,0.0475187599043061,-0.03600301327466213,0.021611642111706783,0.03158495738566031,0.003559234514289212
sleep_light_hrs,-0.31487534433273956,-0.06642590459401825,-0.0523456236363052,-0.36094524608901807,-0.0657551725310093,-0.19602582155571657,-0.3103904269417725,-0.16022166109164532,1.0,0.04567895753586766,0.21425597053169923,0.03079636807723479,-0.16912010771356292,-0.030454777298071865,-0.07699087637705777,0.1594109832708341,0.044185419523523936,-0.05006665655483712,-0.02607263020628493,0.05990633128882138,-0.010646881592622679,0.0016858411815179695,0.021116626287010505,0.04427920791815,-0.054426474704161044,-0.0368145346568656,0.014454347869821265,0.025632696529486954,0.01939602562356049,0.007146696144171631,-0.020335945045469647,-0.027340798324901223,0.05506838542206289,-0.0687067296719103,0.009427393807324677,0.031949610637305025,0.016421952441456826,0.014030898449929219,0.027151708290196513,-0.005959211232508288,-0.028649384285264375,-0.012388955834477283,0.0024004542699155064,0.030871761914214303,0.04030496246294222,-0.007725406020720089,0.03770362456281365,0.029479209233962765,0.05905892253114152,0.015804810796764268,0.017737629552469297,0.0026364239687630677,0.0010739781369012524,-0.029333702808236384,0.047114860467787054,0.022955223225157965,0.03562844382869768,0.00425745522350286,-0.032890139755053234,0.017194336662374642,0.030229649425448365,-0.00908438468203072,-0.028149164104428713,0.062062474467631114,-0.16781847830351598,-0.01603305286796593,0.030731931434582572,0.13122845246621753,-0.055068503343009174,-0.00047436279694173703,0.018178956035077416,0.04536264392308523,0.024770596494471112,0.04098411537924898,0.03446364936574154,0.04045823222771702,-0.0014309606022992398,0.0037818648983170273,-0.005526383575738846,0.03268950562925854,-0.007297687620873489,0.018537218623479484,0.024171498340441338,0.022599945274315345,0.014238008024867785,-0.02093492585353614,-0.022749187513294904,0.019982382066532044,0.04481244107046654,0.07593317073541996,0.023297578926567353,-0.052008401844962644,0.028692333829619537,0.016455461364717067,0.05925023167698542,0.001759551186490822,0.0010535094971049872,0.02539599403030179,-0.04521583150309224,0.039844938855887815,0.029287757869000897,0.032120551210068835,-0.03320900315783549,-0.023990875272573806,0.03820369627043836,-0.008950988219893426,-0.0280316609885496,0.02848274537454942
sleep_deep_hrs,0.1180612342162942,0.06629427820627562,0.12107594153594226,0.16731729923629335,0.026306571817346355,0.01035040677676583,0.12908351094911327,0.0356397981245323,0.04567895753586766,1.0,-0.1840128778710456,-0.19617808584539348,0.03968221622798175,-0.024633597727413827,-0.019895789428478687,-0.005333275280752716,-0.02461027262004598,0.042633223287856174,0.025465594470840958,-0.023831209587153773,0.01934355003292397,0.013768640792792438,-0.0008162127276868653,-0.031884757944131294,0.050081815887390545,0.009586617917665036,-0.0010423723651258388,-0.010269981352310406,-0.05237977169366376,0.03580598819076948,0.025462352900276933,0.038682403207043976,-0.010235482202115058,0.05057660970801732,-0.01870020112394729,0.00695810684272565,0.008919453188504605,-0.03987224386671956,-0.016336158348423713,0.012011679593126738,0.01407717638888338,0.0038404787342318234,0.01464349617763658,-0.019151479687883673,-0.008498493108345608,-0.026019656705786293,-0.05436435062783186,0.007029516975414516,0.007766283063325097,0.04324618563858301,-0.014774518370787736,-0.052620703106108654,0.04335236686377259,0.031297894532350726,-0.060611259427483404,0.0039966156438355875,0.022071970680596163,0.02751730132294536,0.07080359062828914,0.010258712389714165,-0.017235098488938953,0.03340845024201103,0.09693003432549248,0.0170329747775397,0.10493793144822815,-0.02392725396702351,-0.038694394926028795,-0.09365409305671031,0.024299993038377914,-0.026737917189003726,-0.026880282221989207,-0.054086783711343754,0.048213893606113355,0.01629169504349464,0.030834332001759217,0.009016329513671827,0.04269265599131676,0.03534535026986115,-0.009887359032263624,0.051445521078544394,-0.0034566028362930266,0.042912250137865315,0.045712784179253126,0.010888563614871533,-0.03177268706740741,0.023180596349377924,0.017688604481010232,0.00951861858452573,0.0037458110400712145,-0.0066672707044189514,-0.0002879837245716202,0.05891706001560156,0.04005199671002752,0.01523998424281356,0.023881276764333766,-0.013573864998915497,0.03166958508169163,0.03843105710412259,0.05054134360752928,0.024436077681656534,-0.028131703179905206,-0.03535048760673836,0.02332920397529958,0.036163469340855244,-0.019948838582555903,0.03245473952304943,0.005659640807882553,0.035397304120302474
