feature,avg_drop_acc
blood_glucose_mean,0.024624678557209494
blood_glucose_std,0.01826878039123394
Total Cholesterol (mg/dL)_value (mg/dL),0.016174456228081335
HDL Cholesterol (mg/dL)_value (mg/dL),0.015007646084742796
Dry eye (1+),0.014979118802176927
Chronic pullmonary problems,0.013740796957530235
High blood pressure,0.012785422565202556
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.01270980162112138
Diabetic retinopathy (1+),0.0077916907239898945
Kidney problems,0.006820387623015978
Glucose (mg/dL)_value (mg/dL),0.004998298342121847
trails_visuospatial_executive_value,0.004834391897138133
BORDERLINE,0.004488220430752388
Cataracts (1+ eyes),0.004475805887745809
High blood cholesterol,0.003979611419576221
Arthritis,0.0038376173490479283
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",0.0037672969643347855
Glaucoma (1+),0.003733885729572668
stress_mean,0.0036840135548217127
OTHERWISE NORMAL,0.0035902950815352996
lettera_time_value,0.0035511091245254574
Alkaline Phosphatase (IU/L)_value (IU/L),0.003276233441432726
resting_heart_rate,0.0030707297791297793
delayed_recall_with_no_clue_time_value,0.002772701300190672
heart_rate_mean,0.0025848060348331093
Obesity,0.002509456341528487
repetition_value,0.0024456830084520044
lettera_value,0.0022796734122860094
moca_total_score_value,0.002098933699069052
P,0.0019407987043247444
Rate,0.0017836778648295895
Urinary problems,0.0016465927776009258
moca_orientation_value,0.0015630025793600087
Low blood pressure,0.0011827567244553049
Creatinine (mg/dL)_value (md/dL),0.000968723496667967
QRSD,0.0009213491747826375
fluency_language_value,0.0008806506162086292
Parkinson's disease,0.0004741379310344884
Triglycerides (mg/dL)_value (mg/dL),0.00046778816502197185
resp_rate_mean,0.0004114912901992618
Chloride (mEq/L)_value (mEq/L),0.000313188167158498
act_generic_hrs,0.000306503023901441
sleep_deep_hrs,0.00029736947246499667
cube_visuospatial_executive_time_value,0.00026628274948758523
Stroke,0.0002463654234681334
subtraction_time_value,0.00022541885654265849
memory_trial1_value,0.00021550546542574268
sleep_awake_hrs,0.00019655382892003187
Urine Albumin (mg/dL)_value (mg/DL),0.0001791713325867761
Mild cognitive impairmen,0.00016240768616979217
BUN (mg/dL)_value (mg/dL),0.00015266453515976774
Albumin (g/dL)_value (g/dL),9.539326928182934e-05
PR,4.235388541582448e-05
subtraction_value,-3.9166934841627055e-06
moca_orientation_time_value,-2.6015061791402355e-05
QTc,-6.0265133639827476e-05
Marijuana user,-6.566771073320603e-05
Retinal vascular occlusion,-8.898776418242438e-05
act_running_hrs,-9.103560771317465e-05
memory_trial1_time_value,-9.381163413718418e-05
act_sedentary_hrs,-0.00010807768899724572
trails_visuospatial_executive_time_value,-0.00016449558084243864
Other neurological conditions,-0.0002371550930499388
Heart attack,-0.0002671378115517875
QT,-0.0002996712829761394
"Protein, Total (g/dL)_value (g/dL)",-0.00035907427624019215
sleep_rem_hrs,-0.0003978313284300716
Sodium (mEq/L)_value (mEq/L),-0.0004199882231975538
total_kcal,-0.0005016912272370266
AST (IU/L)_value (IU/L),-0.0005070152722433587
memory_trial2_value,-0.000561731833318988
naming_value,-0.0006494433375974529
total_steps,-0.0006839505560727366
naming_time_value,-0.0006928024278310385
A/G Ratio_value,-0.0007240897727886786
sleep_light_hrs,-0.0007244436520951414
T,-0.0007484505026625588
act_walking_hrs,-0.0008409378050822713
clock_visuospatial_executive_time_value,-0.00096478289871043
Potassium (mEq/L)_value (mEq/L),-0.0010482571562453202
Bilirubin Total (mg/dL)_value (mg/dL),-0.0010886228892786588
QRS,-0.0010966056987869164
repetition_time_value,-0.001113859078935109
moca_combined_mis_score_value,-0.0011638913407062469
"Globulin, Total (g/dL)_value (g/dL)",-0.0011648923452080772
Age-related macular degeneration,-0.001212653021904133
Multiple sclerosis,-0.00127028397565923
ALT (IU/L)_value (IU/L),-0.0015720665485055019
moca_abstraction_time_value,-0.0016707260102855636
CRP - HS (mg/L)_value (mg/L),-0.0017232893198990285
Circulation problems,-0.0017510636372674072
INSULIN (ng/mL)_value (ng/mL),-0.0017633866539676867
memory_trial2_time_value,-0.0018698841990722622
digitspan_time_value,-0.0019481824739590527
moca_abstraction_value,-0.0019914531795655185
Urine Creatinine (mg/dL)_value (mg/DL),-0.002033314505092685
NORMAL,-0.002319863069898296
Digestive problems,-0.0026963778721505213
Other heart issues (pacemaker),-0.0027960691900714265
C-Peptide (ng/mL)_value (ng/mL),-0.0029070523358229574
Calcium (mg/dL)_value (mg/dL),-0.0029866183141042104
ABNORMAL,-0.0032051698277855275
Osteoporosis,-0.0032835194061520225
BUN/Creatinine ratio_value,-0.003639363223898711
Cancer,-0.004315750989562513
cube_visuospatial_executive_value,-0.0057908772949570335
Hearing impairment,-0.005904224819909807
