α=1.00%, θ*=1.30, TPR=1.0000, FPR=0.0044, PPV=0.9957, Advantage=0.9956
α=2.00%, θ*=1.30, TPR=1.0000, FPR=0.0044, PPV=0.9957, Advantage=0.9956
α=3.00%, θ*=1.30, TPR=1.0000, FPR=0.0044, PPV=0.9957, Advantage=0.9956
α=4.00%, θ*=1.35, TPR=1.0000, FPR=0.0349, PPV=0.9663, Advantage=0.9651
α=5.00%, θ*=1.35, TPR=1.0000, FPR=0.0349, PPV=0.9663, Advantage=0.9651
α=6.00%, θ*=1.35, TPR=1.0000, FPR=0.0349, PPV=0.9663, Advantage=0.9651
α=7.00%, θ*=1.40, TPR=1.0000, FPR=0.0697, PPV=0.9348, Advantage=0.9303
α=8.00%, θ*=1.40, TPR=1.0000, FPR=0.0697, PPV=0.9348, Advantage=0.9303
α=9.00%, θ*=1.40, TPR=1.0000, FPR=0.0697, PPV=0.9348, Advantage=0.9303
α=10.00%, θ*=1.45, TPR=1.0000, FPR=0.0937, PPV=0.9143, Advantage=0.9063
α=11.00%, θ*=1.45, TPR=1.0000, FPR=0.0937, PPV=0.9143, Advantage=0.9063
α=12.00%, θ*=1.45, TPR=1.0000, FPR=0.0937, PPV=0.9143, Advantage=0.9063
α=13.00%, θ*=1.50, TPR=1.0000, FPR=0.1220, PPV=0.8913, Advantage=0.8780
α=14.00%, θ*=1.50, TPR=1.0000, FPR=0.1220, PPV=0.8913, Advantage=0.8780
α=15.00%, θ*=1.50, TPR=1.0000, FPR=0.1220, PPV=0.8913, Advantage=0.8780
α=16.00%, θ*=1.50, TPR=1.0000, FPR=0.1220, PPV=0.8913, Advantage=0.8780
α=17.00%, θ*=1.50, TPR=1.0000, FPR=0.1220, PPV=0.8913, Advantage=0.8780
α=18.00%, θ*=1.50, TPR=1.0000, FPR=0.1220, PPV=0.8913, Advantage=0.8780
α=19.00%, θ*=1.50, TPR=1.0000, FPR=0.1220, PPV=0.8913, Advantage=0.8780
α=20.00%, θ*=1.55, TPR=1.0000, FPR=0.1939, PPV=0.8376, Advantage=0.8061
α=21.00%, θ*=1.55, TPR=1.0000, FPR=0.1939, PPV=0.8376, Advantage=0.8061
α=22.00%, θ*=1.55, TPR=1.0000, FPR=0.1939, PPV=0.8376, Advantage=0.8061
α=23.00%, θ*=1.55, TPR=1.0000, FPR=0.1939, PPV=0.8376, Advantage=0.8061
α=24.00%, θ*=1.60, TPR=1.0000, FPR=0.2397, PPV=0.8067, Advantage=0.7603
α=25.00%, θ*=1.60, TPR=1.0000, FPR=0.2397, PPV=0.8067, Advantage=0.7603
α=26.00%, θ*=1.65, TPR=1.0000, FPR=0.2593, PPV=0.7941, Advantage=0.7407
α=27.00%, θ*=1.65, TPR=1.0000, FPR=0.2593, PPV=0.7941, Advantage=0.7407
α=28.00%, θ*=1.70, TPR=1.0000, FPR=0.2767, PPV=0.7833, Advantage=0.7233
α=29.00%, θ*=1.70, TPR=1.0000, FPR=0.2767, PPV=0.7833, Advantage=0.7233
α=30.00%, θ*=1.75, TPR=1.0000, FPR=0.2941, PPV=0.7727, Advantage=0.7059
α=31.00%, θ*=1.75, TPR=1.0000, FPR=0.2941, PPV=0.7727, Advantage=0.7059
α=32.00%, θ*=1.75, TPR=1.0000, FPR=0.2941, PPV=0.7727, Advantage=0.7059
α=33.00%, θ*=1.80, TPR=1.0000, FPR=0.3203, PPV=0.7574, Advantage=0.6797
α=34.00%, θ*=1.80, TPR=1.0000, FPR=0.3203, PPV=0.7574, Advantage=0.6797
α=35.00%, θ*=1.80, TPR=1.0000, FPR=0.3203, PPV=0.7574, Advantage=0.6797
α=36.00%, θ*=1.85, TPR=1.0000, FPR=0.3573, PPV=0.7368, Advantage=0.6427
α=37.00%, θ*=1.85, TPR=1.0000, FPR=0.3573, PPV=0.7368, Advantage=0.6427
α=38.00%, θ*=1.85, TPR=1.0000, FPR=0.3573, PPV=0.7368, Advantage=0.6427
α=39.00%, θ*=1.85, TPR=1.0000, FPR=0.3573, PPV=0.7368, Advantage=0.6427
α=40.00%, θ*=1.90, TPR=1.0000, FPR=0.3943, PPV=0.7172, Advantage=0.6057
α=41.00%, θ*=1.95, TPR=1.0000, FPR=0.4052, PPV=0.7116, Advantage=0.5948
α=42.00%, θ*=1.95, TPR=1.0000, FPR=0.4052, PPV=0.7116, Advantage=0.5948
α=43.00%, θ*=1.95, TPR=1.0000, FPR=0.4052, PPV=0.7116, Advantage=0.5948
α=44.00%, θ*=1.95, TPR=1.0000, FPR=0.4052, PPV=0.7116, Advantage=0.5948
α=45.00%, θ*=1.95, TPR=1.0000, FPR=0.4052, PPV=0.7116, Advantage=0.5948
α=46.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=47.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=48.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=49.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=50.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=51.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=52.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=53.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=54.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=55.00%, θ*=2.00, TPR=1.0000, FPR=0.4597, PPV=0.6851, Advantage=0.5403
α=56.00%, θ*=2.05, TPR=1.0000, FPR=0.5512, PPV=0.6447, Advantage=0.4488
α=57.00%, θ*=2.05, TPR=1.0000, FPR=0.5512, PPV=0.6447, Advantage=0.4488
α=58.00%, θ*=2.10, TPR=1.0000, FPR=0.5773, PPV=0.6340, Advantage=0.4227
α=59.00%, θ*=2.10, TPR=1.0000, FPR=0.5773, PPV=0.6340, Advantage=0.4227
α=60.00%, θ*=2.10, TPR=1.0000, FPR=0.5773, PPV=0.6340, Advantage=0.4227
α=61.00%, θ*=2.10, TPR=1.0000, FPR=0.5773, PPV=0.6340, Advantage=0.4227
α=62.00%, θ*=2.10, TPR=1.0000, FPR=0.5773, PPV=0.6340, Advantage=0.4227
α=63.00%, θ*=2.15, TPR=1.0000, FPR=0.6296, PPV=0.6136, Advantage=0.3704
α=64.00%, θ*=2.15, TPR=1.0000, FPR=0.6296, PPV=0.6136, Advantage=0.3704
α=65.00%, θ*=2.15, TPR=1.0000, FPR=0.6296, PPV=0.6136, Advantage=0.3704
α=66.00%, θ*=2.15, TPR=1.0000, FPR=0.6296, PPV=0.6136, Advantage=0.3704
α=67.00%, θ*=2.15, TPR=1.0000, FPR=0.6296, PPV=0.6136, Advantage=0.3704
α=68.00%, θ*=2.15, TPR=1.0000, FPR=0.6296, PPV=0.6136, Advantage=0.3704
α=69.00%, θ*=2.20, TPR=1.0000, FPR=0.6841, PPV=0.5938, Advantage=0.3159
α=70.00%, θ*=2.20, TPR=1.0000, FPR=0.6841, PPV=0.5938, Advantage=0.3159
α=71.00%, θ*=2.20, TPR=1.0000, FPR=0.6841, PPV=0.5938, Advantage=0.3159
α=72.00%, θ*=2.20, TPR=1.0000, FPR=0.6841, PPV=0.5938, Advantage=0.3159
α=73.00%, θ*=2.25, TPR=1.0000, FPR=0.7277, PPV=0.5788, Advantage=0.2723
α=74.00%, θ*=2.30, TPR=1.0000, FPR=0.7320, PPV=0.5774, Advantage=0.2680
α=75.00%, θ*=2.30, TPR=1.0000, FPR=0.7320, PPV=0.5774, Advantage=0.2680
α=76.00%, θ*=2.35, TPR=1.0000, FPR=0.7560, PPV=0.5695, Advantage=0.2440
α=77.00%, θ*=2.40, TPR=1.0000, FPR=0.7625, PPV=0.5674, Advantage=0.2375
α=78.00%, θ*=2.40, TPR=1.0000, FPR=0.7625, PPV=0.5674, Advantage=0.2375
α=79.00%, θ*=2.40, TPR=1.0000, FPR=0.7625, PPV=0.5674, Advantage=0.2375
