α=1.00%, θ*=1.30, TPR=0.0059, FPR=0.0022, PPV=0.7260, Advantage=0.0037
α=2.00%, θ*=1.35, TPR=0.0086, FPR=0.0177, PPV=0.3256, Advantage=-0.0092
α=3.00%, θ*=1.45, TPR=0.0171, FPR=0.0266, PPV=0.3917, Advantage=-0.0095
α=4.00%, θ*=1.55, TPR=0.0382, FPR=0.0355, PPV=0.5183, Advantage=0.0027
α=5.00%, θ*=1.60, TPR=0.0607, FPR=0.0443, PPV=0.5778, Advantage=0.0163
α=6.00%, θ*=1.60, TPR=0.0607, FPR=0.0443, PPV=0.5778, Advantage=0.0163
α=7.00%, θ*=1.65, TPR=0.0822, FPR=0.0665, PPV=0.5528, Advantage=0.0157
α=8.00%, θ*=1.65, TPR=0.0822, FPR=0.0665, PPV=0.5528, Advantage=0.0157
α=9.00%, θ*=1.65, TPR=0.0822, FPR=0.0665, PPV=0.5528, Advantage=0.0157
α=10.00%, θ*=1.65, TPR=0.0822, FPR=0.0665, PPV=0.5528, Advantage=0.0157
α=11.00%, θ*=1.70, TPR=0.1096, FPR=0.1020, PPV=0.5181, Advantage=0.0076
α=12.00%, θ*=1.70, TPR=0.1096, FPR=0.1020, PPV=0.5181, Advantage=0.0076
α=13.00%, θ*=1.75, TPR=0.1358, FPR=0.1286, PPV=0.5137, Advantage=0.0072
α=14.00%, θ*=1.75, TPR=0.1358, FPR=0.1286, PPV=0.5137, Advantage=0.0072
α=15.00%, θ*=1.75, TPR=0.1358, FPR=0.1286, PPV=0.5137, Advantage=0.0072
α=16.00%, θ*=1.75, TPR=0.1358, FPR=0.1286, PPV=0.5137, Advantage=0.0072
α=17.00%, θ*=1.80, TPR=0.1708, FPR=0.1619, PPV=0.5135, Advantage=0.0090
α=18.00%, θ*=1.80, TPR=0.1708, FPR=0.1619, PPV=0.5135, Advantage=0.0090
α=19.00%, θ*=1.85, TPR=0.2254, FPR=0.1885, PPV=0.5446, Advantage=0.0369
α=20.00%, θ*=1.90, TPR=0.2741, FPR=0.1973, PPV=0.5814, Advantage=0.0768
α=21.00%, θ*=1.95, TPR=0.3209, FPR=0.2040, PPV=0.6113, Advantage=0.1169
α=22.00%, θ*=1.95, TPR=0.3209, FPR=0.2040, PPV=0.6113, Advantage=0.1169
α=23.00%, θ*=2.00, TPR=0.3769, FPR=0.2284, PPV=0.6227, Advantage=0.1485
α=24.00%, θ*=2.00, TPR=0.3769, FPR=0.2284, PPV=0.6227, Advantage=0.1485
α=25.00%, θ*=2.00, TPR=0.3769, FPR=0.2284, PPV=0.6227, Advantage=0.1485
α=26.00%, θ*=2.00, TPR=0.3769, FPR=0.2284, PPV=0.6227, Advantage=0.1485
α=27.00%, θ*=2.00, TPR=0.3769, FPR=0.2284, PPV=0.6227, Advantage=0.1485
α=28.00%, θ*=2.05, TPR=0.4295, FPR=0.2794, PPV=0.6059, Advantage=0.1501
α=29.00%, θ*=2.05, TPR=0.4295, FPR=0.2794, PPV=0.6059, Advantage=0.1501
α=30.00%, θ*=2.05, TPR=0.4295, FPR=0.2794, PPV=0.6059, Advantage=0.1501
α=31.00%, θ*=2.05, TPR=0.4295, FPR=0.2794, PPV=0.6059, Advantage=0.1501
α=32.00%, θ*=2.05, TPR=0.4295, FPR=0.2794, PPV=0.6059, Advantage=0.1501
α=33.00%, θ*=2.05, TPR=0.4295, FPR=0.2794, PPV=0.6059, Advantage=0.1501
α=34.00%, θ*=2.05, TPR=0.4295, FPR=0.2794, PPV=0.6059, Advantage=0.1501
α=35.00%, θ*=2.10, TPR=0.4860, FPR=0.3415, PPV=0.5874, Advantage=0.1446
α=36.00%, θ*=2.10, TPR=0.4860, FPR=0.3415, PPV=0.5874, Advantage=0.1446
α=37.00%, θ*=2.10, TPR=0.4860, FPR=0.3415, PPV=0.5874, Advantage=0.1446
α=38.00%, θ*=2.10, TPR=0.4860, FPR=0.3415, PPV=0.5874, Advantage=0.1446
α=39.00%, θ*=2.10, TPR=0.4860, FPR=0.3415, PPV=0.5874, Advantage=0.1446
α=40.00%, θ*=2.15, TPR=0.5311, FPR=0.3991, PPV=0.5709, Advantage=0.1320
α=41.00%, θ*=2.15, TPR=0.5311, FPR=0.3991, PPV=0.5709, Advantage=0.1320
α=42.00%, θ*=2.15, TPR=0.5311, FPR=0.3991, PPV=0.5709, Advantage=0.1320
α=43.00%, θ*=2.15, TPR=0.5311, FPR=0.3991, PPV=0.5709, Advantage=0.1320
α=44.00%, θ*=2.15, TPR=0.5311, FPR=0.3991, PPV=0.5709, Advantage=0.1320
α=45.00%, θ*=2.20, TPR=0.5768, FPR=0.4457, PPV=0.5641, Advantage=0.1312
α=46.00%, θ*=2.20, TPR=0.5768, FPR=0.4457, PPV=0.5641, Advantage=0.1312
α=47.00%, θ*=2.20, TPR=0.5768, FPR=0.4457, PPV=0.5641, Advantage=0.1312
α=48.00%, θ*=2.20, TPR=0.5768, FPR=0.4457, PPV=0.5641, Advantage=0.1312
α=49.00%, θ*=2.20, TPR=0.5768, FPR=0.4457, PPV=0.5641, Advantage=0.1312
α=50.00%, θ*=2.20, TPR=0.5768, FPR=0.4457, PPV=0.5641, Advantage=0.1312
α=51.00%, θ*=2.25, TPR=0.6317, FPR=0.5055, PPV=0.5555, Advantage=0.1261
α=52.00%, θ*=2.25, TPR=0.6317, FPR=0.5055, PPV=0.5555, Advantage=0.1261
α=53.00%, θ*=2.25, TPR=0.6317, FPR=0.5055, PPV=0.5555, Advantage=0.1261
α=54.00%, θ*=2.25, TPR=0.6317, FPR=0.5055, PPV=0.5555, Advantage=0.1261
α=55.00%, θ*=2.25, TPR=0.6317, FPR=0.5055, PPV=0.5555, Advantage=0.1261
α=56.00%, θ*=2.25, TPR=0.6317, FPR=0.5055, PPV=0.5555, Advantage=0.1261
α=57.00%, θ*=2.30, TPR=0.6865, FPR=0.5676, PPV=0.5474, Advantage=0.1189
α=58.00%, θ*=2.30, TPR=0.6865, FPR=0.5676, PPV=0.5474, Advantage=0.1189
α=59.00%, θ*=2.30, TPR=0.6865, FPR=0.5676, PPV=0.5474, Advantage=0.1189
α=60.00%, θ*=2.30, TPR=0.6865, FPR=0.5676, PPV=0.5474, Advantage=0.1189
α=61.00%, θ*=2.35, TPR=0.7340, FPR=0.6009, PPV=0.5498, Advantage=0.1331
α=62.00%, θ*=2.35, TPR=0.7340, FPR=0.6009, PPV=0.5498, Advantage=0.1331
α=63.00%, θ*=2.35, TPR=0.7340, FPR=0.6009, PPV=0.5498, Advantage=0.1331
α=64.00%, θ*=2.35, TPR=0.7340, FPR=0.6009, PPV=0.5498, Advantage=0.1331
α=65.00%, θ*=2.35, TPR=0.7340, FPR=0.6009, PPV=0.5498, Advantage=0.1331
α=66.00%, θ*=2.35, TPR=0.7340, FPR=0.6009, PPV=0.5498, Advantage=0.1331
α=67.00%, θ*=2.40, TPR=0.7717, FPR=0.6696, PPV=0.5354, Advantage=0.1020
α=68.00%, θ*=2.40, TPR=0.7717, FPR=0.6696, PPV=0.5354, Advantage=0.1020
α=69.00%, θ*=2.40, TPR=0.7717, FPR=0.6696, PPV=0.5354, Advantage=0.1020
α=70.00%, θ*=2.40, TPR=0.7717, FPR=0.6696, PPV=0.5354, Advantage=0.1020
α=71.00%, θ*=2.40, TPR=0.7717, FPR=0.6696, PPV=0.5354, Advantage=0.1020
α=72.00%, θ*=2.40, TPR=0.7717, FPR=0.6696, PPV=0.5354, Advantage=0.1020
α=73.00%, θ*=2.40, TPR=0.7717, FPR=0.6696, PPV=0.5354, Advantage=0.1020
α=74.00%, θ*=2.45, TPR=0.8120, FPR=0.7361, PPV=0.5245, Advantage=0.0759
α=75.00%, θ*=2.45, TPR=0.8120, FPR=0.7361, PPV=0.5245, Advantage=0.0759
α=76.00%, θ*=2.45, TPR=0.8120, FPR=0.7361, PPV=0.5245, Advantage=0.0759
α=77.00%, θ*=2.50, TPR=0.8470, FPR=0.7650, PPV=0.5255, Advantage=0.0821
α=78.00%, θ*=2.50, TPR=0.8470, FPR=0.7650, PPV=0.5255, Advantage=0.0821
α=79.00%, θ*=2.55, TPR=0.8801, FPR=0.7827, PPV=0.5293, Advantage=0.0974
α=80.00%, θ*=2.55, TPR=0.8801, FPR=0.7827, PPV=0.5293, Advantage=0.0974
α=81.00%, θ*=2.55, TPR=0.8801, FPR=0.7827, PPV=0.5293, Advantage=0.0974
α=82.00%, θ*=2.60, TPR=0.8972, FPR=0.8115, PPV=0.5251, Advantage=0.0857
α=83.00%, θ*=2.60, TPR=0.8972, FPR=0.8115, PPV=0.5251, Advantage=0.0857
α=84.00%, θ*=2.60, TPR=0.8972, FPR=0.8115, PPV=0.5251, Advantage=0.0857
α=85.00%, θ*=2.65, TPR=0.9126, FPR=0.8492, PPV=0.5180, Advantage=0.0634
α=86.00%, θ*=2.65, TPR=0.9126, FPR=0.8492, PPV=0.5180, Advantage=0.0634
α=87.00%, θ*=2.65, TPR=0.9126, FPR=0.8492, PPV=0.5180, Advantage=0.0634
α=88.00%, θ*=2.65, TPR=0.9126, FPR=0.8492, PPV=0.5180, Advantage=0.0634
α=89.00%, θ*=2.65, TPR=0.9126, FPR=0.8492, PPV=0.5180, Advantage=0.0634
α=90.00%, θ*=2.70, TPR=0.9278, FPR=0.8936, PPV=0.5094, Advantage=0.0342
α=91.00%, θ*=2.70, TPR=0.9278, FPR=0.8936, PPV=0.5094, Advantage=0.0342
α=92.00%, θ*=2.70, TPR=0.9278, FPR=0.8936, PPV=0.5094, Advantage=0.0342
α=93.00%, θ*=2.75, TPR=0.9415, FPR=0.9268, PPV=0.5039, Advantage=0.0147
α=94.00%, θ*=2.75, TPR=0.9415, FPR=0.9268, PPV=0.5039, Advantage=0.0147
α=95.00%, θ*=2.80, TPR=0.9564, FPR=0.9424, PPV=0.5037, Advantage=0.0141
α=96.00%, θ*=2.90, TPR=0.9692, FPR=0.9512, PPV=0.5047, Advantage=0.0179
α=97.00%, θ*=2.95, TPR=0.9767, FPR=0.9690, PPV=0.5020, Advantage=0.0078
α=98.00%, θ*=2.95, TPR=0.9767, FPR=0.9690, PPV=0.5020, Advantage=0.0078
α=99.00%, θ*=3.05, TPR=0.9821, FPR=0.9867, PPV=0.4988, Advantage=-0.0046
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
