,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.19515725657634642,0.0073460085701950156,0.14694224699745637,0.04404243411024133,0.07894507813669192,-0.012683616274425984,0.17355152068291912,-0.10938233340848824,0.0978132148401513,0.05044988218666029,0.07150488516814064,0.12879550070207277,-0.004615280961629139,0.13391182048536435,-0.17626042986907184,-0.10570584315494859,0.0036360210433368277,0.0018788771821179372,-0.007317078799280398,0.11193801820991468,0.013107078294894894,0.042523977449737224,0.007247672794154874,0.013259588446499777,0.024768085058372826,-0.04458243303367384,-0.05495063130204757,0.03420745373843613,-0.031222911282544584,0.23750942222555724,0.20430993588730623,0.01753492550615848,0.06760168008396775,-0.1732054687584795,-0.011894947075830527,0.09816180218416914,-0.11762853436844946,-0.016824845053097254,0.07256177274836739,0.11772749907642936,0.08805010180725026,0.09864029934380875,0.12476253760921863,0.047391009633823485,-0.03714031621901312,0.006490922379066176,0.08387910603666152,0.10328061676282889,-0.17704005373144982,0.08904976854744072,0.07396751913685794,0.09568748020268897,0.10741467527299899,-0.022267128243344703,0.06116071026408016,-0.08889387953938345,-0.061864504697252076,-0.1440549942926768,-0.14565593668946905,-0.09864475011365567,-0.10626473670252501,-0.01229357609541407,-0.09914242852332882,0.09734575073534645,0.12206543020655243,0.03476530695558593,-0.057407494104851194,0.13672871829745947,0.060161252280289866,0.010741541302968987,-0.005138572109707699,0.12924642073550088,0.06600968202096998,0.05739412846596196,-0.05902019586797957,0.1975176452726795,0.17229938799795344,0.10699425089674296,-0.09196252187294572,0.0437927528359179,0.15322620654399685,0.13476064597304374,-0.01354398226481797,0.028085282252262575,-0.030655696614807236,-0.03639452573214249,-0.021970152944070637,0.030134796230654914,-0.027006423403053145,0.12121583363720524,0.11862727234774449,0.12903810154606749,0.07063603525972971,0.0862888354575973,0.04575103380184113,0.04800225267128217,0.11122455771485552,0.15090806932182907,0.05014023503016112,-0.05576001027036263,0.013735639647565186,0.0880864098354586,-0.045277053747098076,0.01056658975043982,0.02434020223089087,-0.07587983136234636,-0.0786944967877807
blood_glucose_mean,0.19515725657634642,1.0,0.06352739978481488,0.000614407983711933,0.07076586853194704,0.08691992500533,0.0351839783154293,0.054269242679749245,-0.0977826932203185,0.06966468459281466,-0.10629848058403113,0.055824007878256206,0.01298572920049068,-0.08406875147317995,-0.056957459988790655,0.09347049172795135,-0.13279058419731654,-0.01692816222929892,0.07733535625721132,-0.060496613514084155,0.06781624113064115,0.038362993734693686,-0.012840639115228604,-0.02940939711841455,0.06759724883681625,0.005930081190431683,-0.04200589420022841,-0.019476196196073523,-0.007915343660686684,0.02376853231392459,0.1468359719194489,0.18065648285926064,-0.12014708849598882,0.05860773937891024,-0.21047188044696466,-0.013187185819758331,0.05029932318422824,-0.06130109736650727,-0.17016383766403054,0.08229999683368479,0.10196564903019611,-0.004586475503526173,0.0027852438103648652,0.09227618935617277,0.074649814264714,0.04390316057497942,-0.014397003470340286,0.07145707705725414,0.03031974999404278,-0.13158405479113883,0.020135355853414617,0.04910536530831309,0.13425017810203277,0.09720190464117454,-0.058262738568874844,0.07640144552301432,-0.12158375988589544,-0.0669130603263285,-0.150144642916449,-0.12596908452742814,-0.13582077742168636,-0.07734277628408982,-0.10972889594668703,-0.0992512353503835,0.16365819128587789,0.15158871572450838,0.10438504815152362,-0.04046212848446074,0.01639680657611652,0.03983705177080485,-0.02019522904071364,0.08002716409406094,0.03206017187628851,-0.05749115877389747,0.09134503613018413,0.08692933462085006,0.0438762627480698,0.0850786872069055,0.05367903141788668,0.029228116734742505,0.04244307259594645,0.24234637047318622,0.10101022011012457,-0.11412570408610334,0.0626994269629547,0.07255178993168446,0.14875297028941212,0.19739573170420405,0.017150866715910856,-0.08195816295657361,0.055468251278349215,-0.1213247584003787,0.05217990287372287,0.12491563586830047,0.059459429987266846,-0.02435869913371913,0.0108708324329919,0.10018610255101429,0.326926543847395,0.033658713259911426,0.20628562970739245,-0.10304224493456661,-0.09626623374060525,-0.02065925114834514,0.07331988816472274,0.005126246053621696,-0.021777264904404924,-0.1321313017038483
resp_rate_mean,0.0073460085701950156,0.06352739978481488,1.0,-0.009956266510166224,-0.042799272681506226,0.06916511252261508,0.13471810998353895,-0.01306501429446776,0.010734806569337504,0.14391753639140695,-0.12567639086157684,-0.029860751867430754,-0.07098936955778641,-0.02158645277889973,0.02695484889631786,0.00505542299632623,0.032004052291606654,-0.013618053455107812,0.006036019079737694,-0.0003543478636306978,0.031649362031068315,0.08641720254323175,-0.06113548282507337,0.0061250524074432785,0.06367089954589175,0.023027168267469835,-0.007379802619866626,0.04487010251018277,-0.012736562631415753,0.02029015616366514,-0.045445511768854994,-0.0016720653751941816,-0.061062615430990654,-0.010619474266384708,0.025160097027049994,0.04971396948481123,-0.01588220910105792,0.04524054109479841,0.02005819137376347,0.06129014551010444,0.038595430755102265,-0.021468835252392324,0.01114732454183255,0.04344142606632745,0.004396793114721805,0.027774199305624067,-0.008270418004659335,0.05181767919121321,0.0027850505982929246,-0.04365148039856566,0.02116104505533465,-0.04438405767887218,0.030907442755365146,0.01638184105628115,-0.018958431044909324,0.04036271345843835,-0.004021413847249304,-0.07828210407626639,-0.05082385575972611,0.029103655501322854,0.008102189792507276,0.013307371088350414,-0.06111261071122463,-0.0005446126785277817,-0.01923616675946114,0.008201344551058894,-0.009722023905939957,0.004415573769682993,0.04680029131455344,-0.03700494869708079,-0.032053026202071615,0.043158057233652736,0.016606371994790172,-0.03973100000704515,-0.0038653500111554247,-0.0159012024992261,-0.04509482490680849,0.028649395619543036,0.03540786044080022,0.1547509743125436,0.06408954162198603,0.2439602862579468,-0.002291640107814606,-0.045859995673291694,0.030127662998716935,-0.1016995873460757,0.04134373989098416,0.17981457565857795,0.010814818036554532,-0.009564531673529712,0.028380430584434492,-0.03886442352014668,0.027797526907178176,-0.002306371973470487,-0.036080998439736,-0.13890824861047674,0.0319386486073429,0.12543076651724117,0.03406938872784443,0.08560180401807675,0.25271904631902314,-0.03778034319066374,-0.2500837950989658,0.010785664326466549,-0.031167983592507102,-0.013208642309557466,0.011367257668933027,0.0013452104427452748
stress_mean,0.14694224699745637,0.000614407983711933,-0.009956266510166224,1.0,0.057075018853449636,0.08200013094768911,0.007096772333402051,-0.16805507282584367,0.09143297624102006,0.09840197141137767,-0.03446142861814917,0.020180188081053825,0.05623499768453908,0.0797803814670413,-0.02356592868844227,0.026514571065029677,-0.03128726008313592,0.06164888310659336,0.0028025739510469626,-0.1595433748802957,0.14380507125228412,-0.03581579880030457,-0.001365580869685617,-0.01054854984093932,0.016430074545525423,0.02548181985794104,-0.06810930654454747,0.0175928440062778,-0.015516633122187217,-0.02401867004900219,0.043476512578217864,0.008501503130223343,-0.08977153768455148,0.09113276754205497,-0.03379786581023297,0.016916213144999716,0.017022561771233496,0.0272510925599537,0.07178729998311004,0.008206707861022348,0.02209984557645983,0.1187387462011615,-0.023594105676902875,-0.041028917255456696,0.0013237575654005305,-0.0300229492865597,-0.041471628110252456,-0.1037898716943032,-0.018660490510091547,0.041205393074170864,0.04408748448978948,0.023595007779182723,-0.05802835996584133,-0.021302664372157467,-0.04638185919263398,-0.06644232712139155,0.012239465638048064,0.07496722829353084,0.04301270187832292,0.05668317668198535,0.0705480999521415,0.046235629403164134,0.12527534150708025,0.0834498228510793,-0.09255347043743385,-0.06777749576196122,-0.12178268588530608,-0.12258123679978133,0.12169868048759058,-0.019157875329260516,0.04073554595684956,0.011962952021378493,0.051378054431468055,0.2778990492303171,0.05595823639474203,0.1240709192840544,0.2537058290302722,0.07623947903899526,-0.019244560370633546,0.0719469911071028,-0.0007441676814578257,-0.04542576946746045,0.03282424495659696,0.061660048329036085,0.01513310924924692,0.13778428550530178,0.033576063078130394,-0.023346291309953287,0.022704999564181937,0.06436795519582135,0.03096349766223403,0.2688099414515622,0.053116200887992626,0.11360463533315672,0.08362733274931802,0.05643326242246204,0.02410811887590014,-0.0008014975845353231,-0.08775582012780332,-0.060258651855591185,-0.034603657562240625,-0.05873347180556539,0.12778369356885871,-0.04749821261502982,0.016202286519795564,0.17869666692760328,0.016708559171609804,0.1396748276826963
blood_glucose_std,0.04404243411024133,0.07076586853194704,-0.042799272681506226,0.057075018853449636,1.0,-0.05361740993242006,-0.03962552502912201,-0.007119501370711474,-0.017238678628513023,-0.015306896229406671,-0.039760842851580665,0.04022962657975952,-0.01307047798103719,0.027459517493636412,-0.068192439451287,0.10283417026433901,-0.07308075261718949,0.02209077110400701,0.06563241466647209,-0.15207471642483053,0.0463686612509314,0.024579874707122567,-0.04381811216293235,-0.08393547546482809,0.02429186471509428,-0.02105121439787975,-0.022457346990023785,0.006227886194153206,-0.015081140781644412,0.05808246221665164,0.061647637521649215,0.030769238380537075,-0.05316028940929475,0.04559067888161603,-0.08629506855640111,0.01609194107916038,0.017257919950437278,0.02857623612709457,-0.046176157889088756,0.007645222359629697,-0.012918574545598093,0.04486452707624158,-0.030808498438326535,-0.027404624268026506,0.003603941999360104,0.03683926181672021,0.027178356253765096,-0.021799176661670847,0.008090628309849315,0.003229105558745709,0.002757432100398556,0.030406493927910325,-0.0019553101866019136,0.03712010511109872,0.024904489492237804,-9.753861825799508e-06,0.008736405466441962,0.03148223951106134,0.01323696313642054,0.014662878697519074,0.02268265278351619,0.009747556271052397,0.0056599687664566755,0.020364136034686845,0.012227155183954265,-0.04577602834695136,-0.026388816190275277,-0.05234171157458612,0.04299798924320285,0.027081871300237453,0.013882998468074267,0.037628653518755814,0.01024938132149061,0.08591193171877562,0.0008372642065408169,0.061815720190512326,0.08585530952825618,0.0044854100552042505,0.015964933813902144,0.009573848626128251,0.04305803030658817,-0.02476963319786643,-0.031164743978177256,-0.0030840406554294595,0.025454526580045513,0.09737525939854823,0.06598642540414956,0.020060638344169022,0.08422198099311448,0.058559374642450944,0.01301299894909899,0.08789658860530504,0.03427117943811926,0.21278204855027633,0.012246612377649372,0.0745629053419225,-0.016075526499710974,0.029851363226419902,-0.014485980078729331,-0.02303651375926777,0.038009814482520464,-0.020969069274280515,0.007562198120666777,-0.04479823513898625,0.03482045350943801,-0.030274240010402905,0.03250586750510193,-0.09426069377847804
total_steps,0.07894507813669192,0.08691992500533,0.06916511252261508,0.08200013094768911,-0.05361740993242006,1.0,0.05489708827443003,-0.048688132229143755,-0.06337643178118231,0.053326027259764014,-0.03354886225415523,0.06851928460427455,0.10814813259352633,0.010530623512982088,-0.008170350706347305,-0.018214369225336934,0.009969830776583085,0.07080157451764026,0.023651409492368793,0.02988251174127053,0.05773622267082381,0.005537958351652618,0.03531636070170462,0.1560721724781057,0.05529940875827445,0.032448450423389896,0.002957666494341755,-0.02513899080872561,-0.044195196361272594,-0.01197395619533056,0.014284705637016224,0.08905961003046974,-0.05954335084466203,0.05722732176640554,0.0009111395148274519,-0.002539511982445189,0.056138100660738946,-0.014159139013090136,0.04783622126137827,0.09289206539195867,0.029317548204701657,-0.013067030219602364,0.0014049111106083875,0.04707764508746052,-0.009794248464588933,0.008209882450751145,0.013223444146065822,0.020654327653426837,-0.01567944280275243,-0.01980470527770336,0.019160732901696634,0.008847185647063941,0.03199496374310173,0.05868277625880294,-0.028303546078356338,0.01247885354605444,0.018903134924356007,-0.02462334400069075,-0.03237023329054956,-0.06090790301596962,0.029659264039741434,-0.0309761581788287,0.029912375067912608,-0.021900979962508463,-0.013872185446839031,0.03244033795284145,-0.019745340061273667,-0.03210868076883946,0.07105417258583721,0.01972586007146387,-0.00810437024898251,0.04017209386458598,0.03225169585044348,0.037441783514718316,0.03588937547929822,0.06275102130304812,0.0627118375835442,0.016785297903379084,0.03163730890183338,0.15558180010244838,0.03828769872766322,0.07768388300001347,0.06520746552574946,0.09043309951856054,0.034118057952670734,0.04724129714266134,0.05170795171963091,0.06843014227139176,0.009989273271611452,0.014185200253531463,0.0007662989621255715,-0.013315883807975033,0.019805996893900987,-0.03583133807065507,-0.008362811380486238,-0.04997057818073937,0.017927157537314848,-0.02280321631481045,0.02724927869919177,-0.00127077008154567,0.058654250907847184,-0.017345794167853392,-0.0041292146294751465,-0.029953875845909823,0.0019967218234641254,0.011091930440818092,-0.03451341200547385,0.016200460536113976
resting_heart_rate,-0.012683616274425984,0.0351839783154293,0.13471810998353895,0.007096772333402051,-0.03962552502912201,0.05489708827443003,1.0,-0.009734519394092632,0.029767768672928862,-0.011337505903686271,-0.109302973503345,-0.025225254976046274,0.0032964613258667152,0.012194287730912664,0.013993181833918594,-0.026550410983594036,0.011350156316156011,-0.05748439747249648,-0.06361750941184695,0.06200749463438331,0.02515944863928418,-0.07042812556732429,0.029261681457949742,-0.04374026114794765,0.009688527386874035,0.03243550059739707,-0.04196596252243808,0.0007481260917579439,-0.020192794179765963,-0.013271224373353825,-0.04053332896223103,-0.06534822272467622,0.037680169332286115,-0.003312917621195929,-0.027717819857468885,-0.0013574103155000528,-0.004392550622498792,-0.017595019607904376,0.034354223726072386,0.009949121390163691,-0.04249933844043982,-0.00844415737463842,-0.033522851589932394,-0.03010761690194752,-0.011694279511899787,-0.007161843260101528,0.06754307796684536,0.06785759206420235,-0.016917246450435058,-0.01747026457033929,-0.02239064522863773,-0.11683945602386975,0.0036261568118924714,-0.0017910671368048566,0.04534102169665658,-0.015448641950077162,-0.002137536995499945,-0.0013936624313425625,0.014381223189587749,-0.04936269587558204,-0.016506717078645552,0.012583247581656213,0.02133408105898192,-0.0035464174908959698,-0.08868539666588934,0.030708515122943397,0.03032642616420339,0.021697269775553082,0.021343103254679703,-0.017493115553843364,-0.08334989653154613,0.008957284416424915,0.009758394503998121,-0.028131204367126215,-0.012827184399910905,-0.053199309441167804,-0.03909478246826553,-0.007599717459915907,-0.01055659470517479,0.05492909934443424,-0.012904214500164926,0.12874093054496089,0.014263978163025885,-0.05527437121395813,0.0010606473867131945,-0.10293018381995853,0.0038211945765161065,0.1452193956001935,0.005261252282614543,0.013542942042783272,0.0069579465966504,0.0029630022864817786,-0.008345374263226627,-0.002426352348011499,-0.03450615912520368,-0.14036707674723362,-0.0014896968912001683,-0.03707540090370664,-0.004491216988672498,-0.07327396183928651,0.15489058088753824,0.027685017363982177,-0.23564755305448024,0.06067779030636934,-0.10171990598349838,-0.006701223119771775,-0.012694410072878744,-0.008941929697784314
total_kcal,0.17355152068291912,0.054269242679749245,-0.01306501429446776,-0.16805507282584367,-0.007119501370711474,-0.048688132229143755,-0.009734519394092632,1.0,-0.13755772475273673,0.001455963490321765,0.05215055638284056,0.03244611704648054,0.025522433571554773,-0.021663764081590722,0.1322223650810576,-0.24073815957911077,-0.012382433507145634,0.007411525533993914,0.006729714230971818,0.03097251818803767,-0.010020205642544817,0.0211276544701746,0.027869325077432512,-0.03857145512313408,0.004634172826976613,0.030441212441753737,0.0313535444067562,-0.007818654789664408,0.021625642509189465,-0.04131810272143818,0.05726867323011676,0.03902306526474962,0.04934418322037365,-0.0353815564523214,-0.06553169815571024,0.017587778746954854,0.0549453292090427,-0.039551785092332925,-0.007987343988112188,0.034908232823978445,0.04254639310421693,-0.01772976962196646,0.07287557227643617,0.03815687918779353,0.0400852324969178,0.051851873818439476,0.02709703311048789,0.10090787670497073,0.09374382746155739,-0.08275630429236369,0.08494845605464334,0.031941908026887435,0.045894029361324466,0.06650748988057449,0.0597541832310617,0.0878171137633166,-0.05358406057193982,-0.0814677696622075,-0.09858367464940535,-0.09279399246098315,-0.09308496045919126,-0.07119775492401184,-0.09321916004999298,-0.11225247276615458,0.058614212955639,0.05959729321101554,0.08148384943678699,0.0052971493583183725,-0.0065484852994161825,0.022965908385939413,-0.0387340930782132,0.008849116442799778,0.055607363000801144,-0.14215807211520506,-0.09913996076451026,-0.23630689482761758,-0.024944995898205667,-0.03584890295458044,0.02321311013880521,-0.1535377143383569,0.021304966653918886,0.027922871450221813,0.03130177496731102,-0.05295461072867553,0.018250210028881046,-0.0898418889393898,-0.051892292674505666,-0.01512693366402315,0.07270172206417952,0.011855735335741769,0.06848436396854228,-0.01546348108548817,-0.021097759487211643,-0.030811116202523827,-0.08434189045643833,-0.027838350561991083,0.007980580023172873,0.043393441318191346,0.07616011213742994,0.05699620912763953,-0.05761303039001757,0.05801247001067766,-0.02784875175082395,0.030462278255611226,-0.03366976706386238,-0.05675543125220424,-0.06203318542138089,-0.13439582335444017
sleep_light_hrs,-0.10938233340848824,-0.0977826932203185,0.010734806569337504,0.09143297624102006,-0.017238678628513023,-0.06337643178118231,0.029767768672928862,-0.13755772475273673,1.0,0.009623104627266454,0.0049903357779779835,-0.07208241395127796,-0.10438245451855731,0.011988613874483326,-0.01669030265952336,0.06668091525344173,0.028793453817721783,-0.08324559348361364,-0.03619494370042194,0.03820749744816755,0.017773658474738045,-0.016718415903429273,-0.07337040536658616,0.006177923522493234,-0.005065274887094375,0.021186091783923923,0.003584390746187745,0.04024207031079191,-0.019323667627578565,0.04664439245162863,-0.062088259353823096,-0.13840777697414758,-0.006967815709223394,-0.022288317764394248,0.08116800341961221,-0.023020109711356068,-0.013166526507618919,0.05627851776002728,0.06796210058167673,-0.013311023251081789,-0.028284115401043856,-0.03861357398498169,-0.046629303258609055,-0.04402685277113889,-0.015192870582303229,-0.032913948565392016,-0.02425791718794083,-0.031367767191706766,-0.020381172058738618,0.07127652193481393,-0.025486355534972086,-0.03276911042037386,-0.05255698112818024,-0.07438570737261396,-0.01262907664219858,-0.04016783967770469,0.04429732174703499,0.05893228821240219,0.039730074224922425,0.046568109666773626,0.08563262480571578,0.04859783393064265,0.0463949305731863,0.08257527843517862,-0.04902668626034243,-0.06113553254016522,-0.08817389383892954,0.014121021633322376,-0.005303214946718728,-0.02184024725226464,0.019143945400462693,0.03629881661965453,0.011352234221518447,0.07798620845602144,0.09926175996761805,0.14874144579960838,0.04113618983442414,0.011539651985130303,-0.004144395117533582,0.08659833798574695,0.0019747802841609693,0.06098284396598958,-0.015525568404564039,0.05841202611102285,0.00571412250477553,-0.05848331519838991,-0.008192254512954697,0.024525975565288904,-0.03248141849444209,0.026954621632091374,-0.006009270910451329,-0.014358611152876134,0.01936378248358341,0.0038784766989129063,0.07465024743746726,0.011421103965179693,0.002661267123644276,-0.07778757000235936,-0.13878010045540032,0.024339534229114244,-0.03642628476366465,0.021410819921539075,-0.06104167579666796,0.06093293179906281,-0.010041495570044431,0.0625054078064781,-0.023567075199358245,0.09398751724271083
sleep_deep_hrs,0.0978132148401513,0.06966468459281466,0.14391753639140695,0.09840197141137767,-0.015306896229406671,0.053326027259764014,-0.011337505903686271,0.001455963490321765,0.009623104627266454,1.0,-0.03508225827435535,-0.008859765140710747,-0.03397347868288493,0.022129616206337358,0.04382994733892644,0.03817694513128793,-0.007603310122667041,0.05239277945524415,-0.01719684812713383,-0.0846648337530189,0.08316440573171649,0.056195889836777375,-0.022563454226410175,-0.045117611329433975,0.07334688393988997,0.019472976373097757,-0.04687069624289795,-0.009466198260561077,-0.022427184793270716,0.005925291690135402,-0.0028582338676139004,0.05773160945364368,-0.0391961098735056,0.007129674834541203,-0.023590795472632438,0.03744103035308542,0.06907598555788282,-0.0027337508026671654,0.006444113936281746,0.030810872341267212,0.04422593721600481,0.04881222378417734,0.03399186533660892,0.07948478224973317,0.05202069868701606,0.05098194210495457,-0.06464310482109194,0.023955036621241193,0.06971413520816544,-0.08376043644963138,0.026302212494122006,0.06393423095739942,0.02626493089585207,0.037832145497664386,-0.04286371099249054,0.016185596269435252,-0.039533577098478795,-0.07427661294598974,-0.0915779872631335,0.004309319264524615,-0.006284979694388744,-0.00368015798113096,-0.04708252450193655,0.005065552617174654,-0.002819155620288832,-0.0538602426309226,-0.011279216388172947,0.0037981471055617646,0.027824502102780486,-0.028680676514227562,-0.04864530200158518,0.003929175243756647,0.013339777490686143,0.019108082352498057,0.03157041416864591,0.07369860581093203,0.08193480607221428,0.055412675797757556,0.06703097331471125,0.17260767386557074,0.09554461127179764,0.16524709369471408,-0.020910350988068274,0.13971714765535362,-0.021195490143373668,0.014842532058309875,0.046441106175098466,-0.014508744905883041,0.0022701635734698805,-0.013036369318831089,0.038637106035347146,0.019778541210767567,0.059467602974187544,0.10860203318677482,0.0377882801103205,-0.05433741201599042,0.06975849503186891,0.14525774442254272,0.0260184304416941,0.15775091262382762,-0.016576697366832722,0.04265293297324782,0.11413470132109245,-0.13183410404908052,-0.00987311654308247,0.02792120425463474,-0.03907224588656742,0.00042351913967388934
