α=1.00%, θ*=1.20, TPR=0.0056, FPR=0.0090, PPV=0.3841, Advantage=-0.0034
α=2.00%, θ*=1.30, TPR=0.0103, FPR=0.0158, PPV=0.3943, Advantage=-0.0055
α=3.00%, θ*=1.35, TPR=0.0139, FPR=0.0225, PPV=0.3821, Advantage=-0.0086
α=4.00%, θ*=1.40, TPR=0.0198, FPR=0.0360, PPV=0.3545, Advantage=-0.0162
α=5.00%, θ*=1.45, TPR=0.0337, FPR=0.0495, PPV=0.4049, Advantage=-0.0158
α=6.00%, θ*=1.45, TPR=0.0337, FPR=0.0495, PPV=0.4049, Advantage=-0.0158
α=7.00%, θ*=1.50, TPR=0.0538, FPR=0.0631, PPV=0.4601, Advantage=-0.0093
α=8.00%, θ*=1.50, TPR=0.0538, FPR=0.0631, PPV=0.4601, Advantage=-0.0093
α=9.00%, θ*=1.55, TPR=0.0823, FPR=0.0833, PPV=0.4970, Advantage=-0.0010
α=10.00%, θ*=1.60, TPR=0.0992, FPR=0.0991, PPV=0.5002, Advantage=0.0001
α=11.00%, θ*=1.60, TPR=0.0992, FPR=0.0991, PPV=0.5002, Advantage=0.0001
α=12.00%, θ*=1.60, TPR=0.0992, FPR=0.0991, PPV=0.5002, Advantage=0.0001
α=13.00%, θ*=1.65, TPR=0.1278, FPR=0.1261, PPV=0.5033, Advantage=0.0017
α=14.00%, θ*=1.65, TPR=0.1278, FPR=0.1261, PPV=0.5033, Advantage=0.0017
α=15.00%, θ*=1.65, TPR=0.1278, FPR=0.1261, PPV=0.5033, Advantage=0.0017
α=16.00%, θ*=1.65, TPR=0.1278, FPR=0.1261, PPV=0.5033, Advantage=0.0017
α=17.00%, θ*=1.65, TPR=0.1278, FPR=0.1261, PPV=0.5033, Advantage=0.0017
α=18.00%, θ*=1.65, TPR=0.1278, FPR=0.1261, PPV=0.5033, Advantage=0.0017
α=19.00%, θ*=1.70, TPR=0.1588, FPR=0.1892, PPV=0.4563, Advantage=-0.0304
α=20.00%, θ*=1.70, TPR=0.1588, FPR=0.1892, PPV=0.4563, Advantage=-0.0304
α=21.00%, θ*=1.70, TPR=0.1588, FPR=0.1892, PPV=0.4563, Advantage=-0.0304
α=22.00%, θ*=1.70, TPR=0.1588, FPR=0.1892, PPV=0.4563, Advantage=-0.0304
α=23.00%, θ*=1.75, TPR=0.1915, FPR=0.2252, PPV=0.4596, Advantage=-0.0337
α=24.00%, θ*=1.75, TPR=0.1915, FPR=0.2252, PPV=0.4596, Advantage=-0.0337
α=25.00%, θ*=1.75, TPR=0.1915, FPR=0.2252, PPV=0.4596, Advantage=-0.0337
α=26.00%, θ*=1.75, TPR=0.1915, FPR=0.2252, PPV=0.4596, Advantage=-0.0337
α=27.00%, θ*=1.80, TPR=0.2338, FPR=0.2658, PPV=0.4680, Advantage=-0.0320
α=28.00%, θ*=1.80, TPR=0.2338, FPR=0.2658, PPV=0.4680, Advantage=-0.0320
α=29.00%, θ*=1.80, TPR=0.2338, FPR=0.2658, PPV=0.4680, Advantage=-0.0320
α=30.00%, θ*=1.80, TPR=0.2338, FPR=0.2658, PPV=0.4680, Advantage=-0.0320
α=31.00%, θ*=1.80, TPR=0.2338, FPR=0.2658, PPV=0.4680, Advantage=-0.0320
α=32.00%, θ*=1.85, TPR=0.2729, FPR=0.3131, PPV=0.4657, Advantage=-0.0402
α=33.00%, θ*=1.85, TPR=0.2729, FPR=0.3131, PPV=0.4657, Advantage=-0.0402
α=34.00%, θ*=1.85, TPR=0.2729, FPR=0.3131, PPV=0.4657, Advantage=-0.0402
α=35.00%, θ*=1.85, TPR=0.2729, FPR=0.3131, PPV=0.4657, Advantage=-0.0402
α=36.00%, θ*=1.90, TPR=0.3110, FPR=0.3536, PPV=0.4680, Advantage=-0.0426
α=37.00%, θ*=1.90, TPR=0.3110, FPR=0.3536, PPV=0.4680, Advantage=-0.0426
α=38.00%, θ*=1.90, TPR=0.3110, FPR=0.3536, PPV=0.4680, Advantage=-0.0426
α=39.00%, θ*=1.90, TPR=0.3110, FPR=0.3536, PPV=0.4680, Advantage=-0.0426
