tag,seed,epochs,batch_size,num_channels,random_dim,s2h_auc,s2h_acc,r2s_auc,r2s_acc,elapsed_time
0,2023,200,1000,128,64,0.6641115233972377,0.6754419493549928,0.5143661843863598,0.5689787481700146,29.79167492787043
1,2023,150,1000,32,128,0.49062049062049057,0.6118490205446727,0.4972637618911426,0.48027875776993784,5.10159158706665
2,2023,200,200,32,128,0.7954767058338488,0.6928571428571428,0.5917097970926205,0.5557440540475677,13.132425614198048
3,2023,200,1000,128,128,0.7291008297258298,0.4209746774964166,0.5287510075415904,0.4942379460964313,30.113765947024028
4,2023,100,200,128,128,0.7297090806019378,0.6645246058289537,0.5701767833699012,0.5513385892912857,17.909731781482698
5,2023,100,200,64,100,0.7208176149247578,0.6733635929288103,0.5554358411965538,0.5420233638130896,8.41850438117981
6,2023,200,200,128,64,0.767920016491445,0.7433827042522694,0.6476140490037097,0.6111287109703123,36.975653342405955
7,2023,200,1000,32,100,0.5834327973613688,0.5372193024366936,0.5160183875808073,0.5079646362829098,6.642816166083018
8,2023,100,500,32,64,0.5320202020202021,0.5592451027233636,0.5454347941115305,0.5184969520243838,4.297621842225393
9,2023,100,1000,128,128,0.511670016491445,0.6118490205446727,0.46049188744151764,0.5143236854105168,15.366366449991862
10,2023,100,1000,64,128,0.4968225623582767,0.6118490205446727,0.5068600335080629,0.6062222502219982,6.534340294202169
11,2023,150,200,32,100,0.6165168264275407,0.6535117056856188,0.5385799194439015,0.5275649794801642,10.299133177598318
12,2023,150,1000,64,128,0.7295542156256443,0.6206163401815575,0.5264127119293172,0.47562189502483976,9.47438421646754
13,2023,150,1000,32,64,0.607680117501546,0.6206402293358815,0.5174432884576669,0.5037952696378428,6.98150323232015
14,2023,150,1000,32,128,0.5591550711193568,0.6118490205446727,0.5010708131806212,0.5981307149542803,10.146754002571106
15,2023,200,500,128,64,0.7799840239125952,0.6885570950788342,0.5413693184712601,0.4991459068327453,35.13284904956818
16,2023,150,500,64,100,0.8097534013605442,0.7215241280458672,0.5772436720735687,0.5486353109175127,9.503929130236308
17,2023,150,200,128,128,0.8622476035868892,0.8091973244147157,0.6341229954038928,0.6422426620587036,25.157899721463522
18,2023,150,200,128,100,0.8011410018552876,0.7345676063067368,0.5951686416806844,0.5719238246094032,26.062615191936494
19,2023,200,200,64,64,0.8020232941661514,0.7456043956043956,0.6487673993059703,0.6133345933232534,16.708655337492626
