,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.16833360240136663,0.1330441588917858,0.8257618013120749,0.17644754388996164,0.6098804348475048,0.8237137936041358,0.5766412917667045,-0.2675227654867952,0.10710508480693612,-0.23951960781686849,-0.0048395231293548455,0.3516077088781104,0.10371426525251502,0.32912325143902577,-0.33358881377966465,-0.1639223902454214,0.3026968031939734,0.16077072511038132,0.009205179939052921,0.1229759327978023,-0.16112158828477954,-0.10220844239560989,-0.1966992855977995,-0.03916240580641343,0.1144000056813855,0.22468533158645,-0.17582104356868952,-0.2620370056087764,0.2657461447321051,0.3394482968184034,0.10263063475648357,-0.03352119009118354,0.1906257923924557,0.13935136677731816,-0.07246207007030372,-0.0653547292621252,-0.10598650707141077,-0.03824049006099629,0.16056565686985128,0.09111418907668346,0.0513873465529424,-0.01198812872501524,-0.05780831894885849,-0.1860140072149824,-0.14461114108573658,-0.39081249492330994,-0.06720761826938797,-0.12777776976230418,0.0467197983838174,-0.006281679320213666,-0.22726311248803224,0.15973479223931236,0.15794448704791667,-0.2598688937788951,0.06091328209584929,0.08798920088952723,0.14465158076304455,0.14645745881223535,-0.13341195857458793,-0.1015727624859893,0.01418718439416541,-0.025706359857775085,-0.012924723472770263,0.6575708915520003,-0.12150606861415553,-0.01592474721561553,-0.5055471027289146,0.14194101288386304,0.11049560737525461,-0.07786862673431932,-0.13097713346027057,0.07669341481978671,-0.010043431967497542,-0.08660082479319031,-0.10955366649084602,0.08813167777628726,0.024512097982855783,0.1279885123874769,-0.005827945572795806,-0.04606445365421591,0.01728678889955818,0.1055921729789641,-0.20155178416898986,-0.09361899609921064,0.022268532653156235,0.05864253273036613,0.05484848375066949,-0.025818007885138113,-0.1092908351389267,0.03935896143208653,0.1890116037664762,-0.05800743514066459,-0.11789286413212913,-0.0031734265044405,-0.04924234978980157,-0.008115154627580948,-0.05639739197152985,0.22804826888313567,-0.13819722591924216,-0.03823249510438756,0.08721869640732452,0.022663801865612235,0.012850440114537783,-0.08219809239935626,0.07842806460100173,0.02412385881729108,0.04762562519206457
blood_glucose_mean,0.16833360240136663,1.0,0.2034750905110467,0.24550419936717893,0.5305640691439449,0.012968452794934193,0.2906980074673948,0.04302873049249205,-0.1914628586190241,0.026411350521961047,-0.17387611607146033,0.0961872255071759,0.07042195625334462,-0.02857320042327843,-0.19208910434418444,0.0880602119052498,-0.23416136194130885,0.3266169911851238,0.2544747084672245,0.22165619797066172,0.17208198371443306,0.07143007864718409,-0.15627479184657622,-0.031142156989026653,0.1946403870849557,0.07207593507073379,-0.08782492449936259,0.0923906941879421,-0.2068691970754498,0.3158401045334644,-0.12957717143005626,0.38689145248197837,-0.37420784376009897,0.24484339297536464,-0.23726546701531062,-0.07066509496071473,-0.05279815195855534,-0.173978659654114,-0.42444387420806134,0.1350379580963697,0.1271659472916198,0.1789601198022394,0.1663013054866562,0.2545019223796624,-0.2032636946661265,-0.014572059329343025,0.047554852682787974,-0.012996022835786542,-0.052974562499077955,-0.08011512916907733,0.02142092680976493,-0.012050694973864481,-0.028058841095512002,0.13139625806662683,-0.036401973225218834,0.029825148501792957,-0.03944599012048639,-0.08934490186427028,-0.08976925619367737,-0.13572623351381394,-0.13011079930255798,-0.05790497329062866,-0.06402003484327716,0.04790784470634139,0.2714056457357802,0.012799756956469868,0.19185374030564925,-0.07740256231912193,0.22206956285040036,-0.1376989311415965,-0.20881189750201357,-0.23333255545878018,0.048437050907363305,0.015587128230244196,0.024964294871193646,0.09946710955833174,-0.02915780404371385,-0.04839748855677946,0.24715975636816837,-0.021490708442221996,-0.10020905838759796,0.02165842842134802,0.11342739846506014,0.011657353469792743,0.22355196922176107,0.19612625628087202,0.2679251069063129,0.1703814837038054,-0.024053687119849985,-0.006523015715322878,0.039638890046773775,0.2676852422724648,-0.06750958014876653,0.13508389079967256,-0.10765785161668641,0.018129324014366552,0.014992945553442626,0.038502860774961255,0.48577451151659856,0.023006988210112458,0.027233833143970244,0.09871575196845014,-0.04089477792031837,-0.02835424648284045,-0.11176583368524415,-0.028458494113421884,-0.08001730006288124,0.03243054930812081
resp_rate_mean,0.1330441588917858,0.2034750905110467,1.0,0.22896399937897904,0.11011820119522675,0.0732942526784114,0.17604590364236397,0.10381726635649378,-0.021334436484071764,0.15177081617388735,-0.10330200549438837,0.1355624784656042,0.09215607290465978,0.03503143914643712,0.009227593081885739,-0.08314584228225014,-0.030685677406726886,0.2261498948457983,0.1504939634406951,-0.044684093555905975,0.09181264391900867,0.13838572517762202,-0.03703282809755523,0.020756125809784698,0.2642402319559569,0.0558073035731896,0.05250908798498095,-0.007276198486316101,-0.045762748962739214,0.2201160327132977,-0.03673306655251481,0.21342110630749286,-0.10527149439758639,0.22949852605664559,0.003055579336095063,0.09940965967579675,-0.10150445944464775,-0.03622106743880717,-0.1259381159136174,0.19939852771734584,0.11239003002443401,0.1025071979839865,0.040887399413624126,0.1345307298174914,-0.08056824639238741,0.058176422756978395,-0.09780838219648998,-0.045564067090181584,-0.0037523174967274047,-0.1540199870670283,0.017982654310284712,-0.07677041686660847,0.03536375545893659,0.05544746134718752,-0.08870592206683067,-0.021115924743217985,-0.09437915970477942,-0.012370303866268322,0.006335608747312358,-0.08095572990345476,-0.07579493568221084,-0.05540742666068202,0.013640637139631066,0.002510479003773911,0.16678031121466855,0.015212672306868222,0.060779287693621516,-0.0030885834836695035,0.13934108706527154,-0.03706449268867624,-0.1836383369103702,-0.1371601716459496,0.014952932596483295,0.11760744074679036,0.0712910389497996,0.0776637115471981,0.03590859189840512,0.02481482972490185,0.04104884188206355,0.0348794668747788,-0.00388643559835779,0.050011002253500435,0.030539417143735086,0.07230331195156169,0.07720883273446666,0.12733057581313179,0.1663785142275979,0.08201201866116074,0.031428298971135506,0.021525639330962857,0.04056048412631756,0.157968009728038,0.0013639866599351568,0.07816794822891439,-0.02215752180122628,0.054264626229109464,-0.006358223113990269,0.02156450992710336,0.18191869814325326,0.05405489187654976,-0.025255210307071695,0.02175716410742713,0.023514553412119804,-0.02625681926874355,-0.01647654551957512,-0.02568157944657245,-0.015770523092093557,-0.012635049611381116
stress_mean,0.8257618013120749,0.24550419936717893,0.22896399937897904,1.0,0.21404399814723987,0.5112798170826166,0.7779513785612091,0.508347746870713,-0.2901891955087267,0.11639153669026078,-0.279601857060332,0.030601722636685535,0.3000142908337524,0.06993608707238343,0.2339474732335984,-0.31135505397479063,-0.08016372567645977,0.2915900171454884,0.12591292175248142,0.020356220190832476,0.06103724854613854,-0.09555910119732537,-0.06315724101877926,-0.1232900770488128,0.0417807517405348,0.05707611118006262,0.23956432138462672,-0.1304828377506247,-0.196718990181601,0.274446058130846,0.15750224630660234,0.1614235183668476,-0.009081290634077617,0.25109747914874614,0.10054616683656026,-0.08346094133802394,-0.10283677120878851,-0.11763290484680933,-0.11395009922801182,0.14458791944267352,0.10119667280664205,0.05751639325135666,-0.0326550582616383,-0.03028536894485267,-0.2584919377836357,-0.08656608946057438,-0.3631874551295189,-0.11367949078198225,-0.15309218493059817,-0.021371400186394544,-0.008210561859621985,-0.18529161850692313,0.11334857878585573,0.11948214165466971,-0.2512966095655117,0.0034952404562345893,0.0416586322073819,0.10086366737023827,0.12506547008148072,-0.12376802922218512,-0.08138167205270923,-0.0018706706457953617,-0.01370176670581844,0.000197565808817098,0.6790250590947889,-0.18533096903683355,-0.023311706459941565,-0.42527971000844156,0.22842792396386782,0.13048050730482094,-0.17311179492292936,-0.12153848615763597,0.0650921327246513,0.03228054805139342,-0.007498052963291161,-0.013759551187710533,0.12817339215783785,0.03280152002889327,0.12253660007807146,-0.018565113910139895,-0.06266795292096815,-0.005677071995016222,0.1065596557015814,-0.1254145835629177,-0.05178988722296547,0.07595158046583339,0.13557690755461788,0.08904093261866583,-0.038775776251212764,-0.051659195090227046,0.03779896902925534,0.19772756939724428,-0.024762963956107636,-0.08380981331768746,-0.03356014012845895,-0.04283176273022745,0.0012168413857767749,-0.035513701858862594,0.23806312151993353,-0.09250942460750818,-0.1493054200622759,0.05669465488103855,0.13795277985014312,0.07875423885366246,-0.05334837272678665,0.06820382052281343,0.015724740028791595,0.05711697553582156
blood_glucose_std,0.17644754388996164,0.5305640691439449,0.11011820119522675,0.21404399814723987,1.0,0.02974279058510384,0.24358894142301465,0.003498091215735974,-0.12751632987566794,0.06740906432065526,-0.14750183475427844,0.09449222399620573,0.04451594068922117,-0.036776616675526806,-0.11300302962389641,0.07629962869153804,-0.16542755281822985,0.2161302509456774,0.17088559650845717,0.12996022031897367,0.08115637211076569,0.192538279083144,-0.010035333888787048,0.015638034633679465,0.07064163092508019,0.10090125824468686,-0.13520308498666497,-0.007166150084981728,-0.2505017431756015,0.3293372450263182,-0.08462439335116038,0.30352031742379754,-0.1557174293373556,0.1859638508551852,-0.21944047870574113,-0.05604475827461301,-0.12254421800394275,-0.16346696558135956,-0.24947700340181864,0.07890916931627688,0.11827668407348227,0.01769522933277328,0.06873813151462366,0.1998437543287681,-0.22575687669576286,-0.0011464225052832718,0.02412038395033958,-0.005080497085513294,-0.07973059942665661,-0.004762644316046639,0.0644092663002213,-0.0741231509647138,-0.05714122313012021,0.071582160819291,-0.111686308304447,0.050602542669757736,-0.03135108164714702,-0.12159021018845094,-0.09468969453755981,-0.06359745868652654,-0.12013116295382745,-0.014597016768910323,-0.02540313576808739,0.05508771653357491,0.17395528613388936,0.007993048715251227,0.23037451526757674,-0.02343995964443053,0.20776072483173552,-0.06435304431905985,-0.1768460805765329,-0.10372886414147706,0.04529101007172443,0.006546057300683556,0.011457563811086455,0.1282340321992985,0.04021270998021313,0.005329539145398252,0.25931644101310736,-0.024550220396131844,-0.13667448362357065,0.05951429282502453,0.12400744473943356,0.04420108948327537,0.151104676098844,0.09479226548073319,0.23653096386028252,0.19361300609410115,-0.003245982530810193,-0.010909337380684626,0.02425023785160568,0.1434930292289508,-0.043222905554812466,0.06431277140705959,-0.0863665520077703,0.0472989580800606,0.019868802882748414,0.06642854599425949,0.41471114436086265,-0.025186106010104885,0.09655163599650234,0.05854907952995455,-0.10333555421047026,-0.005009855883462364,-0.021865563765060755,0.03023630461634631,-0.08739300175845198,0.0419378910851697
total_steps,0.6098804348475048,0.012968452794934193,0.0732942526784114,0.5112798170826166,0.02974279058510384,1.0,0.41009275854208455,0.7028100354011896,-0.2773242425666518,0.07094219664176213,-0.13647472821736872,-0.06536619783475339,0.4092281097723957,0.29141527257645633,0.6955902532786703,-0.6078452742349916,-0.13691199502553417,0.153020415154863,0.09972510638351377,-0.05197856924728763,0.08367246169290969,-0.24754957191350643,0.04825248674359291,-0.21612610696823115,-0.08286970018685924,0.09982012345630357,0.14974088289403073,-0.1525774627282002,-0.17227381897439228,0.035709833574102776,0.47109198643090155,0.04775496487031683,0.0869207771549381,0.11341138538063604,0.30622933493748655,0.014056108234397515,0.20461945839613155,-0.044461467615539915,0.21150940536431032,0.24405124566461095,0.08685303514716612,-0.027042514924358454,-0.015205557557093883,0.07876648586812808,-0.04102835823877693,-0.10183541921220803,-0.24333066228878758,-0.013855488221389182,-0.17185311672240128,0.02862458678190877,2.107661964309465e-05,-0.24221657124744309,0.23023580357484355,0.10561792465939651,-0.2634754855933693,0.09673276350054397,-0.12241489885338147,0.07413812575576385,0.04244862872407039,-0.1296803618282717,-0.17331906804292424,-0.0319173898990804,-0.0592724813300585,-0.15904502533912218,0.47892543769852935,-0.14608222697459153,0.011699050774904423,-0.4114807121967061,-0.014979054977849966,0.15705280432065746,0.05336415565007111,-0.09504008006609925,-0.017926404748458625,-0.0727367172216957,-0.15502296657782172,-0.15626964498147258,-0.04268838928960424,-0.05509426697554504,0.030527776391313266,-0.053154186942535445,0.03796609215262364,0.03155282621569305,0.04591394736740922,-0.19519823089337368,-0.17840716288485242,-0.056511064313622,-0.12332784329855798,-0.0757698936544217,-0.06917845100506627,-0.1019315485004084,0.05484878291557705,0.03594172800274613,-0.13075429998624774,-0.22530408674609395,-0.016700405084171945,-0.04502233574793028,-0.016387299133205174,-0.12001733614744624,0.07739215918149668,-0.21057384951680794,0.012492318119828968,0.02762697611898581,-0.020052551374296543,-0.047246470613660184,-0.028501707312342098,0.08811956405706552,0.004986800417807771,0.029188248890720466
resting_heart_rate,0.8237137936041358,0.2906980074673948,0.17604590364236397,0.7779513785612091,0.24358894142301465,0.41009275854208455,1.0,0.47466764726150357,-0.2080576101713256,0.15667309507826438,-0.20197657679212172,0.019883360526325788,0.30433984797639685,0.055660888300127095,0.13273453586687092,-0.2362949977326049,0.040428992895248386,0.34220043164001945,0.23126363765601193,0.18072970328041804,0.08855077413769798,-0.10610437625556741,-0.2113856576057645,-0.07316257022130203,0.022365654225438174,0.06314567000602476,0.250558224739187,-0.11188482178038031,-0.21790205846973815,0.3170864540134789,0.15852525857856906,0.1815327216965697,-0.10951825678745866,0.2601883967441199,-0.026788299348298097,-0.11455769277088146,-0.20742826152539134,-0.07710598711518218,-0.26264154737965106,0.09438763833843546,0.10766681715035002,0.10893701331223975,-0.010619609210093044,-0.025267119556993192,-0.2946467248644896,-0.09033909171858878,-0.3694030504235575,-0.08170182264313533,-0.089076327307246,-0.07120590225790951,0.01239281355969801,-0.15021561900268954,0.12491741960414035,0.15445643634999803,-0.26622184980126923,0.061082268627936025,0.10461587690771512,0.08022847138052511,0.10275420380616826,-0.1778406670280109,-0.09684416009476876,-0.023561617327228716,-0.029036740270451736,0.05824425828894519,0.7069423339445335,-0.09525962734607409,0.012350747430865214,-0.49591521942142236,0.2175599391732166,0.11421845500597644,-0.2627634523433043,-0.14714712831417534,0.10515359290735535,-0.003149406545070495,-0.0023315424396962224,-0.019221434558587075,0.10220746115903351,0.01887125568123083,0.19688224105874616,-0.051315842066600656,-0.06147142193217203,-0.07943087650718034,0.12906375197108924,-0.11941190964718813,-0.010768181178122251,0.0449917247167787,0.14301095628790944,0.09971801268871935,-0.03624060947677198,-0.062227661171607405,0.03782693201040678,0.1720761117543564,-0.02535251676458758,-0.04604316464125912,-0.029700115059438936,-0.03513659501511261,0.003279538477645113,-0.033201694758154925,0.26178821193725926,-0.10052517364597895,-0.08593727135882567,0.0842383313763728,0.07251431600339055,0.045783915453158686,-0.0745227006203759,0.021519411286415057,-0.022193743967863316,0.022874854046699967
total_kcal,0.5766412917667045,0.04302873049249205,0.10381726635649378,0.508347746870713,0.003498091215735974,0.7028100354011896,0.47466764726150357,1.0,-0.2159627308555812,0.06401889670744057,-0.13195666103262568,-0.05906699403002326,0.43822107603185056,0.2553600679719833,0.5836195705633036,-0.6149205388450312,-0.060005394874144365,0.16336438973687478,0.07890484704445917,-0.03082305199994034,0.09645772153901402,-0.21742370602068878,-0.07788191106492766,-0.1292855726547527,-0.0008400556272089704,0.08179472247597118,0.24710599099337954,-0.15426612618428742,-0.0642921118750372,0.09732017746561122,0.4147155661612121,0.05889205709063274,-0.01507250348385488,0.1503532273122441,0.16621955953320952,-0.013513734274385571,0.18589588731202672,0.007266639439901591,0.07560607141048853,0.23223502200218243,0.07574124141874901,0.03741644910317847,-0.017926597292598198,0.06200918622071192,-0.06619036049448992,-0.061447328326789695,-0.2649774734721903,-0.008676038387193498,-0.12066939260644463,-0.08223720420118677,0.0036553129214435447,-0.19187305589538606,0.20558789223298787,0.0904407506929575,-0.2200711569565189,0.08359065725597638,-0.16426731220815044,0.05397354437818005,0.02516366786946813,-0.1363195988679262,-0.15376231705993543,-0.06429017852194643,-0.07740226209616481,-0.16463949759618035,0.5410763519605509,-0.11068624232902641,-0.0006786944735044831,-0.35617952922534274,0.030113843948723237,0.10718547696206292,-0.05500311430503383,-0.10386018525565223,-0.0462745881623208,-0.029569254809170144,-0.13162745621980923,-0.1655734277847524,-0.010906044374038632,-0.024394178462792498,0.025489339544902574,-0.06973597809183708,0.05361454040101931,-0.028342279764424192,0.01892166162491052,-0.14183183123794024,-0.13417922217207442,-0.05998573849302574,-0.04329061391201279,-0.048430435139028324,-0.05883212781861088,-0.07203416873535305,0.052168257879589085,0.08381188343796196,-0.11926071138673539,-0.18815683414875423,-0.021464643872477613,-0.03700157860658485,-0.014288599412297136,-0.0881390448755651,0.09963135057826748,-0.16935824040885966,-0.10497080157980038,-0.002042449276760582,0.10414666341699864,0.05661894432702075,-0.06824748550470525,0.044439880181447254,0.0038743264217271345,-0.006388115680739876
sleep_light_hrs,-0.2675227654867952,-0.1914628586190241,-0.021334436484071764,-0.2901891955087267,-0.12751632987566794,-0.2773242425666518,-0.2080576101713256,-0.2159627308555812,1.0,0.08680702327496052,0.20502521932984843,0.14105205095102946,-0.10583641340198618,0.01876728891579296,-0.13019816253279895,0.10664780590500093,0.07491738182757164,0.029496123372112337,0.1251878243728042,-0.05331489174332173,0.003939986862273635,0.21032701243217014,0.011343126697888025,0.11533758697849424,0.07638066000329129,-0.011902407195532113,-0.005033421097322651,-0.035584161036336,0.23479638046269866,0.026009037544336044,-0.007200740589631162,0.009457759130887982,0.05276924372783741,-0.022315592741542784,-0.011129961377183601,0.14909821517696217,0.011412899546580773,0.11827846391098974,-0.0013682560572655246,0.002643341377218851,0.0014429000998443854,0.03433299735486256,0.08003898145129336,-0.07039486197288944,0.12282389950607078,0.11587752542204553,0.10097774371375644,0.008174432028358557,0.14437511431899724,0.010952933826379206,0.1366802536446138,0.1491500775281304,0.03235422918919495,-0.025596089871529837,0.15858376136771904,0.058035297497555,0.026860258590690824,-0.0014391182462105577,0.01889378811690613,0.05172387698425201,0.041117990539152216,0.009274206140915255,0.0033585842601133765,0.06972457756595388,-0.1650065368506643,0.14802369763277842,-0.057081060094774684,0.16984697826085504,-0.03113095522256258,0.11236003275834466,0.059240145965590636,0.21085799903313596,0.01709239380962275,0.06724039220291787,0.13441530161893905,0.06220320392104885,-0.010537650766676638,0.008944257936686488,-0.07156320609683553,0.10726238821578055,0.039488616599529916,0.011950535062182572,-0.01978686021851563,0.11866830406350021,-0.001336693484647764,-0.024571657316246904,-0.07248850534495059,0.01486375489009063,0.08676191609833134,0.06036104294765799,0.022760836816989427,-0.10541095720247669,0.12433700230690582,0.05366139003218343,0.10796988737989437,-0.026311672405231135,0.024561691928713027,0.02851727248561552,-0.15184656085363446,0.13213640169633784,-0.09816291514964541,0.013025974624687004,0.09042456948485077,0.038199198969583605,0.013957411607097733,0.02418319301665597,0.020547454456670798,0.03610230333229097
sleep_deep_hrs,0.10710508480693612,0.026411350521961047,0.15177081617388735,0.11639153669026078,0.06740906432065526,0.07094219664176213,0.15667309507826438,0.06401889670744057,0.08680702327496052,1.0,0.001202443009166709,0.03183080761460693,0.048052430489106575,0.024370896064381805,0.05605733227631535,0.006962644537515086,0.12146622575711627,0.14616325591731047,0.1256902096021914,-0.017412963425683006,-0.006363881353445312,0.029577197261521963,-0.04693038993562985,0.12162630785529707,0.0969208195999089,0.03877309363232903,0.11771787780636192,0.016132367443761748,-0.13535832559896122,0.11990090399086367,-0.0013543925577099438,0.08070507719058541,0.02099671495447789,0.10377726004434494,-0.0018896466202916176,0.1254320028941574,-0.0801662911429537,-0.07261218452057004,0.009204539825113923,0.10211337025491209,0.019724618521050768,-0.0063505436512757705,-0.08148731588240256,-0.08267268094069859,-0.21353878042480315,0.03520481352980906,-0.17366086297598904,-0.04899669241309037,-0.013764884996096927,0.11989939023825705,0.04216743534395235,-0.17629149499642305,0.008894879304962994,-0.04659672387576123,-0.2249915168529885,-0.054319842336127536,0.10245378632078675,0.0925399261730194,0.10773183864673272,0.024080796376955593,0.0017326367693393408,0.08674901502603564,0.1354308908350736,0.08048076744515421,0.1179814017258348,0.10385175175211257,0.06915304598710086,-0.016345376295448164,0.02423054988316818,0.03855164447993925,-0.12345123221893797,0.01573727646840431,0.021544750670257344,0.06091337880393312,0.04081750342176614,-0.020828706601743345,0.07696253761365845,-0.006418886953733612,-0.00626473900036209,0.02536000322044946,0.02283509757144961,-0.004579772464765984,-0.001067063680293381,0.016116081155477024,0.00047208808555458166,0.021749562866383843,0.04671756467851141,0.10197524368957755,0.04367345806218057,-0.026691048141790553,-0.006858459766098623,0.041136030204014615,-0.037057533427045715,-0.04042094751149262,-0.008518753431655042,0.04263764524051193,-0.013516452781389235,0.011227629919249608,0.019351184557897336,-0.029766285613293076,0.028444885065172072,-0.04776696670123135,-0.025461232687135887,0.008164941308710994,0.047847611892218436,0.08889417716056976,0.03964928731274944,0.10336832048373178
