Logging
iteration 0 | D LOSS = 1.4259 | G LOSS = 0.1570 | AVG R =0.5390 | mean_pen: 0.0174 |  
iteration 50 | D LOSS = 1.1917 | G LOSS = -0.0815 | AVG R =0.3874 | mean_pen: 0.0138 |  
iteration 100 | D LOSS = 1.2926 | G LOSS = -0.0794 | AVG R =0.4521 | mean_pen: 0.0077 |  
iteration 150 | D LOSS = 1.3442 | G LOSS = -0.0722 | AVG R =0.4819 | mean_pen: 0.0033 |  
iteration 200 | D LOSS = 1.3644 | G LOSS = -0.0641 | AVG R =0.4932 | mean_pen: 0.0013 |  
iteration 250 | D LOSS = 1.3690 | G LOSS = -0.0475 | AVG R =0.4939 | mean_pen: 0.0009 |  
iteration 300 | D LOSS = 1.3693 | G LOSS = -0.0400 | AVG R =0.4934 | mean_pen: 0.0006 |  
iteration 350 | D LOSS = 1.3668 | G LOSS = -0.0357 | AVG R =0.4908 | mean_pen: 0.0005 |  
iteration 400 | D LOSS = 1.3637 | G LOSS = -0.0306 | AVG R =0.4887 | mean_pen: 0.0005 |  
iteration 450 | D LOSS = 1.3587 | G LOSS = -0.0289 | AVG R =0.4877 | mean_pen: 0.0005 |  
iteration 500 | D LOSS = 1.3565 | G LOSS = -0.0319 | AVG R =0.4852 | mean_pen: 0.0004 |  
iteration 550 | D LOSS = 1.3549 | G LOSS = -0.0239 | AVG R =0.4847 | mean_pen: 0.0004 |  
iteration 600 | D LOSS = 1.3541 | G LOSS = -0.0145 | AVG R =0.4842 | mean_pen: 0.0004 |  
iteration 650 | D LOSS = 1.3521 | G LOSS = -0.0103 | AVG R =0.4831 | mean_pen: 0.0005 |  
iteration 700 | D LOSS = 1.3488 | G LOSS = -0.0080 | AVG R =0.4816 | mean_pen: 0.0005 |  
iteration 750 | D LOSS = 1.3478 | G LOSS = -0.0099 | AVG R =0.4801 | mean_pen: 0.0006 |  
iteration 800 | D LOSS = 1.3461 | G LOSS = -0.0041 | AVG R =0.4795 | mean_pen: 0.0007 |  
iteration 850 | D LOSS = 1.3431 | G LOSS = -0.0014 | AVG R =0.4789 | mean_pen: 0.0009 |  
iteration 900 | D LOSS = 1.3409 | G LOSS = 0.0030 | AVG R =0.4789 | mean_pen: 0.0009 |  
iteration 950 | D LOSS = 1.3426 | G LOSS = -0.0055 | AVG R =0.4769 | mean_pen: 0.0007 |  
iteration 1000 | D LOSS = 1.3421 | G LOSS = 0.0040 | AVG R =0.4784 | mean_pen: 0.0008 |  
iteration 1050 | D LOSS = 1.3420 | G LOSS = -0.0083 | AVG R =0.4771 | mean_pen: 0.0007 |  
iteration 1100 | D LOSS = 1.3404 | G LOSS = -0.0008 | AVG R =0.4771 | mean_pen: 0.0008 |  
iteration 1150 | D LOSS = 1.3409 | G LOSS = -0.0092 | AVG R =0.4764 | mean_pen: 0.0007 |  
iteration 1200 | D LOSS = 1.3414 | G LOSS = -0.0123 | AVG R =0.4765 | mean_pen: 0.0008 |  
iteration 1250 | D LOSS = 1.3391 | G LOSS = -0.0038 | AVG R =0.4760 | mean_pen: 0.0008 |  
iteration 1300 | D LOSS = 1.3395 | G LOSS = -0.0054 | AVG R =0.4766 | mean_pen: 0.0009 |  
iteration 1350 | D LOSS = 1.3393 | G LOSS = -0.0032 | AVG R =0.4772 | mean_pen: 0.0011 |  
iteration 1400 | D LOSS = 1.3405 | G LOSS = -0.0019 | AVG R =0.4771 | mean_pen: 0.0010 |  
iteration 1450 | D LOSS = 1.3400 | G LOSS = 0.0060 | AVG R =0.4776 | mean_pen: 0.0012 |  
iteration 1500 | D LOSS = 1.3424 | G LOSS = -0.0002 | AVG R =0.4776 | mean_pen: 0.0011 |  
iteration 1550 | D LOSS = 1.3418 | G LOSS = 0.0010 | AVG R =0.4771 | mean_pen: 0.0010 |  
iteration 1600 | D LOSS = 1.3418 | G LOSS = -0.0030 | AVG R =0.4771 | mean_pen: 0.0010 |  
iteration 1650 | D LOSS = 1.3418 | G LOSS = 0.0012 | AVG R =0.4780 | mean_pen: 0.0009 |  
iteration 1700 | D LOSS = 1.3409 | G LOSS = -0.0000 | AVG R =0.4776 | mean_pen: 0.0009 |  
iteration 1750 | D LOSS = 1.3428 | G LOSS = 0.0228 | AVG R =0.4778 | mean_pen: 0.0010 |  
iteration 1800 | D LOSS = 1.3441 | G LOSS = 0.0398 | AVG R =0.4785 | mean_pen: 0.0011 |  
iteration 1850 | D LOSS = 1.3432 | G LOSS = 0.0723 | AVG R =0.4789 | mean_pen: 0.0009 |  
iteration 1900 | D LOSS = 1.3425 | G LOSS = 0.1061 | AVG R =0.4792 | mean_pen: 0.0010 |  
