α=1.00%, θ*=0.95, TPR=0.0105, FPR=0.0088, PPV=0.5457, Advantage=0.0018
α=2.00%, θ*=1.00, TPR=0.0184, FPR=0.0132, PPV=0.5828, Advantage=0.0052
α=3.00%, θ*=1.00, TPR=0.0184, FPR=0.0132, PPV=0.5828, Advantage=0.0052
α=4.00%, θ*=1.05, TPR=0.0282, FPR=0.0373, PPV=0.4305, Advantage=-0.0091
α=5.00%, θ*=1.05, TPR=0.0282, FPR=0.0373, PPV=0.4305, Advantage=-0.0091
α=6.00%, θ*=1.10, TPR=0.0368, FPR=0.0570, PPV=0.3920, Advantage=-0.0203
α=7.00%, θ*=1.10, TPR=0.0368, FPR=0.0570, PPV=0.3920, Advantage=-0.0203
α=8.00%, θ*=1.15, TPR=0.0493, FPR=0.0768, PPV=0.3909, Advantage=-0.0275
α=9.00%, θ*=1.20, TPR=0.0632, FPR=0.0899, PPV=0.4128, Advantage=-0.0267
α=10.00%, θ*=1.30, TPR=0.0892, FPR=0.0987, PPV=0.4747, Advantage=-0.0095
α=11.00%, θ*=1.35, TPR=0.1066, FPR=0.1053, PPV=0.5031, Advantage=0.0013
α=12.00%, θ*=1.35, TPR=0.1066, FPR=0.1053, PPV=0.5031, Advantage=0.0013
α=13.00%, θ*=1.40, TPR=0.1284, FPR=0.1250, PPV=0.5067, Advantage=0.0034
α=14.00%, θ*=1.45, TPR=0.1505, FPR=0.1338, PPV=0.5293, Advantage=0.0167
α=15.00%, θ*=1.50, TPR=0.1811, FPR=0.1447, PPV=0.5558, Advantage=0.0363
α=16.00%, θ*=1.60, TPR=0.2428, FPR=0.1579, PPV=0.6060, Advantage=0.0849
α=17.00%, θ*=1.60, TPR=0.2428, FPR=0.1579, PPV=0.6060, Advantage=0.0849
α=18.00%, θ*=1.60, TPR=0.2428, FPR=0.1579, PPV=0.6060, Advantage=0.0849
α=19.00%, θ*=1.60, TPR=0.2428, FPR=0.1579, PPV=0.6060, Advantage=0.0849
α=20.00%, θ*=1.65, TPR=0.2757, FPR=0.1908, PPV=0.5910, Advantage=0.0849
α=21.00%, θ*=1.65, TPR=0.2757, FPR=0.1908, PPV=0.5910, Advantage=0.0849
α=22.00%, θ*=1.65, TPR=0.2757, FPR=0.1908, PPV=0.5910, Advantage=0.0849
α=23.00%, θ*=1.65, TPR=0.2757, FPR=0.1908, PPV=0.5910, Advantage=0.0849
α=24.00%, θ*=1.70, TPR=0.3176, FPR=0.2368, PPV=0.5728, Advantage=0.0807
α=25.00%, θ*=1.70, TPR=0.3176, FPR=0.2368, PPV=0.5728, Advantage=0.0807
α=26.00%, θ*=1.70, TPR=0.3176, FPR=0.2368, PPV=0.5728, Advantage=0.0807
α=27.00%, θ*=1.75, TPR=0.3519, FPR=0.2697, PPV=0.5661, Advantage=0.0821
α=28.00%, θ*=1.75, TPR=0.3519, FPR=0.2697, PPV=0.5661, Advantage=0.0821
