feature,avg_drop_acc
blood_glucose_mean,0.018720000000000018
blood_glucose_std,0.013760000000000014
Chloride (mEq/L)_value (mEq/L),0.008320000000000008
Total Cholesterol (mg/dL)_value (mg/dL),0.007400000000000006
HDL Cholesterol (mg/dL)_value (mg/dL),0.005960000000000005
Sodium (mEq/L)_value (mEq/L),0.005560000000000005
Dry eye (1+),0.005280000000000005
lettera_time_value,0.004720000000000004
delayed_recall_with_no_clue_time_value,0.004480000000000004
A/G Ratio_value,0.004200000000000004
Arthritis,0.0038800000000000037
Cataracts (1+ eyes),0.003480000000000003
digitspan_time_value,0.0033200000000000026
High blood pressure,0.0029600000000000026
stress_mean,0.0028400000000000027
QRSD,0.0028000000000000026
Alkaline Phosphatase (IU/L)_value (IU/L),0.002200000000000002
Rate,0.002200000000000002
cube_visuospatial_executive_time_value,0.0021200000000000017
Diabetic retinopathy (1+),0.002040000000000002
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.002040000000000002
P,0.0020000000000000018
moca_abstraction_time_value,0.0018400000000000014
T,0.0017600000000000016
Marijuana user,0.0016800000000000016
Glaucoma (1+),0.0016400000000000015
High blood cholesterol,0.0016400000000000015
Heart attack,0.0015200000000000014
moca_orientation_value,0.0014000000000000013
OTHERWISE NORMAL,0.0013600000000000014
trails_visuospatial_executive_value,0.0013200000000000013
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",0.0013200000000000013
Low blood pressure,0.0012800000000000012
"Protein, Total (g/dL)_value (g/dL)",0.001200000000000001
Urinary problems,0.001160000000000001
C-Peptide (ng/mL)_value (ng/mL),0.0011600000000000009
QTc,0.0011600000000000009
memory_trial1_value,0.001120000000000001
naming_value,0.001120000000000001
Obesity,0.001120000000000001
Potassium (mEq/L)_value (mEq/L),0.0010400000000000008
trails_visuospatial_executive_time_value,0.0010000000000000009
cube_visuospatial_executive_value,0.0010000000000000009
repetition_time_value,0.000960000000000001
Albumin (g/dL)_value (g/dL),0.000960000000000001
Triglycerides (mg/dL)_value (mg/dL),0.0009600000000000008
Chronic pullmonary problems,0.0009200000000000009
moca_orientation_time_value,0.0008800000000000009
memory_trial2_value,0.0008400000000000007
Glucose (mg/dL)_value (mg/dL),0.0008000000000000007
moca_total_score_value,0.0006800000000000007
resting_heart_rate,0.0006800000000000006
moca_abstraction_value,0.0006800000000000006
INSULIN (ng/mL)_value (ng/mL),0.0006400000000000006
resp_rate_mean,0.0006400000000000006
BUN/Creatinine ratio_value,0.0005600000000000006
Age-related macular degeneration,0.0005600000000000004
sleep_awake_hrs,0.0005200000000000005
heart_rate_mean,0.0004800000000000005
memory_trial2_time_value,0.0004800000000000004
Hearing impairment,0.0004400000000000004
"Globulin, Total (g/dL)_value (g/dL)",0.00040000000000000034
PR,0.00040000000000000034
total_kcal,0.0003600000000000004
act_running_hrs,0.0003600000000000003
moca_combined_mis_score_value,0.0003200000000000003
total_steps,0.0003200000000000003
naming_time_value,0.00032000000000000024
AST (IU/L)_value (IU/L),0.00028000000000000014
BUN (mg/dL)_value (mg/dL),0.00024000000000000025
BORDERLINE,0.00020000000000000017
subtraction_value,0.0001600000000000002
Multiple sclerosis,0.00016000000000000015
sleep_deep_hrs,0.00016000000000000015
Creatinine (mg/dL)_value (md/dL),0.00016000000000000015
Other neurological conditions,0.00012000000000000014
memory_trial1_time_value,0.00012000000000000014
Parkinson's disease,8.000000000000007e-05
Urine Albumin (mg/dL)_value (mg/DL),8.000000000000007e-05
Bilirubin Total (mg/dL)_value (mg/dL),3.9999999999999996e-05
Retinal vascular occlusion,0.0
act_generic_hrs,-4.000000000000002e-05
act_walking_hrs,-4.000000000000004e-05
subtraction_time_value,-4.0000000000000105e-05
QRS,-8.00000000000001e-05
Kidney problems,-0.00016000000000000004
CRP - HS (mg/L)_value (mg/L),-0.00016000000000000007
Urine Creatinine (mg/dL)_value (mg/DL),-0.0001600000000000001
sleep_light_hrs,-0.0001600000000000002
lettera_value,-0.0002800000000000002
act_sedentary_hrs,-0.00028000000000000025
QT,-0.00028000000000000025
Other heart issues (pacemaker),-0.0005600000000000004
sleep_rem_hrs,-0.0006400000000000006
Mild cognitive impairmen,-0.0006400000000000006
NORMAL,-0.0007200000000000007
Digestive problems,-0.0007600000000000005
ALT (IU/L)_value (IU/L),-0.0008800000000000009
Calcium (mg/dL)_value (mg/dL),-0.0009200000000000009
Stroke,-0.0009200000000000009
fluency_language_value,-0.0009600000000000008
Cancer,-0.0010000000000000009
clock_visuospatial_executive_time_value,-0.0010000000000000009
Circulation problems,-0.0013200000000000013
ABNORMAL,-0.0014000000000000013
repetition_value,-0.0018000000000000017
Osteoporosis,-0.0018400000000000018
