feature,avg_drop_acc
blood_glucose_mean,0.04027233635929289
BUN/Creatinine ratio_value,0.030582895365504077
blood_glucose_std,0.025785953177257535
Chloride (mEq/L)_value (mEq/L),0.020625895843287164
heart_rate_mean,0.019684663162924047
repetition_value,0.018365981844242717
stress_mean,0.016622073578595332
Dry eye (1+),0.015690396559961774
cube_visuospatial_executive_value,0.015322503583373165
resting_heart_rate,0.01529861442904922
High blood cholesterol,0.012718585762064033
Albumin (g/dL)_value (g/dL),0.01270903010033445
trails_visuospatial_executive_value,0.012231247013855721
clock_visuospatial_executive_time_value,0.008752986144290511
ABNORMAL,0.008719541328237006
Urinary problems,0.007434304825609188
Sodium (mEq/L)_value (mEq/L),0.007415193502150049
"Protein, Total (g/dL)_value (g/dL)",0.007004300047778326
A/G Ratio_value,0.006559961777353088
moca_total_score_value,0.006545628284758723
memory_trial1_value,0.006493072145246059
"Globulin, Total (g/dL)_value (g/dL)",0.006077400860009562
moca_orientation_value,0.005695174390826589
sleep_awake_hrs,0.005690396559961787
Total Cholesterol (mg/dL)_value (mg/dL),0.0056712852365026385
QRSD,0.005661729574773062
resp_rate_mean,0.005269947443860489
BORDERLINE,0.0038891543239369273
sleep_deep_hrs,0.003062589584328714
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.003038700430004786
HDL Cholesterol (mg/dL)_value (mg/dL),0.0030339225991400064
Potassium (mEq/L)_value (mEq/L),0.002637362637362645
T,0.002627806975633069
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",0.002197802197802212
sleep_light_hrs,0.002193024366937415
Diabetic retinopathy (1+),0.0021930243669374063
Glucose (mg/dL)_value (mg/dL),0.0021739130434782704
total_kcal,0.0017677974199713463
memory_trial2_value,0.001758241758241752
Urine Creatinine (mg/dL)_value (mg/DL),0.0017391304347826163
naming_time_value,0.0017391304347826163
memory_trial1_time_value,0.0017391304347826163
QRS,0.0013139034878165388
OTHERWISE NORMAL,0.0013139034878165302
trails_visuospatial_executive_time_value,0.0013091256569517506
moca_orientation_time_value,0.0013043478260869755
P,0.0013043478260869623
moca_abstraction_time_value,0.0013043478260869623
INSULIN (ng/mL)_value (ng/mL),0.0012900143334925974
act_walking_hrs,0.0012661251791686603
act_generic_hrs,0.0008791208791208936
Mild cognitive impairmen,0.0008791208791208849
repetition_time_value,0.0008695652173913082
Osteoporosis,0.0008647873865265242
QTc,0.0008552317247969565
delayed_recall_with_no_clue_time_value,0.0008408982322025959
Other neurological conditions,0.000444338270425244
total_steps,0.00043956043956045577
naming_value,0.0004347826086956541
BUN (mg/dL)_value (mg/dL),0.00043478260869564514
subtraction_time_value,0.0004300047778308702
Low blood pressure,4.423544863740858e-18
act_running_hrs,0.0
Urine Albumin (mg/dL)_value (mg/DL),0.0
Heart attack,0.0
Multiple sclerosis,0.0
Age-related macular degeneration,0.0
Parkinson's disease,0.0
Retinal vascular occlusion,0.0
lettera_value,0.0
moca_abstraction_value,-8.847089727481716e-18
Circulation problems,-4.777830864788161e-06
Glaucoma (1+),-9.55566172957667e-06
Alkaline Phosphatase (IU/L)_value (IU/L),-1.911132345913981e-05
PR,-0.000439560439560438
Stroke,-0.00043956043956044243
AST (IU/L)_value (IU/L),-0.0004443382704252308
C-Peptide (ng/mL)_value (ng/mL),-0.0004443382704252308
lettera_time_value,-0.0004491161012900192
ALT (IU/L)_value (IU/L),-0.0004538939321547853
act_sedentary_hrs,-0.00045389393215479397
Triglycerides (mg/dL)_value (mg/dL),-0.0004538939321547987
memory_trial2_time_value,-0.000453893932154803
Cataracts (1+ eyes),-0.0005016722408026468
Chronic pullmonary problems,-0.0008695652173912993
Rate,-0.0008934543717152368
Bilirubin Total (mg/dL)_value (mg/dL),-0.0013186813186813274
Creatinine (mg/dL)_value (md/dL),-0.0013282369804108862
cube_visuospatial_executive_time_value,-0.001333014811275679
NORMAL,-0.0013377926421404584
sleep_rem_hrs,-0.0017391304347825986
CRP - HS (mg/L)_value (mg/L),-0.0017582417582417697
fluency_language_value,-0.0017773530817008876
Kidney problems,-0.002197802197802212
Other heart issues (pacemaker),-0.002197802197802212
subtraction_value,-0.0026564739608217814
QT,-0.003100812231247008
Arthritis,-0.0031103678929765752
Marijuana user,-0.0035069278547539455
Calcium (mg/dL)_value (mg/dL),-0.0035355948399426575
moca_combined_mis_score_value,-0.005298614429049194
digitspan_time_value,-0.0057190635451505
Cancer,-0.006139512661251798
Digestive problems,-0.006153846153846163
Hearing impairment,-0.0065886287625418
Obesity,-0.007467749641662684
High blood pressure,-0.00789775441949355
