α=1.00%, θ*=1.00, TPR=1.0000, FPR=0.0088, PPV=0.9913, Advantage=0.9912
α=2.00%, θ*=1.00, TPR=1.0000, FPR=0.0088, PPV=0.9913, Advantage=0.9912
α=3.00%, θ*=1.05, TPR=1.0000, FPR=0.0285, PPV=0.9723, Advantage=0.9715
α=4.00%, θ*=1.20, TPR=1.0000, FPR=0.0351, PPV=0.9661, Advantage=0.9649
α=5.00%, θ*=1.25, TPR=1.0000, FPR=0.0417, PPV=0.9600, Advantage=0.9583
α=6.00%, θ*=1.25, TPR=1.0000, FPR=0.0417, PPV=0.9600, Advantage=0.9583
α=7.00%, θ*=1.30, TPR=1.0000, FPR=0.0614, PPV=0.9421, Advantage=0.9386
α=8.00%, θ*=1.30, TPR=1.0000, FPR=0.0614, PPV=0.9421, Advantage=0.9386
α=9.00%, θ*=1.35, TPR=1.0000, FPR=0.0877, PPV=0.9194, Advantage=0.9123
α=10.00%, θ*=1.40, TPR=1.0000, FPR=0.0987, PPV=0.9102, Advantage=0.9013
α=11.00%, θ*=1.45, TPR=1.0000, FPR=0.1096, PPV=0.9012, Advantage=0.8904
α=12.00%, θ*=1.45, TPR=1.0000, FPR=0.1096, PPV=0.9012, Advantage=0.8904
α=13.00%, θ*=1.55, TPR=1.0000, FPR=0.1250, PPV=0.8889, Advantage=0.8750
α=14.00%, θ*=1.60, TPR=1.0000, FPR=0.1360, PPV=0.8803, Advantage=0.8640
α=15.00%, θ*=1.60, TPR=1.0000, FPR=0.1360, PPV=0.8803, Advantage=0.8640
α=16.00%, θ*=1.60, TPR=1.0000, FPR=0.1360, PPV=0.8803, Advantage=0.8640
α=17.00%, θ*=1.65, TPR=1.0000, FPR=0.1623, PPV=0.8604, Advantage=0.8377
α=18.00%, θ*=1.65, TPR=1.0000, FPR=0.1623, PPV=0.8604, Advantage=0.8377
α=19.00%, θ*=1.65, TPR=1.0000, FPR=0.1623, PPV=0.8604, Advantage=0.8377
α=20.00%, θ*=1.65, TPR=1.0000, FPR=0.1623, PPV=0.8604, Advantage=0.8377
α=21.00%, θ*=1.70, TPR=1.0000, FPR=0.2018, PPV=0.8321, Advantage=0.7982
α=22.00%, θ*=1.70, TPR=1.0000, FPR=0.2018, PPV=0.8321, Advantage=0.7982
α=23.00%, θ*=1.70, TPR=1.0000, FPR=0.2018, PPV=0.8321, Advantage=0.7982
α=24.00%, θ*=1.75, TPR=1.0000, FPR=0.2346, PPV=0.8099, Advantage=0.7654
α=25.00%, θ*=1.75, TPR=1.0000, FPR=0.2346, PPV=0.8099, Advantage=0.7654
α=26.00%, θ*=1.80, TPR=1.0000, FPR=0.2588, PPV=0.7944, Advantage=0.7412
α=27.00%, θ*=1.80, TPR=1.0000, FPR=0.2588, PPV=0.7944, Advantage=0.7412
α=28.00%, θ*=1.80, TPR=1.0000, FPR=0.2588, PPV=0.7944, Advantage=0.7412
α=29.00%, θ*=1.85, TPR=1.0000, FPR=0.2873, PPV=0.7768, Advantage=0.7127
α=30.00%, θ*=1.85, TPR=1.0000, FPR=0.2873, PPV=0.7768, Advantage=0.7127
α=31.00%, θ*=1.85, TPR=1.0000, FPR=0.2873, PPV=0.7768, Advantage=0.7127
α=32.00%, θ*=1.85, TPR=1.0000, FPR=0.2873, PPV=0.7768, Advantage=0.7127
α=33.00%, θ*=1.90, TPR=1.0000, FPR=0.3268, PPV=0.7537, Advantage=0.6732
α=34.00%, θ*=1.90, TPR=1.0000, FPR=0.3268, PPV=0.7537, Advantage=0.6732
α=35.00%, θ*=1.90, TPR=1.0000, FPR=0.3268, PPV=0.7537, Advantage=0.6732
α=36.00%, θ*=1.90, TPR=1.0000, FPR=0.3268, PPV=0.7537, Advantage=0.6732
α=37.00%, θ*=1.90, TPR=1.0000, FPR=0.3268, PPV=0.7537, Advantage=0.6732
α=38.00%, θ*=1.95, TPR=1.0000, FPR=0.3772, PPV=0.7261, Advantage=0.6228
α=39.00%, θ*=1.95, TPR=1.0000, FPR=0.3772, PPV=0.7261, Advantage=0.6228
α=40.00%, θ*=1.95, TPR=1.0000, FPR=0.3772, PPV=0.7261, Advantage=0.6228
α=41.00%, θ*=1.95, TPR=1.0000, FPR=0.3772, PPV=0.7261, Advantage=0.6228
α=42.00%, θ*=1.95, TPR=1.0000, FPR=0.3772, PPV=0.7261, Advantage=0.6228
α=43.00%, θ*=1.95, TPR=1.0000, FPR=0.3772, PPV=0.7261, Advantage=0.6228
α=44.00%, θ*=2.00, TPR=1.0000, FPR=0.4342, PPV=0.6972, Advantage=0.5658
α=45.00%, θ*=2.00, TPR=1.0000, FPR=0.4342, PPV=0.6972, Advantage=0.5658
α=46.00%, θ*=2.00, TPR=1.0000, FPR=0.4342, PPV=0.6972, Advantage=0.5658
α=47.00%, θ*=2.00, TPR=1.0000, FPR=0.4342, PPV=0.6972, Advantage=0.5658
α=48.00%, θ*=2.00, TPR=1.0000, FPR=0.4342, PPV=0.6972, Advantage=0.5658
α=49.00%, θ*=2.05, TPR=1.0000, FPR=0.4825, PPV=0.6746, Advantage=0.5175
α=50.00%, θ*=2.05, TPR=1.0000, FPR=0.4825, PPV=0.6746, Advantage=0.5175
α=51.00%, θ*=2.10, TPR=1.0000, FPR=0.5044, PPV=0.6647, Advantage=0.4956
α=52.00%, θ*=2.10, TPR=1.0000, FPR=0.5044, PPV=0.6647, Advantage=0.4956
α=53.00%, θ*=2.10, TPR=1.0000, FPR=0.5044, PPV=0.6647, Advantage=0.4956
α=54.00%, θ*=2.10, TPR=1.0000, FPR=0.5044, PPV=0.6647, Advantage=0.4956
