feature,avg_drop_acc
blood_glucose_std,0.01104000000000001
HDL Cholesterol (mg/dL)_value (mg/dL),0.01072000000000001
blood_glucose_mean,0.010640000000000009
Chronic pullmonary problems,0.009200000000000009
Dry eye (1+),0.006880000000000006
Cataracts (1+ eyes),0.006440000000000006
Obesity,0.005240000000000004
Total Cholesterol (mg/dL)_value (mg/dL),0.004960000000000004
High blood pressure,0.004840000000000004
Glucose (mg/dL)_value (mg/dL),0.0043600000000000045
Rate,0.003640000000000003
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.003400000000000003
Diabetic retinopathy (1+),0.0032000000000000028
Chloride (mEq/L)_value (mEq/L),0.002480000000000002
QRSD,0.002360000000000002
BUN/Creatinine ratio_value,0.002200000000000002
fluency_language_value,0.0020800000000000016
Urinary problems,0.002040000000000002
subtraction_value,0.002040000000000002
stress_mean,0.0017600000000000016
Heart attack,0.0017200000000000015
Sodium (mEq/L)_value (mEq/L),0.0017200000000000015
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",0.0016400000000000013
moca_orientation_value,0.0016400000000000013
High blood cholesterol,0.001480000000000001
Hearing impairment,0.0014000000000000013
resting_heart_rate,0.001400000000000001
Digestive problems,0.0013200000000000013
Potassium (mEq/L)_value (mEq/L),0.001320000000000001
trails_visuospatial_executive_value,0.001240000000000001
Arthritis,0.001240000000000001
sleep_awake_hrs,0.0011600000000000009
QTc,0.0011600000000000009
Other neurological conditions,0.0010800000000000009
sleep_deep_hrs,0.0010800000000000009
Age-related macular degeneration,0.001040000000000001
OTHERWISE NORMAL,0.000960000000000001
heart_rate_mean,0.0009600000000000008
Parkinson's disease,0.0008800000000000008
Calcium (mg/dL)_value (mg/dL),0.0008400000000000008
Stroke,0.0008000000000000007
repetition_value,0.0007600000000000051
memory_trial2_value,0.0007600000000000007
memory_trial1_value,0.0007600000000000006
delayed_recall_with_no_clue_time_value,0.0007200000000000008
QRS,0.0007200000000000007
PR,0.0007200000000000007
lettera_value,0.0007200000000000006
moca_abstraction_value,0.0006800000000000006
Creatinine (mg/dL)_value (md/dL),0.0006800000000000006
C-Peptide (ng/mL)_value (ng/mL),0.0006800000000000005
P,0.0006400000000000007
act_sedentary_hrs,0.0004800000000000004
BUN (mg/dL)_value (mg/dL),0.00044000000000000045
moca_total_score_value,0.00044000000000000045
total_steps,0.0004400000000000004
repetition_time_value,0.00040000000000000034
Osteoporosis,0.00040000000000000034
lettera_time_value,0.00040000000000000034
Marijuana user,0.00040000000000000034
naming_time_value,0.0003600000000000004
Urine Albumin (mg/dL)_value (mg/DL),0.0003200000000000003
act_running_hrs,0.0003200000000000003
act_generic_hrs,0.00032000000000000024
memory_trial1_time_value,0.0002800000000000002
Triglycerides (mg/dL)_value (mg/dL),0.00024000000000000028
Kidney problems,0.00016000000000000018
INSULIN (ng/mL)_value (ng/mL),0.00016000000000000015
act_walking_hrs,0.00016000000000000012
sleep_rem_hrs,0.00012000000000000013
Multiple sclerosis,0.0001200000000000001
Mild cognitive impairmen,8.000000000000007e-05
total_kcal,8.000000000000003e-05
Alkaline Phosphatase (IU/L)_value (IU/L),8.000000000000003e-05
clock_visuospatial_executive_time_value,0.0
resp_rate_mean,-4.000000000000002e-05
BORDERLINE,-4.000000000000002e-05
Retinal vascular occlusion,-4.000000000000004e-05
trails_visuospatial_executive_time_value,-8.000000000000003e-05
memory_trial2_time_value,-0.00012000000000000006
moca_combined_mis_score_value,-0.00012000000000000014
"Globulin, Total (g/dL)_value (g/dL)",-0.00020000000000000017
"Protein, Total (g/dL)_value (g/dL)",-0.00036000000000000035
Bilirubin Total (mg/dL)_value (mg/dL),-0.00040000000000000034
moca_orientation_time_value,-0.0004800000000000004
Glaucoma (1+),-0.0004800000000000004
sleep_light_hrs,-0.0004800000000000005
QT,-0.0005200000000000005
cube_visuospatial_executive_time_value,-0.0005600000000000005
subtraction_time_value,-0.0006000000000000005
CRP - HS (mg/L)_value (mg/L),-0.0006400000000000005
naming_value,-0.0006800000000000006
ALT (IU/L)_value (IU/L),-0.0007200000000000006
Albumin (g/dL)_value (g/dL),-0.0008000000000000007
NORMAL,-0.0008000000000000007
AST (IU/L)_value (IU/L),-0.0008000000000000007
T,-0.0010000000000000009
Other heart issues (pacemaker),-0.001040000000000001
Urine Creatinine (mg/dL)_value (mg/DL),-0.0010800000000000009
Circulation problems,-0.001080000000000001
cube_visuospatial_executive_value,-0.0012000000000000012
A/G Ratio_value,-0.0012800000000000012
Cancer,-0.0013200000000000013
digitspan_time_value,-0.0015600000000000013
Low blood pressure,-0.0016400000000000015
moca_abstraction_time_value,-0.001880000000000002
ABNORMAL,-0.0024399999999999977
