Logging
iteration 0 | D LOSS = 1.4099 | G LOSS = 0.1076 | AVG R =0.5336 | mean_pen: 0.0177 |  
iteration 50 | D LOSS = 1.2077 | G LOSS = -0.0079 | AVG R =0.3964 | mean_pen: 0.0142 |  
iteration 100 | D LOSS = 1.3079 | G LOSS = -0.0205 | AVG R =0.4664 | mean_pen: 0.0066 |  
iteration 150 | D LOSS = 1.3570 | G LOSS = -0.0268 | AVG R =0.4937 | mean_pen: 0.0024 |  
iteration 200 | D LOSS = 1.3690 | G LOSS = -0.0279 | AVG R =0.4963 | mean_pen: 0.0010 |  
iteration 250 | D LOSS = 1.3715 | G LOSS = -0.0274 | AVG R =0.4937 | mean_pen: 0.0006 |  
iteration 300 | D LOSS = 1.3690 | G LOSS = -0.0304 | AVG R =0.4911 | mean_pen: 0.0005 |  
iteration 350 | D LOSS = 1.3679 | G LOSS = -0.0350 | AVG R =0.4886 | mean_pen: 0.0004 |  
iteration 400 | D LOSS = 1.3653 | G LOSS = -0.0324 | AVG R =0.4897 | mean_pen: 0.0003 |  
iteration 450 | D LOSS = 1.3622 | G LOSS = -0.0316 | AVG R =0.4869 | mean_pen: 0.0005 |  
iteration 500 | D LOSS = 1.3603 | G LOSS = -0.0303 | AVG R =0.4860 | mean_pen: 0.0004 |  
iteration 550 | D LOSS = 1.3579 | G LOSS = -0.0342 | AVG R =0.4842 | mean_pen: 0.0003 |  
iteration 600 | D LOSS = 1.3548 | G LOSS = -0.0288 | AVG R =0.4853 | mean_pen: 0.0003 |  
iteration 650 | D LOSS = 1.3532 | G LOSS = -0.0338 | AVG R =0.4843 | mean_pen: 0.0004 |  
iteration 700 | D LOSS = 1.3517 | G LOSS = -0.0250 | AVG R =0.4816 | mean_pen: 0.0005 |  
iteration 750 | D LOSS = 1.3477 | G LOSS = -0.0312 | AVG R =0.4815 | mean_pen: 0.0004 |  
iteration 800 | D LOSS = 1.3464 | G LOSS = -0.0283 | AVG R =0.4814 | mean_pen: 0.0004 |  
iteration 850 | D LOSS = 1.3445 | G LOSS = -0.0266 | AVG R =0.4791 | mean_pen: 0.0005 |  
iteration 900 | D LOSS = 1.3435 | G LOSS = -0.0332 | AVG R =0.4781 | mean_pen: 0.0005 |  
iteration 950 | D LOSS = 1.3427 | G LOSS = -0.0326 | AVG R =0.4782 | mean_pen: 0.0004 |  
iteration 1000 | D LOSS = 1.3422 | G LOSS = -0.0306 | AVG R =0.4779 | mean_pen: 0.0005 |  
iteration 1050 | D LOSS = 1.3409 | G LOSS = -0.0297 | AVG R =0.4782 | mean_pen: 0.0005 |  
iteration 1100 | D LOSS = 1.3403 | G LOSS = -0.0334 | AVG R =0.4770 | mean_pen: 0.0008 |  
iteration 1150 | D LOSS = 1.3404 | G LOSS = -0.0312 | AVG R =0.4768 | mean_pen: 0.0006 |  
iteration 1200 | D LOSS = 1.3400 | G LOSS = -0.0280 | AVG R =0.4779 | mean_pen: 0.0006 |  
iteration 1250 | D LOSS = 1.3437 | G LOSS = -0.0258 | AVG R =0.4775 | mean_pen: 0.0008 |  
iteration 1300 | D LOSS = 1.3412 | G LOSS = -0.0277 | AVG R =0.4775 | mean_pen: 0.0008 |  
iteration 1350 | D LOSS = 1.3410 | G LOSS = -0.0267 | AVG R =0.4775 | mean_pen: 0.0008 |  
iteration 1400 | D LOSS = 1.3417 | G LOSS = -0.0282 | AVG R =0.4774 | mean_pen: 0.0007 |  
iteration 1450 | D LOSS = 1.3430 | G LOSS = -0.0289 | AVG R =0.4787 | mean_pen: 0.0009 |  
iteration 1500 | D LOSS = 1.3438 | G LOSS = -0.0322 | AVG R =0.4774 | mean_pen: 0.0008 |  
iteration 1550 | D LOSS = 1.3431 | G LOSS = -0.0283 | AVG R =0.4782 | mean_pen: 0.0008 |  
iteration 1600 | D LOSS = 1.3443 | G LOSS = -0.0263 | AVG R =0.4800 | mean_pen: 0.0007 |  
iteration 1650 | D LOSS = 1.3455 | G LOSS = -0.0323 | AVG R =0.4798 | mean_pen: 0.0007 |  
iteration 1700 | D LOSS = 1.3453 | G LOSS = -0.0341 | AVG R =0.4792 | mean_pen: 0.0007 |  
iteration 1750 | D LOSS = 1.3457 | G LOSS = -0.0304 | AVG R =0.4792 | mean_pen: 0.0007 |  
iteration 1800 | D LOSS = 1.3456 | G LOSS = -0.0269 | AVG R =0.4801 | mean_pen: 0.0008 |  
