α=1.00%, θ*=0.95, TPR=0.0151, FPR=0.0046, PPV=0.7668, Advantage=0.0105
α=2.00%, θ*=1.00, TPR=0.0283, FPR=0.0138, PPV=0.6722, Advantage=0.0145
α=3.00%, θ*=1.00, TPR=0.0283, FPR=0.0138, PPV=0.6722, Advantage=0.0145
α=4.00%, θ*=1.05, TPR=0.0400, FPR=0.0368, PPV=0.5208, Advantage=0.0032
α=5.00%, θ*=1.05, TPR=0.0400, FPR=0.0368, PPV=0.5208, Advantage=0.0032
α=6.00%, θ*=1.05, TPR=0.0400, FPR=0.0368, PPV=0.5208, Advantage=0.0032
α=7.00%, θ*=1.10, TPR=0.0529, FPR=0.0621, PPV=0.4601, Advantage=-0.0092
α=8.00%, θ*=1.10, TPR=0.0529, FPR=0.0621, PPV=0.4601, Advantage=-0.0092
α=9.00%, θ*=1.10, TPR=0.0529, FPR=0.0621, PPV=0.4601, Advantage=-0.0092
α=10.00%, θ*=1.15, TPR=0.0663, FPR=0.0966, PPV=0.4072, Advantage=-0.0302
α=11.00%, θ*=1.15, TPR=0.0663, FPR=0.0966, PPV=0.4072, Advantage=-0.0302
α=12.00%, θ*=1.20, TPR=0.0792, FPR=0.1172, PPV=0.4033, Advantage=-0.0380
α=13.00%, θ*=1.20, TPR=0.0792, FPR=0.1172, PPV=0.4033, Advantage=-0.0380
α=14.00%, θ*=1.25, TPR=0.0948, FPR=0.1379, PPV=0.4074, Advantage=-0.0431
α=15.00%, θ*=1.25, TPR=0.0948, FPR=0.1379, PPV=0.4074, Advantage=-0.0431
α=16.00%, θ*=1.30, TPR=0.1056, FPR=0.1540, PPV=0.4066, Advantage=-0.0485
α=17.00%, θ*=1.35, TPR=0.1231, FPR=0.1678, PPV=0.4232, Advantage=-0.0447
α=18.00%, θ*=1.35, TPR=0.1231, FPR=0.1678, PPV=0.4232, Advantage=-0.0447
α=19.00%, θ*=1.40, TPR=0.1524, FPR=0.1885, PPV=0.4470, Advantage=-0.0361
α=20.00%, θ*=1.40, TPR=0.1524, FPR=0.1885, PPV=0.4470, Advantage=-0.0361
α=21.00%, θ*=1.40, TPR=0.1524, FPR=0.1885, PPV=0.4470, Advantage=-0.0361
α=22.00%, θ*=1.45, TPR=0.1960, FPR=0.2184, PPV=0.4730, Advantage=-0.0224
α=23.00%, θ*=1.45, TPR=0.1960, FPR=0.2184, PPV=0.4730, Advantage=-0.0224
α=24.00%, θ*=1.45, TPR=0.1960, FPR=0.2184, PPV=0.4730, Advantage=-0.0224
α=25.00%, θ*=1.50, TPR=0.2340, FPR=0.2483, PPV=0.4852, Advantage=-0.0142
α=26.00%, θ*=1.50, TPR=0.2340, FPR=0.2483, PPV=0.4852, Advantage=-0.0142
α=27.00%, θ*=1.55, TPR=0.2657, FPR=0.2621, PPV=0.5035, Advantage=0.0037
α=28.00%, θ*=1.60, TPR=0.2981, FPR=0.2713, PPV=0.5236, Advantage=0.0269
α=29.00%, θ*=1.65, TPR=0.3286, FPR=0.2897, PPV=0.5315, Advantage=0.0390
α=30.00%, θ*=1.65, TPR=0.3286, FPR=0.2897, PPV=0.5315, Advantage=0.0390
α=31.00%, θ*=1.65, TPR=0.3286, FPR=0.2897, PPV=0.5315, Advantage=0.0390
α=32.00%, θ*=1.65, TPR=0.3286, FPR=0.2897, PPV=0.5315, Advantage=0.0390
α=33.00%, θ*=1.70, TPR=0.3671, FPR=0.3287, PPV=0.5276, Advantage=0.0384
α=34.00%, θ*=1.70, TPR=0.3671, FPR=0.3287, PPV=0.5276, Advantage=0.0384
α=35.00%, θ*=1.70, TPR=0.3671, FPR=0.3287, PPV=0.5276, Advantage=0.0384
α=36.00%, θ*=1.70, TPR=0.3671, FPR=0.3287, PPV=0.5276, Advantage=0.0384
α=37.00%, θ*=1.70, TPR=0.3671, FPR=0.3287, PPV=0.5276, Advantage=0.0384
α=38.00%, θ*=1.75, TPR=0.4047, FPR=0.3770, PPV=0.5177, Advantage=0.0277
α=39.00%, θ*=1.75, TPR=0.4047, FPR=0.3770, PPV=0.5177, Advantage=0.0277
α=40.00%, θ*=1.75, TPR=0.4047, FPR=0.3770, PPV=0.5177, Advantage=0.0277
α=41.00%, θ*=1.75, TPR=0.4047, FPR=0.3770, PPV=0.5177, Advantage=0.0277
α=42.00%, θ*=1.75, TPR=0.4047, FPR=0.3770, PPV=0.5177, Advantage=0.0277
α=43.00%, θ*=1.75, TPR=0.4047, FPR=0.3770, PPV=0.5177, Advantage=0.0277
α=44.00%, θ*=1.75, TPR=0.4047, FPR=0.3770, PPV=0.5177, Advantage=0.0277
α=45.00%, θ*=1.80, TPR=0.4495, FPR=0.4460, PPV=0.5020, Advantage=0.0036
α=46.00%, θ*=1.80, TPR=0.4495, FPR=0.4460, PPV=0.5020, Advantage=0.0036
α=47.00%, θ*=1.80, TPR=0.4495, FPR=0.4460, PPV=0.5020, Advantage=0.0036
