,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.37106058133316755,-0.008985537714994775,0.7847071507216871,0.1726536739643963,0.1883690379881552,0.7841489657954958,0.27852313513214877,-0.227772831485745,0.13206124552429419,-0.14507886436199255,0.046170198026364045,0.3304344826794058,0.003236760459005762,-0.10379569360791459,0.004223317538121524,-0.4589030420539829,-0.050100280343706435,0.0201310228667761,-0.10086911564074834,0.09043111670050083,-0.0365348185555811,-0.1482264394142026,-0.21885628365542262,-0.08393977571345826,0.07591131875972346,0.11314164653405917,-0.03051723612860154,-0.3718362968292749,-0.04709341493478933,0.3766065817551037,0.4381636896245591,0.013794091658113804,0.11567987578865065,-0.07966392177256315,-0.10721101100896457,0.3994654812637865,-0.12373588728690593,0.15880513363352322,0.1014121996916059,0.041029532297627645,0.03257461789959815,0.21740190849718996,-0.06876930492797663,0.24460205279531935,0.007651679083538569,-0.1016516818304819,0.07968487628960842,-0.052549975461527704,-0.17679234507485556,0.1295785593468225,-0.07469147039549766,0.21114444298749638,0.19886192585126028,0.010793552974585948,-0.013368505669317353,-0.035085465305007175,0.06428643128097243,0.010663451810712024,-0.3238831955961202,-0.0676782595174124,-0.19046399054578153,-0.0021922616425148695,-0.13872304705191063,0.4357955876908136,-0.04844731197721379,-0.29628518913295493,-0.4843527723030918,0.23562165180889702,0.19691057721462543,-0.04115601420951643,-0.10989687713141419,0.06739584893770581,-0.06154275278678836,-0.10832300014650353,0.07681098462517216,-0.07051995297928236,-0.025586307384399955,0.14495526501871256,-0.039426243099014685,-0.04872639772548537,0.0717020090351214,0.0854503056660447,-0.1620650312376193,-0.0674098887200257,0.15423279049963032,0.13941014912809574,-0.05257651888062524,-0.034027456189474344,-0.021641133460802767,0.06654375683062025,0.0709232432884641,0.1129577680883814,-0.06744317895993006,0.00616489032210778,-0.019260900640827652,0.03540620732502648,-0.06600587776464446,0.2335393922282144,0.0007461498633360258,-0.046437101405558914,0.08364202886968919,-0.010878038029722814,0.06218804269090644,-0.22452042812129236,-0.005471911653556608,-0.05136903206171399,-0.13106641219976162
blood_glucose_mean,0.37106058133316755,1.0,0.07060454712570012,0.42370688931485273,0.380814517761271,0.036890913197227114,0.3447034161949044,0.04692962479062355,-0.17274914541384845,0.1710069676738039,-0.07513603176698457,0.10022464412002371,0.2101509245860791,-0.013269049255522586,-0.15468639372942172,0.11978144990213992,-0.26911961684946795,0.1792809223675458,0.18317164386808873,-0.05337871565194837,0.050154685193676565,0.3587226159976822,0.02247541424000366,-0.0601027382603159,0.1893203642821882,0.16097593751994912,0.0239007170591201,-0.09679826943899264,-0.1913072979917601,0.3639904652019483,0.1668152820488426,0.45321538447473064,-0.26340390664588137,0.278160100635577,-0.24436719782106026,-0.02674500498073152,-0.05733818098219606,-0.1284570370724017,-0.24414363421421073,0.32834685567663086,0.07633323418963701,0.18190467766417517,0.20078533544594748,0.08588470626703351,-0.006816168099880549,0.07194060635490697,-0.08378109928574762,0.10943702325871056,0.016314644187704588,-0.2186017159062297,0.15530373098979436,0.05779111437088052,0.07258810756052213,0.1396933615558335,-0.09281389580341635,0.011871152604300623,-0.07617474646292345,-0.03529620371110698,-0.057157392782125574,-0.2333069914143808,-0.1969730776576496,-0.21089783045264135,-0.030373753709112532,-0.08820855575094674,0.36764781478309744,0.08693299308138468,-0.047159526704030376,-0.26723249161051765,0.3252017183282254,0.133216124077933,0.06144734218349828,0.006594319369274032,0.07179629942256975,-0.018503636491784138,-0.026074795682700526,0.13381285973312407,-0.08449278527403298,0.06945710058247473,0.1792913936963114,-0.08997203129813498,-0.10499219769695033,0.020657574361906104,0.06014350271250296,-0.011711338074386176,0.10547939915231618,0.22222010050133637,0.2927351818775016,0.16100721743689902,-0.0422857684825003,-0.03451833094434452,0.08673963840788534,0.16073839366700032,-0.026721224041688228,0.07859103030674836,-0.06668683863536379,-0.0006451745242509409,0.05966257456085528,0.028365242275635506,0.47553070745685544,0.04428582681393102,-0.023413490813169607,0.07816156357729492,-0.07592767466070638,0.10328408141997036,-0.17797520287263646,-0.044520110449620516,-0.09006991832878153,-0.1503718221078861
resp_rate_mean,-0.008985537714994775,0.07060454712570012,1.0,0.02443600096624145,0.051960809610196376,0.06487649789723225,-0.11071425897673993,0.036765285337108024,0.04987646279644148,0.08986100720211669,-0.03545800588310367,0.14468874946091748,0.09811327478679663,-0.008616478927453292,-0.08400294137073049,-0.04968376789439869,-0.2103243535326895,0.09178001086702509,0.19323570137815926,-0.021010091142920545,-0.041669504573377585,0.1704482051237905,-0.10701862624985399,0.08351167688389223,0.03387197542932249,0.12003189184255063,-0.15430088658199384,-0.09922649430039988,-0.00388325674377063,0.11838184095964815,0.1431576398458429,0.030134511502036,-0.1013447895035798,0.10429260650961117,-0.0683697012118308,0.05326657873154754,0.07416701707343043,0.04820194666121988,-0.19391638406122003,0.1979662965680278,0.030066039007394928,0.11777929692993336,0.0703780132071926,0.0660454363033985,-0.054981897354204154,0.013522001913330186,-0.10257347829781151,-0.02398619198016047,0.06924947827811827,-0.027059840199760658,0.08229567773681665,0.1451108867824025,-0.012044512155782564,0.07503848523001495,0.07255681802761606,0.09984823331936774,-0.13286344996783875,-0.04813298725051853,-0.030903299961967487,-0.0015726845097493213,-0.04102397287466831,0.023145219130657816,0.03927920259104799,-0.0762952092585045,-0.06855164793882074,0.1029335804172624,0.1504404617437585,0.059375706263991246,0.10619039160830282,0.034028575720885655,-0.01569138925351961,-0.06624844848663783,0.004680775987392227,0.060385076827399846,0.04572422719052766,0.03682419709021495,0.07794618919810956,0.012338034657970474,0.02552427700249226,0.040053277671278434,-0.011247918617775455,-0.05078444376744607,0.026824817716178374,0.0259072994506721,0.035752900062604634,0.07638730036085178,0.16518351471438278,0.06582669287288324,0.041824438750825706,0.026429067193435046,0.01860125462242312,0.05764133061305363,0.002728656552050127,0.049286191712373965,0.031170991581661135,0.030163510587177547,0.010268654305563608,0.05134292081152981,0.04995594817535768,0.04798466280561838,0.21725301331583177,-0.011086930615627027,-0.21594889607348144,-0.010715355508190675,0.027375828243962605,0.051054795359657464,0.02334724417576415,0.06782450953296816
stress_mean,0.7847071507216871,0.42370688931485273,0.02443600096624145,1.0,0.18248638164591627,0.1931709738045276,0.6714269210845996,0.26822233494944947,-0.2316296677451767,0.19686875218354483,-0.14674602578336188,0.05732080461303356,0.32518710816263036,0.015161168836466444,-0.08569165542409261,0.006902460122556353,-0.4373439525249215,0.01858736888482471,0.045203846447914406,-0.09693003761800335,0.03831221471570354,0.04808514890612772,-0.13492452327541407,-0.13931205833922214,0.03330527567455327,0.0971873968440359,0.07548312796683902,-0.04866848985376991,-0.34196405339347746,0.09978237043870813,0.33614949633988545,0.3946507863055757,-0.08652125310494098,0.1636867636697211,-0.206612001784857,-0.10749634078380971,0.275238192491904,-0.20270550893750827,0.05181576727411568,0.17465582527077184,0.08406208821060082,0.09616867249418608,0.16871204963364836,-0.00918885028693052,0.1988002577732345,-0.002384663672803973,-0.09622553691853146,0.133735392586958,0.029589727261358577,-0.1630820701512,0.15620485384431793,-0.023880231396352734,0.1623060557730615,0.12199197915700379,-0.002202471713321296,-0.045620185118568794,-0.09447730673074421,0.048742312490924276,-0.008519976427086412,-0.28797856281434586,-0.09268798582510485,-0.1939783304231413,0.002364303400588178,-0.16265095826861503,0.45551840470660054,-0.025854052378464387,-0.24187077028394982,-0.520146478751953,0.261903181182338,0.11579532907810364,0.07079920240248384,-0.10277754861149184,0.06389429866404829,-0.04724381248539394,-0.031185340143735044,0.08630993803087345,-0.04566086198971603,-0.004249613109924627,0.11043416261174585,-0.016170509760248135,-0.04554685266960523,0.06346732538851144,0.03455616245676538,-0.07002462977425687,-0.05452983700583041,0.1394681061760432,0.1622369222591822,-0.0013844630297280528,-0.03753639233533392,-0.014067336843921033,0.057590137615080306,0.09330905956762192,0.06850530374737362,-0.03331716460007902,0.014891636665206197,-0.027931880337615733,0.04382272109427391,-0.038926727022911244,0.2777579589101782,-0.005581808940418664,-0.14399686205857973,0.08277011966402298,0.010180112745782897,0.14285215205543947,-0.1884435621949511,-0.0472843724474509,-0.07050116607445583,-0.09319635955665138
blood_glucose_std,0.1726536739643963,0.380814517761271,0.051960809610196376,0.18248638164591627,1.0,-0.023372732031132194,0.08743227455042783,-0.04770560086239538,-0.05161688931883678,0.04944551192893551,0.008120545767909278,0.08702684739646195,0.08800841712804806,-0.029575113119811383,-0.18573399804052512,0.09715108223670291,-0.011318501436309124,0.17361971962788847,0.22328851837718156,0.1673217347550321,0.15829484668239183,0.37274341187705534,0.031394423937451114,0.03481027933382421,0.10935057728010288,0.10731174681306155,-0.02661573390939869,-0.021281545576269417,-0.1328284994117293,0.32929538315873896,-0.09516530014491069,0.3279911128973903,-0.2532254449290779,0.0730528995140197,-0.1660795335948292,0.1651610691279489,-0.05986564184340486,0.11832823501081495,-0.2998275357067198,0.20573598690154768,0.025466541002162207,0.07649731245303382,0.019592103268689015,0.11962031185026605,-0.021708461392924903,0.0930795748391192,0.05391967644325824,0.02101709302102751,0.05223673972103887,-0.20516411950902994,-0.002199574576251231,0.109982975674188,-0.0017322999269562794,0.04152999729467843,-0.13019052048084648,0.010740745664378729,-0.12315833612661749,-0.07235412783247434,-0.07726009766294163,-0.10266954800866152,-0.19311297325576568,-0.09016185708739459,-0.06130861868074693,-0.111400953444277,0.1569610771208432,0.17928347636560063,0.14596868417620612,-0.042440101647855166,0.3338000000939685,0.028775049160643083,-0.1323524362262343,-0.0304037399278949,0.1667231180957942,0.060971660181126194,0.038861147709424886,0.19032417053175033,-0.06967478546033294,0.03232278005770929,0.20254549501358343,0.05929683470242723,-0.047310996219019234,0.14577724135030604,0.1318016711899375,0.12203345565180782,0.137025928009862,0.13249342725039862,0.2145666508529525,0.2305354904449142,0.06659002209014776,-0.021511837312589467,0.06190473804254429,0.12899384944216372,0.028683389061485386,0.07595424589242958,0.01204282773903828,0.028501117459110045,0.045194772018835046,0.07431186428836191,0.4324050130291573,0.09314429999575811,0.13316735869411242,0.0863243561727865,-0.12657144864532063,-0.015320527879172806,-0.04139196017767136,-0.03302473280512196,-0.09191568875580397,-0.07196624564262705
total_steps,0.1883690379881552,0.036890913197227114,0.06487649789723225,0.1931709738045276,-0.023372732031132194,1.0,0.17461039237611747,0.6587236057624017,-0.09147714935741154,0.07001265262044491,-0.1227531894345742,0.005682127237590615,0.3706752550513478,0.0961467147212827,0.6349078294631738,-0.6882905048188275,-0.21916554154506188,0.07448249108803034,0.12065819980394608,-0.23569025353701864,-0.14620219058813452,-0.11848393805199306,0.08624918202426521,-0.1370958576548496,-0.004762128101293439,0.06450215138840429,-0.04655649618883871,0.027440175102918993,-0.2066935795769847,-0.17754382137807556,0.03720388129725558,-0.011801800434622069,0.22054992496201398,0.1740593340609682,0.17166403181292197,-0.21839386848899492,0.1467138726236233,-0.17842314194760794,0.1071305912409766,0.07398905437865913,0.115972512591959,-0.0723883647993799,0.10345604967158906,-0.13575051894860868,0.07498982753836818,0.10353772871926642,0.05630289731001293,0.10914331891465474,0.07178399928610071,0.02624324206396223,0.012982163574629082,0.14765776300396735,0.11831387077159966,-0.005892330300276475,0.14489501694890464,0.0027496829682515204,0.0629239539042913,0.013061528521941737,-0.00328897004110814,-0.130744915317121,0.04438293392911461,0.03423838277328752,-0.06768420414746777,-0.0640511976100112,0.24877609922878974,0.03801200559177458,0.10953515115642591,-0.07189786082388032,0.2777640623726103,-0.11345165467074698,0.07466036737176239,-0.06595641274478833,-0.011927576199904866,-0.013258659668692862,-0.09039232869940643,-0.23804139519665077,-0.017238955818736225,-0.0425441547778625,-0.0281151346317377,-0.09543698943132402,-0.05623478631125289,0.011853865172999719,0.05697345541612374,-0.11956221894901961,-0.1536238910522289,-0.1527327958822091,-0.07608426158597442,-0.13349493739368998,-0.05127217364062455,-0.005677742453194857,0.018547093969470282,0.0008382839928717249,0.018270087984100354,-0.21270812034503686,-0.02171233163297471,0.02078068800815236,-0.026336778952000962,-0.0725567569897434,-0.06628228406909902,0.012824766109420453,-0.003793092501484246,0.00995872370331497,-0.05797723281531923,0.06885705586964314,0.07202211819227912,0.07094293590839203,-0.030614645352315995,-0.049057443720463396
resting_heart_rate,0.7841489657954958,0.3447034161949044,-0.11071425897673993,0.6714269210845996,0.08743227455042783,0.17461039237611747,1.0,0.2888537481250152,-0.2763451425639353,0.11424884673077124,-0.16742879601990898,0.0008852123506512589,0.2651214107036413,0.013830085851612984,-0.057946688910942463,0.03298542359751628,-0.35047835317624415,-0.08351980571849908,0.0313886627289062,-0.2919641211345393,0.16850896776384713,-0.17684748401906356,-0.09901666917963418,-0.2943799593367098,0.016477195418333583,0.09067061816558511,0.04915423631602245,-0.024800719120674816,-0.18393718516368174,0.04291154764224491,0.35417800215377304,0.2777548484252083,0.027888150180450582,0.14769833286501957,-0.03180450111151985,-0.14953206561359467,0.12115045677687376,-0.14966369599374854,0.2468278130575433,0.09068733015011725,0.09239546239432302,0.10922128433658519,0.08966198792085192,-0.06198239106386095,0.20391921532435214,-0.009066620589466565,-0.12820286992657068,0.025863970076483674,-0.139895043185323,-0.1035824132443602,0.07175849107420983,-0.09414058922335716,0.2874724252960223,0.13918610300973835,-0.11183380174683875,-0.12864996751914404,-0.013585737910256948,0.12476457987057141,0.058088727118051055,-0.22229391145708738,-0.04297197330659358,-0.1612164700201169,0.01000921326965535,-0.12443538506679118,0.631768377426746,-0.11146661930739091,-0.2155043718571318,-0.5538698008774374,0.1070958085346703,0.11990774425221433,-0.025487492772221915,-0.034368632527777845,0.01932174174574543,-0.09673162116052919,-0.17068997129760272,-0.01865469508783545,-0.04572474044984792,0.017449091202470596,0.09822776600576363,-0.021785821945117235,-0.0009341147204028884,0.07182156207902347,-0.003666435035208826,-0.18846975680028974,0.0025684033764702217,0.16038998069171992,0.10661247635894976,-0.03368912899540533,-0.012348949764831864,-0.0645982689489338,0.05993376050302543,0.14389355446396956,0.03756158599740987,-0.01653835555067806,-0.04758682780236178,-0.014220819641741435,0.022531049760240514,-0.06267108866409389,0.18498836235701815,-0.037532681205735205,-0.1749642345483741,0.03723569495457392,0.22341649080173842,-0.04627941194355109,-0.255828624424562,0.04387432809989538,-0.0032903391664212936,-0.13156656311601392
total_kcal,0.27852313513214877,0.04692962479062355,0.036765285337108024,0.26822233494944947,-0.04770560086239538,0.6587236057624017,0.2888537481250152,1.0,-0.11982331298057458,0.05227762074975178,-0.1025552207846037,-0.010216796664696493,0.4436674050165581,0.07350349325860528,0.588419366881289,-0.6572874930186519,-0.22479859522628065,0.0787898254817492,0.10460688627992,-0.19640571406086701,-0.13737278234493516,-0.1639145558835219,0.01891301454993323,-0.12419328690713384,0.02886951174126426,0.07831247922749573,0.017796346358260214,-0.05413919356667338,-0.196806569236917,-0.1808745690803354,0.059942605965742184,-0.008612407945514088,0.13765703090528933,0.18771064351978814,0.13943480255637272,-0.2243234822032192,0.1614193744055914,-0.22150893212337538,0.13649321290949207,0.08936944840640693,0.11556800338429171,-0.017538227463250344,0.021898559927753403,-0.1445051819318152,0.031014982163400283,0.08626548808200109,-0.0037003202045147936,0.12083482817437176,0.06781205363309653,0.11065083831026519,0.0003628917795708462,0.03495460958364562,0.1221010726400622,-0.05774763654841341,0.09616313212051059,-0.05665429120777542,0.06325767990837765,0.07809216717817041,0.07277126639356675,-0.0843320211229055,0.06447520034900298,0.05143974290800719,-0.02255906454873706,-0.06659182740685528,0.23962568820334437,-0.030039837282712346,0.03347336296199991,-0.1598422024930416,0.2275869477938364,-0.07530377548681141,0.10813004225035747,-0.10700356487810031,-0.06157807224798611,-0.04011547295208655,-0.09810070314445195,-0.2714430920397792,-0.041886384676691306,-0.037989779773509154,-0.05803097244372775,-0.0894131630249382,-0.03261322240422514,-0.026679788181624302,0.004767476568873932,-0.11939475253955979,-0.14461806404178792,-0.13633343412632284,-0.07655804119395615,-0.14256350890521458,-0.06310750035901168,-0.041544739918611656,0.008198741755419906,0.03960745665836735,-0.03165612507907389,-0.2100713458225171,-0.04229557969453487,-0.0036279713910054192,-0.03457102535485012,-0.0893983460485955,-0.061521543056414,-0.05194301850731862,-0.08588856367340354,-0.02084045803916886,-0.013558243314832344,0.1112943801019803,0.05845229969850948,0.08729992086190537,0.0046500407351631155,0.013733483326392782
sleep_light_hrs,-0.227772831485745,-0.17274914541384845,0.04987646279644148,-0.2316296677451767,-0.05161688931883678,-0.09147714935741154,-0.2763451425639353,-0.11982331298057458,1.0,0.014840071204860115,0.15983307759914767,0.046463122525282265,-0.10518209748472766,0.044531173205857325,-0.00850779350226769,0.014109190681260595,0.1830485047674498,0.05860210023385835,0.06695745138031355,0.1464663569837421,-0.02623196755076393,0.07351350273685098,0.0982018241115818,0.13623462051558932,0.027138738712158435,-0.0172482215553666,-0.06624088280638345,0.051805778031392885,0.056094108893760264,-0.0004531330427706088,-0.06683699303182176,-0.025822605714830707,0.119405636516045,-0.029511068372602645,0.17645215804382292,0.08684897609734309,-0.08017880914516644,0.1345655522619036,0.05565497877271268,0.053815783273616025,-0.03839543307899618,-0.05873122983189569,0.030322143360616515,0.026642025713398985,0.012425723601877369,0.04081650610367049,0.04923536820601602,-0.02152334091988001,0.07097352100614193,0.07683161717539827,0.014269013534366748,0.08443745295180871,-0.07626200762187753,0.023049955096185154,0.029688018862815583,0.1015377670204824,0.027519731764861038,-0.03574544466738589,0.014219516406541897,0.12564509049918332,0.00723334609873623,0.0758086944994677,0.006108910858814546,0.05783826277292492,-0.1765227974858847,0.0010762166489631832,-0.012577390378326113,0.16510168087556987,0.012524779282524587,0.012223655512200959,0.0402486567896515,0.08436946901383113,0.015475998607048524,0.06253712113090303,0.10158273615363222,0.07815951630480594,0.029700833756010687,-0.008301261699181989,0.0018736704662440445,0.05908945426083148,0.013620662068327485,0.0438165923562921,0.03831974705587016,0.04291210457081504,0.043795634526143885,0.056778940674993804,-0.002860395628589779,0.0032067423861624118,0.014309875048349442,0.01664032156719088,-0.00906218382040998,-0.0820380176505408,0.051398456501413725,0.032855348044576946,0.08680061224016457,0.012616946731385421,-0.0021835827053015475,0.025439952944702544,-0.08151052981535188,0.04346260414019984,0.09009410723194053,-0.0018207319964679103,-0.07519456133709683,-0.028478876256996518,0.10066839228032534,0.034141260168091936,0.02504306121681608,0.06939926448256908
sleep_deep_hrs,0.13206124552429419,0.1710069676738039,0.08986100720211669,0.19686875218354483,0.04944551192893551,0.07001265262044491,0.11424884673077124,0.05227762074975178,0.014840071204860115,1.0,-0.014668525494413083,0.07817063851671481,0.09288074513720217,0.0539479969344174,-0.045582599311577834,-0.00579847632276306,-0.05972088682731858,0.13288695136688736,0.0775862330995609,-0.05149380130568366,-0.008365185445785874,0.12877421700138966,0.043231516120661694,0.020653349297944837,0.1127366632291202,0.052991393330214374,-0.08061812669965697,-0.037743387621234414,-0.07395598892341268,0.15078191895596393,0.05872314580933159,0.12557206961315204,-0.0122031599723708,0.17537417472594155,-0.056101012972510904,-0.009511666647478132,-0.051640026881889456,-0.06880632753576406,-0.014085588221657444,0.11894756481312495,0.09185129242337028,0.09067442628342708,0.10543152742278908,0.060464369250222284,0.08772272768317899,0.04451051796402475,-0.05941956468502695,0.04467141422156805,0.06914750505393676,-0.0322539868956362,0.1308516547494047,0.05769490315918969,0.059895389314320584,0.06377349321019127,0.005756672629371329,0.02598779135618674,-0.059304972998473135,0.004404885308049407,-0.012548774086301348,-0.056505315077280946,-0.0960154446311843,-0.023202448839374418,0.020015587243642514,-0.032410556894514844,0.15832835919304267,0.03338959760688851,-0.051852974983835,-0.14142484088350438,0.1078821257212823,0.05492472476360218,0.05815463325754336,0.01070969016605049,0.030829317051386477,0.0473883154318224,0.05647620711919112,0.0812076876781479,0.014189945062177332,0.04026149695968946,0.020794908452929275,0.04503577487289067,-0.0052890090202144385,0.06578473135052813,0.00966513495607215,0.06071565087147519,0.01373381087681229,0.06393339458471867,0.09850309718008872,0.06382670163432971,0.028734839566756196,0.023124955721288153,-0.00902078207692673,0.030577021070948264,0.058353994953910394,0.0352160846555399,0.06881353616367784,0.007635692703112966,0.0351469374474804,0.023502198931881,0.11077435255835887,0.05217857609785963,-0.029203203163438492,0.029208859537214648,-0.01161014234703273,0.04473539804640509,-0.036202475253924164,0.0008961644013860423,0.0015628153450248073,-0.015118488013840576
