,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.17245577200880338,0.16826117508428176,0.8790315384014765,0.1397036150638874,0.5094813217933624,0.9700980266690875,0.5532205949075737,-0.31487534433273756,0.11806123421629455,-0.16864673234463307,0.05277218016776898,0.6238551914675485,-0.021343049051974147,0.025957934977682975,-0.37413773855888144,-0.211593775299015,0.029311454596250563,-0.0725988122022747,-0.09494502073919442,0.11194167353792225,-0.08450575357536615,-0.1163501128307029,-0.2003767521767441,0.09327758926575279,0.1436667596268155,0.007305759099046184,-0.06772746739754859,-0.09985382965416927,-0.0026281181641255548,0.2063221699608577,0.1753801927373307,-0.08809770450841618,0.1444584123195121,-0.04367667627993686,-0.05412157554188252,0.1288212113001203,-0.09140986521290204,-0.04202801475363913,0.08739858591708492,0.06024751407865586,0.09186021046656352,0.021377117064351855,-0.06620327627422927,-0.015309382535990597,-0.038866656911465756,-0.07495787017501554,-0.0037102538425045537,0.006207096685889456,-0.01875219996022834,-0.005240212547855058,-0.021889036171966792,0.15109582938893396,0.08959541905485109,-0.07955141583761688,-0.030631611984891872,0.020141632674551255,0.04361847166241059,0.031863954407774606,-0.11152552692734098,0.006061091002665443,0.0258562618385464,2.1855855652681958e-05,-0.06794703492661482,0.713458307277583,-0.13858603227255026,-0.12817953365418622,-0.5732145024121366,0.23653366082317343,0.06359345767341908,0.04138054007932442,-0.07785871664076117,-0.012061019264082509,-0.012828204063753188,-0.022917052458567882,-0.0784318872780008,0.05437880183315247,0.04474507637180002,0.11093645374770944,-0.02851358826911416,0.008764388353434198,0.012448942749036069,0.03145282089969053,-0.09709626972761828,-0.04958143863184076,0.062343410114563395,0.058215788101241325,0.005781897889667753,-0.030293800708956212,-0.03714633797684704,-0.02954541648314341,0.17524988605424935,0.009631254117449865,-0.04894755477681046,-0.026867727329888916,-0.04338834176115925,-0.01713229824468257,-0.03693481244981494,0.23327810258493195,-0.06559358075394672,-0.09070167751512011,0.019564629317675795,0.04065374833387779,0.04584643298426067,-0.1557862275879336,0.0016204519727263593,0.03733447378952328,-0.00899492435645187
blood_glucose_mean,0.17245577200880338,1.0,0.11625400606981674,0.18415556820073503,0.6774308835190758,-0.029784832996460828,0.20188609477191533,0.0026075616537363858,-0.06642590459401783,0.06629427820627548,-0.11435128143549478,0.0485174709043552,0.09435622180344809,-0.0681466031649284,-0.12039225892605436,0.04648036481149817,-0.14622767861887814,0.13657561670136967,0.08914085205466313,-0.06791185914893748,0.11399370255789798,0.15042716455151997,-0.010670278157755167,-0.034462838959986926,0.0817741743484009,0.1508234054918055,0.010905884407351248,-0.06506339616048719,-0.16443757499041353,0.17860629931211588,0.14292766484715053,0.6351771717981068,-0.22863085649324394,0.141861485081235,-0.1803877909220638,0.03540835261891876,0.08800706835143293,-0.15939204722318792,-0.16739213824273838,0.20142385647840236,0.10320749221276905,-0.0069379577651926625,0.017763084899055908,0.10981386451209837,0.030591273498734722,0.01998307956526197,0.02076211015839783,0.04495293795644465,0.06087274194495655,-0.14411270702864687,-0.008934049494133074,0.05400159780004033,0.005830141183705795,-0.017408554614309357,-0.0010350853605016355,0.013483549097119053,-0.09726390662377866,-0.03525301793829354,-0.09918734446667772,-0.061388339869203765,-0.035308316028908014,-0.052767612215492254,-0.06903838458668121,-0.014163395522634011,0.22133467134581633,0.06925543679071751,0.094241246187698,-0.11807727352131615,0.14578507589325973,-0.064412044888747,-0.12108366074704863,-0.08646076206446422,0.015469645269334567,0.04507440727174477,0.061893027648558446,0.13338268762608818,-0.0315042363112081,0.005925373976621653,0.18440369687448652,-0.018815944991249167,-0.11012351832064449,0.041903891599734844,0.07977125562315718,0.052057228766231124,0.057214502728486695,0.12847483828258655,0.21012777413531877,0.14078549026561651,0.018028090647063535,0.005646234383562508,0.11463778858719476,0.12512219234016397,-0.0569690878778897,0.06862671017717174,-0.022546824678965467,-0.003124991174080304,0.027197701232462464,0.06417547260522555,0.5026259759630278,-0.013955256921088352,0.044963494515801575,0.05695557910680666,-0.08008223117860439,-0.010964318116885023,-0.06387143177531471,-0.03126392285928043,-0.07622972912274394,-0.05388557749146055
resp_rate_mean,0.16826117508428176,0.11625400606981674,1.0,0.14771927761572934,0.12311020169197896,0.03869560170560944,0.17839711906449868,0.06247469607299635,-0.05234562363630568,0.12107594153594146,-0.12508785726719984,0.037517309029381635,0.12612330539107489,0.005631104114743021,-0.06161334016482786,-0.022370346112374536,-0.055076653020322684,0.0035042224480055276,-0.02733484671850185,-0.11532402175758559,0.025070298714054848,0.07071227723297449,-0.03976290228594368,-0.0030934251625885424,0.16957356939542703,0.1315490310339276,-0.03096347471822425,-0.06330884026960919,-0.020479555943365285,0.09961210572170788,0.020795808888695207,0.05431030649968001,-0.16520699165425137,0.11078276982015128,-0.15605177530441955,0.01360761072042702,-0.047937179056623286,-0.03018443241100367,-0.18696774966659926,0.007309063239358251,0.0072763496988963285,0.04578064171531111,0.05978658222024126,0.07816792503215249,0.004927700065785424,0.014914229920866525,-0.06012008166832964,0.039377633770720184,0.029815618265897736,-0.0880745164416172,-0.013351171526125288,-0.009572728612555913,0.06373454332716993,0.09540287864102391,-0.08022685781260873,0.01067442434189652,-0.0638322701757453,-0.004864642625297795,0.009550743642562658,-0.0713012005724451,-0.14347830289764935,0.030140708762237158,0.04179011200769559,-0.048570683389427646,0.10206539546418808,-0.04855679257886764,0.04416073502727277,-0.053660745784287756,0.056466596744870916,-0.06823463278141806,-0.05948632313877866,-0.06402662804591071,0.06530836085980699,0.08485584795567534,-0.0017008766500439438,0.05010277109588161,0.10010596193059997,0.0709365896698944,0.03967193326148434,0.038346362657453954,0.04502870595114272,-0.05481026514817849,0.03520672579388837,0.053638913477081954,0.0959307791068849,0.11080697504343762,0.14640353938481293,0.07976908504846478,-0.038047546325931846,0.0017254514816851813,-0.030487758061484786,0.04713773431290243,-0.01155249968272935,0.11480832880953877,-0.06442959599199416,0.1461922895064987,0.041325456193553906,0.01436319034554141,0.15439148147001006,0.004076119206954476,0.01566847296165088,-0.017616451157798405,-0.0012387058587399866,-0.002692854249195136,-0.006218908291823784,-0.045597585728334604,-0.018528438718824515,-0.061120934552861085
stress_mean,0.8790315384014765,0.18415556820073503,0.14771927761572934,1.0,0.13928304350815376,0.4156456791837388,0.8661553144104014,0.4410728349105862,-0.3609452460890177,0.16731729923629357,-0.20648171701815218,0.06547800449831007,0.5095094559146679,-0.0330443347927468,-0.006047785559920051,-0.28290700341291,-0.18849150981282042,0.026884321025571735,-0.059798923631124094,-0.0991806357531257,0.09209062910434068,-0.032321126566502746,-0.0542210358821457,-0.16139920793747473,0.08919422985154764,0.1024450831322645,0.016056568666689284,-0.04094368236453672,-0.09771885819079965,0.011177690799029399,0.18130949106642466,0.1708622320299761,-0.05439090999913089,0.13598049302393264,-0.036893718356312104,-0.05982330741347412,0.10413337732991121,-0.047839641910195636,-0.04120750098544233,0.04169790349304396,0.07830708913331509,0.09738667911131407,0.028631491807546695,-0.05279424491898183,-0.02199082044187857,-0.042541612519037084,-0.0891063817563445,0.012758158000102233,0.01544566156898666,-0.029002034456797714,0.0009596486102373421,-0.02651194690654641,0.14767159962002022,0.10188023926757483,-0.10124042257871298,-0.036076945113597304,0.02465575549824778,0.0053975528349445145,0.05779307891651528,-0.11831156225321113,-0.031676249072915705,0.017705730655481616,0.004897745519379889,-0.06326583815861052,0.6112320817779561,-0.08680113132742423,-0.11440690136556425,-0.4900139850447722,0.1991876755798186,0.038039428358212876,0.008582105404274771,-0.10392040384937411,-0.00010525078503508152,-0.014847682414836439,-0.013534455776764454,-0.06588762295202402,0.04139297320158107,0.05640740651536758,0.06278789859937949,-0.03943374881209667,-0.028206679486813917,0.0644288347351069,0.06340846789930457,-0.09204967248255631,-0.05405077715121129,0.07875366932496711,0.08908106104382212,0.021452489503146214,0.006723971868162495,-0.01620854147497666,-0.016895863793530946,0.17260135922388,0.016644014225238268,-0.035710655772908384,-0.031089645569526047,-0.05707292480337257,-0.00262374805652657,0.0006096957094642296,0.22763830955672998,-0.03389408966267534,-0.08517049063497648,0.01684855584856508,0.018911752485383806,0.06554116669065127,-0.14978029282235075,0.011358829344164018,0.03551446497565244,0.009009896136320817
blood_glucose_std,0.1397036150638874,0.6774308835190758,0.12311020169197896,0.13928304350815376,1.0,-0.025281882541486386,0.16486108825294396,-0.009099142679147356,-0.06575517253100924,0.026306571817346355,-0.12546407698941933,0.05657165974558072,0.08507082176811216,-0.07094173318079142,-0.10953361964273313,0.04318632992621896,-0.13636655448612134,0.1150246837358186,0.12551368700462984,-0.13330502130919075,0.1533714780277534,0.19670504555824617,-0.007256673785266275,-0.05916372616774424,0.0721313977808499,0.1174659543179561,-0.057542870892816,-0.10206273007968701,-0.07368923690650342,0.2277764298217342,0.10664720882749706,0.4529629239062434,-0.16603712818815156,0.12700059995899224,-0.23658337312073963,0.04002010967817717,0.01806617376439408,-0.06301279484593558,-0.22191884128119743,0.11752565836174639,0.13856895731597083,0.0027256752294674206,-0.007003765401782706,0.15138865107705748,0.03727848581347706,0.003776948323790031,0.039504649379213205,0.053908381788088704,0.05948034609215603,-0.15057184587260974,0.01111469179989063,0.07111837341377679,0.01701981561377659,0.019842643203997406,-0.021995232281409052,0.010627418630604643,-0.11893365774639218,-0.03859494543052363,-0.07267581338368691,-0.0836328486017702,-0.10593751751197152,-0.07776873820387462,-0.06527356071683849,-0.033791381340908234,0.18902210422710078,0.06671073003383704,0.10611972380758325,-0.08785139799256103,0.14338867089405605,-0.02535992812884365,-0.10900218241125965,-0.04600293197854311,0.07565170099412995,0.09618349854977784,0.05128529794913128,0.15238434045160246,-0.0014313591275922632,0.018378368063281227,0.2816719244821005,0.024399707700019833,-0.09666512012538572,0.06064314463007485,0.10974340932704724,0.07647493001856459,0.10769155810539631,0.12945746727002205,0.24705626374943968,0.2265765970878269,0.0017567084897507014,0.020555680492284713,0.115192499219612,0.09113309803454969,0.033427909976493565,0.07618415374986141,-0.039260039766618945,0.025230155755554706,0.014552182261764026,0.07421885313734929,0.5046888911255331,0.016273545196148778,0.04496125637465569,0.04951075971297383,-0.10409490754882708,0.021596591127002237,-0.09896253978028277,0.030737425414559053,-0.0744965189272648,-0.0348437847598262
total_steps,0.5094813217933624,-0.029784832996460828,0.03869560170560944,0.4156456791837388,-0.025281882541486386,1.0,0.34809090949595667,0.8790088088149988,-0.19602582155571577,0.010350406776765872,-0.09833017175765553,-0.07360404697404394,0.5979642801828062,0.15610182838016706,0.6605412748563086,-0.8780993264590771,-0.06585005417366234,0.021504789872374884,-0.00586343923924212,0.03530477740320327,0.01768469829537829,-0.10053301123183576,-0.014701103618628857,-0.10077973348240837,-0.030504077865332803,0.004019693719768878,0.031311705243655175,-0.004680753660425751,-0.034362299718485936,-0.10225917656163615,0.08638703570904305,-0.007373517801493965,0.03912912419430321,0.012900650907503275,0.05120399723689149,-0.0439935821697338,0.09717591567614255,-0.051446653460895844,0.05539112742282954,0.001227312811666768,-0.005868009513894451,-0.0017426851512553614,0.027248550703376322,-0.07818726986522687,0.02114600348080107,-0.03078205582882787,0.002139216196050087,0.020114885105616927,-0.006438961511010416,0.027378556060917252,0.00984610295401672,0.023103671226651707,0.08417965996148387,0.04814924813955824,0.005175688328020362,0.009551421486339518,0.04273666352261242,0.03840811639217798,-0.0069090471664958325,-0.05536240212634821,0.04628806854317452,0.03858743605634878,-0.020824878672572426,-0.07587481453234476,0.2608419150726695,-0.08321858357703811,-0.09680298301356177,-0.2292682379759465,0.03558976039944803,0.02629682262495236,0.08635566011132857,-0.03198309967904957,-0.03518698944941598,-0.04388361809887543,-0.06493552103038873,-0.1349187813425488,-0.03946333871483627,-0.03397613884785975,-0.03187611223812277,-0.017162270360466324,0.06817088837059186,-0.003195791599390205,-0.03532967660702854,-0.10549254661703204,-0.08378503435450936,-0.040276578351304465,-0.06340606308246619,-0.0755302766117182,-0.040502865116952676,-0.04762976068845909,-0.02221075320781918,-0.019581001022976233,-0.07330879297313266,-0.0937744344915687,-0.05097693874179283,-0.05203106628602285,0.01720922635953073,-0.0732499371488323,-0.0016288980876298686,-0.06952025981928574,-0.058559308744470503,0.005770786726943255,-0.0006220178458819301,0.06483253688864751,-0.02472974018659342,0.030446621775111322,0.019013378278834984,-0.009922414050786291
resting_heart_rate,0.9700980266690875,0.20188609477191533,0.17839711906449868,0.8661553144104014,0.16486108825294396,0.34809090949595667,1.0,0.3973207607316953,-0.3103904269417712,0.12908351094911255,-0.17308238280979613,0.0732708130390267,0.5177078706003385,-0.07018555451633669,-0.1138839457351545,-0.19908378094855259,-0.22957905175661644,0.025187699431509118,-0.08241090254344231,-0.11979996449229315,0.1288518736421479,-0.06972341409424664,-0.12650092253028367,-0.20751200517849688,0.11303963374738338,0.1714453645877123,0.0035847012279875295,-0.06950347864416186,-0.10365701931492889,0.022255963043528615,0.2187562806285995,0.19377901822751328,-0.10626014390772094,0.16237023207964152,-0.058508722421913996,-0.048902036219779295,0.125562793229043,-0.08774645584361437,-0.06053357382278105,0.08886700026141124,0.07332825955830319,0.1084603680985946,0.02619649761204213,-0.05471660470010482,-0.01865338522760817,-0.048414297277438054,-0.08889025917378757,0.0005908728111792639,0.008822556621905665,-0.033634670475411646,-0.0010284721965164794,-0.032987935657883424,0.15843663564621968,0.09973457663270976,-0.0956607422285281,-0.0241764350979674,0.010982680172995031,0.0370626149438355,0.039215795480196186,-0.1202604406905339,-0.0008588013388664213,0.013945375495632765,0.006702157565825094,-0.06357606993772524,0.7275526945093158,-0.13152003314677208,-0.12560776151240052,-0.5790785915574189,0.2568057612373,0.06687554266062846,0.02352476861852953,-0.08222681508040162,0.00023040154408942817,0.0010424057896810883,-0.016322998842563264,-0.04827495383095601,0.07721667836385217,0.060433923806837264,0.1319925902190272,-0.021823018945699605,-0.010779788732724985,0.027978566690884322,0.04569737075968195,-0.0867390306630527,-0.030390368619911366,0.08724082385544583,0.09046461152240086,0.0253809374546771,-0.02497102529464206,-0.02560890974799104,-0.023661073048064793,0.2096686788287388,0.028120843152993725,-0.03334340521633452,-0.013065658234662948,-0.035274242470254895,-0.01883203110725843,-0.020282858599488425,0.26592844572327595,-0.05562629224182218,-0.08660976441687544,0.021456852704647002,0.05104192283483098,0.0280333864436699,-0.1745133811195386,-0.0012744991519791817,0.03206081952811869,-0.011992805225317909
total_kcal,0.5532205949075737,0.0026075616537363858,0.06247469607299635,0.4410728349105862,-0.009099142679147356,0.8790088088149988,0.3973207607316953,1.0,-0.16022166109164548,0.03563979812453222,-0.048906399001811075,-0.055033717747912984,0.6357919174132179,0.11648361967867668,0.5771790663553157,-0.8306481403666056,-0.08019539808594285,0.026037846138781927,-0.018893348440447565,0.02196143025232323,0.017135592095891213,-0.10195876883867416,-0.0490460366776265,-0.08229178903237082,0.00822372135867183,0.0013580536871347925,0.03030148498556262,-0.015790742641736626,-0.05474114779993732,-0.08011945194806366,0.09504331593222937,0.01718776115662381,-0.006542757174868985,0.03940358215849793,0.0066872617160735155,-0.05347907674211916,0.09718870086622655,-0.05541117316146343,0.009628296559932867,0.02511406342773804,-0.016663958299171285,0.0005052099489140199,0.02593816408469024,-0.07244594362933428,0.007701514160769686,0.0012988054465092348,-0.012925407300159578,-0.011599185516573967,0.0032434192227099217,0.03425787263158282,-0.01611264778122328,0.01643314299510124,0.07234179898737494,0.03753494056211597,-0.00330778208690499,-0.005832007497087143,0.033123217929653594,0.04214560085720777,-0.013502235377074493,-0.040942052887610506,0.02773057583255906,0.04362693781895183,0.002028718888355184,-0.047098184578957765,0.2977481262527864,-0.09625558272551872,-0.07432744660899694,-0.25281320509040867,0.0568539010855617,0.020188724645500165,0.06067133407730263,-0.049509525756362395,-0.03863969505443831,-0.04813205777782092,-0.038371907317778044,-0.1255940482288644,-0.030959526023980714,-0.013701282240902364,-0.031538021761357185,-0.027413936114519206,0.04070668611075159,-0.012213873211745649,-0.025926407754178125,-0.09305959893845427,-0.08053586719607085,-0.033468693271765666,-0.040664865094656416,-0.06349548768588867,-0.03251927884669891,-0.04495854863432245,-0.02824541498732043,0.005682684393745988,-0.0702482769562238,-0.08574355087329663,-0.03556948002322353,-0.02385595598775041,-0.014441273783595013,-0.06487239021033342,0.02934422504315604,-0.07410935370638387,-0.054167400275088574,0.016746062382347132,0.002280367835213247,0.0475187599043062,-0.036003013274661856,0.02161164211170684,0.03158495738566064,0.0035592345142892354
sleep_light_hrs,-0.31487534433273756,-0.06642590459401783,-0.05234562363630568,-0.3609452460890177,-0.06575517253100924,-0.19602582155571577,-0.3103904269417712,-0.16022166109164548,1.0,0.045678957535867565,0.21425597053169776,0.030796368077234917,-0.16912010771356176,-0.03045477729807173,-0.07699087637705775,0.15941098327083428,0.044185419523523665,-0.05006665655483718,-0.026072630206285318,0.05990633128882257,-0.010646881592622765,0.0016858411815178318,0.021116626287010238,0.044279207918149835,-0.05442647470416112,-0.03681453465686541,0.014454347869819946,0.02563269652948531,0.0193960256235575,0.0071466961441716695,-0.020335945045469563,-0.027340798324900682,0.05506838542206266,-0.06870672967191041,0.009427393807324621,0.03194961063730725,0.016421952441456195,0.01403089844994002,0.02715170829019648,-0.005959211232508406,-0.028649384285264465,-0.012388955834477083,0.0024004542699155407,0.03087176191421417,0.040304962462942094,-0.007725406020720128,0.03770362456281393,0.029479209233962637,0.059058922531141624,0.015804810796764546,0.01773762955246927,0.002636423968762179,0.0010739781369013925,-0.029333702808236443,0.04711486046778734,0.022955223225157934,0.03562844382869756,0.004257455223502535,-0.032890139755052394,0.0171943366623745,0.030229649425448334,-0.009084384682030875,-0.028149164104428387,0.06206247446763057,-0.16781847830351496,-0.016033052867966135,0.030731931434582457,0.13122845246621623,-0.0550685033430092,-0.00047436279694147503,0.018178956035077503,0.04536264392308513,0.02477059649447103,0.04098411537924906,0.034463649365741714,0.04045823222771683,-0.0014309606022994408,0.0037818648983171566,-0.00552638357573874,0.0326895056292586,-0.00729768762087342,0.018537218623479502,0.02417149834044144,0.022599945274315258,0.014238008024867724,-0.020934925853536193,-0.02274918751329481,0.019982382066532148,0.044812441070466405,0.07593317073541979,0.023297578926567312,-0.05200840184496253,0.028692333829619627,0.016455461364717042,0.05925023167698543,0.001759551186490765,0.001053509497104979,0.02539599403030162,-0.045215831503092295,0.039844938855887656,0.02928775786900074,0.03212055121006873,-0.03320900315783541,-0.02399087527257378,0.03820369627043818,-0.008950988219893223,-0.02803166098854985,0.028482745374549128
sleep_deep_hrs,0.11806123421629455,0.06629427820627548,0.12107594153594146,0.16731729923629357,0.026306571817346355,0.010350406776765872,0.12908351094911255,0.03563979812453222,0.045678957535867565,1.0,-0.18401287787104542,-0.19617808584539304,0.03968221622798182,-0.024633597727413765,-0.019895789428478642,-0.00533327528075307,-0.02461027262004598,0.04263322328785615,0.025465594470841076,-0.023831209587154116,0.019343550032923786,0.013768640792792637,-0.0008162127276867761,-0.03188475794413115,0.05008181588739027,0.009586617917665024,-0.0010423723651241741,-0.010269981352309554,-0.05237977169366396,0.035805988190769154,0.025462352900277273,0.038682403207043574,-0.010235482202114708,0.05057660970801696,-0.018700201123947362,0.006958106842724516,0.008919453188504744,-0.03987224386672557,-0.01633615834842344,0.012011679593126705,0.014077176388883344,0.0038404787342318,0.014643496177636517,-0.019151479687883586,-0.008498493108345257,-0.026019656705786074,-0.05436435062783194,0.00702951697541458,0.007766283063325132,0.043246185638582874,-0.014774518370787656,-0.05262070310610841,0.04335236686377256,0.03129789453235068,-0.060611259427483556,0.0039966156438355875,0.022071970680596156,0.027517301322945192,0.07080359062828907,0.010258712389714111,-0.017235098488939126,0.03340845024201074,0.09693003432549205,0.01703297477753956,0.10493793144822743,-0.023927253967023412,-0.03869439492602866,-0.09365409305670974,0.024299993038377717,-0.026737917189003667,-0.02688028222198895,-0.05408678371134342,0.04821389360611319,0.016291695043494495,0.03083433200175925,0.009016329513671744,0.04269265599131665,0.03534535026986114,-0.009887359032263652,0.051445521078544255,-0.003456602836292973,0.042912250137865295,0.04571278417925297,0.01088856361487148,-0.03177268706740737,0.023180596349377896,0.01768860448101002,0.009518618584525655,0.0037458110400713134,-0.0066672707044189376,-0.00028798372457160265,0.0589170600156014,0.040051996710027654,0.015239984242813557,0.023881276764333766,-0.013573864998915544,0.03166958508169157,0.038431057104122514,0.050541343607528974,0.024436077681656683,-0.028131703179905133,-0.03535048760673834,0.023329203975299508,0.036163469340855126,-0.01994883858255591,0.03245473952304927,0.005659640807882875,0.03539730412030246
