α=1.00%, θ*=0.85, TPR=0.0034, FPR=0.0066, PPV=0.3427, Advantage=-0.0031
α=2.00%, θ*=0.95, TPR=0.0174, FPR=0.0197, PPV=0.4685, Advantage=-0.0023
α=3.00%, θ*=1.00, TPR=0.0289, FPR=0.0263, PPV=0.5235, Advantage=0.0026
α=4.00%, θ*=1.00, TPR=0.0289, FPR=0.0263, PPV=0.5235, Advantage=0.0026
α=5.00%, θ*=1.05, TPR=0.0446, FPR=0.0417, PPV=0.5170, Advantage=0.0029
α=6.00%, θ*=1.10, TPR=0.0627, FPR=0.0526, PPV=0.5438, Advantage=0.0101
α=7.00%, θ*=1.15, TPR=0.0809, FPR=0.0636, PPV=0.5598, Advantage=0.0173
α=8.00%, θ*=1.20, TPR=0.0973, FPR=0.0789, PPV=0.5520, Advantage=0.0183
α=9.00%, θ*=1.30, TPR=0.1284, FPR=0.0899, PPV=0.5881, Advantage=0.0385
α=10.00%, θ*=1.30, TPR=0.1284, FPR=0.0899, PPV=0.5881, Advantage=0.0385
α=11.00%, θ*=1.30, TPR=0.1284, FPR=0.0899, PPV=0.5881, Advantage=0.0385
α=12.00%, θ*=1.30, TPR=0.1284, FPR=0.0899, PPV=0.5881, Advantage=0.0385
α=13.00%, θ*=1.35, TPR=0.1473, FPR=0.1250, PPV=0.5409, Advantage=0.0223
α=14.00%, θ*=1.35, TPR=0.1473, FPR=0.1250, PPV=0.5409, Advantage=0.0223
α=15.00%, θ*=1.35, TPR=0.1473, FPR=0.1250, PPV=0.5409, Advantage=0.0223
α=16.00%, θ*=1.35, TPR=0.1473, FPR=0.1250, PPV=0.5409, Advantage=0.0223
α=17.00%, θ*=1.40, TPR=0.1676, FPR=0.1601, PPV=0.5115, Advantage=0.0075
α=18.00%, θ*=1.40, TPR=0.1676, FPR=0.1601, PPV=0.5115, Advantage=0.0075
α=19.00%, θ*=1.45, TPR=0.1943, FPR=0.1864, PPV=0.5104, Advantage=0.0079
α=20.00%, θ*=1.45, TPR=0.1943, FPR=0.1864, PPV=0.5104, Advantage=0.0079
α=21.00%, θ*=1.50, TPR=0.2294, FPR=0.2083, PPV=0.5240, Advantage=0.0210
α=22.00%, θ*=1.50, TPR=0.2294, FPR=0.2083, PPV=0.5240, Advantage=0.0210
α=23.00%, θ*=1.50, TPR=0.2294, FPR=0.2083, PPV=0.5240, Advantage=0.0210
α=24.00%, θ*=1.55, TPR=0.2722, FPR=0.2368, PPV=0.5348, Advantage=0.0354
α=25.00%, θ*=1.55, TPR=0.2722, FPR=0.2368, PPV=0.5348, Advantage=0.0354
α=26.00%, θ*=1.55, TPR=0.2722, FPR=0.2368, PPV=0.5348, Advantage=0.0354
α=27.00%, θ*=1.60, TPR=0.3102, FPR=0.2675, PPV=0.5369, Advantage=0.0427
α=28.00%, θ*=1.60, TPR=0.3102, FPR=0.2675, PPV=0.5369, Advantage=0.0427
α=29.00%, θ*=1.60, TPR=0.3102, FPR=0.2675, PPV=0.5369, Advantage=0.0427
α=30.00%, θ*=1.60, TPR=0.3102, FPR=0.2675, PPV=0.5369, Advantage=0.0427
α=31.00%, θ*=1.65, TPR=0.3435, FPR=0.3004, PPV=0.5335, Advantage=0.0431
α=32.00%, θ*=1.65, TPR=0.3435, FPR=0.3004, PPV=0.5335, Advantage=0.0431
α=33.00%, θ*=1.65, TPR=0.3435, FPR=0.3004, PPV=0.5335, Advantage=0.0431
α=34.00%, θ*=1.65, TPR=0.3435, FPR=0.3004, PPV=0.5335, Advantage=0.0431
α=35.00%, θ*=1.65, TPR=0.3435, FPR=0.3004, PPV=0.5335, Advantage=0.0431
α=36.00%, θ*=1.70, TPR=0.3825, FPR=0.3509, PPV=0.5216, Advantage=0.0316
α=37.00%, θ*=1.70, TPR=0.3825, FPR=0.3509, PPV=0.5216, Advantage=0.0316
α=38.00%, θ*=1.70, TPR=0.3825, FPR=0.3509, PPV=0.5216, Advantage=0.0316
α=39.00%, θ*=1.70, TPR=0.3825, FPR=0.3509, PPV=0.5216, Advantage=0.0316
α=40.00%, θ*=1.70, TPR=0.3825, FPR=0.3509, PPV=0.5216, Advantage=0.0316
α=41.00%, θ*=1.70, TPR=0.3825, FPR=0.3509, PPV=0.5216, Advantage=0.0316
α=42.00%, θ*=1.75, TPR=0.4207, FPR=0.4101, PPV=0.5064, Advantage=0.0106
α=43.00%, θ*=1.75, TPR=0.4207, FPR=0.4101, PPV=0.5064, Advantage=0.0106
α=44.00%, θ*=1.85, TPR=0.5040, FPR=0.4386, PPV=0.5347, Advantage=0.0654
α=45.00%, θ*=1.85, TPR=0.5040, FPR=0.4386, PPV=0.5347, Advantage=0.0654
α=46.00%, θ*=1.85, TPR=0.5040, FPR=0.4386, PPV=0.5347, Advantage=0.0654
α=47.00%, θ*=1.90, TPR=0.5366, FPR=0.4693, PPV=0.5335, Advantage=0.0673
α=48.00%, θ*=1.90, TPR=0.5366, FPR=0.4693, PPV=0.5335, Advantage=0.0673
α=49.00%, θ*=1.90, TPR=0.5366, FPR=0.4693, PPV=0.5335, Advantage=0.0673
α=50.00%, θ*=1.90, TPR=0.5366, FPR=0.4693, PPV=0.5335, Advantage=0.0673
α=51.00%, θ*=1.95, TPR=0.5709, FPR=0.5088, PPV=0.5288, Advantage=0.0622
α=52.00%, θ*=1.95, TPR=0.5709, FPR=0.5088, PPV=0.5288, Advantage=0.0622
α=53.00%, θ*=1.95, TPR=0.5709, FPR=0.5088, PPV=0.5288, Advantage=0.0622
α=54.00%, θ*=1.95, TPR=0.5709, FPR=0.5088, PPV=0.5288, Advantage=0.0622
α=55.00%, θ*=2.00, TPR=0.6045, FPR=0.5417, PPV=0.5274, Advantage=0.0628
α=56.00%, θ*=2.00, TPR=0.6045, FPR=0.5417, PPV=0.5274, Advantage=0.0628
α=57.00%, θ*=2.05, TPR=0.6376, FPR=0.5636, PPV=0.5308, Advantage=0.0740
α=58.00%, θ*=2.05, TPR=0.6376, FPR=0.5636, PPV=0.5308, Advantage=0.0740
α=59.00%, θ*=2.05, TPR=0.6376, FPR=0.5636, PPV=0.5308, Advantage=0.0740
α=60.00%, θ*=2.05, TPR=0.6376, FPR=0.5636, PPV=0.5308, Advantage=0.0740
α=61.00%, θ*=2.05, TPR=0.6376, FPR=0.5636, PPV=0.5308, Advantage=0.0740
α=62.00%, θ*=2.05, TPR=0.6376, FPR=0.5636, PPV=0.5308, Advantage=0.0740
α=63.00%, θ*=2.05, TPR=0.6376, FPR=0.5636, PPV=0.5308, Advantage=0.0740
α=64.00%, θ*=2.05, TPR=0.6376, FPR=0.5636, PPV=0.5308, Advantage=0.0740
α=65.00%, θ*=2.10, TPR=0.6641, FPR=0.6447, PPV=0.5074, Advantage=0.0193
α=66.00%, θ*=2.10, TPR=0.6641, FPR=0.6447, PPV=0.5074, Advantage=0.0193
α=67.00%, θ*=2.10, TPR=0.6641, FPR=0.6447, PPV=0.5074, Advantage=0.0193
α=68.00%, θ*=2.10, TPR=0.6641, FPR=0.6447, PPV=0.5074, Advantage=0.0193
α=69.00%, θ*=2.10, TPR=0.6641, FPR=0.6447, PPV=0.5074, Advantage=0.0193
α=70.00%, θ*=2.10, TPR=0.6641, FPR=0.6447, PPV=0.5074, Advantage=0.0193
α=71.00%, θ*=2.10, TPR=0.6641, FPR=0.6447, PPV=0.5074, Advantage=0.0193
α=72.00%, θ*=2.15, TPR=0.6944, FPR=0.7105, PPV=0.4943, Advantage=-0.0161
α=73.00%, θ*=2.15, TPR=0.6944, FPR=0.7105, PPV=0.4943, Advantage=-0.0161
α=74.00%, θ*=2.15, TPR=0.6944, FPR=0.7105, PPV=0.4943, Advantage=-0.0161
α=75.00%, θ*=2.15, TPR=0.6944, FPR=0.7105, PPV=0.4943, Advantage=-0.0161
α=76.00%, θ*=2.15, TPR=0.6944, FPR=0.7105, PPV=0.4943, Advantage=-0.0161
α=77.00%, θ*=2.20, TPR=0.7234, FPR=0.7632, PPV=0.4866, Advantage=-0.0398
α=78.00%, θ*=2.20, TPR=0.7234, FPR=0.7632, PPV=0.4866, Advantage=-0.0398
α=79.00%, θ*=2.20, TPR=0.7234, FPR=0.7632, PPV=0.4866, Advantage=-0.0398
α=80.00%, θ*=2.20, TPR=0.7234, FPR=0.7632, PPV=0.4866, Advantage=-0.0398
α=81.00%, θ*=2.25, TPR=0.7626, FPR=0.8070, PPV=0.4858, Advantage=-0.0445
α=82.00%, θ*=2.25, TPR=0.7626, FPR=0.8070, PPV=0.4858, Advantage=-0.0445
α=83.00%, θ*=2.25, TPR=0.7626, FPR=0.8070, PPV=0.4858, Advantage=-0.0445
α=84.00%, θ*=2.25, TPR=0.7626, FPR=0.8070, PPV=0.4858, Advantage=-0.0445
α=85.00%, θ*=2.30, TPR=0.7988, FPR=0.8421, PPV=0.4868, Advantage=-0.0433
α=86.00%, θ*=2.35, TPR=0.8341, FPR=0.8575, PPV=0.4931, Advantage=-0.0233
α=87.00%, θ*=2.35, TPR=0.8341, FPR=0.8575, PPV=0.4931, Advantage=-0.0233
