Logging
iteration 0 | D LOSS = 1.4007 | G LOSS = -0.0782 | AVG R =0.5255 | mean_pen: 0.0178 |  
iteration 50 | D LOSS = 1.1976 | G LOSS = -0.0867 | AVG R =0.3862 | mean_pen: 0.0141 |  
iteration 100 | D LOSS = 1.3202 | G LOSS = -0.0940 | AVG R =0.4694 | mean_pen: 0.0044 |  
iteration 150 | D LOSS = 1.3785 | G LOSS = -0.0431 | AVG R =0.5049 | mean_pen: 0.0002 |  
iteration 200 | D LOSS = 1.3803 | G LOSS = -0.0070 | AVG R =0.4993 | mean_pen: 0.0001 |  
iteration 250 | D LOSS = 1.3771 | G LOSS = 0.0024 | AVG R =0.4962 | mean_pen: 0.0001 |  
iteration 300 | D LOSS = 1.3741 | G LOSS = 0.0016 | AVG R =0.4943 | mean_pen: 0.0001 |  
iteration 350 | D LOSS = 1.3702 | G LOSS = 0.0063 | AVG R =0.4915 | mean_pen: 0.0001 |  
iteration 400 | D LOSS = 1.3667 | G LOSS = 0.0064 | AVG R =0.4891 | mean_pen: 0.0001 |  
iteration 450 | D LOSS = 1.3623 | G LOSS = 0.0079 | AVG R =0.4881 | mean_pen: 0.0001 |  
iteration 500 | D LOSS = 1.3587 | G LOSS = 0.0107 | AVG R =0.4865 | mean_pen: 0.0001 |  
iteration 550 | D LOSS = 1.3563 | G LOSS = 0.0097 | AVG R =0.4844 | mean_pen: 0.0001 |  
iteration 600 | D LOSS = 1.3530 | G LOSS = 0.0119 | AVG R =0.4837 | mean_pen: 0.0002 |  
iteration 650 | D LOSS = 1.3520 | G LOSS = 0.0125 | AVG R =0.4831 | mean_pen: 0.0003 |  
iteration 700 | D LOSS = 1.3502 | G LOSS = 0.0116 | AVG R =0.4818 | mean_pen: 0.0003 |  
iteration 750 | D LOSS = 1.3485 | G LOSS = 0.0113 | AVG R =0.4803 | mean_pen: 0.0004 |  
iteration 800 | D LOSS = 1.3490 | G LOSS = 0.0134 | AVG R =0.4805 | mean_pen: 0.0004 |  
iteration 850 | D LOSS = 1.3472 | G LOSS = 0.0115 | AVG R =0.4799 | mean_pen: 0.0005 |  
iteration 900 | D LOSS = 1.3461 | G LOSS = 0.0113 | AVG R =0.4789 | mean_pen: 0.0005 |  
iteration 950 | D LOSS = 1.3456 | G LOSS = 0.0116 | AVG R =0.4796 | mean_pen: 0.0006 |  
iteration 1000 | D LOSS = 1.3444 | G LOSS = 0.0077 | AVG R =0.4780 | mean_pen: 0.0006 |  
iteration 1050 | D LOSS = 1.3435 | G LOSS = 0.0117 | AVG R =0.4784 | mean_pen: 0.0007 |  
iteration 1100 | D LOSS = 1.3431 | G LOSS = 0.0107 | AVG R =0.4789 | mean_pen: 0.0008 |  
iteration 1150 | D LOSS = 1.3434 | G LOSS = 0.0124 | AVG R =0.4787 | mean_pen: 0.0007 |  
iteration 1200 | D LOSS = 1.3444 | G LOSS = 0.0104 | AVG R =0.4785 | mean_pen: 0.0007 |  
iteration 1250 | D LOSS = 1.3441 | G LOSS = 0.0078 | AVG R =0.4794 | mean_pen: 0.0007 |  
iteration 1300 | D LOSS = 1.3437 | G LOSS = 0.0089 | AVG R =0.4792 | mean_pen: 0.0008 |  
iteration 1350 | D LOSS = 1.3456 | G LOSS = 0.0082 | AVG R =0.4790 | mean_pen: 0.0007 |  
iteration 1400 | D LOSS = 1.3440 | G LOSS = 0.0102 | AVG R =0.4785 | mean_pen: 0.0007 |  
iteration 1450 | D LOSS = 1.3457 | G LOSS = 0.0067 | AVG R =0.4797 | mean_pen: 0.0007 |  
iteration 1500 | D LOSS = 1.3460 | G LOSS = 0.0084 | AVG R =0.4787 | mean_pen: 0.0007 |  
iteration 1550 | D LOSS = 1.3467 | G LOSS = 0.0056 | AVG R =0.4803 | mean_pen: 0.0007 |  
iteration 1600 | D LOSS = 1.3462 | G LOSS = 0.0082 | AVG R =0.4801 | mean_pen: 0.0006 |  
iteration 1650 | D LOSS = 1.3462 | G LOSS = 0.0077 | AVG R =0.4803 | mean_pen: 0.0006 |  
iteration 1700 | D LOSS = 1.3466 | G LOSS = 0.0058 | AVG R =0.4796 | mean_pen: 0.0006 |  
iteration 1750 | D LOSS = 1.3470 | G LOSS = 0.0084 | AVG R =0.4811 | mean_pen: 0.0006 |  
iteration 1800 | D LOSS = 1.3471 | G LOSS = 0.0060 | AVG R =0.4803 | mean_pen: 0.0006 |  
iteration 1850 | D LOSS = 1.3474 | G LOSS = 0.0051 | AVG R =0.4804 | mean_pen: 0.0005 |  
iteration 1900 | D LOSS = 1.3493 | G LOSS = 0.0085 | AVG R =0.4810 | mean_pen: 0.0006 |  
iteration 1950 | D LOSS = 1.3493 | G LOSS = 0.0046 | AVG R =0.4817 | mean_pen: 0.0006 |  
iteration 2000 | D LOSS = 1.3486 | G LOSS = 0.0075 | AVG R =0.4812 | mean_pen: 0.0006 |  
iteration 2050 | D LOSS = 1.3490 | G LOSS = 0.0082 | AVG R =0.4814 | mean_pen: 0.0005 |  
iteration 2100 | D LOSS = 1.3504 | G LOSS = 0.0043 | AVG R =0.4824 | mean_pen: 0.0005 |  
iteration 2150 | D LOSS = 1.3498 | G LOSS = 0.0062 | AVG R =0.4813 | mean_pen: 0.0005 |  
iteration 2200 | D LOSS = 1.3501 | G LOSS = 0.0046 | AVG R =0.4819 | mean_pen: 0.0004 |  
iteration 2250 | D LOSS = 1.3489 | G LOSS = 0.0015 | AVG R =0.4819 | mean_pen: 0.0004 |  
iteration 2300 | D LOSS = 1.3508 | G LOSS = 0.0031 | AVG R =0.4824 | mean_pen: 0.0004 |  
iteration 2350 | D LOSS = 1.3504 | G LOSS = 0.0015 | AVG R =0.4814 | mean_pen: 0.0004 |  
iteration 2400 | D LOSS = 1.3495 | G LOSS = 0.0030 | AVG R =0.4814 | mean_pen: 0.0004 |  
iteration 2450 | D LOSS = 1.3509 | G LOSS = 0.0021 | AVG R =0.4822 | mean_pen: 0.0003 |  
iteration 2500 | D LOSS = 1.3504 | G LOSS = -0.0004 | AVG R =0.4824 | mean_pen: 0.0003 |  
iteration 2550 | D LOSS = 1.3515 | G LOSS = 0.0032 | AVG R =0.4832 | mean_pen: 0.0004 |  
iteration 2600 | D LOSS = 1.3516 | G LOSS = -0.0008 | AVG R =0.4826 | mean_pen: 0.0003 |  
iteration 2650 | D LOSS = 1.3522 | G LOSS = 0.0010 | AVG R =0.4828 | mean_pen: 0.0003 |  
iteration 2700 | D LOSS = 1.3531 | G LOSS = -0.0019 | AVG R =0.4822 | mean_pen: 0.0003 |  
iteration 2750 | D LOSS = 1.3506 | G LOSS = 0.0015 | AVG R =0.4816 | mean_pen: 0.0003 |  
iteration 2800 | D LOSS = 1.3509 | G LOSS = 0.0018 | AVG R =0.4829 | mean_pen: 0.0003 |  
iteration 2850 | D LOSS = 1.3529 | G LOSS = 0.0012 | AVG R =0.4832 | mean_pen: 0.0003 |  
iteration 2900 | D LOSS = 1.3549 | G LOSS = -0.0009 | AVG R =0.4840 | mean_pen: 0.0003 |  
iteration 2950 | D LOSS = 1.3532 | G LOSS = 0.0014 | AVG R =0.4846 | mean_pen: 0.0003 |  
iteration 3000 | D LOSS = 1.3541 | G LOSS = 0.0033 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 3050 | D LOSS = 1.3555 | G LOSS = 0.0022 | AVG R =0.4846 | mean_pen: 0.0002 |  
iteration 3100 | D LOSS = 1.3562 | G LOSS = 0.0051 | AVG R =0.4848 | mean_pen: 0.0002 |  
iteration 3150 | D LOSS = 1.3549 | G LOSS = -0.0014 | AVG R =0.4848 | mean_pen: 0.0003 |  
iteration 3200 | D LOSS = 1.3546 | G LOSS = 0.0022 | AVG R =0.4850 | mean_pen: 0.0003 |  
iteration 3250 | D LOSS = 1.3537 | G LOSS = 0.0039 | AVG R =0.4848 | mean_pen: 0.0002 |  
iteration 3300 | D LOSS = 1.3557 | G LOSS = 0.0028 | AVG R =0.4844 | mean_pen: 0.0002 |  
iteration 3350 | D LOSS = 1.3555 | G LOSS = 0.0026 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 3400 | D LOSS = 1.3557 | G LOSS = 0.0005 | AVG R =0.4847 | mean_pen: 0.0002 |  
iteration 3450 | D LOSS = 1.3543 | G LOSS = 0.0004 | AVG R =0.4849 | mean_pen: 0.0002 |  
iteration 3500 | D LOSS = 1.3544 | G LOSS = -0.0030 | AVG R =0.4847 | mean_pen: 0.0002 |  
iteration 3550 | D LOSS = 1.3559 | G LOSS = 0.0005 | AVG R =0.4853 | mean_pen: 0.0002 |  
iteration 3600 | D LOSS = 1.3539 | G LOSS = -0.0012 | AVG R =0.4843 | mean_pen: 0.0001 |  
