α=1.00%, θ*=1.15, TPR=0.0782, FPR=0.0085, PPV=0.9020, Advantage=0.0697
α=2.00%, θ*=1.25, TPR=0.1026, FPR=0.0149, PPV=0.8734, Advantage=0.0877
α=3.00%, θ*=1.25, TPR=0.1026, FPR=0.0149, PPV=0.8734, Advantage=0.0877
α=4.00%, θ*=1.30, TPR=0.1144, FPR=0.0340, PPV=0.7710, Advantage=0.0804
α=5.00%, θ*=1.35, TPR=0.1323, FPR=0.0425, PPV=0.7570, Advantage=0.0899
α=6.00%, θ*=1.35, TPR=0.1323, FPR=0.0425, PPV=0.7570, Advantage=0.0899
α=7.00%, θ*=1.40, TPR=0.1581, FPR=0.0679, PPV=0.6995, Advantage=0.0902
α=8.00%, θ*=1.40, TPR=0.1581, FPR=0.0679, PPV=0.6995, Advantage=0.0902
α=9.00%, θ*=1.40, TPR=0.1581, FPR=0.0679, PPV=0.6995, Advantage=0.0902
α=10.00%, θ*=1.40, TPR=0.1581, FPR=0.0679, PPV=0.6995, Advantage=0.0902
α=11.00%, θ*=1.45, TPR=0.1965, FPR=0.1062, PPV=0.6493, Advantage=0.0904
α=12.00%, θ*=1.45, TPR=0.1965, FPR=0.1062, PPV=0.6493, Advantage=0.0904
α=13.00%, θ*=1.50, TPR=0.2371, FPR=0.1253, PPV=0.6543, Advantage=0.1118
α=14.00%, θ*=1.50, TPR=0.2371, FPR=0.1253, PPV=0.6543, Advantage=0.1118
α=15.00%, θ*=1.50, TPR=0.2371, FPR=0.1253, PPV=0.6543, Advantage=0.1118
α=16.00%, θ*=1.50, TPR=0.2371, FPR=0.1253, PPV=0.6543, Advantage=0.1118
α=17.00%, θ*=1.55, TPR=0.2732, FPR=0.1635, PPV=0.6257, Advantage=0.1098
α=18.00%, θ*=1.55, TPR=0.2732, FPR=0.1635, PPV=0.6257, Advantage=0.1098
α=19.00%, θ*=1.55, TPR=0.2732, FPR=0.1635, PPV=0.6257, Advantage=0.1098
α=20.00%, θ*=1.60, TPR=0.2969, FPR=0.1996, PPV=0.5980, Advantage=0.0973
α=21.00%, θ*=1.60, TPR=0.2969, FPR=0.1996, PPV=0.5980, Advantage=0.0973
α=22.00%, θ*=1.60, TPR=0.2969, FPR=0.1996, PPV=0.5980, Advantage=0.0973
α=23.00%, θ*=1.60, TPR=0.2969, FPR=0.1996, PPV=0.5980, Advantage=0.0973
α=24.00%, θ*=1.65, TPR=0.3288, FPR=0.2314, PPV=0.5869, Advantage=0.0974
α=25.00%, θ*=1.65, TPR=0.3288, FPR=0.2314, PPV=0.5869, Advantage=0.0974
α=26.00%, θ*=1.70, TPR=0.3677, FPR=0.2505, PPV=0.5948, Advantage=0.1172
α=27.00%, θ*=1.70, TPR=0.3677, FPR=0.2505, PPV=0.5948, Advantage=0.1172
α=28.00%, θ*=1.70, TPR=0.3677, FPR=0.2505, PPV=0.5948, Advantage=0.1172
α=29.00%, θ*=1.70, TPR=0.3677, FPR=0.2505, PPV=0.5948, Advantage=0.1172
α=30.00%, θ*=1.70, TPR=0.3677, FPR=0.2505, PPV=0.5948, Advantage=0.1172
α=31.00%, θ*=1.70, TPR=0.3677, FPR=0.2505, PPV=0.5948, Advantage=0.1172
α=32.00%, θ*=1.75, TPR=0.4043, FPR=0.3142, PPV=0.5627, Advantage=0.0901
α=33.00%, θ*=1.75, TPR=0.4043, FPR=0.3142, PPV=0.5627, Advantage=0.0901
α=34.00%, θ*=1.75, TPR=0.4043, FPR=0.3142, PPV=0.5627, Advantage=0.0901
α=35.00%, θ*=1.75, TPR=0.4043, FPR=0.3142, PPV=0.5627, Advantage=0.0901
α=36.00%, θ*=1.80, TPR=0.4412, FPR=0.3588, PPV=0.5515, Advantage=0.0824
α=37.00%, θ*=1.80, TPR=0.4412, FPR=0.3588, PPV=0.5515, Advantage=0.0824
α=38.00%, θ*=1.80, TPR=0.4412, FPR=0.3588, PPV=0.5515, Advantage=0.0824
α=39.00%, θ*=1.80, TPR=0.4412, FPR=0.3588, PPV=0.5515, Advantage=0.0824
