feature,avg_drop_acc
blood_glucose_std,0.01316000000000001
Total Cholesterol (mg/dL)_value (mg/dL),0.01100000000000001
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.00956000000000001
blood_glucose_mean,0.009200000000000009
High blood pressure,0.008800000000000007
HDL Cholesterol (mg/dL)_value (mg/dL),0.008520000000000008
Arthritis,0.007560000000000007
Dry eye (1+),0.007200000000000007
Chronic pullmonary problems,0.006280000000000005
High blood cholesterol,0.004640000000000004
Cataracts (1+ eyes),0.004280000000000004
Diabetic retinopathy (1+),0.004040000000000004
resting_heart_rate,0.0036800000000000036
Chloride (mEq/L)_value (mEq/L),0.0036000000000000034
P,0.003520000000000003
Rate,0.002720000000000003
Kidney problems,0.0025600000000000024
Heart attack,0.002480000000000002
Sodium (mEq/L)_value (mEq/L),0.002480000000000002
stress_mean,0.002400000000000002
Glucose (mg/dL)_value (mg/dL),0.002200000000000002
repetition_value,0.001880000000000002
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",0.0016000000000000014
QT,0.0015600000000000015
heart_rate_mean,0.0015600000000000013
Alkaline Phosphatase (IU/L)_value (IU/L),0.0015200000000000014
Calcium (mg/dL)_value (mg/dL),0.0014400000000000014
Marijuana user,0.0014000000000000013
Glaucoma (1+),0.0013600000000000012
sleep_deep_hrs,0.0013200000000000013
Circulation problems,0.001320000000000001
naming_time_value,0.0012800000000000012
digitspan_time_value,0.0012800000000000012
lettera_value,0.001200000000000001
CRP - HS (mg/L)_value (mg/L),0.001120000000000001
Bilirubin Total (mg/dL)_value (mg/dL),0.0011200000000000008
Obesity,0.001080000000000001
T,0.001040000000000001
act_sedentary_hrs,0.0009600000000000008
AST (IU/L)_value (IU/L),0.0008400000000000008
Creatinine (mg/dL)_value (md/dL),0.0007200000000000007
memory_trial2_time_value,0.0007200000000000007
Other heart issues (pacemaker),0.0006800000000000007
BUN (mg/dL)_value (mg/dL),0.0006800000000000006
moca_total_score_value,0.0006800000000000006
"Protein, Total (g/dL)_value (g/dL)",0.0005600000000000005
Parkinson's disease,0.0005600000000000004
clock_visuospatial_executive_time_value,0.0005200000000000005
trails_visuospatial_executive_time_value,0.0005200000000000005
subtraction_value,0.0004800000000000004
moca_orientation_time_value,0.0004800000000000004
resp_rate_mean,0.00040000000000000034
subtraction_time_value,0.0004000000000000003
QRS,0.00036000000000000035
total_kcal,0.0003200000000000003
lettera_time_value,0.00032000000000000024
Multiple sclerosis,0.0002800000000000003
Mild cognitive impairmen,0.00028000000000000025
memory_trial1_value,0.0002800000000000002
naming_value,0.00024000000000000014
Retinal vascular occlusion,0.00020000000000000017
Hearing impairment,0.00016000000000000018
Triglycerides (mg/dL)_value (mg/dL),0.00016000000000000015
BORDERLINE,8.000000000000007e-05
moca_abstraction_value,8.000000000000007e-05
Age-related macular degeneration,8.000000000000006e-05
cube_visuospatial_executive_value,7.999999999999986e-05
Osteoporosis,4.0000000000000105e-05
Potassium (mEq/L)_value (mEq/L),4.000000000000002e-05
repetition_time_value,3.9999999999999996e-05
fluency_language_value,3.999999999999993e-05
sleep_rem_hrs,0.0
act_running_hrs,0.0
act_walking_hrs,0.0
"Globulin, Total (g/dL)_value (g/dL)",-4.000000000000002e-05
act_generic_hrs,-4.000000000000004e-05
total_steps,-4.0000000000000064e-05
Urine Albumin (mg/dL)_value (mg/DL),-8.000000000000007e-05
moca_abstraction_time_value,-0.00012000000000000014
QRSD,-0.00012000000000000017
memory_trial2_value,-0.00020000000000000017
memory_trial1_time_value,-0.00024000000000000025
C-Peptide (ng/mL)_value (ng/mL),-0.00024000000000000028
BUN/Creatinine ratio_value,-0.0002800000000000003
QTc,-0.0003200000000000003
Urine Creatinine (mg/dL)_value (mg/DL),-0.00036000000000000024
NORMAL,-0.0003600000000000004
Albumin (g/dL)_value (g/dL),-0.0004800000000000004
INSULIN (ng/mL)_value (ng/mL),-0.0004800000000000005
PR,-0.0005200000000000004
Cancer,-0.0005600000000000004
cube_visuospatial_executive_time_value,-0.0006000000000000005
sleep_awake_hrs,-0.0006400000000000006
ALT (IU/L)_value (IU/L),-0.0006800000000000006
moca_combined_mis_score_value,-0.0006800000000000007
Digestive problems,-0.0006800000000000007
Low blood pressure,-0.0007200000000000006
moca_orientation_value,-0.0007600000000000006
Stroke,-0.0009200000000000009
sleep_light_hrs,-0.001160000000000001
trails_visuospatial_executive_value,-0.0012800000000000012
Other neurological conditions,-0.0014000000000000013
Urinary problems,-0.0014800000000000015
ABNORMAL,-0.0018800000000000015
delayed_recall_with_no_clue_time_value,-0.001920000000000002
A/G Ratio_value,-0.002080000000000002
OTHERWISE NORMAL,-0.002200000000000002
