,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.2677209718504299,0.1373233524846098,0.789950105082773,0.20657996515164884,0.5467554935340226,0.8628457336343314,0.5152498602227641,-0.2740190968316821,0.14789298534304923,-0.23148317583345704,0.11298258121473675,0.07339203845090854,0.004330313540678686,0.3081219477133293,-0.38447960010959714,-0.3063731873794912,0.08042681428497385,-0.004099167995080569,-0.27161890478896117,0.1547901968847511,-0.05113029391555555,-0.03617953396903325,-0.20383088879989245,0.10590147844301713,0.13760734262505925,0.06644043057296298,0.040403585098176716,-0.21913082267907533,0.030642236913377183,0.36944298790212626,0.09334408150785697,-0.013934283207693798,0.16977056705247226,-0.1839424751755139,0.0017441731994676988,0.10894122322490814,-0.20032068572985742,-0.19009924611661255,-0.01301241594730322,-0.008139877386730361,0.10417611412037363,0.061757229683399736,-0.050347453443883174,-0.08582733435435928,0.006614536990278088,-0.005174296677002522,0.014241525454850903,-0.02922106426279461,0.04017919282970062,-0.013454412645278399,-0.005291277101064947,0.09776825558804518,0.10625785183090745,-0.08880270686774554,0.023345933173832812,0.03270145839349919,0.07415025714923675,0.04842072120570289,-0.03468697122260263,0.07542175514191916,0.08840208127970091,0.04594083134209941,-0.052283443425852096,0.6785249644701131,-0.07203289364402414,-0.236341483464959,-0.588448090977029,0.31577181377221414,0.021984269750767338,-0.057182248970805864,-0.042299503271557994,-0.04877918241200542,0.001015004624730695,-0.08497328671723298,-0.10217269314303229,0.009199142318143977,0.029206682887697948,0.09838318162195861,-0.03182149817994747,-0.014504121706536083,0.040853294780604205,0.01657011809981495,-0.17630219476396006,-0.03666518478564326,0.0732408074673575,0.047532104658706636,0.052392567147427266,-0.059294521308812236,-0.035627751526905276,-0.0059583561026981076,0.26030787564132407,-0.02619990818784564,-0.09092717698264902,-0.09799654619095374,0.01599121837171676,-0.003499252516221985,-0.05969817343991198,0.26793579308876825,-0.04653867394739998,-0.022914356533299957,-0.027018167827964436,-0.06964390508884288,0.11143360988398687,-0.1429680931161445,0.053743792717036894,0.02760481061928778,-0.0020923491591424404
blood_glucose_mean,0.2677209718504299,1.0,0.182545906413284,0.2759932543608779,0.3506639177609181,0.05636595082460525,0.2872289551156341,0.06310807534869833,-0.04716429807221646,-0.019244362774049024,-0.16722011125009667,0.158779947400327,0.003857461017770868,0.0717081568244884,-0.06368259316332327,0.02652656203673813,-0.1318514584949869,0.08631626858979377,0.0381192764448093,-0.12341956400904168,0.12293829664964367,0.2754239520999127,0.020724498279528453,0.0031915189593780175,0.1221120409845437,0.16552084082645044,0.026293450842361947,-0.06654790677301234,-0.0838552042767199,0.28001559186597647,0.1475816650380401,0.28709380732862244,-0.17443678045590255,0.15078252332095674,-0.24496603246804416,0.04422130596348168,0.018782913675939924,-0.1037204987376552,-0.19879086961255013,0.11844381534405704,0.05466700988455891,0.046097953443136414,0.06692659650092,0.1548826562198327,0.09788384943398806,0.08719046107587296,0.18762655712033652,0.08208128815427067,0.040114492288534066,-0.13283389815129998,0.05343594707433225,0.024541906039322124,0.07042558263934928,0.06581282066725765,0.10791808310320107,0.05977291747782493,-0.09755756336706149,-0.13677843121793185,-0.11817917623892035,-0.011311395151313568,0.003974130894108612,-0.04614346121622951,-0.0946281984522393,0.012734903876263791,0.26537171733071113,0.08902776449343142,0.13706984300469371,-0.23434723872529564,0.1487648308554956,-0.09384474028095713,-0.1481640260709543,-0.025305597065701416,0.0028239323926099865,0.0665271866873097,-0.012577116547943221,0.14508461284934412,0.004412204294688106,0.04158611208694912,0.2450799696992049,-0.13712832645735892,-0.062172845163491725,0.002840913693171209,0.0958421473779594,-0.0325235572046688,0.16330634929803076,0.20263204497735085,0.3063844735411853,0.14255147706298682,-0.06402415394150832,0.0527029625940896,0.057998443053383336,0.10365845690286274,-0.044262417464081875,0.08470528267899198,-0.12228808658139086,0.06975547656172855,0.020460627403794347,0.014511498841159985,0.3703122717957382,0.018345693037486094,0.18518842045386938,0.047666268789856976,-0.1893674098159227,-0.011367791267626493,-0.11057320161586569,0.04726773208732345,-0.07234448750933238,-0.07858793474880482
resp_rate_mean,0.1373233524846098,0.182545906413284,1.0,0.1567580610717843,0.13260481881949754,0.039323265257498456,0.16899296413586776,0.06741960259868612,-0.018624933918894967,0.011957773073513546,-0.10687319253332145,0.11013268542009486,0.03669102736589137,0.0517899749080279,-0.035173349850207786,0.012413667518673612,-0.15361108564979417,0.009232820647435566,0.009306994033204218,-0.20208153291457698,0.07395628185634169,0.12004865749355509,-0.03422026123648637,-0.043227032656179346,0.15143926742486977,0.08225321843017001,-0.0027982714021652596,-0.1303236136105511,0.1002171679885051,0.14514701877524233,0.1288522528837978,0.11976778511203369,-0.11553869953008096,0.12107640330602697,-0.14766083076768396,0.03159444082629896,-0.051559009069896314,0.047266910332372764,-0.1547664315049097,0.03307193623608927,0.02132898181941723,0.06647510401243018,0.0012841604346183926,0.07893736868747232,-0.04112651660148386,0.02233507421898402,-0.030274023439048295,0.06388028340359746,0.02103481208060273,-0.10348001437295036,0.03749465335784576,-0.030686014517401126,0.0308515634605447,0.05405668155728228,-0.04774819251086602,0.014348880759876372,-0.0995978006844809,-0.0036606524730560227,-0.03320208669460827,-0.0005826981544629908,0.0026807099408389374,0.005935905324850177,0.03581854457967593,-0.05091775021024181,0.12589925907935595,0.03875081768840335,0.052142332139082405,-0.09129638815257514,0.04091518731454915,-0.06226372387788373,-0.15220167832297848,-0.10535343987001693,0.01128685296259579,0.052328541605392784,0.005015794743832205,0.06878878905726228,0.02597854765054794,0.06500969811405666,0.12433496803901121,0.01679973760750944,0.0024603193257551788,0.013858243278796754,0.03777908562555712,-0.015923145341285954,0.07381420445786287,0.11267466320110141,0.16664579530161278,0.08840653453012977,-0.034603481194073325,-0.015137313216367767,0.00877639029630082,0.15699535729330635,-0.009458937388986208,0.029298030715228206,-0.051736982204728534,0.024167320674909468,0.006863655528971511,0.020399462725543813,0.21396685184105688,0.06520272617133066,0.14401668180822252,-0.0009583088944850337,-0.05674979971417912,-0.10769023974397238,-0.1003971477838291,-0.007817868055678459,-0.02015597297827705,-0.040011162424992565
stress_mean,0.789950105082773,0.2759932543608779,0.1567580610717843,1.0,0.20798434587851708,0.4722746269911633,0.7671354903833519,0.4501428825584359,-0.26807073341866505,0.12030274630975664,-0.22750888235535818,0.13513243023833652,0.05841434497836606,0.0034838756048459095,0.2589447676289969,-0.32914476144365407,-0.2932789331905834,0.07478897202614229,-0.006179417327963056,-0.2428515815025802,0.13486841634657454,0.006652706617562523,-0.005757210765904101,-0.16903717191699374,0.12016968684241947,0.12549340091191233,0.08940651801619881,0.020794750700212274,-0.1917613357433238,0.06584787759781346,0.32929612518236895,0.10796608593028403,-0.04301351887019923,0.17758525880176576,-0.2139368591009238,0.009443021263844793,0.09702100271238444,-0.19583387664861693,-0.20990453501451056,0.0035395684018061577,-0.009756530383939538,0.09404056515953507,0.048051255150348256,-0.009802112760169951,-0.07024553155908145,0.016912774652992464,-0.006807843829402362,0.04677421494029623,0.006327889042451509,-0.00035956711460326365,-0.00525868876733168,-0.02438586949112818,0.08979964040525408,0.07457125643352924,-0.07074327455275185,0.02066931380805798,-0.009594260662221998,0.05506441625955453,0.024729563985240326,-0.05568973882928127,0.06331163856659297,0.06759245698239204,0.016259868164531437,-0.04360869459751121,0.6315126318431714,-0.05287807721116299,-0.17357359505937395,-0.5344853901923109,0.3021217760232543,0.011035206775277246,-0.07597242857882035,-0.04900231796071732,-0.046799617463973105,-0.0004334080637465652,-0.060764111952996476,-0.0742656061215419,0.013476400073892947,0.025620872355895,0.08991653680064018,-0.03787786845479415,-0.02013575649142989,0.018831906365795202,0.014886973540122516,-0.16223531611770303,-0.01032227455795922,0.08818697258912837,0.06496803747658655,0.05049016898485113,-0.06687097371899432,-0.03902576601107382,-0.0056344805405754445,0.23635356675554334,-0.04639519733532179,-0.05237399511098262,-0.11017881828570954,0.019925891364490775,-0.004845736934064691,-0.06861851076763777,0.27323420949882343,-0.06547537097848405,0.020491740700859677,-0.025490088853627444,-0.06766322955639244,0.055547285316981915,-0.1313740961583943,0.04656709561084168,0.009355526915042971,-0.03426134156296728
blood_glucose_std,0.20657996515164884,0.3506639177609181,0.13260481881949754,0.20798434587851708,1.0,0.019348333162357116,0.2434340160076322,0.06843710772898905,-0.059536751628610114,0.0038073612912976193,-0.1414096020275037,0.12469319374608034,0.0036379287989755137,0.05224327719140772,-0.03711395804207047,0.03203615836683125,-0.0883508318585813,0.052058717116757545,0.016034725024574325,-0.13268100158836182,0.06839836523377656,0.25525380478551474,0.06087936926687867,-0.04360133854469087,0.12226759583629651,0.08632700142372662,-0.031119127585884736,-0.08217985512509796,-0.026539040208855825,0.20474095238400364,0.06642815502876111,0.21087264553031815,-0.11086139404704023,0.1218020674772552,-0.17999128887066218,0.07285052658164569,-0.05692164822035662,-0.07494473860112442,-0.13630951794425597,0.15445439983473716,0.06764781883062816,0.03396486761240236,0.05654008486571512,0.1447315432378355,0.05955758799828126,0.026018720808016323,0.12002285267076239,0.04521086006657607,0.030020182526304173,-0.12625406582002577,0.019044645382120105,0.016711192330509068,0.04699258047659002,0.05865976207560126,0.08309867786327914,0.08595702444027294,-0.09822938031029077,-0.08112557416834519,-0.08612917351750954,-0.002856207052173151,-0.026224827579954726,-0.0698275964377038,-0.0724436551792034,0.0021663129051306233,0.1950958365419593,0.024052887355372775,0.01706892208345795,-0.1473117445941349,0.12174779640143131,-0.0019935073392205655,-0.09178527138335173,0.00926908409365322,0.02810914492112647,0.08131307996518708,0.01893620222832207,0.17009973576177534,0.0007013190763883117,0.05109785890810439,0.1915791918319416,-0.04938315592229684,-0.026280389684701783,0.05145476213039627,0.07324186014296903,0.012506561155131596,0.13045279224702752,0.14704615202708918,0.20584177463340692,0.11838468733238242,-0.03794546058262318,0.0393976416525494,0.05080865945478185,0.06872100182854858,-0.0042036188464269365,0.08180374040001542,-0.05795128838877491,0.028896462972974553,0.011875134256762539,0.03176194924725014,0.2983789851444125,0.055025360984928356,-0.025690458586341093,0.029121210489737783,-0.0013080660201830617,0.0330906122356071,-0.09682750132085007,0.0024509539196725777,-0.07279024635924296,-0.050886557832992785
total_steps,0.5467554935340226,0.05636595082460525,0.039323265257498456,0.4722746269911633,0.019348333162357116,1.0,0.4708380717292315,0.4747714348628542,-0.13654262449566462,0.1429154078088433,-0.05997796449093599,-0.008808763538486487,0.09786439727476932,-0.006813829012578267,0.4866916981431792,-0.5259144636743924,-0.1090978128308747,0.07556837028119347,0.06558253638744178,-0.046855398809065155,0.055308608162146264,-0.10400971607059818,0.0276626924967183,-0.07425080255682721,0.009185587941241177,0.059117264994101214,0.11766722513521999,0.12601670178291702,-0.07337548505338021,-0.06474293347670493,0.21864655329786503,-0.015718126273836844,0.1561030290053362,0.037780119266568844,0.056276721696485635,-0.04200192406006883,0.1630252891497035,-0.009470435067472173,0.0729605957776018,-0.042881222141792866,0.018673044581888443,0.06262739886879616,0.06514434160084417,-0.0973047462741441,-0.00749547771442968,0.04049500923542656,0.0057758765197118015,0.027158774405496536,-0.020391382365278536,0.15579502145066956,0.030064932231037757,0.033809374096718026,0.07658772724540316,0.06403983420329984,-0.06781240797812807,0.04362533205955843,0.09632276384337282,0.0571295238009815,0.09756255551500904,-0.01774030739616685,0.0448717010321757,0.10144427721866556,0.061429110535459644,-0.017444457552149305,0.38181434720379853,-0.00952635307592861,-0.17704856418464598,-0.2979590480796148,0.21735392805044348,0.056700321197804285,0.08679233981818817,0.0474733474870542,-0.03620747562492315,-0.10551660174410332,-0.06732739192795564,-0.16484472011347573,0.007223020739353466,-0.015907185201396484,-0.017746455481048626,-0.008588747997876326,-0.002629219291927476,0.022984648316946923,0.008835308609831926,-0.13924520572309776,-0.0817234895784013,-0.028380669960466027,-0.10992433535656874,-0.03229531648574485,0.007011267148025952,-0.06599922454149841,-0.018158530975660312,0.07218843354185168,-0.02348244250103153,-0.10673391843313132,-0.049547356263456556,-0.012116913895511687,-0.010583454489855789,-0.07971560720931041,0.009764045728979293,-0.09602544793611556,-0.03356270594456582,-0.10226759780355416,-0.07859600821518407,0.1560761455253081,0.007582533174294682,0.0777593142290485,0.08037471620369631,0.05156543508522085
resting_heart_rate,0.8628457336343314,0.2872289551156341,0.16899296413586776,0.7671354903833519,0.2434340160076322,0.4708380717292315,1.0,0.4739345554420061,-0.2631557348569465,0.12773348771559764,-0.2522535844069042,0.16681559210377742,0.05765680143334191,0.018479586281945175,0.21686451757350303,-0.29361707042422064,-0.31603158778825136,0.05786880452375437,-0.02236561882527141,-0.28713435411837046,0.17993635597282315,0.007770323453628153,-0.022827360398489992,-0.23058527279945662,0.13693937318835192,0.14776510767028592,0.062469178867677826,0.0006968970721138404,-0.21115779382618022,0.06778008595902311,0.3556796568626545,0.11303161969736522,-0.05287024054427097,0.18727109790555282,-0.2109948328512384,0.031110819695534423,0.0788781072107387,-0.21460381742960635,-0.21159074325527508,0.016271050552118502,-0.007630087596694925,0.11644978015487473,0.05755798283822781,-0.009577264400381104,-0.0819824757459414,-0.00821436434936155,0.0093899283039624,0.018649795040915546,-0.02130802298845668,-0.019413116317783963,-0.011298083004081033,-0.013149681105338979,0.10348465434418905,0.11589223766166667,-0.059911063712753225,0.019259017602820314,-0.015708882740464662,0.07184439074850468,0.013669719392456862,-0.03284893392989973,0.05563147550497627,0.06303353437382825,0.028125260686453175,-0.05760645263779867,0.6880242098550549,-0.08270006851897431,-0.2195100862444011,-0.5709667621263476,0.3376050448474714,0.036244725444201695,-0.09537178889528411,-0.04853334017654123,-0.0264571575685353,0.027547444695758885,-0.0622809495106132,-0.05028910081524349,0.017885963872653916,0.05089250428186051,0.11739637822067377,-0.012402229751199135,-0.01035034327243437,0.04560780518021841,0.020768172826173072,-0.14427984909167377,-0.006858786027889749,0.10423479389106673,0.08405939769961668,0.06469592509169443,-0.05279831991373438,-0.018655583238668432,-0.004060736332580424,0.28909907940540003,-0.01511241170166559,-0.05617583673564253,-0.08257204941254842,0.009317207026337223,0.009666765301997794,-0.033754173502751325,0.3156424603323229,-0.008161585639382532,-0.024226677337491204,-0.0024520783290466665,-0.024980290551112155,0.05795184131442855,-0.15866797086130882,0.04405741689641464,0.0033940744101302895,-0.03119265769860669
total_kcal,0.5152498602227641,0.06310807534869833,0.06741960259868612,0.4501428825584359,0.06843710772898905,0.4747714348628542,0.4739345554420061,1.0,-0.16891645277082643,0.11532144472556931,-0.10993150030852215,0.022458241218745956,0.07234057815099798,-0.009770392084951642,0.4166741092055385,-0.4568925820258937,-0.116889181381599,0.09504038503115633,0.03880514721408241,-0.10524722262147498,0.049797400936923086,-0.047195565337277895,-0.0015766566803154954,-0.0853232178406158,0.03933185971274517,0.053303440104292825,0.07295399961533992,0.08292837612025059,-0.07884256628506721,-0.02051077446893908,0.18497126221027546,0.006327727109421834,0.09065800810475007,0.08242183255898966,0.002908889038114282,-0.002261413634533818,0.08042398030726253,-0.0320616452353066,0.010210635713412092,-0.013457161706413706,0.013114655131952754,0.0661255286100538,0.04733491528049057,-0.05698156904009358,-0.04666383227258123,0.026194108301727442,-0.02366638886379023,0.023303126949058953,-0.016888144352749688,0.08853714077187241,0.013579379959812721,-0.002281775900688925,0.061657988413035214,0.04063167569665818,-0.07050031286447471,0.02965152442267347,0.03635185267909699,0.059120242707069295,0.06518026705537701,-0.024209055629693433,0.03631907336204512,0.08935672517784131,0.059003880037408675,0.0024698885648586663,0.38622290278367505,-0.04389888794718103,-0.17068052240670167,-0.301225754691876,0.2095783467781531,0.04892665587418224,0.022604690077692162,0.020030322673378995,-0.026393628229213994,-0.06341611192086795,-0.047105531880052606,-0.11376818623149484,-0.005198359353158313,0.00783425181457145,-0.004981068382658707,-0.016938057080698246,0.01170713600991199,0.024134388808495975,0.0017943659038146867,-0.09958298895804607,-0.06863581250373414,-0.017919396264926397,-0.070857197253174,-0.01317695838684792,-0.0031100177477642503,-0.050605015977854,-0.011913705280712722,0.0836659238724196,-0.01004879547506791,-0.07474266621249938,-0.05475899068694307,-0.0002673148508894843,-0.00514217623045252,-0.054595388209904054,0.0671394211809044,-0.07353918676630905,-0.04773558410360852,-0.06164909896506286,-0.007786033239206686,0.08325544103450042,-0.018732761550303335,0.022020152960059356,0.04711819951295596,0.038379826441469506
sleep_light_hrs,-0.2740190968316821,-0.04716429807221646,-0.018624933918894967,-0.26807073341866505,-0.059536751628610114,-0.13654262449566462,-0.2631557348569465,-0.16891645277082643,1.0,-0.03490472611222733,0.10685164592237754,-0.04623837259947495,-0.011916534345205204,0.009307576341211194,-0.0698686628566933,0.09321313919035845,0.07678013137723856,-0.02086525240677948,0.03533301864530343,0.07726438231964416,-0.046793607397978484,0.033675673167460354,0.016111484620360855,0.12792464269004955,-0.023339428878564997,-0.04585170897445719,-0.007321297993693852,0.010398386087667943,0.0591261263454532,0.010927151757529044,-0.07141198325067773,0.0019229515867737485,0.06824987786508309,-0.0819087221527521,0.09418017714413554,0.01706204946794638,-0.005497082524181701,0.08928929164439273,0.12169418029636088,0.024108255313652786,0.05252007264426594,-0.0245874705383315,0.020704435920400003,0.010637877354536212,0.05940114782880666,0.02851438574413968,0.06713692116590184,-0.026663129257947126,0.03731957697171589,0.010339774873055261,0.011486060796890985,0.019577159405078468,-0.02174151565797424,0.0047581423747358855,0.07905969511157529,0.017037604844640623,0.002633655031781701,-0.00892705177562893,-0.0003498624335829021,0.043706137996276796,-0.009053672967125288,-0.03878821081346847,0.010213687736950387,0.01910848105770127,-0.2247374323881508,0.06407082047074401,0.07623292360738619,0.2087025673718086,-0.1012671731704274,0.01847943670249393,0.016454431613823556,0.019277366795840082,0.024475998690211807,0.02043347529928768,0.04407952869895245,0.08091324452977694,-0.0031495081053290025,0.041785378823302265,-0.017208381085787764,0.012649708211379906,-0.012872146821863795,0.017692815655799093,0.0016978066588587866,0.0564958864556439,0.012602836178284125,-0.0021907797328866835,-0.005686907830205157,-0.005716688174688375,0.05140413180357056,0.032015717386862305,0.005934917982076912,-0.06560260253241804,0.0723105333733631,0.006654399545493037,0.07305556179652428,0.000847132488041352,0.00600806629433095,0.028832567417421257,-0.08215013919825202,0.06329378023037512,0.04279551579256347,0.021013924482514358,-0.06032358382542488,0.010852099419529347,0.05115030941391673,-0.004182554394828306,-0.005454776824406769,0.003517891825176041
sleep_deep_hrs,0.14789298534304923,-0.019244362774049024,0.011957773073513546,0.12030274630975664,0.0038073612912976193,0.1429154078088433,0.12773348771559764,0.11532144472556931,-0.03490472611222733,1.0,-0.04758343634229675,-0.007831919190834181,0.008995124722976418,-0.00958235135770174,0.11085382604295235,-0.09488746664495605,-0.03295330061027095,0.021816021708234115,0.014807414401575205,-0.06830525345477653,0.026063919847640265,-0.043078425050503376,-0.011996238861214112,-0.034097372755245124,0.025977557072981876,-0.002269266795122739,-0.017638870745669555,0.025998671586626033,0.018825655482104624,-0.01842223224929541,0.038558323257510005,-0.01858464895273633,0.028054091973960023,0.040178633102760535,-0.03812947776541463,0.0002755325855090763,-0.018633965634839742,0.021818648408554908,-0.02939443488466878,-0.02989482048786997,-0.00409189247477647,0.02918707459355711,0.019280694094411868,-0.06322242172838466,-0.03962708169359544,-0.018276673910323064,-0.04686571884003407,0.010219439657928436,-0.013157246133877051,0.0689242155748719,0.027201167906846208,-0.034049383358987044,0.01169586886007205,-0.008823941168303475,-0.06835926835440487,-0.02955158898594986,0.03878601542517173,0.02448626960194172,0.03460316096066586,0.02524972749303644,0.02277113859497092,0.05728723224887025,0.06381512941656602,-6.573320178016891e-05,0.12374928905478316,-0.0196565423538612,-0.028893147465200976,-0.08015407183810486,0.06836759570856915,0.05000627376450326,0.01299871154543603,0.010379492184190367,-0.02078323215755087,-0.011300467789234981,-0.010568115729591737,-0.025110697240615227,0.03256921115564135,-0.01111336288378461,0.007248740959409036,0.017919486117727194,-0.009279007982517719,0.015074545356935238,-0.004718241988313374,-0.04859376588367496,-0.029667219857969437,-0.003324081424148531,-0.03907700350435026,-0.04047262297260837,0.00956513133670517,-0.015007292243959313,-0.01988381894265426,0.039742371054129616,0.003477671292553659,-0.05375787775017448,0.0007083234089009342,-0.01229401496041268,-0.011002946058171554,0.007410944557423934,-0.004970966919110127,-0.0009128387993901908,0.003941618828891695,-0.06291410480588243,0.007844014683753243,0.0008194902293868249,0.00851783793921836,0.042730720361914346,0.017898857116285583,0.04513662357467227
