Logging
iteration 0 | D LOSS = 1.4247 | G LOSS = 0.2410 | AVG R =0.5389 | mean_pen: 0.0173 |  
iteration 50 | D LOSS = 1.1595 | G LOSS = 0.0367 | AVG R =0.3712 | mean_pen: 0.0164 |  
iteration 100 | D LOSS = 1.1833 | G LOSS = -0.0034 | AVG R =0.3907 | mean_pen: 0.0163 |  
iteration 150 | D LOSS = 1.1852 | G LOSS = -0.0313 | AVG R =0.3987 | mean_pen: 0.0155 |  
iteration 200 | D LOSS = 1.1964 | G LOSS = -0.0454 | AVG R =0.4073 | mean_pen: 0.0149 |  
iteration 250 | D LOSS = 1.2061 | G LOSS = -0.0511 | AVG R =0.4106 | mean_pen: 0.0137 |  
iteration 300 | D LOSS = 1.2115 | G LOSS = -0.0531 | AVG R =0.4162 | mean_pen: 0.0128 |  
iteration 350 | D LOSS = 1.2224 | G LOSS = -0.0525 | AVG R =0.4198 | mean_pen: 0.0121 |  
iteration 400 | D LOSS = 1.2295 | G LOSS = -0.0521 | AVG R =0.4241 | mean_pen: 0.0110 |  
iteration 450 | D LOSS = 1.2409 | G LOSS = -0.0524 | AVG R =0.4286 | mean_pen: 0.0097 |  
iteration 500 | D LOSS = 1.2479 | G LOSS = -0.0526 | AVG R =0.4336 | mean_pen: 0.0086 |  
iteration 550 | D LOSS = 1.2609 | G LOSS = -0.0520 | AVG R =0.4381 | mean_pen: 0.0075 |  
iteration 600 | D LOSS = 1.2742 | G LOSS = -0.0501 | AVG R =0.4454 | mean_pen: 0.0060 |  
iteration 650 | D LOSS = 1.2897 | G LOSS = -0.0480 | AVG R =0.4510 | mean_pen: 0.0048 |  
iteration 700 | D LOSS = 1.3025 | G LOSS = -0.0440 | AVG R =0.4577 | mean_pen: 0.0036 |  
iteration 750 | D LOSS = 1.3099 | G LOSS = -0.0404 | AVG R =0.4594 | mean_pen: 0.0026 |  
iteration 800 | D LOSS = 1.3152 | G LOSS = -0.0365 | AVG R =0.4639 | mean_pen: 0.0021 |  
iteration 850 | D LOSS = 1.3239 | G LOSS = -0.0318 | AVG R =0.4659 | mean_pen: 0.0016 |  
iteration 900 | D LOSS = 1.3351 | G LOSS = -0.0258 | AVG R =0.4712 | mean_pen: 0.0010 |  
iteration 950 | D LOSS = 1.3372 | G LOSS = -0.0224 | AVG R =0.4734 | mean_pen: 0.0008 |  
iteration 1000 | D LOSS = 1.3404 | G LOSS = -0.0194 | AVG R =0.4759 | mean_pen: 0.0006 |  
iteration 1050 | D LOSS = 1.3429 | G LOSS = -0.0139 | AVG R =0.4762 | mean_pen: 0.0005 |  
iteration 1100 | D LOSS = 1.3437 | G LOSS = -0.0107 | AVG R =0.4773 | mean_pen: 0.0004 |  
iteration 1150 | D LOSS = 1.3447 | G LOSS = -0.0084 | AVG R =0.4786 | mean_pen: 0.0003 |  
iteration 1200 | D LOSS = 1.3438 | G LOSS = -0.0039 | AVG R =0.4789 | mean_pen: 0.0003 |  
iteration 1250 | D LOSS = 1.3420 | G LOSS = -0.0013 | AVG R =0.4771 | mean_pen: 0.0003 |  
iteration 1300 | D LOSS = 1.3385 | G LOSS = 0.0000 | AVG R =0.4777 | mean_pen: 0.0003 |  
iteration 1350 | D LOSS = 1.3388 | G LOSS = 0.0015 | AVG R =0.4755 | mean_pen: 0.0003 |  
iteration 1400 | D LOSS = 1.3377 | G LOSS = 0.0031 | AVG R =0.4753 | mean_pen: 0.0003 |  
iteration 1450 | D LOSS = 1.3378 | G LOSS = 0.0050 | AVG R =0.4744 | mean_pen: 0.0004 |  
iteration 1500 | D LOSS = 1.3375 | G LOSS = 0.0052 | AVG R =0.4754 | mean_pen: 0.0004 |  
