feature,avg_drop_acc
blood_glucose_mean,0.021207907488479685
Total Cholesterol (mg/dL)_value (mg/dL),0.019359781143807292
blood_glucose_std,0.017442036120731932
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.017139908243711182
HDL Cholesterol (mg/dL)_value (mg/dL),0.016286437772029237
Chronic pullmonary problems,0.01594154949583101
Dry eye (1+),0.014997079827140297
Cancer,0.012951455756691826
Kidney problems,0.012807693758645202
High blood pressure,0.011428385335113627
High blood cholesterol,0.008674710049163722
fluency_language_value,0.008339708026329343
Cataracts (1+ eyes),0.007581166071322065
Glucose (mg/dL)_value (mg/dL),0.0051801818334411736
Heart attack,0.0050958930990986275
Arthritis,0.004794202241751261
Diabetic retinopathy (1+),0.004113332997431143
OTHERWISE NORMAL,0.003969023087981687
lettera_time_value,0.0036486722015719895
repetition_value,0.0033913397769166262
Digestive problems,0.0033903380571435452
QRSD,0.003355923226796644
delayed_recall_with_no_clue_time_value,0.003302861844215048
Glaucoma (1+),0.0028962008626751156
Chloride (mEq/L)_value (mEq/L),0.0026568114638451726
lettera_value,0.0023825106345749395
moca_orientation_value,0.001964197981832605
Other heart issues (pacemaker),0.0015386212544646494
ABNORMAL,0.001509764418167676
Parkinson's disease,0.0014328525308223794
Sodium (mEq/L)_value (mEq/L),0.0011683575819886594
CRP - HS (mg/L)_value (mg/L),0.0009746695007772788
Triglycerides (mg/dL)_value (mg/dL),0.0005589550256630549
moca_total_score_value,0.0005348345129193666
Other neurological conditions,0.0005237512071750316
Stroke,0.0004733289849486821
P,0.00038203625654606096
Alkaline Phosphatase (IU/L)_value (IU/L),0.00038054584426083766
naming_value,0.0003802584397489639
naming_time_value,0.00034450626038988295
Calcium (mg/dL)_value (mg/dL),0.00028899092928231775
Low blood pressure,0.00025936908042200284
cube_visuospatial_executive_time_value,0.00012760681760005452
Albumin (g/dL)_value (g/dL),8.995275310908824e-05
Marijuana user,8.314762770686547e-05
total_kcal,8.271072620264163e-05
QRS,3.788534535927646e-05
Urine Albumin (mg/dL)_value (mg/DL),1.0337291039030893e-06
Multiple sclerosis,0.0
memory_trial1_time_value,-3.123637535678019e-06
subtraction_time_value,-1.3608251652654787e-05
memory_trial2_time_value,-8.51027547212402e-05
Retinal vascular occlusion,-8.928571428571175e-05
trails_visuospatial_executive_time_value,-0.00013140162240150133
act_running_hrs,-0.00021461738658279825
act_generic_hrs,-0.0002217278420802371
resp_rate_mean,-0.00022362652315419227
act_sedentary_hrs,-0.00023049843259048238
Mild cognitive impairmen,-0.00035879016402297294
BUN (mg/dL)_value (mg/dL),-0.0003596140049574981
total_steps,-0.0004016607127672733
act_walking_hrs,-0.00043762064652902216
trails_visuospatial_executive_value,-0.0004759348598612377
BORDERLINE,-0.00048212653579563294
Potassium (mEq/L)_value (mEq/L),-0.000547522929823514
A/G Ratio_value,-0.0005660196263196495
sleep_deep_hrs,-0.0005756610374377935
Creatinine (mg/dL)_value (md/dL),-0.000577201007442989
"Globulin, Total (g/dL)_value (g/dL)",-0.0007196629039773982
sleep_light_hrs,-0.0007207178026485339
QT,-0.0007845614829539783
repetition_time_value,-0.0008442802187477616
Rate,-0.0009056437798257245
sleep_awake_hrs,-0.0009653503302312849
moca_combined_mis_score_value,-0.0009781326071826735
clock_visuospatial_executive_time_value,-0.0010484052964904933
PR,-0.0010883493983837632
memory_trial2_value,-0.001109821154213293
sleep_rem_hrs,-0.001111248744078126
heart_rate_mean,-0.00111765781323959
moca_orientation_time_value,-0.0011511914346667008
digitspan_time_value,-0.0011858884837798555
moca_abstraction_time_value,-0.0012072991086592875
Hearing impairment,-0.001210419034872734
BUN/Creatinine ratio_value,-0.0012259726500178213
NORMAL,-0.0012803486447811308
"Protein, Total (g/dL)_value (g/dL)",-0.001333451750912471
resting_heart_rate,-0.0013925842100584074
Age-related macular degeneration,-0.0014262379693333526
moca_abstraction_value,-0.0014934862504602587
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",-0.0018228174721354492
cube_visuospatial_executive_value,-0.0018526968267507412
memory_trial1_value,-0.00202532612714029
QTc,-0.0020455651007809683
AST (IU/L)_value (IU/L),-0.0021709620448805865
INSULIN (ng/mL)_value (ng/mL),-0.0021910396519778975
T,-0.0022037033267275287
stress_mean,-0.0022236878126166678
Bilirubin Total (mg/dL)_value (mg/dL),-0.0023830869814500623
ALT (IU/L)_value (IU/L),-0.0024433679171652666
Urine Creatinine (mg/dL)_value (mg/DL),-0.0025882865029122027
Circulation problems,-0.0037529128710800386
Obesity,-0.003909233795696405
C-Peptide (ng/mL)_value (ng/mL),-0.00469161098111989
subtraction_value,-0.004748766184053012
Urinary problems,-0.005109225209226688
Osteoporosis,-0.005213736967432534
