,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.011791966664023386,0.08086113249148405,0.2692048201883765,0.03982160037972859,0.0433418539501669,0.3882328461726145,0.0174323555817433,0.03242635502446495,-0.0010703283460875388,0.037723446095979225,0.061435012055104016,0.033755290665121805,0.04286925074906155,0.02256700399831977,-0.04151878401780091,0.09151590623555939,0.09083468380357412,0.053627720886726994,0.1646080524826747,0.06686910001779162,0.04303437895499371,0.03947658030542388,0.03203511909764884,0.033929525740419554,0.02789575203630346,0.09404273802163209,0.10590493296052216,-0.03359582881014999,0.05404884168714978,0.04432404176753627,-0.0312648048779461,-0.026246196823737702,0.06482793303291758,-0.12455992547698809,0.0036666187723750085,0.16759727980299788,0.08591616981581755,-0.081043045231267,0.051289975747791934,0.04176729989976491,0.0663279469965131,0.031803631021052325,-0.0012961617376981297,-0.04121261316856489,0.03954582785296354,0.00999675120647818,0.029436244624850283,0.01863073325801246,-0.03249793562274109,0.06224529136881993,-0.04989035039716602,0.0074648860635275135,0.006848124858396494,-0.0436430234902235,0.04874159551391496,-0.07730468822645958,-0.016002230050356454,-0.007546183636081999,-0.030550871139765845,-0.025359033679424277,-0.08799484586725821,-0.016073914341502765,-0.06935702888994645,0.03709512950764838,-0.010928394882118535,0.056083068321033165,-0.10549007492859307,-0.05234079420656651,-0.008216451743383093,-0.02927475260581537,-0.05902862997662618,-0.0029412645037444384,0.021874880645986663,-0.020468432596124478,0.04095879885902657,0.034735955999644165,-0.001117787323554535,0.004724852466954075,0.04068446982366576,0.023398916868059668,0.02696534093805256,0.01197122747495287,0.003883942672337568,0.01843094407237753,-0.0003070662347104213,0.054341617985657474,0.05013682931810886,0.03766862938527109,0.03766346144425312,-0.011710129243075655,0.05267803527939236,0.01809499773329385,-0.014842863125622146,-0.009424237853240015,0.026136507854012156,0.028008207057229936,0.03475378747179168,0.032896180302429315,-0.005146272713806232,-0.025727824062780884,-0.020748663965144735,-0.005667794758975532,0.0140787732305223,-0.05700500503436582,0.03100244263235164,-0.017818315888442352,-0.032323017565223044
blood_glucose_mean,0.011791966664023386,1.0,-0.007245496139025255,0.016974022810004912,0.0514071349175123,-0.004312047664915876,-0.0007526343078237289,0.00380979394359492,0.02226678115194054,0.008545499341638688,-0.047156774926186286,0.01274320458535866,0.05618020854179771,0.03441829797478033,-0.031161484937711592,-0.0009320131057262486,-0.09039527293723038,0.0014305042711827845,0.012945918703967049,-0.17515244037856126,0.02131461803645469,0.07383012767834218,-0.022376881170318743,-0.015738120063788896,0.07215215136827816,0.03626173837458158,-0.05579313114964488,0.043159166612499494,0.0060735981113435936,0.05221412534242195,0.002126222634671843,0.04413395850012527,-0.04884199131361446,0.04725429822620419,-0.12566800229447447,0.0017976370087139056,-0.1675760235360126,-0.01987315752951545,-0.09960889323849051,0.03163762206747091,0.0316069129616218,0.03182841902911927,0.015911769209431294,0.10858656282556438,0.0645831786428861,0.04990773389095287,0.045570596008989016,0.06137219979719043,0.007858199864625388,-0.1098944170081656,0.025458947739434346,0.03480572440005731,0.030849297346143965,0.04629185985558706,0.004146278859621798,0.058113915697604414,-0.09860050022039005,-0.04593419800553367,-0.04919163832086791,-0.0653857682514414,-0.04919499167882537,-0.05266991480940149,-0.08498375797147109,-0.03679195008820174,-0.0060654864579999,0.016709757538953745,0.04718739772908012,0.09358704569825485,0.0778717028450443,-0.03361786272484043,-0.05277900356301977,-0.04259924305975389,0.034084946355145536,0.052102579209393714,0.01682191635662689,0.09288332315558363,0.01031971827790013,-0.004475001504283888,0.02024230097740425,0.0014133210367628212,-0.009367264524009345,0.0084908972721642,0.008812211762498107,0.051533742019158064,0.04286535127244305,0.05588648718814082,0.08604994180100638,0.06998620259001652,0.025721571041280897,0.015215582191703514,0.022122350907735202,0.03675772388966902,0.024641122400758168,0.04089905564995237,0.007495091728071459,0.03806833984256408,0.020494083344516325,0.042754649753125894,0.10683747312468547,0.024907963256534073,0.027313436363197312,-0.0006598857227581366,-0.005640977536744284,0.025707845259428434,-0.035788297094919735,-0.045237490014188544,-0.028207835762941863,-0.062036431277029666
resp_rate_mean,0.08086113249148405,-0.007245496139025255,1.0,0.05448590271249622,0.00894396712407794,0.04384046511750403,0.07561624516503236,0.0055843192979176835,0.02863830678206514,0.03595851954645008,0.037678970885685954,0.01459909333843227,0.024293002096934243,0.025577398381417888,0.021343713392531275,-0.01871293733499535,0.00588424426544271,0.02687742414858682,0.022679588479812288,0.040737785229316544,0.0072624515548711235,0.05097085729410543,0.01175491630122879,0.011888378599166999,0.031006407208089948,0.01370837955152882,-0.010600091233992052,-0.020726658150211193,0.008952543195658686,0.018058440278436144,0.029354980789181088,0.01672782233967867,0.011208438552881402,0.03908909169029389,0.014367816080073169,0.028908793486544047,0.05308519446034015,0.015905292210266594,0.031226198473863077,0.021664778468520628,0.026849252399743763,0.03488986802663615,0.01398621406962256,0.018065050128344234,-0.03823022166343904,0.003643990840610078,0.012080828004395635,-0.009871636442649958,0.02317031441362171,0.008343237007964459,0.025315084468872935,-0.024868353783827457,-0.0055945117006836334,0.002188696111868035,-0.013637065687012822,0.02787675000587207,-0.02223063612339279,0.012730680126650035,-0.01650702014563555,-0.010762477439243228,-0.0028996959410679045,-0.005145063233984315,0.0006732036593420815,-0.04794137223432569,0.013546675659424764,-0.009585866577623925,0.009076546390778808,-0.018040683699005904,0.011077116904189777,0.026701626171751182,-0.033888093524760805,0.0017538671209729854,0.009902738418679419,-0.0019587536244064273,-0.006503474970158188,0.03797521729840388,-0.0005581589040197525,0.02300906896644029,0.013378613639059305,0.0025953120809926503,0.011249151575907244,0.0498270572591535,-0.0060204543542934485,-0.005117941025587853,0.014327310629109326,-0.009645148468810158,0.01708400025737596,0.007977571098403117,0.03565355120184169,0.016987076836963738,-0.0009255899658948038,0.017449191009466045,0.0024974318929721537,0.004803027387765237,0.008177075577483435,0.007632490818481605,-0.008126760813938585,-0.013961593387219867,-0.0005446787685212971,-0.019495531646357606,-0.023057933411017556,0.008344484840018635,0.0334215560388945,0.01567170739214083,-0.014543205075897946,-0.02919453305186391,0.0018095207779857535,-0.0029667885445613744
stress_mean,0.2692048201883765,0.016974022810004912,0.05448590271249622,1.0,0.034446395756142494,0.03818691904520112,0.2833989329390192,0.02605049450203921,0.011418713350282567,0.02515340435677351,0.0502613399547796,0.03862686101858221,0.020701159629347946,0.024314731202151846,0.00844363516799568,-0.010480780132651283,0.07365312874205984,0.05966081373321712,0.044281098757657934,0.12589744616759907,0.07646873474260586,0.04314574819083416,0.016637898551213087,0.04487478973669622,0.0040329604789507085,0.02118248776281226,0.057921350436812985,0.08250322210215108,0.009979913496753378,0.011193250443698097,0.026204481146872564,-0.023065580822721955,-0.03263877372817702,0.04621514213698184,-0.0804041262087141,-0.016071386158750683,0.11886409274251034,0.058597686461140136,-0.0846120701313455,0.016765774861358985,0.015337403429659674,0.042550735852155644,0.013914644493977089,-0.013141964136474293,-0.05635485610379276,0.017255301024558113,0.015704681975405803,0.0187776909598285,0.010135339668005342,-0.019281357645399802,0.030144909941806197,-0.029657497177498344,0.020791470805207858,-0.0022688064000203107,-0.02996670798067434,0.04023444390868092,-0.05226572704287665,-0.02940341645354483,-0.000946538729593529,-0.027315022086946014,-0.011753983349847666,-0.04775354505234493,-0.021517386362611607,-0.057313618384885766,0.013639799722773792,0.03033604270627982,0.027034754675424825,-0.09147786096334164,-0.05238063610466032,-0.011817577012399601,-0.020689489382892064,-0.04918389776000413,0.021637768680099083,0.002101131172776966,0.003427428841157373,0.02922986307689782,0.0013444653922679612,0.0016052134253734176,-0.015600785087295475,0.02658909622972503,-0.009020840312459661,0.019179153591616305,0.012553665264251777,0.00142809007741622,0.029858582207703124,0.004884223445758212,0.028075118099808866,0.006558290591390862,0.030325398686290018,0.008416525808919707,0.030194904595521772,0.010423590537828424,0.015184689243813648,-0.01374720724265707,-0.018330885347110693,-0.005987378243396504,0.013873415356057983,0.029758481095997283,0.0506090617552178,-0.012821653792471783,-0.0024616955659857876,-0.008558960005834632,0.009854603503341842,0.040195888079605516,-0.02887659219799216,0.03178103270115811,-0.013244768603124488,-0.018252035216069273
blood_glucose_std,0.03982160037972859,0.0514071349175123,0.00894396712407794,0.034446395756142494,1.0,0.0037201255451830124,0.035137150692976314,0.027741596664704556,0.00568247679313183,-0.003236820384688222,0.000729980450812918,0.019641471709943025,0.08648923056830393,0.03372698922982869,0.0040820953460031385,-0.001505670525391302,-0.05226254935595673,0.05202875816572653,0.051229421833384164,-0.10846101418959211,0.03772598977092855,0.0691493780666038,-0.012171217807308782,0.03230715953706321,0.05746273987348119,0.06986952117692533,-0.03178693909268401,0.0299476489629701,-0.011311248340052699,0.03811858855468436,0.012168396150304676,0.07968426326239772,-0.02839204946271584,0.07099292256943883,-0.0880047230092435,0.006402006804700704,-0.07997990149311299,-0.011226763085866436,-0.06894149748737029,0.028975762709841056,0.027411999702875493,0.046405083882815105,0.02672319642947403,0.09256101150578186,0.025867138177304166,0.0462133271197449,0.013455626310557628,0.04737719617943433,0.0072007894234045145,-0.08371592962531024,0.03125771494442833,0.027784664689421625,0.03607466662092331,0.03224336956655047,-0.009462570127796005,0.05837322077901065,-0.09988124229100813,-0.053398982719400835,-0.03634435170025273,-0.07044438863168559,-0.039185258285440235,-0.056514459254540544,-0.08351868373265954,-0.06720357580854672,0.010294922632804173,-0.0034979528148019402,0.037859074915984885,0.03503784707183052,0.06527649686817162,-0.014688920273815475,-0.04030039048600796,-0.030415485714126146,0.032469782332300814,0.04404017604237121,0.030261864687372676,0.07582547590078613,0.04240890757827353,0.02777543774598458,0.025034111035604573,0.012593325430796679,0.0016769056787278632,0.02484709337939266,0.0016308255963027683,0.02289485955532837,0.030686117601272298,0.0565235228640463,0.05671070233889271,0.05861270854700092,0.003824161586813615,0.03604041621552325,0.018008048868305548,0.04158771938874908,0.0016047278032480634,0.03911743864587652,0.025131172511956328,0.051583018964296054,0.0011133644215341478,0.024109315623067114,0.06469590038825095,0.013159985635179427,0.025317891532175296,-0.0072171732312000915,0.0013497256623908715,0.0035377269591875,-0.060231536111987616,-0.03797969252235312,-0.021992048243412197,-0.051076282794744486
total_steps,0.0433418539501669,-0.004312047664915876,0.04384046511750403,0.03818691904520112,0.0037201255451830124,1.0,0.04821881460218749,0.032891872638869765,-0.006152908747542094,0.01018131402478202,0.04284507113234529,0.012679939083844455,0.013570336995783736,-0.004969405244894222,0.01616565496353958,-0.04903289992298694,0.010095090109748467,0.012421699469237171,0.0198471400807826,0.06365575813789405,0.009095147231881772,0.026398898053854782,0.005170068410568107,0.03745838200705773,-0.013339661374341536,0.02309787435544824,0.0243083207261111,0.014619347941715913,0.018413316930021607,0.02007098971376302,0.03915969558049673,8.244455044484419e-05,0.0568170116533082,0.04170478921706715,0.07313551859816328,0.009118186215388445,0.07735951751765995,0.006961064155872959,0.116986709577182,0.022576914788414688,0.04886015801270491,0.017690234109920638,0.012928008725282268,0.0013062301211684746,0.0002686756013900491,0.0207351311542903,0.013474320723564985,0.026528520089670528,0.03050553689948417,0.008441276257907169,0.03810394392973842,-0.0038277509649308366,0.01950964134856225,-0.0037645375396484155,0.03401889386688736,0.029861638030661768,0.0031927044585211826,-0.005267876157877162,0.003513039735044495,0.018770085340441514,0.015836510282789446,0.02100375861915767,0.003225137667631231,-0.012593258837206325,0.01048498052290717,-0.021508049238240328,0.010755342225702194,-0.013330958879675652,0.0026360274803757244,0.013288234454881821,0.021598072271306605,0.009437250191714937,0.019599446005394962,-0.02097082372883369,-0.03315507649723617,-0.038198886728218376,-0.0008963868208650542,0.0026758369184075735,0.0009932383536613012,0.02193509952692912,-0.0006056255375840769,0.010423948279939551,0.0200128342033091,-0.017996955042957986,-0.010188724548534294,-0.006325782458140379,-0.025916500079126322,-0.0033098529764515605,0.02476084179582821,0.0018383457987027302,-0.011080325885308693,-0.012912833108277524,0.03387857954660195,0.010763612945558538,-0.01677384070930202,0.012429662958891828,0.016705097534141716,0.0048925958025164635,-0.01400020117362017,-0.011085932764458222,-0.03722263536842715,0.0169796826247764,0.04439041263447817,0.012471635115158324,0.005738673589678682,0.017643964135213745,-0.015700812841617,-0.013063208942055501
resting_heart_rate,0.3882328461726145,-0.0007526343078237289,0.07561624516503236,0.2833989329390192,0.035137150692976314,0.04821881460218749,1.0,0.013264151632965326,0.018362112982384663,0.009690432122936634,0.0579266744302567,0.03558697777535603,0.04397549263903817,0.020838346417505663,0.0411661940196744,-0.03248302657492535,0.11431315109805039,0.08712700368690007,0.03944608570308039,0.18304913874739062,0.0666863922226579,0.06455194515282713,0.030510380864176935,0.06464510744970878,0.037599191819552874,0.021588744841086235,0.10832608820234292,0.09524393195659624,-0.03962193866935345,0.029261896817980654,0.046801056587711595,-0.02320081720455686,-0.04293359635302695,0.05117899139117555,-0.10253274925138753,-0.007881620654000599,0.1769309369152639,0.07994926808840873,-0.06382615458316115,0.03986357100102386,0.029045495336806674,0.03800275017078426,0.014271386906443202,0.006454686074789309,-0.047063069533193336,0.01535438786681016,-0.009677337411585128,0.01242217996340674,0.03442187419873878,-0.02463968048406474,0.05374854209518398,-0.030939724326493653,0.011696086810201272,0.04706322969476321,-0.06674019876043348,0.05856459033716207,-0.0662088277928218,-0.038057814235952246,-0.012679651847427751,-0.023925318626999207,-0.02900582850484441,-0.056441038742751345,-0.01770673711469457,-0.08350249834210455,0.044011401566987095,-0.0032909367031261887,0.052604786635370535,-0.1262140205026387,-0.046132645995717855,-0.007086847275927132,-0.005061145390861006,-0.05947457868351557,0.018205762841311816,0.022249369886930236,-0.003867607182307389,0.03815900075892949,0.019458774325847732,0.008799716689761636,0.003393223754084344,0.00699121413053331,0.01787851182966841,0.017702096716350146,0.029050543807278086,-0.01576117239228288,0.036838191629245134,0.009867514806050179,0.05292675308502948,0.009804998489645247,0.04570540787405211,0.008694198594829217,0.026085287474656535,0.032106645000848956,0.022156428464601016,-0.003533284024002661,-0.011607165679115732,0.028863596537759235,0.02740712256563167,0.024377661533682926,0.02283535891098882,-0.015065654347463781,-0.04144125737705257,0.003700648480767458,0.004963618398280157,0.028198633129724607,-0.056574424329995536,0.0004961956522475017,-0.016903522455943287,-0.01755464065559114
total_kcal,0.0174323555817433,0.00380979394359492,0.0055843192979176835,0.02605049450203921,0.027741596664704556,0.032891872638869765,0.013264151632965326,1.0,0.017808403783977238,-0.014987814258124926,0.01714585712081391,0.03104679066154391,0.03824536588979948,0.03595411622631319,-0.011578495227548924,-0.014875217669277227,-0.023172695463352648,0.04389026723281679,0.03028195343476626,-0.03300523053801368,0.034879241946534995,0.021868571607942772,0.010178286250563235,0.010865672181777093,0.031100199944124458,0.02843529401144439,-0.005405258921803818,0.007300269114696648,-0.018132780096180492,0.043811672820407564,0.03907502798597931,0.060585245902559454,0.007165279668063834,0.03368210167534455,0.01240117883070267,-0.010563933444557302,0.0020871013991180794,-0.013812950946077204,0.020976692679560097,0.07018438491833516,0.03868830663731195,0.028721142605344002,0.027106530045337307,0.0351286569221394,0.04631671605375706,0.037728430388326996,0.010944334456744292,0.05603818139757628,0.023154551278229178,-0.009963967406431119,0.012756594420051897,0.01384306905523499,0.030928841978844022,0.05764866739018669,0.008796141904558461,0.022483792302301502,-0.03226064796027191,-0.03525946860348346,-0.05170501699262319,-0.03996847195454447,-0.04709263522983168,-0.04350219687426261,-0.02618637428804245,-0.035668938074792635,0.003554138287353948,0.014605992678156404,0.022741065446885148,0.046880096426145136,0.03945665839246945,-0.0030538225711787856,-0.0008453199276730512,0.0034300482018223256,-0.0023706750739524735,0.006749130186041953,0.01395965495248114,0.022377711685350004,0.04962557000039403,0.026247126062646016,0.01744060722984324,0.04249108776696685,0.036351594584417335,0.024780317433965304,0.0063602773374428125,0.025425168668993,-0.0006221410644318949,-0.013643292226285538,0.00726691978744146,0.013954872228513637,0.026297727598585327,0.008733638209769051,0.028577904192224227,0.021015639624477153,0.01337860033489999,0.02456130758322356,0.029847761329547095,0.04162754294948733,0.03486895200061678,0.00771369314901736,0.003723371879737155,0.02106358055841825,-0.02089976676230475,-0.000931819284017996,0.005850304585688896,-0.00828736471383521,-0.005280765483853334,-0.02309025960615537,-0.028506920474376515,-0.010298859146939364
sleep_light_hrs,0.03242635502446495,0.02226678115194054,0.02863830678206514,0.011418713350282567,0.00568247679313183,-0.006152908747542094,0.018362112982384663,0.017808403783977238,1.0,-0.005700270362733997,0.004795402885818313,0.011601710680525517,0.007650577018088517,0.03598932654506858,-0.000753671322029567,-0.013446498981640265,-0.01932235346171941,0.021227652452362047,0.01793851363370216,-0.01377086395458068,0.017422085997252645,-0.0038712966446229763,0.008934150312772574,0.0029349020493928163,0.02897107750691558,0.005291242820665951,0.004998208340789742,0.0018812390921224729,-0.016213597989413773,0.003031693001437196,0.019871096688812158,0.005245688003739652,-0.01871613971134679,0.015522154664161073,-0.024114020763225996,-0.0017867842265283382,-0.002591383096436745,-0.01621481621799481,-0.0014727019322334774,0.04186890016650021,-0.0003000438723031143,0.023392263300783776,0.03516473912959726,0.026206821985192832,0.024260117079883552,0.015593311099070988,0.014610854507796861,0.0261694276395721,0.013968333350736477,-0.002420557336917344,0.007328496397231161,0.010003588481542857,0.018496972548433424,0.026408952134206246,0.05127105134731658,0.034512228698598345,-0.021724710105221073,3.6393502361258876e-05,-0.02982065893986439,-0.04766007566109566,-0.008934186488117234,-0.017150098262756222,-0.02190338290615255,-0.022209906882284632,-0.0009854023245490788,-0.0021530341011396993,0.001691514061245483,-0.014211620408988183,0.016648724250261267,0.013698959339455401,-0.00855770220625779,0.008431663605931288,0.020302932619952033,0.001255689384069633,0.021554982122853162,0.024558732878002767,0.006298671979733201,-0.004672112336703502,0.012802002361447884,-0.02132469944196317,-0.005713262691039583,0.012113042469198546,0.030973646317349977,0.018176170854292153,0.0310882826370151,0.01487088920302651,-0.0025689863376951723,0.017917745684379198,0.010814169126401952,0.01144548893500594,-0.01351261283102662,-0.007531279174177208,0.006388462513723382,0.010176164132535883,0.003182641862210565,0.02675322189250601,0.006003867929728573,0.014610922260432731,0.0034237530903095115,-0.02170998450117906,-0.0009954406939264072,0.01060703634775928,0.0010690569806821263,0.02066930265262403,-0.018012279898420563,0.00020508545368733052,-0.0025009508371087847,-0.01362979297554019
sleep_deep_hrs,-0.0010703283460875388,0.008545499341638688,0.03595851954645008,0.02515340435677351,-0.003236820384688222,0.01018131402478202,0.009690432122936634,-0.014987814258124926,-0.005700270362733997,1.0,0.017302301943643423,-0.02135410621894274,-0.020882308601802253,0.010891204744005956,0.015386394794571627,-0.03191319124732492,-0.022998514299821995,0.02097496367498938,0.006594239929317792,0.01623705419397939,0.02002877210823117,-0.003446267613997141,-0.0015301530405078545,0.0105917127772294,-0.0021601647571152186,0.016404923940481545,-0.020754367195303214,0.005104228249014642,-0.007579820395215341,0.016484754733973705,0.04551558025941939,0.013442710802953034,-0.0064783223634252655,0.031968881723744104,0.007878248230558696,-0.0037151339699566703,-0.005430376164282459,-0.012756780433243376,0.0032649104080888953,0.013070242753805115,0.010927353282560793,0.019924460486150007,0.006442278067529433,0.012769929546162902,0.008127298344738392,0.015938434445245626,0.0045482010995336565,0.012479609757231664,0.015814379332007633,0.015207339983693086,0.02462317188203483,0.03498580215839819,0.030186422132059455,0.002890591340425804,0.00878051198302131,0.021874937212783947,-0.013350818149040688,-0.020783903042024793,-0.0125647152430041,-0.036933118860135554,-0.0230812356922157,0.0018000288700421114,-0.009051109078088633,-0.026646004551473857,0.0015537471348870892,-0.026126525912797887,0.01648260498270681,-0.002879480871207172,-0.003584897354243091,-0.0010974633773422986,-0.004415971942463887,0.0005217629378789906,0.013234978256666943,-0.005216014493807639,-0.01807911396491387,-0.022509312706417862,0.02664253563839204,0.007318129834010373,0.015478737430040206,0.0033839958497328183,0.018483335571749214,0.010827696877617572,0.0030629019667858916,0.011485790270102096,0.004379335927373508,0.008344472479496932,-0.02682230136773171,0.0002322907352168136,0.0033789540399420145,0.006522327849221503,0.00488489890689488,-0.0028416819214305655,0.003544533281401746,-0.00898649207126581,0.01640483077534107,0.014540594116722282,-0.008736258694525727,-0.005599051955825197,0.00470080365219348,0.006257151925646739,-0.031214705316140765,0.011092075755163267,0.016724573219714767,0.016347587895803838,-0.013506081044155347,0.03220565566030589,0.020300230130208225,-0.004813573390828807
