α=1.00%, θ*=1.60, TPR=0.0192, FPR=0.0085, PPV=0.6941, Advantage=0.0107
α=2.00%, θ*=1.70, TPR=0.0317, FPR=0.0190, PPV=0.6252, Advantage=0.0127
α=3.00%, θ*=1.75, TPR=0.0421, FPR=0.0254, PPV=0.6239, Advantage=0.0167
α=4.00%, θ*=1.80, TPR=0.0667, FPR=0.0317, PPV=0.6777, Advantage=0.0350
α=5.00%, θ*=1.80, TPR=0.0667, FPR=0.0317, PPV=0.6777, Advantage=0.0350
α=6.00%, θ*=1.85, TPR=0.0910, FPR=0.0529, PPV=0.6327, Advantage=0.0382
α=7.00%, θ*=1.85, TPR=0.0910, FPR=0.0529, PPV=0.6327, Advantage=0.0382
α=8.00%, θ*=1.85, TPR=0.0910, FPR=0.0529, PPV=0.6327, Advantage=0.0382
α=9.00%, θ*=1.85, TPR=0.0910, FPR=0.0529, PPV=0.6327, Advantage=0.0382
α=10.00%, θ*=1.85, TPR=0.0910, FPR=0.0529, PPV=0.6327, Advantage=0.0382
α=11.00%, θ*=1.85, TPR=0.0910, FPR=0.0529, PPV=0.6327, Advantage=0.0382
α=12.00%, θ*=1.90, TPR=0.1152, FPR=0.1121, PPV=0.5068, Advantage=0.0031
α=13.00%, θ*=1.90, TPR=0.1152, FPR=0.1121, PPV=0.5068, Advantage=0.0031
α=14.00%, θ*=1.90, TPR=0.1152, FPR=0.1121, PPV=0.5068, Advantage=0.0031
α=15.00%, θ*=1.90, TPR=0.1152, FPR=0.1121, PPV=0.5068, Advantage=0.0031
α=16.00%, θ*=1.90, TPR=0.1152, FPR=0.1121, PPV=0.5068, Advantage=0.0031
α=17.00%, θ*=1.95, TPR=0.1545, FPR=0.1691, PPV=0.4774, Advantage=-0.0146
α=18.00%, θ*=1.95, TPR=0.1545, FPR=0.1691, PPV=0.4774, Advantage=-0.0146
α=19.00%, θ*=2.00, TPR=0.1951, FPR=0.1882, PPV=0.5091, Advantage=0.0070
α=20.00%, θ*=2.00, TPR=0.1951, FPR=0.1882, PPV=0.5091, Advantage=0.0070
α=21.00%, θ*=2.00, TPR=0.1951, FPR=0.1882, PPV=0.5091, Advantage=0.0070
α=22.00%, θ*=2.00, TPR=0.1951, FPR=0.1882, PPV=0.5091, Advantage=0.0070
α=23.00%, θ*=2.05, TPR=0.2384, FPR=0.2241, PPV=0.5155, Advantage=0.0143
α=24.00%, θ*=2.05, TPR=0.2384, FPR=0.2241, PPV=0.5155, Advantage=0.0143
α=25.00%, θ*=2.05, TPR=0.2384, FPR=0.2241, PPV=0.5155, Advantage=0.0143
α=26.00%, θ*=2.10, TPR=0.2867, FPR=0.2558, PPV=0.5284, Advantage=0.0308
α=27.00%, θ*=2.10, TPR=0.2867, FPR=0.2558, PPV=0.5284, Advantage=0.0308
α=28.00%, θ*=2.10, TPR=0.2867, FPR=0.2558, PPV=0.5284, Advantage=0.0308
α=29.00%, θ*=2.10, TPR=0.2867, FPR=0.2558, PPV=0.5284, Advantage=0.0308
α=30.00%, θ*=2.10, TPR=0.2867, FPR=0.2558, PPV=0.5284, Advantage=0.0308
α=31.00%, θ*=2.15, TPR=0.3329, FPR=0.3023, PPV=0.5241, Advantage=0.0306
α=32.00%, θ*=2.15, TPR=0.3329, FPR=0.3023, PPV=0.5241, Advantage=0.0306
α=33.00%, θ*=2.15, TPR=0.3329, FPR=0.3023, PPV=0.5241, Advantage=0.0306
α=34.00%, θ*=2.20, TPR=0.3794, FPR=0.3383, PPV=0.5287, Advantage=0.0412
α=35.00%, θ*=2.20, TPR=0.3794, FPR=0.3383, PPV=0.5287, Advantage=0.0412
α=36.00%, θ*=2.20, TPR=0.3794, FPR=0.3383, PPV=0.5287, Advantage=0.0412
α=37.00%, θ*=2.20, TPR=0.3794, FPR=0.3383, PPV=0.5287, Advantage=0.0412
α=38.00%, θ*=2.20, TPR=0.3794, FPR=0.3383, PPV=0.5287, Advantage=0.0412
α=39.00%, θ*=2.20, TPR=0.3794, FPR=0.3383, PPV=0.5287, Advantage=0.0412
α=40.00%, θ*=2.20, TPR=0.3794, FPR=0.3383, PPV=0.5287, Advantage=0.0412
α=41.00%, θ*=2.20, TPR=0.3794, FPR=0.3383, PPV=0.5287, Advantage=0.0412
α=42.00%, θ*=2.25, TPR=0.4230, FPR=0.4144, PPV=0.5051, Advantage=0.0086
α=43.00%, θ*=2.25, TPR=0.4230, FPR=0.4144, PPV=0.5051, Advantage=0.0086
α=44.00%, θ*=2.25, TPR=0.4230, FPR=0.4144, PPV=0.5051, Advantage=0.0086
α=45.00%, θ*=2.25, TPR=0.4230, FPR=0.4144, PPV=0.5051, Advantage=0.0086
α=46.00%, θ*=2.25, TPR=0.4230, FPR=0.4144, PPV=0.5051, Advantage=0.0086
α=47.00%, θ*=2.25, TPR=0.4230, FPR=0.4144, PPV=0.5051, Advantage=0.0086
α=48.00%, θ*=2.25, TPR=0.4230, FPR=0.4144, PPV=0.5051, Advantage=0.0086
α=49.00%, θ*=2.30, TPR=0.4791, FPR=0.4820, PPV=0.4985, Advantage=-0.0029
α=50.00%, θ*=2.30, TPR=0.4791, FPR=0.4820, PPV=0.4985, Advantage=-0.0029
α=51.00%, θ*=2.30, TPR=0.4791, FPR=0.4820, PPV=0.4985, Advantage=-0.0029
α=52.00%, θ*=2.35, TPR=0.5219, FPR=0.5180, PPV=0.5019, Advantage=0.0039
α=53.00%, θ*=2.35, TPR=0.5219, FPR=0.5180, PPV=0.5019, Advantage=0.0039
α=54.00%, θ*=2.35, TPR=0.5219, FPR=0.5180, PPV=0.5019, Advantage=0.0039
α=55.00%, θ*=2.35, TPR=0.5219, FPR=0.5180, PPV=0.5019, Advantage=0.0039
α=56.00%, θ*=2.35, TPR=0.5219, FPR=0.5180, PPV=0.5019, Advantage=0.0039
α=57.00%, θ*=2.40, TPR=0.5598, FPR=0.5666, PPV=0.4970, Advantage=-0.0068
α=58.00%, θ*=2.40, TPR=0.5598, FPR=0.5666, PPV=0.4970, Advantage=-0.0068
α=59.00%, θ*=2.45, TPR=0.6093, FPR=0.5856, PPV=0.5099, Advantage=0.0236
α=60.00%, θ*=2.45, TPR=0.6093, FPR=0.5856, PPV=0.5099, Advantage=0.0236
α=61.00%, θ*=2.50, TPR=0.6654, FPR=0.6089, PPV=0.5222, Advantage=0.0565
α=62.00%, θ*=2.50, TPR=0.6654, FPR=0.6089, PPV=0.5222, Advantage=0.0565
α=63.00%, θ*=2.50, TPR=0.6654, FPR=0.6089, PPV=0.5222, Advantage=0.0565
α=64.00%, θ*=2.50, TPR=0.6654, FPR=0.6089, PPV=0.5222, Advantage=0.0565
α=65.00%, θ*=2.55, TPR=0.7121, FPR=0.6406, PPV=0.5264, Advantage=0.0715
α=66.00%, θ*=2.60, TPR=0.7525, FPR=0.6512, PPV=0.5361, Advantage=0.1013
α=67.00%, θ*=2.60, TPR=0.7525, FPR=0.6512, PPV=0.5361, Advantage=0.1013
α=68.00%, θ*=2.60, TPR=0.7525, FPR=0.6512, PPV=0.5361, Advantage=0.1013
α=69.00%, θ*=2.65, TPR=0.7862, FPR=0.6871, PPV=0.5336, Advantage=0.0991
α=70.00%, θ*=2.65, TPR=0.7862, FPR=0.6871, PPV=0.5336, Advantage=0.0991
α=71.00%, θ*=2.65, TPR=0.7862, FPR=0.6871, PPV=0.5336, Advantage=0.0991
α=72.00%, θ*=2.65, TPR=0.7862, FPR=0.6871, PPV=0.5336, Advantage=0.0991
α=73.00%, θ*=2.65, TPR=0.7862, FPR=0.6871, PPV=0.5336, Advantage=0.0991
α=74.00%, θ*=2.70, TPR=0.8150, FPR=0.7400, PPV=0.5241, Advantage=0.0750
α=75.00%, θ*=2.70, TPR=0.8150, FPR=0.7400, PPV=0.5241, Advantage=0.0750
α=76.00%, θ*=2.70, TPR=0.8150, FPR=0.7400, PPV=0.5241, Advantage=0.0750
α=77.00%, θ*=2.70, TPR=0.8150, FPR=0.7400, PPV=0.5241, Advantage=0.0750
α=78.00%, θ*=2.70, TPR=0.8150, FPR=0.7400, PPV=0.5241, Advantage=0.0750
α=79.00%, θ*=2.75, TPR=0.8455, FPR=0.7844, PPV=0.5187, Advantage=0.0611
α=80.00%, θ*=2.75, TPR=0.8455, FPR=0.7844, PPV=0.5187, Advantage=0.0611
α=81.00%, θ*=2.75, TPR=0.8455, FPR=0.7844, PPV=0.5187, Advantage=0.0611
α=82.00%, θ*=2.75, TPR=0.8455, FPR=0.7844, PPV=0.5187, Advantage=0.0611
α=83.00%, θ*=2.80, TPR=0.8743, FPR=0.8245, PPV=0.5146, Advantage=0.0497
α=84.00%, θ*=2.80, TPR=0.8743, FPR=0.8245, PPV=0.5146, Advantage=0.0497
α=85.00%, θ*=2.85, TPR=0.8994, FPR=0.8436, PPV=0.5160, Advantage=0.0558
α=86.00%, θ*=2.85, TPR=0.8994, FPR=0.8436, PPV=0.5160, Advantage=0.0558
α=87.00%, θ*=2.85, TPR=0.8994, FPR=0.8436, PPV=0.5160, Advantage=0.0558
α=88.00%, θ*=2.85, TPR=0.8994, FPR=0.8436, PPV=0.5160, Advantage=0.0558
α=89.00%, θ*=2.85, TPR=0.8994, FPR=0.8436, PPV=0.5160, Advantage=0.0558
α=90.00%, θ*=2.90, TPR=0.9188, FPR=0.8943, PPV=0.5068, Advantage=0.0245
α=91.00%, θ*=2.90, TPR=0.9188, FPR=0.8943, PPV=0.5068, Advantage=0.0245
α=92.00%, θ*=2.90, TPR=0.9188, FPR=0.8943, PPV=0.5068, Advantage=0.0245
α=93.00%, θ*=2.95, TPR=0.9301, FPR=0.9281, PPV=0.5005, Advantage=0.0020
α=94.00%, θ*=3.05, TPR=0.9584, FPR=0.9323, PPV=0.5069, Advantage=0.0261
α=95.00%, θ*=3.10, TPR=0.9695, FPR=0.9429, PPV=0.5069, Advantage=0.0266
α=96.00%, θ*=3.10, TPR=0.9695, FPR=0.9429, PPV=0.5069, Advantage=0.0266
α=97.00%, θ*=3.10, TPR=0.9695, FPR=0.9429, PPV=0.5069, Advantage=0.0266
α=98.00%, θ*=3.15, TPR=0.9776, FPR=0.9704, PPV=0.5018, Advantage=0.0072
α=99.00%, θ*=3.70, TPR=1.0000, FPR=0.9831, PPV=0.5043, Advantage=0.0169
α=100.00%, θ*=4.70, TPR=1.0000, FPR=1.0000, PPV=0.5000, Advantage=0.0000
