feature,avg_drop_acc
Total Cholesterol (mg/dL)_value (mg/dL),0.01076000000000001
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.008440000000000008
blood_glucose_mean,0.008160000000000006
Glucose (mg/dL)_value (mg/dL),0.006000000000000005
HDL Cholesterol (mg/dL)_value (mg/dL),0.005640000000000004
PR,0.0050400000000000045
A/G Ratio_value,0.004200000000000004
Arthritis,0.0039600000000000034
Cataracts (1+ eyes),0.003920000000000003
resting_heart_rate,0.003640000000000003
Albumin (g/dL)_value (g/dL),0.0035600000000000033
QRS,0.0033200000000000035
delayed_recall_with_no_clue_time_value,0.0033200000000000026
subtraction_value,0.0032400000000000024
QTc,0.0031200000000000025
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",0.0031200000000000025
Rate,0.0030800000000000024
blood_glucose_std,0.002880000000000003
repetition_value,0.0027200000000000024
Alkaline Phosphatase (IU/L)_value (IU/L),0.0027200000000000024
clock_visuospatial_executive_time_value,0.0026800000000000027
Marijuana user,0.0025200000000000023
High blood pressure,0.002480000000000002
Calcium (mg/dL)_value (mg/dL),0.002440000000000002
Chloride (mEq/L)_value (mEq/L),0.002360000000000002
C-Peptide (ng/mL)_value (ng/mL),0.002360000000000002
Osteoporosis,0.002240000000000002
resp_rate_mean,0.002200000000000002
cube_visuospatial_executive_time_value,0.002080000000000002
P,0.0020000000000000018
T,0.001960000000000002
trails_visuospatial_executive_value,0.0018400000000000018
moca_total_score_value,0.0016400000000000015
ALT (IU/L)_value (IU/L),0.0016400000000000015
High blood cholesterol,0.0016400000000000015
Creatinine (mg/dL)_value (md/dL),0.0016000000000000014
heart_rate_mean,0.0015600000000000013
moca_orientation_value,0.0015200000000000014
memory_trial1_value,0.0015200000000000012
CRP - HS (mg/L)_value (mg/L),0.0014000000000000013
Heart attack,0.0014000000000000013
repetition_time_value,0.0013200000000000013
Mild cognitive impairmen,0.001240000000000001
Urine Creatinine (mg/dL)_value (mg/DL),0.001200000000000001
QRSD,0.0011600000000000009
lettera_time_value,0.0011600000000000009
AST (IU/L)_value (IU/L),0.001080000000000001
sleep_deep_hrs,0.0010800000000000009
"Protein, Total (g/dL)_value (g/dL)",0.0010000000000000009
trails_visuospatial_executive_time_value,0.0009600000000000008
sleep_light_hrs,0.0009200000000000007
cube_visuospatial_executive_value,0.0008400000000000008
BUN/Creatinine ratio_value,0.0008400000000000008
sleep_rem_hrs,0.0008400000000000008
stress_mean,0.0007600000000000008
Hearing impairment,0.0007600000000000007
sleep_awake_hrs,0.0007600000000000007
memory_trial2_value,0.0007200000000000007
Potassium (mEq/L)_value (mEq/L),0.0007200000000000005
act_walking_hrs,0.0006800000000000006
INSULIN (ng/mL)_value (ng/mL),0.0006400000000000006
lettera_value,0.0006000000000000005
memory_trial2_time_value,0.0005600000000000005
Chronic pullmonary problems,0.0005600000000000001
moca_abstraction_value,0.0005200000000000005
naming_value,0.0005200000000000004
total_steps,0.0004800000000000004
NORMAL,0.0004400000000000004
Kidney problems,0.0004400000000000003
Triglycerides (mg/dL)_value (mg/dL),0.00040000000000000045
"Globulin, Total (g/dL)_value (g/dL)",0.00036000000000000035
moca_combined_mis_score_value,0.0003600000000000003
act_sedentary_hrs,0.00032000000000000024
Urine Albumin (mg/dL)_value (mg/DL),0.0002400000000000002
BUN (mg/dL)_value (mg/dL),0.0002000000000000001
moca_orientation_time_value,0.0001600000000000002
act_generic_hrs,0.0001200000000000001
total_kcal,0.00012000000000000006
Parkinson's disease,8.000000000000006e-05
memory_trial1_time_value,4.000000000000004e-05
act_running_hrs,4.000000000000004e-05
QT,4.000000000000002e-05
Other neurological conditions,4.000000000000002e-05
subtraction_time_value,4.000000000000002e-05
Low blood pressure,1.0842021724855045e-20
Retinal vascular occlusion,0.0
Multiple sclerosis,-0.00016000000000000015
digitspan_time_value,-0.0002
BORDERLINE,-0.0002400000000000002
Digestive problems,-0.0002800000000000002
OTHERWISE NORMAL,-0.0002800000000000002
naming_time_value,-0.0003200000000000003
Stroke,-0.0003600000000000003
ABNORMAL,-0.0003600000000000005
Circulation problems,-0.0004400000000000004
moca_abstraction_time_value,-0.00044000000000000045
Glaucoma (1+),-0.0004800000000000004
fluency_language_value,-0.0008000000000000007
Bilirubin Total (mg/dL)_value (mg/dL),-0.0008800000000000009
Sodium (mEq/L)_value (mEq/L),-0.0009200000000000009
Diabetic retinopathy (1+),-0.0010800000000000009
Age-related macular degeneration,-0.0011600000000000009
Other heart issues (pacemaker),-0.001200000000000001
Dry eye (1+),-0.001240000000000001
Obesity,-0.0014800000000000015
Urinary problems,-0.0020000000000000018
Cancer,-0.0028000000000000026
