α=1.00%, θ*=1.20, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=2.00%, θ*=1.35, TPR=0.0041, FPR=0.0184, PPV=0.1839, Advantage=-0.0142
α=3.00%, θ*=1.45, TPR=0.0088, FPR=0.0230, PPV=0.2763, Advantage=-0.0142
α=4.00%, θ*=1.50, TPR=0.0134, FPR=0.0322, PPV=0.2941, Advantage=-0.0188
α=5.00%, θ*=1.55, TPR=0.0224, FPR=0.0483, PPV=0.3172, Advantage=-0.0258
α=6.00%, θ*=1.60, TPR=0.0322, FPR=0.0529, PPV=0.3783, Advantage=-0.0207
α=7.00%, θ*=1.65, TPR=0.0446, FPR=0.0644, PPV=0.4094, Advantage=-0.0198
α=8.00%, θ*=1.70, TPR=0.0595, FPR=0.0759, PPV=0.4395, Advantage=-0.0164
α=9.00%, θ*=1.70, TPR=0.0595, FPR=0.0759, PPV=0.4395, Advantage=-0.0164
α=10.00%, θ*=1.75, TPR=0.0731, FPR=0.0920, PPV=0.4430, Advantage=-0.0188
α=11.00%, θ*=1.80, TPR=0.0880, FPR=0.1034, PPV=0.4597, Advantage=-0.0154
α=12.00%, θ*=1.80, TPR=0.0880, FPR=0.1034, PPV=0.4597, Advantage=-0.0154
α=13.00%, θ*=1.80, TPR=0.0880, FPR=0.1034, PPV=0.4597, Advantage=-0.0154
α=14.00%, θ*=1.85, TPR=0.1134, FPR=0.1310, PPV=0.4638, Advantage=-0.0177
α=15.00%, θ*=1.85, TPR=0.1134, FPR=0.1310, PPV=0.4638, Advantage=-0.0177
α=16.00%, θ*=1.85, TPR=0.1134, FPR=0.1310, PPV=0.4638, Advantage=-0.0177
α=17.00%, θ*=1.85, TPR=0.1134, FPR=0.1310, PPV=0.4638, Advantage=-0.0177
α=18.00%, θ*=1.90, TPR=0.1365, FPR=0.1793, PPV=0.4323, Advantage=-0.0428
α=19.00%, θ*=1.90, TPR=0.1365, FPR=0.1793, PPV=0.4323, Advantage=-0.0428
α=20.00%, θ*=1.90, TPR=0.1365, FPR=0.1793, PPV=0.4323, Advantage=-0.0428
α=21.00%, θ*=1.90, TPR=0.1365, FPR=0.1793, PPV=0.4323, Advantage=-0.0428
α=22.00%, θ*=1.90, TPR=0.1365, FPR=0.1793, PPV=0.4323, Advantage=-0.0428
α=23.00%, θ*=1.90, TPR=0.1365, FPR=0.1793, PPV=0.4323, Advantage=-0.0428
α=24.00%, θ*=1.90, TPR=0.1365, FPR=0.1793, PPV=0.4323, Advantage=-0.0428
α=25.00%, θ*=1.95, TPR=0.1641, FPR=0.2437, PPV=0.4024, Advantage=-0.0796
α=26.00%, θ*=1.95, TPR=0.1641, FPR=0.2437, PPV=0.4024, Advantage=-0.0796
α=27.00%, θ*=1.95, TPR=0.1641, FPR=0.2437, PPV=0.4024, Advantage=-0.0796
α=28.00%, θ*=1.95, TPR=0.1641, FPR=0.2437, PPV=0.4024, Advantage=-0.0796
α=29.00%, θ*=2.00, TPR=0.2026, FPR=0.2874, PPV=0.4135, Advantage=-0.0848
α=30.00%, θ*=2.00, TPR=0.2026, FPR=0.2874, PPV=0.4135, Advantage=-0.0848
α=31.00%, θ*=2.00, TPR=0.2026, FPR=0.2874, PPV=0.4135, Advantage=-0.0848
α=32.00%, θ*=2.00, TPR=0.2026, FPR=0.2874, PPV=0.4135, Advantage=-0.0848
α=33.00%, θ*=2.05, TPR=0.2506, FPR=0.3264, PPV=0.4343, Advantage=-0.0758
α=34.00%, θ*=2.05, TPR=0.2506, FPR=0.3264, PPV=0.4343, Advantage=-0.0758
α=35.00%, θ*=2.05, TPR=0.2506, FPR=0.3264, PPV=0.4343, Advantage=-0.0758
α=36.00%, θ*=2.05, TPR=0.2506, FPR=0.3264, PPV=0.4343, Advantage=-0.0758
α=37.00%, θ*=2.05, TPR=0.2506, FPR=0.3264, PPV=0.4343, Advantage=-0.0758
α=38.00%, θ*=2.10, TPR=0.3035, FPR=0.3724, PPV=0.4490, Advantage=-0.0689
α=39.00%, θ*=2.10, TPR=0.3035, FPR=0.3724, PPV=0.4490, Advantage=-0.0689
α=40.00%, θ*=2.10, TPR=0.3035, FPR=0.3724, PPV=0.4490, Advantage=-0.0689
α=41.00%, θ*=2.10, TPR=0.3035, FPR=0.3724, PPV=0.4490, Advantage=-0.0689
α=42.00%, θ*=2.10, TPR=0.3035, FPR=0.3724, PPV=0.4490, Advantage=-0.0689
α=43.00%, θ*=2.10, TPR=0.3035, FPR=0.3724, PPV=0.4490, Advantage=-0.0689
α=44.00%, θ*=2.10, TPR=0.3035, FPR=0.3724, PPV=0.4490, Advantage=-0.0689
α=45.00%, θ*=2.10, TPR=0.3035, FPR=0.3724, PPV=0.4490, Advantage=-0.0689
α=46.00%, θ*=2.15, TPR=0.3596, FPR=0.4598, PPV=0.4389, Advantage=-0.1002
α=47.00%, θ*=2.15, TPR=0.3596, FPR=0.4598, PPV=0.4389, Advantage=-0.1002
α=48.00%, θ*=2.15, TPR=0.3596, FPR=0.4598, PPV=0.4389, Advantage=-0.1002
α=49.00%, θ*=2.20, TPR=0.4078, FPR=0.4897, PPV=0.4544, Advantage=-0.0818
α=50.00%, θ*=2.20, TPR=0.4078, FPR=0.4897, PPV=0.4544, Advantage=-0.0818
α=51.00%, θ*=2.20, TPR=0.4078, FPR=0.4897, PPV=0.4544, Advantage=-0.0818
α=52.00%, θ*=2.25, TPR=0.4569, FPR=0.5126, PPV=0.4712, Advantage=-0.0558
α=53.00%, θ*=2.25, TPR=0.4569, FPR=0.5126, PPV=0.4712, Advantage=-0.0558
α=54.00%, θ*=2.25, TPR=0.4569, FPR=0.5126, PPV=0.4712, Advantage=-0.0558
α=55.00%, θ*=2.25, TPR=0.4569, FPR=0.5126, PPV=0.4712, Advantage=-0.0558
α=56.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=57.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=58.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=59.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=60.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=61.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=62.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=63.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=64.00%, θ*=2.30, TPR=0.5015, FPR=0.5563, PPV=0.4741, Advantage=-0.0549
α=65.00%, θ*=2.35, TPR=0.5475, FPR=0.6460, PPV=0.4588, Advantage=-0.0984
α=66.00%, θ*=2.35, TPR=0.5475, FPR=0.6460, PPV=0.4588, Advantage=-0.0984
α=67.00%, θ*=2.35, TPR=0.5475, FPR=0.6460, PPV=0.4588, Advantage=-0.0984
α=68.00%, θ*=2.40, TPR=0.5975, FPR=0.6759, PPV=0.4692, Advantage=-0.0783
α=69.00%, θ*=2.40, TPR=0.5975, FPR=0.6759, PPV=0.4692, Advantage=-0.0783
α=70.00%, θ*=2.40, TPR=0.5975, FPR=0.6759, PPV=0.4692, Advantage=-0.0783
α=71.00%, θ*=2.40, TPR=0.5975, FPR=0.6759, PPV=0.4692, Advantage=-0.0783
α=72.00%, θ*=2.45, TPR=0.6499, FPR=0.7103, PPV=0.4778, Advantage=-0.0604
α=73.00%, θ*=2.45, TPR=0.6499, FPR=0.7103, PPV=0.4778, Advantage=-0.0604
α=74.00%, θ*=2.45, TPR=0.6499, FPR=0.7103, PPV=0.4778, Advantage=-0.0604
α=75.00%, θ*=2.45, TPR=0.6499, FPR=0.7103, PPV=0.4778, Advantage=-0.0604
α=76.00%, θ*=2.45, TPR=0.6499, FPR=0.7103, PPV=0.4778, Advantage=-0.0604
α=77.00%, θ*=2.50, TPR=0.6911, FPR=0.7655, PPV=0.4745, Advantage=-0.0744
α=78.00%, θ*=2.50, TPR=0.6911, FPR=0.7655, PPV=0.4745, Advantage=-0.0744
α=79.00%, θ*=2.50, TPR=0.6911, FPR=0.7655, PPV=0.4745, Advantage=-0.0744
α=80.00%, θ*=2.55, TPR=0.7231, FPR=0.8000, PPV=0.4747, Advantage=-0.0769
α=81.00%, θ*=2.55, TPR=0.7231, FPR=0.8000, PPV=0.4747, Advantage=-0.0769
α=82.00%, θ*=2.60, TPR=0.7599, FPR=0.8184, PPV=0.4815, Advantage=-0.0585
α=83.00%, θ*=2.60, TPR=0.7599, FPR=0.8184, PPV=0.4815, Advantage=-0.0585
