,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.999990853043974,-0.9999877580175163,0.9999890662005431,0.999981153288398,0.9999886275861604,0.9999967175163452,0.99997465779973,0.9999848234595401,0.9999764960247928,0.9999748121769348,0.9999746906992875,0.999969693976212,0.9990552579985935,0.9999884017233892,-0.9999899358386112,-0.9999963885866646,0.9999788000045001,0.9999834130601247,-0.9999963686745509,0.9999837468197923,0.9999860082946079,-0.999988844727335,0.9999766349433946,0.9999753425481964,0.9999694651434338,-0.9999933170399227,-0.9999935534137201,0.9999950298192265,0.9999836946374631,0.9999963946041249,0.9999761252736176,0.9999918841145514,0.9999745172959602,0.9999963299264724,0.9999906761114968,0.9999972756329387,0.9999942323035128,0.9999964094505318,0.9999801478703457,0.9999721464296013,0.9999703968932943,0.9999819243265122,0.9999835617342855,-0.9999941379321022,0.9999686062478151,0.9999913032858475,0.9999738383948377,0.9999892348170014,-0.9999910384322357,0.9999764767215773,0.9999950858584743,0.9999695327490259,0.9999672443389758,0.9999944614924029,0.9999714079524841,-0.9999766029225593,-0.9999697770127653,-0.9999689222766754,-0.9999706081437378,-0.9999711415902632,-0.999970095727795,-0.9999690032458604,-0.9999683083350505,0.9999963037581493,0.9999941073281994,0.9999822928313731,-0.9999966693018632,0.9999954014886117,0.9999940131667984,0.9999924928286662,0.9999925536047223,0.8939067831736289,-0.8974070040413936,-0.5508865573865465,-0.8117005095248542,-0.5265955351460627,-0.28882568198853326,-0.0992156905658943,-0.6212743098550372,-0.31161419714651156,-0.7639378359131792,-0.3693967972769507,-0.49447505928481994,-0.2840548195243038,0.8938791291283157,0.03151348940751345,-0.4741702767000824,-0.23504077064909493,-0.30051227445633005,-0.018001640078606322,-0.843533266165581,-0.45755265912927734,-0.5003687140687517,-0.35339486135014286,0.0,0.0,-0.2605545202833081,-0.8458340462581206,-0.6568554972183486,-0.7409620693265168,-0.41202361676519605,0.8866486914039156,-0.5963389641023301,0.8802803142281315,0.8748696063352865,0.2730219246666706,0.5987706010995788
blood_glucose_mean,0.999990853043974,1.0,-0.9999825488458433,0.9999839237928637,0.9999765090832344,0.9999833542630918,0.999991494623574,0.9999686588886296,0.9999795449557063,0.9999702620276565,0.9999693239301399,0.9999700749868388,0.9999641653520576,0.99905390411509,0.9999836771777634,-0.9999847767383506,-0.9999908914655727,0.9999748019252789,0.9999782522398654,-0.999991232644906,0.9999787245162678,0.9999801469062339,-0.999983252675134,0.999972039210436,0.9999700138569425,0.9999631642385102,-0.9999884859892634,-0.9999881922794328,0.9999901101074091,0.9999782075189095,0.9999910686011194,0.999970907735705,0.9999861904688145,0.9999685193745137,0.9999910576695707,0.9999851468710608,0.9999919078231702,0.9999890666330652,0.9999913443974555,0.9999754644304819,0.9999679845517375,0.999965064011024,0.9999770215422568,0.9999787735068459,-0.9999882416383776,0.9999635094925242,0.999985563876621,0.9999684563040607,0.9999842327213455,-0.9999857126705649,0.9999704614949645,0.9999899064425065,0.9999650518755547,0.9999620842799702,0.9999892641413279,0.9999656870428351,-0.9999718586428628,-0.9999651610625401,-0.9999632228446669,-0.9999658052360917,-0.9999649932715715,-0.9999651497918334,-0.9999634992078904,-0.9999629940287191,0.9999911164347504,0.999988670115702,0.99997754575241,-0.9999913742489948,0.9999901314582792,0.9999887172419853,0.99998711066361,0.9999875809911964,0.8938877238956222,-0.8974293186219615,-0.5509522277674797,-0.8116937534824069,-0.5265802132755334,-0.28890838824660026,-0.0991700382741554,-0.6212949467293323,-0.3114636489644806,-0.763957222617872,-0.36936923172738934,-0.4945338682814806,-0.2839484352981316,0.8938738710194969,0.031513304034141966,-0.4741802437283023,-0.2350515912123159,-0.3004892559291358,-0.017948238636422365,-0.8435326300188556,-0.45754446592990167,-0.5003657423546984,-0.35343483122957525,0.0,0.0,-0.2604457852053194,-0.8457746240781746,-0.6568380857843854,-0.7409919464795743,-0.4119253062706433,0.8866434758270596,-0.5961923022576722,0.8802391314066753,0.8748976965228411,0.27297615475273124,0.598709591334548
resp_rate_mean,-0.9999877580175163,-0.9999825488458433,1.0,-0.9999810891172631,-0.9999725203421438,-0.9999792356535677,-0.9999875456381481,-0.9999636614002604,-0.9999763531437814,-0.9999664975420464,-0.9999675606173319,-0.9999666883607592,-0.9999624921405978,-0.9990483232754189,-0.9999794899462188,0.9999819607024947,0.9999874155140689,-0.9999729259180689,-0.9999750296086364,0.9999874732265359,-0.9999755348337727,-0.9999771600891983,0.9999811133833564,-0.9999679302205894,-0.9999667030717851,-0.9999611934575501,0.9999845825420338,0.9999854539715373,-0.9999865040933396,-0.9999738270192543,-0.9999876772409676,-0.9999674331660295,-0.9999830215126461,-0.9999661362079136,-0.9999873250488183,-0.9999829827654567,-0.9999884752067696,-0.9999856429189584,-0.9999880236354289,-0.999971030577654,-0.9999637242707778,-0.999961800394577,-0.9999728012992234,-0.9999758039896337,0.9999856404548312,-0.9999624002263868,-0.9999831388005859,-0.9999645569356762,-0.9999804381608399,0.9999820835038066,-0.9999680937217164,-0.999985977084102,-0.999961176978861,-0.9999606343165487,-0.9999858391232728,-0.9999624365613532,0.9999683415936659,0.9999618096810954,0.999961340307189,0.9999612709407953,0.999963214587094,0.9999623545092705,0.9999596983997703,0.9999611100119087,-0.9999872114966749,-0.9999852192177572,-0.9999747373478909,0.9999878788405141,-0.9999863492551677,-0.9999853297245435,-0.9999840174606923,-0.9999829946082065,-0.8938970652805496,0.8973671819097135,0.5509005845832216,0.8116789581801146,0.5266418737977393,0.28879233958220735,0.09927608820289281,0.6212497273069773,0.3115734334570046,0.7639825110420222,0.3694256786207931,0.4944953423898611,0.2840619396929709,-0.8938712169161599,-0.031513210464402114,0.4741033765382494,0.2351008804939645,0.30048239448977154,0.018121989932492595,0.8434827486446331,0.4574703392251917,0.5004358244525418,0.35319649703382416,0.0,0.0,0.2604127761279499,0.8458477634417435,0.6567733443827906,0.740909644534223,0.4119197419001726,-0.8866408431923108,0.5962841501742061,-0.8802715025360257,-0.8748936687179006,-0.27320813198608557,-0.5987601225758055
stress_mean,0.9999890662005431,0.9999839237928637,-0.9999810891172631,1.0,0.9999744594467812,0.999981381637114,0.9999897026742504,0.9999667498232166,0.9999785753114743,0.9999697847018795,0.9999669797781284,0.9999679332909084,0.9999628782321656,0.9990556371369498,0.999981631444676,-0.999982541416717,-0.9999891367211613,0.9999722131452456,0.9999766156443612,-0.9999896493019536,0.999976796604107,0.9999796558336164,-0.9999821167736791,0.999968973883606,0.9999687442169054,0.9999632394293645,-0.9999869342429415,-0.9999866129451164,0.9999882867434436,0.999976460516661,0.9999892132422712,0.9999688059565985,0.9999849722176941,0.9999686221207048,0.9999893585470214,0.9999832799621644,0.9999903168550068,0.9999875349714569,0.9999898279974784,0.9999736183125681,0.9999667287097909,0.9999636493070194,0.9999749571997193,0.9999778888814091,-0.9999867969613243,0.9999628281308832,0.9999848985891566,0.9999685254673566,0.9999831137577248,-0.9999844504178979,0.9999699806221151,0.999987645661124,0.9999632185711916,0.9999608475942656,0.9999874153261805,0.9999645009454272,-0.9999702942263559,-0.9999635475630295,-0.9999599740227461,-0.9999648528510577,-0.9999645971744441,-0.9999622024540484,-0.9999638921459251,-0.9999626924253028,0.9999893212366757,0.9999866674440551,0.9999755149991473,-0.9999896061049838,0.999988438533504,0.999987843210832,0.9999859902186551,0.9999858951691356,0.893897290923942,-0.8974113987785028,-0.5508890794959558,-0.811600074013418,-0.5265970576155379,-0.2888731463643426,-0.09927342512993757,-0.6213903754234371,-0.311647789424127,-0.7639108600439035,-0.36939209713303406,-0.4945619824480926,-0.2841005302310991,0.8938728185492391,0.031513266929601484,-0.47415493491279,-0.23522758559743312,-0.30038418388636356,-0.01803393585113661,-0.8435542592659324,-0.457520389174079,-0.5003448709904537,-0.35350086667354996,0.0,0.0,-0.26046012015618697,-0.8458441964692197,-0.6568549543285074,-0.7410011068062995,-0.41197888725784854,0.8866424318700554,-0.5963783180523833,0.8802638992571494,0.8748758513937792,0.2728832176183749,0.5987641607948522
blood_glucose_std,0.999981153288398,0.9999765090832344,-0.9999725203421438,0.9999744594467812,1.0,0.9999737689007956,0.9999816847706183,0.999960414515249,0.9999696643551621,0.9999614064560973,0.999960212700614,0.9999597357371777,0.999955226809703,0.9990440303839362,0.999973405538467,-0.999974097736933,-0.9999805688494702,0.9999651745967917,0.9999678063084386,-0.9999813030822213,0.9999690083889294,0.9999712847352793,-0.9999748770526755,0.9999622694308485,0.999961890526057,0.9999543859015779,-0.9999789335341308,-0.9999783523278201,0.9999799812582005,0.9999687685689933,0.999981554627283,0.9999616264534965,0.9999770502001848,0.9999571341600324,0.999981627229806,0.9999754536033436,0.9999826644352133,0.9999795036463729,0.9999816349833346,0.9999646726735955,0.9999583069020748,0.9999541296562979,0.9999669336507576,0.9999686390289333,-0.9999799975451208,0.9999546406104413,0.999976226872822,0.9999576923516129,0.9999741845387475,-0.9999769172175467,0.9999613924251425,0.9999802651688698,0.9999541294659171,0.9999538601963247,0.9999799027477746,0.9999569181609164,-0.9999623262701928,-0.9999544025768015,-0.9999545548445513,-0.999955868884847,-0.9999568513275349,-0.9999541593137802,-0.9999539456418151,-0.9999523418319642,0.9999812625398882,0.9999799283412707,0.999969134233693,-0.9999812860642061,0.9999801846372097,0.9999796246798325,0.9999777655651805,0.9999775385733256,0.8938785613272038,-0.8974094160292827,-0.5507536539507963,-0.8116263482887573,-0.526561342392922,-0.2890135508850306,-0.09931017638802898,-0.6211967678280872,-0.3113968360306517,-0.7640518651430198,-0.3693057084384716,-0.49447598262598014,-0.28396413142322874,0.8938649643132245,0.03151299003051844,-0.47415414648148363,-0.23514577318748142,-0.3001791334639133,-0.017842577556696708,-0.8434804658204178,-0.45733917642633315,-0.5003601727965834,-0.3533492456343673,0.0,0.0,-0.26065293251061433,-0.8458882948175641,-0.6569292386893889,-0.7409023136408304,-0.41182033836508036,0.8866346411656252,-0.5962116409817411,0.8802045394932708,0.874892459722319,0.2729232458616578,0.5988145003095606
total_steps,0.9999886275861604,0.9999833542630918,-0.9999792356535677,0.999981381637114,0.9999737689007956,1.0,0.9999889331443281,0.9999674146521614,0.999977608952384,0.9999695330992089,0.999967955170365,0.999968741337989,0.999961866255496,0.999049062459578,0.9999817964865843,-0.9999816084746569,-0.9999883529401766,0.9999710130362995,0.9999756850160908,-0.9999885933134736,0.9999756571195613,0.9999786901841845,-0.9999813093899187,0.9999677456715911,0.9999675621029729,0.9999615935127398,-0.9999860257372806,-0.9999860530610156,0.9999874107516792,0.9999754441370489,0.999988580356756,0.9999687840025768,0.9999843783866561,0.9999667843947259,0.9999885686413731,0.9999829329605354,0.9999892594145473,0.9999861781890351,0.9999885281664104,0.999971196129447,0.9999652994026959,0.9999619269915787,0.9999748002346037,0.9999760754580761,-0.9999860775159993,0.9999616768385713,0.9999835120607261,0.9999665995596347,0.9999817176282306,-0.9999831767563961,0.9999685236701773,0.999987183647281,0.999961779622157,0.9999596277255016,0.9999868578824188,0.9999635792079747,-0.9999694593025377,-0.9999627486126668,-0.9999622401075126,-0.9999619186393761,-0.9999645197146553,-0.9999627126676883,-0.9999611321556953,-0.9999611425673548,0.9999882399387602,0.9999858579629586,0.9999741165328226,-0.9999891576713285,0.9999878151059571,0.9999862152319696,0.9999851307860366,0.9999842094269357,0.8938907937870523,-0.897426778701141,-0.5510015087525084,-0.8115997494185003,-0.5266770503860925,-0.2888533572086485,-0.0994507577661065,-0.6213868379510044,-0.31157408349236665,-0.7640056062234185,-0.36937901078914676,-0.49444805159772676,-0.2841787344794762,0.8938716555869749,0.03151322592961595,-0.4742668260112548,-0.2351084212363039,-0.3004335889746251,-0.017988326427739627,-0.8435235855811989,-0.4573872326087608,-0.5002730860649823,-0.35338020960988603,0.0,0.0,-0.26044268025724354,-0.845770241475281,-0.6568772065266358,-0.7409746595363454,-0.4120969824802069,0.8866412783147947,-0.5963190820769301,0.8802422067274823,0.8748780960192387,0.2730422641694831,0.5986179045717989
resting_heart_rate,0.9999967175163452,0.999991494623574,-0.9999875456381481,0.9999897026742504,0.9999816847706183,0.9999889331443281,1.0,0.9999744188609879,0.9999850286845896,0.9999769277851253,0.9999752935629566,0.9999749432769736,0.9999699503608513,0.9990580353481598,0.9999888301156272,-0.9999904338888753,-0.9999966090151587,0.9999797415140965,0.9999837356929374,-0.9999968111037559,0.9999842479993001,0.9999865065823684,-0.9999893655131731,0.9999774061431219,0.9999760594583927,0.999969815323763,-0.9999939379180888,-0.999993770173174,0.999995487566826,0.9999834920275192,0.9999968337332038,0.9999763635634875,0.9999920488668034,0.9999747726868321,0.9999965828319394,0.9999913256009203,0.9999977056930394,0.9999948912922865,0.999997029395407,0.999980363684185,0.999972469973233,0.9999706866277036,0.9999827335395624,0.9999841740353828,-0.9999943821089349,0.9999691553611803,0.9999920895825757,0.9999742059911818,0.9999897465331904,-0.9999919175148979,0.9999772008527942,0.9999954990136565,0.9999707660889474,0.9999687323320259,0.9999948844517055,0.9999719250176531,-0.9999772022689145,-0.9999701135109383,-0.9999687096975867,-0.9999709348561122,-0.9999716752830637,-0.9999705265474862,-0.9999695701449145,-0.9999688343971131,0.999996450756597,0.9999943361296898,0.9999835884751996,-0.9999970856769275,0.9999957471645373,0.999994609772376,0.9999931072226124,0.9999928880952396,0.8939016578880835,-0.8973942862785111,-0.5509272967211389,-0.8116869288533537,-0.5266108294961954,-0.28889094728769127,-0.09925944170324268,-0.6212793746098269,-0.3115532688627526,-0.7639907296379995,-0.36939517572619185,-0.4945720205839358,-0.2840193127961009,0.8938797664322607,0.031513511875508216,-0.4741291844729388,-0.2350891447562905,-0.3004265421824273,-0.017984965285502454,-0.8435528853958182,-0.4575691803257755,-0.5003936801427352,-0.353445508052366,0.0,0.0,-0.26056653099515015,-0.8458414180589354,-0.6568592013909619,-0.7410054013497843,-0.41201838601228796,0.8866493235528226,-0.5963630424985711,0.880263943140823,0.874873152736383,0.2730847144023736,0.5986770942620612
total_kcal,0.99997465779973,0.9999686588886296,-0.9999636614002604,0.9999667498232166,0.999960414515249,0.9999674146521614,0.9999744188609879,1.0,0.999962961348926,0.999956578410365,0.9999535013015535,0.9999516776624152,0.9999500289415953,0.9990471244225739,0.9999664832643991,-0.9999679990653598,-0.9999740314646322,0.9999576857074899,0.9999633876937369,-0.9999749493064167,0.9999625102899632,0.9999644604868705,-0.9999666743934938,0.9999549808722628,0.9999549022434072,0.9999472233314859,-0.9999713595490014,-0.9999721335701742,0.9999728628089818,0.9999614327609849,0.9999745806510202,0.9999535351076684,0.9999704152542315,0.9999534734828225,0.9999741903951064,0.9999692997207835,0.9999755490648218,0.9999720678767561,0.9999750827080027,0.9999587248340267,0.9999518224704417,0.9999494480083435,0.9999597208916883,0.9999617923433238,-0.9999721049074546,0.9999475632808986,0.9999692239231583,0.9999519329508058,0.99996751254921,-0.9999702435790059,0.999955931401045,0.9999737776748714,0.999948435316802,0.9999453576446053,0.9999724235275232,0.9999465648336924,-0.999954332082389,-0.9999500640372884,-0.9999481140273386,-0.999949631672455,-0.9999500267844048,-0.9999497407904746,-0.9999492103167907,-0.9999462416627516,0.9999737571053475,0.9999718290589511,0.9999594810649391,-0.9999749953419832,0.9999733572454677,0.9999722951238541,0.9999708136437354,0.9999710954820284,0.8938644660385383,-0.8974060126778971,-0.5507285443050739,-0.8115681640022484,-0.5265303506930302,-0.2887581881392559,-0.09952820738477224,-0.6212206066680364,-0.3114344524138075,-0.7639194268944105,-0.3692595478033193,-0.49431329879710634,-0.283878184792589,0.8938587897480823,0.03151277234630771,-0.4741100934406655,-0.23489298049283752,-0.30043936155033474,-0.018158767667038285,-0.8436600012585553,-0.45743766968135285,-0.5004883991950725,-0.35328263786472397,0.0,0.0,-0.26061555632071287,-0.8458471795126487,-0.6569447626925,-0.7409666961249762,-0.4118315032638192,0.8866285165454975,-0.596248537003887,0.8802396146179354,0.874863051984839,0.2732599206663624,0.59869503429803
sleep_light_hrs,0.9999848234595401,0.9999795449557063,-0.9999763531437814,0.9999785753114743,0.9999696643551621,0.999977608952384,0.9999850286845896,0.999962961348926,1.0,0.9999658151762715,0.9999628954594664,0.9999635589552636,0.9999571983991826,0.9990527508122687,0.9999774969748442,-0.9999789515919211,-0.999984770281312,0.9999671665361164,0.9999715021309021,-0.9999849965629424,0.9999712717414296,0.9999739449057052,-0.9999776397843108,0.9999659210850276,0.9999649395006657,0.999957463778871,-0.9999821007350835,-0.9999825375552176,0.9999838947685188,0.9999716506440239,0.9999849882104718,0.9999636173041005,0.999981058075105,0.9999631533186712,0.9999846569369205,0.9999789720941211,0.9999855052234219,0.9999829219603639,0.9999850797208475,0.9999686375258915,0.9999609758842927,0.9999586161536242,0.999971112754879,0.9999725818550812,-0.9999826899323143,0.9999572657829124,0.9999798178186707,0.9999629694098869,0.999977722840639,-0.9999794703629387,0.9999659201700095,0.9999843339962985,0.9999589798994747,0.9999552310641866,0.9999828972786248,0.9999603159464495,-0.9999641222888024,-0.999958233665016,-0.9999572906968804,-0.9999581760263934,-0.999959397378861,-0.9999587472458733,-0.9999578795065236,-0.9999567889833538,0.9999847094188229,0.9999824797254137,0.9999719679110294,-0.9999851237977312,0.999983882773714,0.9999826631804057,0.9999813684988305,0.9999815526476883,0.8938900111756677,-0.8973659944697104,-0.5509233880062826,-0.8116645988634442,-0.5266680358022755,-0.28887316939789703,-0.09937954474816044,-0.621528716727482,-0.3116398958058419,-0.7638602983348924,-0.36938647998352764,-0.49451856930087973,-0.2839430711567875,0.8938688864412032,0.03151312830409738,-0.47395806188482875,-0.23502232788670258,-0.30055890754204095,-0.018026419070484426,-0.8435928984982812,-0.45744891709333624,-0.5005150407643055,-0.35331370652157684,0.0,0.0,-0.26063135543310945,-0.8458468866717114,-0.6568666631118236,-0.7409910887094697,-0.4119212082533782,0.8866385315681777,-0.5963045136014242,0.8802170460426715,0.8748786599476841,0.27297574440409583,0.5986927193108147
sleep_deep_hrs,0.9999764960247928,0.9999702620276565,-0.9999664975420464,0.9999697847018795,0.9999614064560973,0.9999695330992089,0.9999769277851253,0.999956578410365,0.9999658151762715,1.0,0.9999542699757933,0.9999552592268165,0.9999515350835998,0.999045658577884,0.9999695072274277,-0.9999704180789444,-0.9999762171026123,0.9999598126456893,0.9999633768286157,-0.9999763053650903,0.9999645703260817,0.9999660339230008,-0.9999697954120672,0.9999582344895946,0.9999566614801094,0.9999496685281806,-0.9999735932153256,-0.9999737173577805,0.9999755792906143,0.9999649560448494,0.9999766391083523,0.9999581158011807,0.9999714240124002,0.9999539336100578,0.9999764634063161,0.9999718030209244,0.9999774314656247,0.9999737441380231,0.9999767246270826,0.9999622387547631,0.9999518410099486,0.9999488129510832,0.9999624042872697,0.9999634797972881,-0.9999739283931566,0.999949653644073,0.9999723619337907,0.9999541885362666,0.999968899473552,-0.9999720040871284,0.9999560991071861,0.9999756376406038,0.9999492962267523,0.9999456365672251,0.9999749720368942,0.9999502658681886,-0.9999539265123633,-0.9999488608312099,-0.999950073471615,-0.9999511099109443,-0.9999530938618202,-0.9999515385690864,-0.9999494768615699,-0.9999492895419315,0.9999762268868267,0.999974406272488,0.9999617188723295,-0.999976706981912,0.99997561234858,0.9999738142929712,0.9999721758893942,0.999972779927402,0.893887626498165,-0.8974129469621459,-0.5509177212539801,-0.8116367548559578,-0.5265631824296962,-0.2886748807054956,-0.09954173760984927,-0.621203060863775,-0.3114551027352173,-0.7638698617914322,-0.36959505278715693,-0.4946065768751463,-0.2842321069103976,0.8938613058156758,0.03151286105100208,-0.47381217526927977,-0.2350579168808199,-0.3002523649365049,-0.017764165819738702,-0.843560600240626,-0.4572822547166723,-0.5002932883046867,-0.3532151408309212,0.0,0.0,-0.26024945023708007,-0.8458468116328165,-0.6571784561793776,-0.7409407020186572,-0.41192946332544217,0.8866310122610535,-0.596353462847679,0.8802614434363975,0.8748856065294176,0.272856895505004,0.5986637913314504
