Logging
ITERATION 0.0000 | TOTAL G LOSS 0.0174
ITERATION 1.0000 | TOTAL G LOSS -0.0662
ITERATION 2.0000 | TOTAL G LOSS 0.0899
ITERATION 3.0000 | TOTAL G LOSS -0.0989
ITERATION 4.0000 | TOTAL G LOSS -0.0727
ITERATION 5.0000 | TOTAL G LOSS -0.0645
ITERATION 6.0000 | TOTAL G LOSS -0.1817
ITERATION 7.0000 | TOTAL G LOSS -0.0252
ITERATION 8.0000 | TOTAL G LOSS -0.1748
ITERATION 9.0000 | TOTAL G LOSS -0.2306
ITERATION 10.0000 | TOTAL G LOSS -0.1723
ITERATION 11.0000 | TOTAL G LOSS -0.1831
ITERATION 12.0000 | TOTAL G LOSS -0.1513
ITERATION 13.0000 | TOTAL G LOSS -0.3687
ITERATION 14.0000 | TOTAL G LOSS -0.4126
ITERATION 15.0000 | TOTAL G LOSS -0.4036
ITERATION 16.0000 | TOTAL G LOSS -0.4023
ITERATION 17.0000 | TOTAL G LOSS -0.2489
ITERATION 18.0000 | TOTAL G LOSS -0.4276
ITERATION 19.0000 | TOTAL G LOSS -0.3908
ITERATION 20.0000 | TOTAL G LOSS -0.5340
ITERATION 21.0000 | TOTAL G LOSS -0.3901
ITERATION 22.0000 | TOTAL G LOSS -0.2937
ITERATION 23.0000 | TOTAL G LOSS -0.5206
ITERATION 24.0000 | TOTAL G LOSS -0.4028
ITERATION 25.0000 | TOTAL G LOSS -0.6991
ITERATION 26.0000 | TOTAL G LOSS -0.4670
ITERATION 27.0000 | TOTAL G LOSS -0.7703
ITERATION 28.0000 | TOTAL G LOSS -0.7061
ITERATION 29.0000 | TOTAL G LOSS -0.4149
ITERATION 30.0000 | TOTAL G LOSS -0.5633
ITERATION 31.0000 | TOTAL G LOSS -0.7779
ITERATION 32.0000 | TOTAL G LOSS -0.6162
ITERATION 33.0000 | TOTAL G LOSS -0.6618
ITERATION 34.0000 | TOTAL G LOSS -0.9523
ITERATION 35.0000 | TOTAL G LOSS -0.8054
ITERATION 36.0000 | TOTAL G LOSS -0.7970
ITERATION 37.0000 | TOTAL G LOSS -0.7816
ITERATION 38.0000 | TOTAL G LOSS -0.6974
ITERATION 39.0000 | TOTAL G LOSS -1.0350
ITERATION 40.0000 | TOTAL G LOSS -0.7145
ITERATION 41.0000 | TOTAL G LOSS -0.9769
ITERATION 42.0000 | TOTAL G LOSS -0.9684
ITERATION 43.0000 | TOTAL G LOSS -0.7642
ITERATION 44.0000 | TOTAL G LOSS -0.8983
ITERATION 45.0000 | TOTAL G LOSS -0.9677
ITERATION 46.0000 | TOTAL G LOSS -0.8892
ITERATION 47.0000 | TOTAL G LOSS -1.1308
ITERATION 48.0000 | TOTAL G LOSS -1.1576
ITERATION 49.0000 | TOTAL G LOSS -1.2796
ITERATION 50.0000 | TOTAL G LOSS -0.8738
ITERATION 51.0000 | TOTAL G LOSS -1.2671
ITERATION 52.0000 | TOTAL G LOSS -1.2009
ITERATION 53.0000 | TOTAL G LOSS -1.0756
ITERATION 54.0000 | TOTAL G LOSS -1.1259
ITERATION 55.0000 | TOTAL G LOSS -1.4053
ITERATION 56.0000 | TOTAL G LOSS -1.0633
ITERATION 57.0000 | TOTAL G LOSS -1.5608
ITERATION 58.0000 | TOTAL G LOSS -1.4181
ITERATION 59.0000 | TOTAL G LOSS -1.4053
ITERATION 60.0000 | TOTAL G LOSS -1.4828
ITERATION 61.0000 | TOTAL G LOSS -1.7127
ITERATION 62.0000 | TOTAL G LOSS -1.9479
ITERATION 63.0000 | TOTAL G LOSS -1.7242
ITERATION 64.0000 | TOTAL G LOSS -2.1824
ITERATION 65.0000 | TOTAL G LOSS -1.8835
ITERATION 66.0000 | TOTAL G LOSS -1.8569
