Logging
iteration 0 | D LOSS = 1.4262 | G LOSS = 0.0174 | AVG R =0.5390 |  
iteration 50 | D LOSS = 1.1996 | G LOSS = -0.8738 | AVG R =0.3919 |  
iteration 100 | D LOSS = 1.3303 | G LOSS = -6.8093 | AVG R =0.4759 |  
iteration 150 | D LOSS = 1.3814 | G LOSS = 2.6873 | AVG R =0.5048 |  
iteration 200 | D LOSS = 1.3806 | G LOSS = 0.6263 | AVG R =0.4991 |  
iteration 250 | D LOSS = 1.3782 | G LOSS = 0.4433 | AVG R =0.4961 |  
iteration 300 | D LOSS = 1.3760 | G LOSS = -1.5351 | AVG R =0.4949 |  
iteration 350 | D LOSS = 1.3719 | G LOSS = -0.7018 | AVG R =0.4927 |  
iteration 400 | D LOSS = 1.3681 | G LOSS = -0.5887 | AVG R =0.4914 |  
iteration 450 | D LOSS = 1.3661 | G LOSS = 0.4592 | AVG R =0.4898 |  
iteration 500 | D LOSS = 1.3642 | G LOSS = 1.3850 | AVG R =0.4894 |  
iteration 550 | D LOSS = 1.3616 | G LOSS = -1.0835 | AVG R =0.4877 |  
iteration 600 | D LOSS = 1.3619 | G LOSS = 1.7137 | AVG R =0.4878 |  
iteration 650 | D LOSS = 1.3601 | G LOSS = 0.7455 | AVG R =0.4864 |  
iteration 700 | D LOSS = 1.3574 | G LOSS = 1.3372 | AVG R =0.4854 |  
iteration 750 | D LOSS = 1.3573 | G LOSS = -0.2330 | AVG R =0.4846 |  
iteration 800 | D LOSS = 1.3552 | G LOSS = 1.9152 | AVG R =0.4835 |  
iteration 850 | D LOSS = 1.3522 | G LOSS = 1.0689 | AVG R =0.4838 |  
iteration 900 | D LOSS = 1.3527 | G LOSS = 0.3206 | AVG R =0.4834 |  
iteration 950 | D LOSS = 1.3520 | G LOSS = 0.4994 | AVG R =0.4821 |  
iteration 1000 | D LOSS = 1.3504 | G LOSS = -0.1984 | AVG R =0.4821 |  
iteration 1050 | D LOSS = 1.3503 | G LOSS = 0.0774 | AVG R =0.4819 |  
iteration 1100 | D LOSS = 1.3492 | G LOSS = -0.6140 | AVG R =0.4801 |  
iteration 1150 | D LOSS = 1.3491 | G LOSS = 1.0093 | AVG R =0.4810 |  
iteration 1200 | D LOSS = 1.3509 | G LOSS = -2.5914 | AVG R =0.4810 |  
iteration 1250 | D LOSS = 1.3479 | G LOSS = 2.0467 | AVG R =0.4803 |  
iteration 1300 | D LOSS = 1.3485 | G LOSS = -0.0718 | AVG R =0.4807 |  
iteration 1350 | D LOSS = 1.3477 | G LOSS = 0.8300 | AVG R =0.4809 |  
iteration 1400 | D LOSS = 1.3487 | G LOSS = 0.0570 | AVG R =0.4810 |  
iteration 1450 | D LOSS = 1.3483 | G LOSS = -0.0747 | AVG R =0.4813 |  
iteration 1500 | D LOSS = 1.3496 | G LOSS = -0.2623 | AVG R =0.4818 |  
iteration 1550 | D LOSS = 1.3504 | G LOSS = -1.7892 | AVG R =0.4808 |  
iteration 1600 | D LOSS = 1.3495 | G LOSS = 0.4054 | AVG R =0.4815 |  
iteration 1650 | D LOSS = 1.3507 | G LOSS = 1.6266 | AVG R =0.4823 |  
iteration 1700 | D LOSS = 1.3501 | G LOSS = -1.1738 | AVG R =0.4819 |  
iteration 1750 | D LOSS = 1.3508 | G LOSS = -1.1229 | AVG R =0.4826 |  
iteration 1800 | D LOSS = 1.3515 | G LOSS = 0.9996 | AVG R =0.4821 |  
iteration 1850 | D LOSS = 1.3517 | G LOSS = -0.5017 | AVG R =0.4824 |  
iteration 1900 | D LOSS = 1.3518 | G LOSS = 1.7902 | AVG R =0.4840 |  
iteration 1950 | D LOSS = 1.3532 | G LOSS = 0.7896 | AVG R =0.4833 |  
iteration 2000 | D LOSS = 1.3542 | G LOSS = -2.4988 | AVG R =0.4832 |  
iteration 2050 | D LOSS = 1.3528 | G LOSS = 2.4639 | AVG R =0.4834 |  
iteration 2100 | D LOSS = 1.3553 | G LOSS = -2.2727 | AVG R =0.4833 |  
iteration 2150 | D LOSS = 1.3562 | G LOSS = 0.7343 | AVG R =0.4837 |  
iteration 2200 | D LOSS = 1.3545 | G LOSS = -1.0813 | AVG R =0.4845 |  
iteration 2250 | D LOSS = 1.3550 | G LOSS = -2.1511 | AVG R =0.4839 |  
iteration 2300 | D LOSS = 1.3552 | G LOSS = 2.1785 | AVG R =0.4842 |  
iteration 2350 | D LOSS = 1.3535 | G LOSS = 1.1816 | AVG R =0.4838 |  
iteration 2400 | D LOSS = 1.3559 | G LOSS = -1.3077 | AVG R =0.4842 |  
iteration 2450 | D LOSS = 1.3545 | G LOSS = -0.7500 | AVG R =0.4844 |  
iteration 2500 | D LOSS = 1.3564 | G LOSS = -1.8356 | AVG R =0.4838 |  
iteration 2550 | D LOSS = 1.3562 | G LOSS = -1.5910 | AVG R =0.4840 |  
iteration 2600 | D LOSS = 1.3538 | G LOSS = -0.5253 | AVG R =0.4843 |  
iteration 2650 | D LOSS = 1.3569 | G LOSS = -1.3688 | AVG R =0.4844 |  
iteration 2700 | D LOSS = 1.3558 | G LOSS = 2.1032 | AVG R =0.4853 |  
iteration 2750 | D LOSS = 1.3553 | G LOSS = 1.8610 | AVG R =0.4852 |  
iteration 2800 | D LOSS = 1.3560 | G LOSS = -1.7151 | AVG R =0.4851 |  
iteration 2850 | D LOSS = 1.3567 | G LOSS = -0.3765 | AVG R =0.4858 |  
iteration 2900 | D LOSS = 1.3560 | G LOSS = 0.0070 | AVG R =0.4860 |  
iteration 2950 | D LOSS = 1.3567 | G LOSS = -1.1307 | AVG R =0.4847 |  
iteration 3000 | D LOSS = 1.3578 | G LOSS = 0.0795 | AVG R =0.4855 |  
iteration 3050 | D LOSS = 1.3579 | G LOSS = -2.3050 | AVG R =0.4857 |  
iteration 3100 | D LOSS = 1.3576 | G LOSS = 0.6068 | AVG R =0.4858 |  
iteration 3150 | D LOSS = 1.3577 | G LOSS = -0.9432 | AVG R =0.4857 |  
iteration 3200 | D LOSS = 1.3599 | G LOSS = -1.3519 | AVG R =0.4853 |  
iteration 3250 | D LOSS = 1.3598 | G LOSS = -0.3740 | AVG R =0.4862 |  
iteration 3300 | D LOSS = 1.3583 | G LOSS = 0.9117 | AVG R =0.4863 |  
iteration 3350 | D LOSS = 1.3606 | G LOSS = -0.7646 | AVG R =0.4862 |  
iteration 3400 | D LOSS = 1.3595 | G LOSS = -0.6990 | AVG R =0.4861 |  
iteration 3450 | D LOSS = 1.3592 | G LOSS = 1.9804 | AVG R =0.4873 |  
iteration 3500 | D LOSS = 1.3603 | G LOSS = -0.2048 | AVG R =0.4870 |  
iteration 3550 | D LOSS = 1.3604 | G LOSS = -1.0452 | AVG R =0.4872 |  
iteration 3600 | D LOSS = 1.3600 | G LOSS = -1.3452 | AVG R =0.4873 |  
iteration 3650 | D LOSS = 1.3608 | G LOSS = 0.0061 | AVG R =0.4870 |  
iteration 3700 | D LOSS = 1.3610 | G LOSS = -2.5987 | AVG R =0.4876 |  
iteration 3750 | D LOSS = 1.3608 | G LOSS = -0.2056 | AVG R =0.4882 |  
iteration 3800 | D LOSS = 1.3626 | G LOSS = -0.9665 | AVG R =0.4876 |  
iteration 3850 | D LOSS = 1.3626 | G LOSS = 0.4379 | AVG R =0.4878 |  
iteration 3900 | D LOSS = 1.3632 | G LOSS = 0.8036 | AVG R =0.4882 |  
