α=1.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=2.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=3.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=4.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=5.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=6.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=7.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=8.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=9.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=10.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=11.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=12.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=13.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=14.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=15.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=16.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=17.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=18.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=19.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=20.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=21.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=22.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=23.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=24.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=25.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=26.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=27.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=28.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=29.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=30.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=31.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=32.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=33.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=34.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=35.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=36.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=37.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=38.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=39.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=40.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=41.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=42.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=43.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=44.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=45.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=46.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=47.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=48.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=49.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=50.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=51.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=52.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=53.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=54.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=55.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=56.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=57.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=58.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=59.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
α=60.00%, θ*=4.70, TPR=0.0000, FPR=0.0000, PPV=nan, Advantage=0.0000
