feature,avg_drop_acc
Arthritis,0.0012800000000000012
Other heart issues (pacemaker),0.0009200000000000009
Stroke,0.0007600000000000007
Total Cholesterol (mg/dL)_value (mg/dL),0.0004800000000000004
Dry eye (1+),0.0004400000000000004
Heart attack,0.00028000000000000025
Kidney problems,0.00024000000000000025
lettera_time_value,0.00020000000000000017
Glaucoma (1+),0.00020000000000000017
HDL Cholesterol (mg/dL)_value (mg/dL),0.00020000000000000017
trails_visuospatial_executive_value,0.00016000000000000015
BUN/Creatinine ratio_value,0.0001200000000000001
Potassium (mEq/L)_value (mEq/L),0.0001200000000000001
resting_heart_rate,0.0001200000000000001
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.0001200000000000001
A/G Ratio_value,0.0001200000000000001
Chloride (mEq/L)_value (mEq/L),0.0001200000000000001
Low blood pressure,8.000000000000007e-05
Digestive problems,8.000000000000007e-05
Multiple sclerosis,0.0
High blood pressure,0.0
INSULIN (ng/mL)_value (ng/mL),0.0
Alkaline Phosphatase (IU/L)_value (IU/L),0.0
Albumin (g/dL)_value (g/dL),0.0
AST (IU/L)_value (IU/L),0.0
ALT (IU/L)_value (IU/L),0.0
BUN (mg/dL)_value (mg/dL),0.0
Circulation problems,0.0
Glucose (mg/dL)_value (mg/dL),0.0
"Protein, Total (g/dL)_value (g/dL)",0.0
Sodium (mEq/L)_value (mEq/L),0.0
QT,0.0
QTc,0.0
Rate,0.0
Retinal vascular occlusion,0.0
Parkinson's disease,0.0
Creatinine (mg/dL)_value (md/dL),0.0
"Globulin, Total (g/dL)_value (g/dL)",0.0
Diabetic retinopathy (1+),0.0
Calcium (mg/dL)_value (mg/dL),0.0
Bilirubin Total (mg/dL)_value (mg/dL),0.0
CRP - HS (mg/L)_value (mg/L),0.0
C-Peptide (ng/mL)_value (ng/mL),0.0
subtraction_value,0.0
total_kcal,0.0
subtraction_time_value,0.0
stress_mean,0.0
sleep_deep_hrs,0.0
moca_abstraction_value,0.0
memory_trial1_value,0.0
memory_trial1_time_value,0.0
moca_orientation_time_value,0.0
moca_orientation_value,0.0
naming_time_value,0.0
moca_combined_mis_score_value,0.0
naming_value,0.0
sleep_awake_hrs,0.0
QRS,0.0
PR,0.0
clock_visuospatial_executive_time_value,0.0
act_walking_hrs,0.0
blood_glucose_mean,0.0
Urine Albumin (mg/dL)_value (mg/DL),0.0
act_generic_hrs,0.0
Urine Creatinine (mg/dL)_value (mg/DL),0.0
act_running_hrs,0.0
act_sedentary_hrs,0.0
delayed_recall_with_no_clue_time_value,0.0
cube_visuospatial_executive_time_value,0.0
blood_glucose_std,0.0
memory_trial2_time_value,0.0
heart_rate_mean,0.0
Triglycerides (mg/dL)_value (mg/dL),0.0
T,0.0
P,0.0
total_steps,0.0
trails_visuospatial_executive_time_value,0.0
sleep_rem_hrs,0.0
resp_rate_mean,0.0
sleep_light_hrs,0.0
memory_trial2_value,0.0
moca_abstraction_time_value,0.0
lettera_value,-4.000000000000004e-05
Age-related macular degeneration,-4.000000000000004e-05
Osteoporosis,-0.0001200000000000001
repetition_time_value,-0.00016000000000000015
QRSD,-0.00016000000000000015
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",-0.00016000000000000015
repetition_value,-0.00016000000000000015
digitspan_time_value,-0.00016000000000000015
Other neurological conditions,-0.0002400000000000002
Cataracts (1+ eyes),-0.0002800000000000002
Marijuana user,-0.00028000000000000025
Mild cognitive impairmen,-0.00036000000000000035
OTHERWISE NORMAL,-0.0004800000000000004
cube_visuospatial_executive_value,-0.0006800000000000006
moca_total_score_value,-0.0007200000000000007
fluency_language_value,-0.0008000000000000007
ABNORMAL,-0.0009600000000000008
Hearing impairment,-0.001240000000000001
Obesity,-0.0012800000000000012
Urinary problems,-0.0013200000000000013
NORMAL,-0.0014800000000000013
BORDERLINE,-0.0015600000000000013
Cancer,-0.001880000000000002
High blood cholesterol,-0.0026800000000000027
Chronic pullmonary problems,-0.0030400000000000028
