,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
0,0.97816944,0.99861944,0.008156627,0.9964689,0.9996088,0.99851495,0.8233996,0.9999585,0.99146944,0.9914613,0.9951594,0.9935537,0.9999676,0.999997,0.99993974,0.00012609363,0.11817962,0.9998591,0.9999096,0.00015455484,0.98726314,0.9999636,0.03782797,0.99619305,0.9999769,0.9999745,0.0052500963,0.010036856,0.9670404,0.999894,0.99689174,0.99993336,0.9646784,0.9998723,0.9897363,0.8855172,0.94656515,0.9921547,0.9493235,0.9998735,0.9989985,0.99998605,0.99857485,0.9998244,0.0089478195,0.99619377,0.99860275,0.99974835,0.99673545,0.13084114,0.99985325,0.97964895,0.99998915,0.99998605,0.91698694,0.9999781,2.6166439e-05,6.124377e-05,0.0006195903,0.00020074844,0.0001835227,0.0004067123,0.011380047,8.201599e-05,0.9987686,0.9997008,0.9765605,0.060632795,0.99979377,0.99127734,0.9962716,0.9970889,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
2,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
4,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
5,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,0.97820765,0.9986246,0.00813514,0.99648184,0.9996096,0.998521,0.8232865,0.9999592,0.9914604,0.99136174,0.99520457,0.993576,0.9999677,0.99999696,0.99993956,0.00012651086,0.11837748,0.99985933,0.9999102,0.00015470386,0.98736525,0.9999634,0.037920058,0.9962345,0.9999769,0.9999744,0.005256504,0.0101386905,0.96704686,0.999895,0.99689555,0.9999336,0.9646641,0.9998714,0.9897326,0.8861134,0.9464517,0.99215245,0.94925797,0.99987483,0.9989979,0.9999861,0.99858177,0.99982417,0.008927882,0.996209,0.9986,0.99975,0.9967289,0.13088876,0.99985194,0.97968125,0.9999893,0.99998605,0.9168563,0.99997795,2.6136637e-05,6.067753e-05,0.00062155724,0.00020033121,0.00018513203,0.0004041493,0.011215508,8.279085e-05,0.99876666,0.99970037,0.9765892,0.06070763,0.9997935,0.9912956,0.9962917,0.99710464,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
8,0.9781774,0.9986181,0.008175194,0.99647844,0.9996089,0.9985291,0.8232384,0.999959,0.99146163,0.9915115,0.9952364,0.9935378,0.9999678,0.999997,0.9999397,0.000125736,0.118159235,0.9998591,0.9999098,0.00015434623,0.9874024,0.99996364,0.03811714,0.99623036,0.9999768,0.9999746,0.0052874386,0.010111302,0.9670121,0.999894,0.9969013,0.9999342,0.96446216,0.9998712,0.98971486,0.88614476,0.94652224,0.9921818,0.9493063,0.99987304,0.9990026,0.999986,0.9985894,0.99982536,0.0089585185,0.9962164,0.99860656,0.99975026,0.9967326,0.13113317,0.99985194,0.97964966,0.9999893,0.99998575,0.9174551,0.99997795,2.643466e-05,6.0647726e-05,0.0006233156,0.00020217896,0.00018447638,0.0004068613,0.011046916,8.237362e-05,0.9987667,0.99970114,0.97645515,0.060564578,0.9997937,0.99129903,0.9962758,0.9971199,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
9,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
10,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,0.999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
