α=1.00%, θ*=2.50, TPR=0.0007, FPR=0.0021, PPV=0.2579, Advantage=-0.0014
α=2.00%, θ*=2.70, TPR=0.0128, FPR=0.0191, PPV=0.4009, Advantage=-0.0063
α=3.00%, θ*=2.75, TPR=0.0202, FPR=0.0255, PPV=0.4418, Advantage=-0.0053
α=4.00%, θ*=2.75, TPR=0.0202, FPR=0.0255, PPV=0.4418, Advantage=-0.0053
α=5.00%, θ*=2.80, TPR=0.0305, FPR=0.0425, PPV=0.4180, Advantage=-0.0120
α=6.00%, θ*=2.85, TPR=0.0450, FPR=0.0552, PPV=0.4491, Advantage=-0.0102
α=7.00%, θ*=2.85, TPR=0.0450, FPR=0.0552, PPV=0.4491, Advantage=-0.0102
α=8.00%, θ*=2.90, TPR=0.0667, FPR=0.0764, PPV=0.4658, Advantage=-0.0098
α=9.00%, θ*=2.90, TPR=0.0667, FPR=0.0764, PPV=0.4658, Advantage=-0.0098
α=10.00%, θ*=2.90, TPR=0.0667, FPR=0.0764, PPV=0.4658, Advantage=-0.0098
α=11.00%, θ*=2.90, TPR=0.0667, FPR=0.0764, PPV=0.4658, Advantage=-0.0098
α=12.00%, θ*=2.95, TPR=0.0967, FPR=0.1104, PPV=0.4668, Advantage=-0.0137
α=13.00%, θ*=2.95, TPR=0.0967, FPR=0.1104, PPV=0.4668, Advantage=-0.0137
α=14.00%, θ*=2.95, TPR=0.0967, FPR=0.1104, PPV=0.4668, Advantage=-0.0137
α=15.00%, θ*=3.00, TPR=0.1409, FPR=0.1423, PPV=0.4977, Advantage=-0.0013
α=16.00%, θ*=3.00, TPR=0.1409, FPR=0.1423, PPV=0.4977, Advantage=-0.0013
α=17.00%, θ*=3.00, TPR=0.1409, FPR=0.1423, PPV=0.4977, Advantage=-0.0013
α=18.00%, θ*=3.00, TPR=0.1409, FPR=0.1423, PPV=0.4977, Advantage=-0.0013
α=19.00%, θ*=3.00, TPR=0.1409, FPR=0.1423, PPV=0.4977, Advantage=-0.0013
α=20.00%, θ*=3.00, TPR=0.1409, FPR=0.1423, PPV=0.4977, Advantage=-0.0013
α=21.00%, θ*=3.05, TPR=0.1776, FPR=0.2059, PPV=0.4630, Advantage=-0.0284
α=22.00%, θ*=3.05, TPR=0.1776, FPR=0.2059, PPV=0.4630, Advantage=-0.0284
α=23.00%, θ*=3.05, TPR=0.1776, FPR=0.2059, PPV=0.4630, Advantage=-0.0284
α=24.00%, θ*=3.05, TPR=0.1776, FPR=0.2059, PPV=0.4630, Advantage=-0.0284
α=25.00%, θ*=3.05, TPR=0.1776, FPR=0.2059, PPV=0.4630, Advantage=-0.0284
α=26.00%, θ*=3.10, TPR=0.2304, FPR=0.2505, PPV=0.4791, Advantage=-0.0201
α=27.00%, θ*=3.10, TPR=0.2304, FPR=0.2505, PPV=0.4791, Advantage=-0.0201
α=28.00%, θ*=3.10, TPR=0.2304, FPR=0.2505, PPV=0.4791, Advantage=-0.0201
α=29.00%, θ*=3.10, TPR=0.2304, FPR=0.2505, PPV=0.4791, Advantage=-0.0201
α=30.00%, θ*=3.15, TPR=0.3187, FPR=0.2909, PPV=0.5229, Advantage=0.0279
α=31.00%, θ*=3.15, TPR=0.3187, FPR=0.2909, PPV=0.5229, Advantage=0.0279
α=32.00%, θ*=3.15, TPR=0.3187, FPR=0.2909, PPV=0.5229, Advantage=0.0279
α=33.00%, θ*=3.15, TPR=0.3187, FPR=0.2909, PPV=0.5229, Advantage=0.0279
α=34.00%, θ*=3.20, TPR=0.3770, FPR=0.3312, PPV=0.5323, Advantage=0.0458
α=35.00%, θ*=3.20, TPR=0.3770, FPR=0.3312, PPV=0.5323, Advantage=0.0458
α=36.00%, θ*=3.20, TPR=0.3770, FPR=0.3312, PPV=0.5323, Advantage=0.0458
