Logging
ITERATION 0.0000 | TOTAL G LOSS -0.0621
ITERATION 1.0000 | TOTAL G LOSS 0.0065
ITERATION 2.0000 | TOTAL G LOSS 0.0755
ITERATION 3.0000 | TOTAL G LOSS -0.0888
ITERATION 4.0000 | TOTAL G LOSS 0.0105
ITERATION 5.0000 | TOTAL G LOSS -0.1757
ITERATION 6.0000 | TOTAL G LOSS 0.0034
ITERATION 7.0000 | TOTAL G LOSS -0.0875
ITERATION 8.0000 | TOTAL G LOSS -0.0948
ITERATION 9.0000 | TOTAL G LOSS -0.1333
ITERATION 10.0000 | TOTAL G LOSS -0.1274
ITERATION 11.0000 | TOTAL G LOSS -0.3187
ITERATION 12.0000 | TOTAL G LOSS -0.2879
ITERATION 13.0000 | TOTAL G LOSS -0.2268
ITERATION 14.0000 | TOTAL G LOSS -0.0963
ITERATION 15.0000 | TOTAL G LOSS -0.4480
ITERATION 16.0000 | TOTAL G LOSS -0.4832
ITERATION 17.0000 | TOTAL G LOSS -0.1870
ITERATION 18.0000 | TOTAL G LOSS -0.5112
ITERATION 19.0000 | TOTAL G LOSS -0.3972
ITERATION 20.0000 | TOTAL G LOSS -0.3427
ITERATION 21.0000 | TOTAL G LOSS -0.1935
ITERATION 22.0000 | TOTAL G LOSS -0.3494
ITERATION 23.0000 | TOTAL G LOSS -0.5243
ITERATION 24.0000 | TOTAL G LOSS -0.3352
ITERATION 25.0000 | TOTAL G LOSS -0.3869
ITERATION 26.0000 | TOTAL G LOSS -0.2993
ITERATION 27.0000 | TOTAL G LOSS -0.5973
ITERATION 28.0000 | TOTAL G LOSS -0.3096
ITERATION 29.0000 | TOTAL G LOSS -0.4604
ITERATION 30.0000 | TOTAL G LOSS -0.4170
ITERATION 31.0000 | TOTAL G LOSS -0.4394
ITERATION 32.0000 | TOTAL G LOSS -0.6225
ITERATION 33.0000 | TOTAL G LOSS -0.6547
ITERATION 34.0000 | TOTAL G LOSS -0.7181
ITERATION 35.0000 | TOTAL G LOSS -0.5580
ITERATION 36.0000 | TOTAL G LOSS -0.7410
ITERATION 37.0000 | TOTAL G LOSS -0.5089
ITERATION 38.0000 | TOTAL G LOSS -0.6434
ITERATION 39.0000 | TOTAL G LOSS -0.6064
ITERATION 40.0000 | TOTAL G LOSS -0.6469
ITERATION 41.0000 | TOTAL G LOSS -0.8013
ITERATION 42.0000 | TOTAL G LOSS -0.5881
ITERATION 43.0000 | TOTAL G LOSS -0.6751
ITERATION 44.0000 | TOTAL G LOSS -0.6907
ITERATION 45.0000 | TOTAL G LOSS -0.7937
ITERATION 46.0000 | TOTAL G LOSS -0.6821
ITERATION 47.0000 | TOTAL G LOSS -0.8606
ITERATION 48.0000 | TOTAL G LOSS -0.9911
ITERATION 49.0000 | TOTAL G LOSS -0.9580
ITERATION 50.0000 | TOTAL G LOSS -0.9897
ITERATION 51.0000 | TOTAL G LOSS -0.9592
ITERATION 52.0000 | TOTAL G LOSS -1.1171
ITERATION 53.0000 | TOTAL G LOSS -0.9667
ITERATION 54.0000 | TOTAL G LOSS -1.0908
ITERATION 55.0000 | TOTAL G LOSS -1.2143
ITERATION 56.0000 | TOTAL G LOSS -1.3109
ITERATION 57.0000 | TOTAL G LOSS -0.9328
