Logging
iteration 0 | D LOSS = 1.4101 | G LOSS = -0.0621 | AVG R =0.5336 |  
iteration 50 | D LOSS = 1.2019 | G LOSS = -0.9897 | AVG R =0.3914 |  
iteration 100 | D LOSS = 1.3258 | G LOSS = -5.5343 | AVG R =0.4774 |  
iteration 150 | D LOSS = 1.3815 | G LOSS = -0.8924 | AVG R =0.5026 |  
iteration 200 | D LOSS = 1.3807 | G LOSS = 0.3277 | AVG R =0.4991 |  
iteration 250 | D LOSS = 1.3780 | G LOSS = 2.2031 | AVG R =0.4960 |  
iteration 300 | D LOSS = 1.3759 | G LOSS = 1.0893 | AVG R =0.4957 |  
iteration 350 | D LOSS = 1.3721 | G LOSS = 2.0461 | AVG R =0.4924 |  
iteration 400 | D LOSS = 1.3686 | G LOSS = 0.3716 | AVG R =0.4924 |  
iteration 450 | D LOSS = 1.3666 | G LOSS = -1.2654 | AVG R =0.4895 |  
iteration 500 | D LOSS = 1.3660 | G LOSS = 0.4061 | AVG R =0.4895 |  
iteration 550 | D LOSS = 1.3629 | G LOSS = -1.6260 | AVG R =0.4884 |  
iteration 600 | D LOSS = 1.3605 | G LOSS = 1.1842 | AVG R =0.4880 |  
iteration 650 | D LOSS = 1.3588 | G LOSS = 1.6365 | AVG R =0.4860 |  
iteration 700 | D LOSS = 1.3557 | G LOSS = -0.8110 | AVG R =0.4857 |  
iteration 750 | D LOSS = 1.3547 | G LOSS = 0.7886 | AVG R =0.4843 |  
iteration 800 | D LOSS = 1.3519 | G LOSS = 0.9501 | AVG R =0.4839 |  
iteration 850 | D LOSS = 1.3503 | G LOSS = 1.5168 | AVG R =0.4823 |  
iteration 900 | D LOSS = 1.3498 | G LOSS = 2.3581 | AVG R =0.4810 |  
iteration 950 | D LOSS = 1.3482 | G LOSS = -1.7756 | AVG R =0.4812 |  
iteration 1000 | D LOSS = 1.3480 | G LOSS = 0.0784 | AVG R =0.4798 |  
iteration 1050 | D LOSS = 1.3468 | G LOSS = 0.8102 | AVG R =0.4804 |  
iteration 1100 | D LOSS = 1.3457 | G LOSS = 0.9843 | AVG R =0.4791 |  
iteration 1150 | D LOSS = 1.3450 | G LOSS = -1.0731 | AVG R =0.4798 |  
iteration 1200 | D LOSS = 1.3438 | G LOSS = 1.5746 | AVG R =0.4800 |  
iteration 1250 | D LOSS = 1.3464 | G LOSS = 0.2863 | AVG R =0.4796 |  
iteration 1300 | D LOSS = 1.3449 | G LOSS = 1.0080 | AVG R =0.4792 |  
iteration 1350 | D LOSS = 1.3439 | G LOSS = 0.2970 | AVG R =0.4791 |  
iteration 1400 | D LOSS = 1.3455 | G LOSS = 0.1516 | AVG R =0.4794 |  
iteration 1450 | D LOSS = 1.3444 | G LOSS = 2.0902 | AVG R =0.4795 |  
iteration 1500 | D LOSS = 1.3458 | G LOSS = -0.7587 | AVG R =0.4788 |  
iteration 1550 | D LOSS = 1.3442 | G LOSS = -0.2745 | AVG R =0.4787 |  
iteration 1600 | D LOSS = 1.3464 | G LOSS = 0.0522 | AVG R =0.4800 |  
iteration 1650 | D LOSS = 1.3466 | G LOSS = -0.2996 | AVG R =0.4800 |  
iteration 1700 | D LOSS = 1.3474 | G LOSS = 0.8914 | AVG R =0.4807 |  
iteration 1750 | D LOSS = 1.3473 | G LOSS = 0.8165 | AVG R =0.4798 |  
iteration 1800 | D LOSS = 1.3470 | G LOSS = 0.9674 | AVG R =0.4812 |  
iteration 1850 | D LOSS = 1.3481 | G LOSS = 1.3907 | AVG R =0.4809 |  
iteration 1900 | D LOSS = 1.3476 | G LOSS = 1.4320 | AVG R =0.4808 |  
iteration 1950 | D LOSS = 1.3473 | G LOSS = -0.2582 | AVG R =0.4817 |  
iteration 2000 | D LOSS = 1.3493 | G LOSS = 0.0771 | AVG R =0.4817 |  
iteration 2050 | D LOSS = 1.3497 | G LOSS = -2.1769 | AVG R =0.4812 |  
iteration 2100 | D LOSS = 1.3504 | G LOSS = 0.5809 | AVG R =0.4817 |  
iteration 2150 | D LOSS = 1.3507 | G LOSS = -0.5622 | AVG R =0.4811 |  
iteration 2200 | D LOSS = 1.3501 | G LOSS = 1.3880 | AVG R =0.4819 |  
iteration 2250 | D LOSS = 1.3515 | G LOSS = 0.8078 | AVG R =0.4827 |  
iteration 2300 | D LOSS = 1.3504 | G LOSS = 0.7373 | AVG R =0.4832 |  
iteration 2350 | D LOSS = 1.3523 | G LOSS = 1.4542 | AVG R =0.4835 |  
iteration 2400 | D LOSS = 1.3526 | G LOSS = -0.5897 | AVG R =0.4823 |  
