α=1.00%, θ*=1.20, TPR=1.0000, FPR=0.0068, PPV=0.9932, Advantage=0.9932
α=2.00%, θ*=1.20, TPR=1.0000, FPR=0.0068, PPV=0.9932, Advantage=0.9932
α=3.00%, θ*=1.30, TPR=1.0000, FPR=0.0297, PPV=0.9712, Advantage=0.9703
α=4.00%, θ*=1.30, TPR=1.0000, FPR=0.0297, PPV=0.9712, Advantage=0.9703
α=5.00%, θ*=1.35, TPR=1.0000, FPR=0.0479, PPV=0.9542, Advantage=0.9521
α=6.00%, θ*=1.45, TPR=1.0000, FPR=0.0548, PPV=0.9481, Advantage=0.9452
α=7.00%, θ*=1.50, TPR=1.0000, FPR=0.0685, PPV=0.9359, Advantage=0.9315
α=8.00%, θ*=1.55, TPR=1.0000, FPR=0.0708, PPV=0.9339, Advantage=0.9292
α=9.00%, θ*=1.55, TPR=1.0000, FPR=0.0708, PPV=0.9339, Advantage=0.9292
α=10.00%, θ*=1.55, TPR=1.0000, FPR=0.0708, PPV=0.9339, Advantage=0.9292
α=11.00%, θ*=1.55, TPR=1.0000, FPR=0.0708, PPV=0.9339, Advantage=0.9292
α=12.00%, θ*=1.60, TPR=1.0000, FPR=0.1187, PPV=0.8939, Advantage=0.8813
α=13.00%, θ*=1.60, TPR=1.0000, FPR=0.1187, PPV=0.8939, Advantage=0.8813
α=14.00%, θ*=1.60, TPR=1.0000, FPR=0.1187, PPV=0.8939, Advantage=0.8813
α=15.00%, θ*=1.60, TPR=1.0000, FPR=0.1187, PPV=0.8939, Advantage=0.8813
α=16.00%, θ*=1.60, TPR=1.0000, FPR=0.1187, PPV=0.8939, Advantage=0.8813
α=17.00%, θ*=1.65, TPR=1.0000, FPR=0.1644, PPV=0.8588, Advantage=0.8356
α=18.00%, θ*=1.65, TPR=1.0000, FPR=0.1644, PPV=0.8588, Advantage=0.8356
α=19.00%, θ*=1.65, TPR=1.0000, FPR=0.1644, PPV=0.8588, Advantage=0.8356
α=20.00%, θ*=1.65, TPR=1.0000, FPR=0.1644, PPV=0.8588, Advantage=0.8356
α=21.00%, θ*=1.65, TPR=1.0000, FPR=0.1644, PPV=0.8588, Advantage=0.8356
α=22.00%, θ*=1.70, TPR=1.0000, FPR=0.2123, PPV=0.8249, Advantage=0.7877
α=23.00%, θ*=1.70, TPR=1.0000, FPR=0.2123, PPV=0.8249, Advantage=0.7877
α=24.00%, θ*=1.75, TPR=1.0000, FPR=0.2329, PPV=0.8111, Advantage=0.7671
α=25.00%, θ*=1.75, TPR=1.0000, FPR=0.2329, PPV=0.8111, Advantage=0.7671
α=26.00%, θ*=1.75, TPR=1.0000, FPR=0.2329, PPV=0.8111, Advantage=0.7671
α=27.00%, θ*=1.80, TPR=1.0000, FPR=0.2694, PPV=0.7878, Advantage=0.7306
α=28.00%, θ*=1.80, TPR=1.0000, FPR=0.2694, PPV=0.7878, Advantage=0.7306
