α=1.00%, θ*=3.10, TPR=0.0290, FPR=0.0000, PPV=1.0000, Advantage=0.0290
α=2.00%, θ*=3.10, TPR=0.0290, FPR=0.0000, PPV=1.0000, Advantage=0.0290
α=3.00%, θ*=3.15, TPR=0.0371, FPR=0.0297, PPV=0.5554, Advantage=0.0074
α=4.00%, θ*=3.15, TPR=0.0371, FPR=0.0297, PPV=0.5554, Advantage=0.0074
α=5.00%, θ*=3.20, TPR=0.0490, FPR=0.0411, PPV=0.5440, Advantage=0.0079
α=6.00%, θ*=3.20, TPR=0.0490, FPR=0.0411, PPV=0.5440, Advantage=0.0079
α=7.00%, θ*=3.25, TPR=0.0756, FPR=0.0662, PPV=0.5332, Advantage=0.0094
α=8.00%, θ*=3.25, TPR=0.0756, FPR=0.0662, PPV=0.5332, Advantage=0.0094
α=9.00%, θ*=3.30, TPR=0.1025, FPR=0.0845, PPV=0.5481, Advantage=0.0180
α=10.00%, θ*=3.30, TPR=0.1025, FPR=0.0845, PPV=0.5481, Advantage=0.0180
α=11.00%, θ*=3.35, TPR=0.1330, FPR=0.1050, PPV=0.5587, Advantage=0.0279
α=12.00%, θ*=3.35, TPR=0.1330, FPR=0.1050, PPV=0.5587, Advantage=0.0279
α=13.00%, θ*=3.35, TPR=0.1330, FPR=0.1050, PPV=0.5587, Advantage=0.0279
α=14.00%, θ*=3.40, TPR=0.1708, FPR=0.1393, PPV=0.5508, Advantage=0.0315
α=15.00%, θ*=3.40, TPR=0.1708, FPR=0.1393, PPV=0.5508, Advantage=0.0315
α=16.00%, θ*=3.40, TPR=0.1708, FPR=0.1393, PPV=0.5508, Advantage=0.0315
α=17.00%, θ*=3.40, TPR=0.1708, FPR=0.1393, PPV=0.5508, Advantage=0.0315
α=18.00%, θ*=3.40, TPR=0.1708, FPR=0.1393, PPV=0.5508, Advantage=0.0315
α=19.00%, θ*=3.40, TPR=0.1708, FPR=0.1393, PPV=0.5508, Advantage=0.0315
α=20.00%, θ*=3.40, TPR=0.1708, FPR=0.1393, PPV=0.5508, Advantage=0.0315
α=21.00%, θ*=3.40, TPR=0.1708, FPR=0.1393, PPV=0.5508, Advantage=0.0315
α=22.00%, θ*=3.45, TPR=0.2142, FPR=0.2123, PPV=0.5022, Advantage=0.0019
α=23.00%, θ*=3.45, TPR=0.2142, FPR=0.2123, PPV=0.5022, Advantage=0.0019
α=24.00%, θ*=3.45, TPR=0.2142, FPR=0.2123, PPV=0.5022, Advantage=0.0019
α=25.00%, θ*=3.45, TPR=0.2142, FPR=0.2123, PPV=0.5022, Advantage=0.0019
α=26.00%, θ*=3.50, TPR=0.2630, FPR=0.2511, PPV=0.5115, Advantage=0.0118
α=27.00%, θ*=3.50, TPR=0.2630, FPR=0.2511, PPV=0.5115, Advantage=0.0118
α=28.00%, θ*=3.50, TPR=0.2630, FPR=0.2511, PPV=0.5115, Advantage=0.0118
α=29.00%, θ*=3.50, TPR=0.2630, FPR=0.2511, PPV=0.5115, Advantage=0.0118
α=30.00%, θ*=3.55, TPR=0.3130, FPR=0.2945, PPV=0.5152, Advantage=0.0185
α=31.00%, θ*=3.55, TPR=0.3130, FPR=0.2945, PPV=0.5152, Advantage=0.0185
α=32.00%, θ*=3.55, TPR=0.3130, FPR=0.2945, PPV=0.5152, Advantage=0.0185
α=33.00%, θ*=3.55, TPR=0.3130, FPR=0.2945, PPV=0.5152, Advantage=0.0185
α=34.00%, θ*=3.55, TPR=0.3130, FPR=0.2945, PPV=0.5152, Advantage=0.0185
α=35.00%, θ*=3.55, TPR=0.3130, FPR=0.2945, PPV=0.5152, Advantage=0.0185
α=36.00%, θ*=3.60, TPR=0.3681, FPR=0.3584, PPV=0.5067, Advantage=0.0097
α=37.00%, θ*=3.60, TPR=0.3681, FPR=0.3584, PPV=0.5067, Advantage=0.0097
α=38.00%, θ*=3.60, TPR=0.3681, FPR=0.3584, PPV=0.5067, Advantage=0.0097
α=39.00%, θ*=3.60, TPR=0.3681, FPR=0.3584, PPV=0.5067, Advantage=0.0097
α=40.00%, θ*=3.65, TPR=0.4196, FPR=0.3927, PPV=0.5166, Advantage=0.0269
α=41.00%, θ*=3.65, TPR=0.4196, FPR=0.3927, PPV=0.5166, Advantage=0.0269
α=42.00%, θ*=3.65, TPR=0.4196, FPR=0.3927, PPV=0.5166, Advantage=0.0269
α=43.00%, θ*=3.65, TPR=0.4196, FPR=0.3927, PPV=0.5166, Advantage=0.0269
α=44.00%, θ*=3.65, TPR=0.4196, FPR=0.3927, PPV=0.5166, Advantage=0.0269
