Logging
iteration 0 | D LOSS = 1.4344 | G LOSS = 0.0174 | AVG R =0.5390 |  
iteration 50 | D LOSS = 1.3493 | G LOSS = -1.6614 | AVG R =0.4953 |  
iteration 100 | D LOSS = 1.3493 | G LOSS = -6.3742 | AVG R =0.4844 |  
iteration 150 | D LOSS = 1.3652 | G LOSS = -5.8090 | AVG R =0.4959 |  
iteration 200 | D LOSS = 1.4031 | G LOSS = -1.8736 | AVG R =0.5102 |  
iteration 250 | D LOSS = 1.3922 | G LOSS = 4.5463 | AVG R =0.5031 |  
iteration 300 | D LOSS = 1.3886 | G LOSS = 4.6890 | AVG R =0.5030 |  
iteration 350 | D LOSS = 1.3820 | G LOSS = 6.8268 | AVG R =0.4919 |  
iteration 400 | D LOSS = 1.3819 | G LOSS = 4.8193 | AVG R =0.4919 |  
iteration 450 | D LOSS = 1.3802 | G LOSS = 1.2093 | AVG R =0.4921 |  
iteration 500 | D LOSS = 1.3885 | G LOSS = 1.2737 | AVG R =0.5017 |  
iteration 550 | D LOSS = 1.3824 | G LOSS = 0.6710 | AVG R =0.5043 |  
iteration 600 | D LOSS = 1.3855 | G LOSS = 2.1374 | AVG R =0.5037 |  
iteration 650 | D LOSS = 1.3828 | G LOSS = 0.7894 | AVG R =0.4965 |  
iteration 700 | D LOSS = 1.3864 | G LOSS = -1.5026 | AVG R =0.4999 |  
iteration 750 | D LOSS = 1.3841 | G LOSS = -2.1165 | AVG R =0.5016 |  
iteration 800 | D LOSS = 1.3822 | G LOSS = -0.8320 | AVG R =0.4972 |  
iteration 850 | D LOSS = 1.3833 | G LOSS = 3.3849 | AVG R =0.4973 |  
iteration 900 | D LOSS = 1.3823 | G LOSS = 1.8497 | AVG R =0.4955 |  
iteration 950 | D LOSS = 1.3827 | G LOSS = 0.9975 | AVG R =0.5027 |  
iteration 1000 | D LOSS = 1.3828 | G LOSS = -0.9509 | AVG R =0.5009 |  
iteration 1050 | D LOSS = 1.3802 | G LOSS = 1.3409 | AVG R =0.4925 |  
iteration 1100 | D LOSS = 1.3839 | G LOSS = 0.7873 | AVG R =0.4977 |  
iteration 1150 | D LOSS = 1.3812 | G LOSS = 3.1650 | AVG R =0.4957 |  
iteration 1200 | D LOSS = 1.3791 | G LOSS = -1.6337 | AVG R =0.4959 |  
iteration 1250 | D LOSS = 1.3829 | G LOSS = 1.4447 | AVG R =0.5003 |  
iteration 1300 | D LOSS = 1.3806 | G LOSS = -2.1250 | AVG R =0.4989 |  
iteration 1350 | D LOSS = 1.3809 | G LOSS = 4.7604 | AVG R =0.4969 |  
iteration 1400 | D LOSS = 1.3791 | G LOSS = 0.3679 | AVG R =0.4951 |  
iteration 1450 | D LOSS = 1.3803 | G LOSS = 1.5249 | AVG R =0.4991 |  
iteration 1500 | D LOSS = 1.3798 | G LOSS = -0.0841 | AVG R =0.4996 |  
iteration 1550 | D LOSS = 1.3773 | G LOSS = -0.9403 | AVG R =0.4942 |  
iteration 1600 | D LOSS = 1.3789 | G LOSS = 1.3762 | AVG R =0.4956 |  
iteration 1650 | D LOSS = 1.3771 | G LOSS = -2.4906 | AVG R =0.4959 |  
iteration 1700 | D LOSS = 1.3772 | G LOSS = 2.1006 | AVG R =0.4964 |  
iteration 1750 | D LOSS = 1.3788 | G LOSS = 1.0637 | AVG R =0.4964 |  
iteration 1800 | D LOSS = 1.3757 | G LOSS = 3.9607 | AVG R =0.4969 |  
iteration 1850 | D LOSS = 1.3756 | G LOSS = 0.5828 | AVG R =0.4938 |  
iteration 1900 | D LOSS = 1.3759 | G LOSS = -0.3482 | AVG R =0.4962 |  
iteration 1950 | D LOSS = 1.3746 | G LOSS = 2.3091 | AVG R =0.4936 |  
iteration 2000 | D LOSS = 1.3739 | G LOSS = 0.7878 | AVG R =0.4959 |  
iteration 2050 | D LOSS = 1.3730 | G LOSS = -0.3459 | AVG R =0.4935 |  
iteration 2100 | D LOSS = 1.3732 | G LOSS = 2.7216 | AVG R =0.4949 |  
iteration 2150 | D LOSS = 1.3721 | G LOSS = -1.1600 | AVG R =0.4930 |  
iteration 2200 | D LOSS = 1.3716 | G LOSS = 0.7232 | AVG R =0.4935 |  
iteration 2250 | D LOSS = 1.3719 | G LOSS = 1.6527 | AVG R =0.4920 |  
iteration 2300 | D LOSS = 1.3712 | G LOSS = -0.3139 | AVG R =0.4935 |  
iteration 2350 | D LOSS = 1.3704 | G LOSS = 0.7561 | AVG R =0.4926 |  
iteration 2400 | D LOSS = 1.3688 | G LOSS = 1.5230 | AVG R =0.4914 |  
iteration 2450 | D LOSS = 1.3687 | G LOSS = 1.7781 | AVG R =0.4923 |  
iteration 2500 | D LOSS = 1.3693 | G LOSS = 0.0006 | AVG R =0.4921 |  
iteration 2550 | D LOSS = 1.3688 | G LOSS = 1.1317 | AVG R =0.4915 |  
iteration 2600 | D LOSS = 1.3681 | G LOSS = -1.4373 | AVG R =0.4906 |  
iteration 2650 | D LOSS = 1.3681 | G LOSS = 0.7629 | AVG R =0.4894 |  
iteration 2700 | D LOSS = 1.3659 | G LOSS = -1.8037 | AVG R =0.4882 |  
iteration 2750 | D LOSS = 1.3673 | G LOSS = 1.8834 | AVG R =0.4909 |  
iteration 2800 | D LOSS = 1.3673 | G LOSS = -2.0056 | AVG R =0.4906 |  
iteration 2850 | D LOSS = 1.3683 | G LOSS = 0.7949 | AVG R =0.4929 |  
iteration 2900 | D LOSS = 1.3665 | G LOSS = 2.1420 | AVG R =0.4921 |  
iteration 2950 | D LOSS = 1.3648 | G LOSS = 0.3718 | AVG R =0.4891 |  
iteration 3000 | D LOSS = 1.3655 | G LOSS = 2.3907 | AVG R =0.4912 |  
iteration 3050 | D LOSS = 1.3661 | G LOSS = -0.6622 | AVG R =0.4886 |  
iteration 3100 | D LOSS = 1.3651 | G LOSS = 2.7323 | AVG R =0.4897 |  
iteration 3150 | D LOSS = 1.3665 | G LOSS = -1.5245 | AVG R =0.4883 |  
iteration 3200 | D LOSS = 1.3634 | G LOSS = -0.5566 | AVG R =0.4895 |  
iteration 3250 | D LOSS = 1.3646 | G LOSS = -0.7303 | AVG R =0.4888 |  
iteration 3300 | D LOSS = 1.3636 | G LOSS = 1.2614 | AVG R =0.4885 |  
iteration 3350 | D LOSS = 1.3631 | G LOSS = -0.3804 | AVG R =0.4890 |  
iteration 3400 | D LOSS = 1.3633 | G LOSS = -1.9375 | AVG R =0.4895 |  
iteration 3450 | D LOSS = 1.3623 | G LOSS = -2.1063 | AVG R =0.4887 |  
iteration 3500 | D LOSS = 1.3633 | G LOSS = -0.4993 | AVG R =0.4881 |  
