Logging
ITERATION 0.0000 | TOTAL G LOSS 0.0969
ITERATION 1.0000 | TOTAL G LOSS -0.1059
ITERATION 2.0000 | TOTAL G LOSS -0.0086
ITERATION 3.0000 | TOTAL G LOSS -0.2205
ITERATION 4.0000 | TOTAL G LOSS -0.1934
ITERATION 5.0000 | TOTAL G LOSS -0.1516
ITERATION 6.0000 | TOTAL G LOSS -0.2836
ITERATION 7.0000 | TOTAL G LOSS -0.4684
ITERATION 8.0000 | TOTAL G LOSS -0.3062
ITERATION 9.0000 | TOTAL G LOSS -0.3774
ITERATION 10.0000 | TOTAL G LOSS -0.3474
ITERATION 11.0000 | TOTAL G LOSS -0.4405
ITERATION 12.0000 | TOTAL G LOSS -0.3955
ITERATION 13.0000 | TOTAL G LOSS -0.3627
ITERATION 14.0000 | TOTAL G LOSS -0.3278
ITERATION 15.0000 | TOTAL G LOSS -0.2735
ITERATION 16.0000 | TOTAL G LOSS -0.5651
ITERATION 17.0000 | TOTAL G LOSS -0.6378
ITERATION 18.0000 | TOTAL G LOSS -0.5863
ITERATION 19.0000 | TOTAL G LOSS -0.4242
ITERATION 20.0000 | TOTAL G LOSS -0.7132
ITERATION 21.0000 | TOTAL G LOSS -0.4759
ITERATION 22.0000 | TOTAL G LOSS -0.3987
ITERATION 23.0000 | TOTAL G LOSS -0.6312
ITERATION 24.0000 | TOTAL G LOSS -0.6150
ITERATION 25.0000 | TOTAL G LOSS -0.7529
ITERATION 26.0000 | TOTAL G LOSS -0.5956
ITERATION 27.0000 | TOTAL G LOSS -0.9550
ITERATION 28.0000 | TOTAL G LOSS -0.6248
ITERATION 29.0000 | TOTAL G LOSS -0.7596
ITERATION 30.0000 | TOTAL G LOSS -0.7293
ITERATION 31.0000 | TOTAL G LOSS -0.8567
ITERATION 32.0000 | TOTAL G LOSS -0.7392
ITERATION 33.0000 | TOTAL G LOSS -0.9031
ITERATION 34.0000 | TOTAL G LOSS -0.8866
ITERATION 35.0000 | TOTAL G LOSS -0.9254
ITERATION 36.0000 | TOTAL G LOSS -1.0267
ITERATION 37.0000 | TOTAL G LOSS -1.0727
ITERATION 38.0000 | TOTAL G LOSS -1.1284
ITERATION 39.0000 | TOTAL G LOSS -1.0845
ITERATION 40.0000 | TOTAL G LOSS -1.2441
ITERATION 41.0000 | TOTAL G LOSS -1.1093
ITERATION 42.0000 | TOTAL G LOSS -1.1290
ITERATION 43.0000 | TOTAL G LOSS -1.3574
ITERATION 44.0000 | TOTAL G LOSS -1.0985
ITERATION 45.0000 | TOTAL G LOSS -1.2231
ITERATION 46.0000 | TOTAL G LOSS -1.4539
ITERATION 47.0000 | TOTAL G LOSS -1.3631
ITERATION 48.0000 | TOTAL G LOSS -1.3948
ITERATION 49.0000 | TOTAL G LOSS -1.7224
ITERATION 50.0000 | TOTAL G LOSS -1.6617
ITERATION 51.0000 | TOTAL G LOSS -1.4256
ITERATION 52.0000 | TOTAL G LOSS -1.8447
ITERATION 53.0000 | TOTAL G LOSS -1.6485
ITERATION 54.0000 | TOTAL G LOSS -1.9021
ITERATION 55.0000 | TOTAL G LOSS -1.6232
ITERATION 56.0000 | TOTAL G LOSS -1.9256
ITERATION 57.0000 | TOTAL G LOSS -1.6114
ITERATION 58.0000 | TOTAL G LOSS -2.0927
ITERATION 59.0000 | TOTAL G LOSS -1.8222
ITERATION 60.0000 | TOTAL G LOSS -2.0336
ITERATION 61.0000 | TOTAL G LOSS -2.0868
ITERATION 62.0000 | TOTAL G LOSS -2.0566
ITERATION 63.0000 | TOTAL G LOSS -2.0284
ITERATION 64.0000 | TOTAL G LOSS -2.2686
ITERATION 65.0000 | TOTAL G LOSS -2.7274
ITERATION 66.0000 | TOTAL G LOSS -2.5659
ITERATION 67.0000 | TOTAL G LOSS -2.4690
ITERATION 68.0000 | TOTAL G LOSS -2.8578
ITERATION 69.0000 | TOTAL G LOSS -2.4411
ITERATION 70.0000 | TOTAL G LOSS -2.6555
ITERATION 71.0000 | TOTAL G LOSS -3.0602
ITERATION 72.0000 | TOTAL G LOSS -2.9887
ITERATION 73.0000 | TOTAL G LOSS -2.5590
ITERATION 74.0000 | TOTAL G LOSS -2.7583
ITERATION 75.0000 | TOTAL G LOSS -2.7391
ITERATION 76.0000 | TOTAL G LOSS -2.8371
ITERATION 77.0000 | TOTAL G LOSS -3.3375
ITERATION 78.0000 | TOTAL G LOSS -3.3331
ITERATION 79.0000 | TOTAL G LOSS -3.1153
ITERATION 80.0000 | TOTAL G LOSS -3.0960
ITERATION 81.0000 | TOTAL G LOSS -3.6743
ITERATION 82.0000 | TOTAL G LOSS -3.8566
ITERATION 83.0000 | TOTAL G LOSS -3.7392
ITERATION 84.0000 | TOTAL G LOSS -4.4895
ITERATION 85.0000 | TOTAL G LOSS -3.8001
ITERATION 86.0000 | TOTAL G LOSS -4.0195
ITERATION 87.0000 | TOTAL G LOSS -4.3686
ITERATION 88.0000 | TOTAL G LOSS -3.6839
ITERATION 89.0000 | TOTAL G LOSS -4.3736
ITERATION 90.0000 | TOTAL G LOSS -4.6006
ITERATION 91.0000 | TOTAL G LOSS -4.8897
ITERATION 92.0000 | TOTAL G LOSS -4.4922
ITERATION 93.0000 | TOTAL G LOSS -5.2812
ITERATION 94.0000 | TOTAL G LOSS -4.6668
ITERATION 95.0000 | TOTAL G LOSS -5.7506
ITERATION 96.0000 | TOTAL G LOSS -5.5490
ITERATION 97.0000 | TOTAL G LOSS -5.1988
ITERATION 98.0000 | TOTAL G LOSS -5.9029
ITERATION 99.0000 | TOTAL G LOSS -5.7576
ITERATION 100.0000 | TOTAL G LOSS -5.9364
ITERATION 101.0000 | TOTAL G LOSS -6.2964
ITERATION 102.0000 | TOTAL G LOSS -6.4880
ITERATION 103.0000 | TOTAL G LOSS -5.8683
ITERATION 104.0000 | TOTAL G LOSS -6.2111
ITERATION 105.0000 | TOTAL G LOSS -7.0998
ITERATION 106.0000 | TOTAL G LOSS -6.1031
ITERATION 107.0000 | TOTAL G LOSS -6.9252
ITERATION 108.0000 | TOTAL G LOSS -7.6731
ITERATION 109.0000 | TOTAL G LOSS -6.3162
ITERATION 110.0000 | TOTAL G LOSS -8.0516
ITERATION 111.0000 | TOTAL G LOSS -7.4373
