Logging
ITERATION 0.0000 | TOTAL G LOSS -0.1400
ITERATION 1.0000 | TOTAL G LOSS -0.2214
ITERATION 2.0000 | TOTAL G LOSS -0.0636
ITERATION 3.0000 | TOTAL G LOSS -0.1516
ITERATION 4.0000 | TOTAL G LOSS -0.0989
ITERATION 5.0000 | TOTAL G LOSS -0.1712
ITERATION 6.0000 | TOTAL G LOSS -0.2112
ITERATION 7.0000 | TOTAL G LOSS -0.2501
ITERATION 8.0000 | TOTAL G LOSS -0.1034
ITERATION 9.0000 | TOTAL G LOSS -0.2461
ITERATION 10.0000 | TOTAL G LOSS -0.3008
ITERATION 11.0000 | TOTAL G LOSS -0.4029
ITERATION 12.0000 | TOTAL G LOSS -0.1319
ITERATION 13.0000 | TOTAL G LOSS -0.4241
ITERATION 14.0000 | TOTAL G LOSS -0.1995
ITERATION 15.0000 | TOTAL G LOSS -0.3570
ITERATION 16.0000 | TOTAL G LOSS -0.2948
ITERATION 17.0000 | TOTAL G LOSS -0.6343
ITERATION 18.0000 | TOTAL G LOSS -0.2936
ITERATION 19.0000 | TOTAL G LOSS -0.6592
ITERATION 20.0000 | TOTAL G LOSS -0.2801
ITERATION 21.0000 | TOTAL G LOSS -0.4357
ITERATION 22.0000 | TOTAL G LOSS -0.6455
ITERATION 23.0000 | TOTAL G LOSS -0.6040
ITERATION 24.0000 | TOTAL G LOSS -0.6833
ITERATION 25.0000 | TOTAL G LOSS -0.6076
ITERATION 26.0000 | TOTAL G LOSS -0.4550
ITERATION 27.0000 | TOTAL G LOSS -0.6478
ITERATION 28.0000 | TOTAL G LOSS -0.5051
ITERATION 29.0000 | TOTAL G LOSS -0.5456
ITERATION 30.0000 | TOTAL G LOSS -0.7810
ITERATION 31.0000 | TOTAL G LOSS -0.7516
ITERATION 32.0000 | TOTAL G LOSS -0.9105
ITERATION 33.0000 | TOTAL G LOSS -0.6578
ITERATION 34.0000 | TOTAL G LOSS -0.7768
ITERATION 35.0000 | TOTAL G LOSS -0.8315
ITERATION 36.0000 | TOTAL G LOSS -0.9194
ITERATION 37.0000 | TOTAL G LOSS -0.8537
ITERATION 38.0000 | TOTAL G LOSS -1.0050
ITERATION 39.0000 | TOTAL G LOSS -1.0763
ITERATION 40.0000 | TOTAL G LOSS -0.8749
ITERATION 41.0000 | TOTAL G LOSS -1.2746
ITERATION 42.0000 | TOTAL G LOSS -0.9545
ITERATION 43.0000 | TOTAL G LOSS -1.1653
ITERATION 44.0000 | TOTAL G LOSS -0.9698
ITERATION 45.0000 | TOTAL G LOSS -1.4379
ITERATION 46.0000 | TOTAL G LOSS -1.1503
ITERATION 47.0000 | TOTAL G LOSS -1.2584
ITERATION 48.0000 | TOTAL G LOSS -1.0686
ITERATION 49.0000 | TOTAL G LOSS -1.2485
ITERATION 50.0000 | TOTAL G LOSS -1.3261
ITERATION 51.0000 | TOTAL G LOSS -1.4517
ITERATION 52.0000 | TOTAL G LOSS -1.5928
ITERATION 53.0000 | TOTAL G LOSS -1.3253
ITERATION 54.0000 | TOTAL G LOSS -1.7584
ITERATION 55.0000 | TOTAL G LOSS -1.6120
ITERATION 56.0000 | TOTAL G LOSS -1.4959
ITERATION 57.0000 | TOTAL G LOSS -1.4075
ITERATION 58.0000 | TOTAL G LOSS -1.9602
ITERATION 59.0000 | TOTAL G LOSS -2.0752
ITERATION 60.0000 | TOTAL G LOSS -1.8271
ITERATION 61.0000 | TOTAL G LOSS -2.0884
ITERATION 62.0000 | TOTAL G LOSS -1.9083
ITERATION 63.0000 | TOTAL G LOSS -2.4732
ITERATION 64.0000 | TOTAL G LOSS -2.1002
ITERATION 65.0000 | TOTAL G LOSS -2.6168
ITERATION 66.0000 | TOTAL G LOSS -2.1026
ITERATION 67.0000 | TOTAL G LOSS -2.8218
ITERATION 68.0000 | TOTAL G LOSS -2.4965
ITERATION 69.0000 | TOTAL G LOSS -2.2632
ITERATION 70.0000 | TOTAL G LOSS -2.7386
ITERATION 71.0000 | TOTAL G LOSS -3.1002
ITERATION 72.0000 | TOTAL G LOSS -2.7780
ITERATION 73.0000 | TOTAL G LOSS -2.9915
ITERATION 74.0000 | TOTAL G LOSS -3.0747
ITERATION 75.0000 | TOTAL G LOSS -2.9397
ITERATION 76.0000 | TOTAL G LOSS -3.4351
ITERATION 77.0000 | TOTAL G LOSS -3.3593
ITERATION 78.0000 | TOTAL G LOSS -3.1702
ITERATION 79.0000 | TOTAL G LOSS -3.5986
ITERATION 80.0000 | TOTAL G LOSS -4.0071
ITERATION 81.0000 | TOTAL G LOSS -4.2115
ITERATION 82.0000 | TOTAL G LOSS -3.9202
ITERATION 83.0000 | TOTAL G LOSS -4.3360
ITERATION 84.0000 | TOTAL G LOSS -4.7709
ITERATION 85.0000 | TOTAL G LOSS -4.2711
ITERATION 86.0000 | TOTAL G LOSS -4.1079
ITERATION 87.0000 | TOTAL G LOSS -4.9030
ITERATION 88.0000 | TOTAL G LOSS -4.5729
