Logging
iteration 0 | D LOSS = 1.4222 | G LOSS = -0.1400 | AVG R =0.5256 |  
iteration 50 | D LOSS = 1.3466 | G LOSS = -1.3261 | AVG R =0.4874 |  
iteration 100 | D LOSS = 1.3408 | G LOSS = -7.6223 | AVG R =0.4808 |  
iteration 150 | D LOSS = 1.3623 | G LOSS = -4.8830 | AVG R =0.4880 |  
iteration 200 | D LOSS = 1.3960 | G LOSS = 0.2207 | AVG R =0.4940 |  
iteration 250 | D LOSS = 1.3981 | G LOSS = 4.6964 | AVG R =0.4916 |  
iteration 300 | D LOSS = 1.3926 | G LOSS = -2.6512 | AVG R =0.4959 |  
iteration 350 | D LOSS = 1.3818 | G LOSS = 2.8804 | AVG R =0.4979 |  
iteration 400 | D LOSS = 1.3754 | G LOSS = 8.7316 | AVG R =0.4865 |  
iteration 450 | D LOSS = 1.3888 | G LOSS = 1.5311 | AVG R =0.4974 |  
iteration 500 | D LOSS = 1.3908 | G LOSS = -0.8614 | AVG R =0.5011 |  
iteration 550 | D LOSS = 1.3846 | G LOSS = 1.0416 | AVG R =0.4939 |  
iteration 600 | D LOSS = 1.3854 | G LOSS = -1.0063 | AVG R =0.4967 |  
iteration 650 | D LOSS = 1.3822 | G LOSS = -2.5684 | AVG R =0.4995 |  
iteration 700 | D LOSS = 1.3846 | G LOSS = 0.4589 | AVG R =0.5023 |  
iteration 750 | D LOSS = 1.3868 | G LOSS = 0.3597 | AVG R =0.4965 |  
iteration 800 | D LOSS = 1.3817 | G LOSS = 1.4013 | AVG R =0.4961 |  
iteration 850 | D LOSS = 1.3832 | G LOSS = 2.5765 | AVG R =0.4987 |  
iteration 900 | D LOSS = 1.3826 | G LOSS = 1.3969 | AVG R =0.4995 |  
iteration 950 | D LOSS = 1.3841 | G LOSS = 0.8692 | AVG R =0.4976 |  
iteration 1000 | D LOSS = 1.3840 | G LOSS = -1.1499 | AVG R =0.4970 |  
iteration 1050 | D LOSS = 1.3813 | G LOSS = 2.1021 | AVG R =0.4985 |  
iteration 1100 | D LOSS = 1.3847 | G LOSS = 1.0271 | AVG R =0.4981 |  
iteration 1150 | D LOSS = 1.3819 | G LOSS = 0.9255 | AVG R =0.4931 |  
iteration 1200 | D LOSS = 1.3824 | G LOSS = 0.6398 | AVG R =0.4945 |  
iteration 1250 | D LOSS = 1.3804 | G LOSS = 1.4350 | AVG R =0.4951 |  
iteration 1300 | D LOSS = 1.3830 | G LOSS = -0.1636 | AVG R =0.4993 |  
iteration 1350 | D LOSS = 1.3811 | G LOSS = 0.7183 | AVG R =0.4990 |  
iteration 1400 | D LOSS = 1.3818 | G LOSS = -0.9692 | AVG R =0.4965 |  
iteration 1450 | D LOSS = 1.3801 | G LOSS = -1.0874 | AVG R =0.4970 |  
iteration 1500 | D LOSS = 1.3803 | G LOSS = -0.5096 | AVG R =0.4970 |  
iteration 1550 | D LOSS = 1.3798 | G LOSS = 1.9245 | AVG R =0.4977 |  
iteration 1600 | D LOSS = 1.3798 | G LOSS = -0.3226 | AVG R =0.4965 |  
iteration 1650 | D LOSS = 1.3800 | G LOSS = 0.6571 | AVG R =0.4950 |  
iteration 1700 | D LOSS = 1.3791 | G LOSS = -0.5934 | AVG R =0.4961 |  
iteration 1750 | D LOSS = 1.3781 | G LOSS = -0.2366 | AVG R =0.4979 |  
iteration 1800 | D LOSS = 1.3784 | G LOSS = -0.0154 | AVG R =0.4972 |  
iteration 1850 | D LOSS = 1.3775 | G LOSS = 0.1787 | AVG R =0.4942 |  
iteration 1900 | D LOSS = 1.3771 | G LOSS = -0.9006 | AVG R =0.4947 |  
iteration 1950 | D LOSS = 1.3781 | G LOSS = 0.9245 | AVG R =0.4968 |  
iteration 2000 | D LOSS = 1.3759 | G LOSS = 1.3125 | AVG R =0.4968 |  
iteration 2050 | D LOSS = 1.3756 | G LOSS = -1.8266 | AVG R =0.4955 |  
iteration 2100 | D LOSS = 1.3765 | G LOSS = -0.2242 | AVG R =0.4964 |  
iteration 2150 | D LOSS = 1.3756 | G LOSS = -0.8944 | AVG R =0.4930 |  
iteration 2200 | D LOSS = 1.3739 | G LOSS = 1.8174 | AVG R =0.4932 |  
iteration 2250 | D LOSS = 1.3747 | G LOSS = -0.3294 | AVG R =0.4943 |  
iteration 2300 | D LOSS = 1.3738 | G LOSS = 1.7482 | AVG R =0.4944 |  
iteration 2350 | D LOSS = 1.3724 | G LOSS = 0.1032 | AVG R =0.4938 |  
iteration 2400 | D LOSS = 1.3717 | G LOSS = -0.1191 | AVG R =0.4952 |  
iteration 2450 | D LOSS = 1.3721 | G LOSS = -3.0996 | AVG R =0.4941 |  
iteration 2500 | D LOSS = 1.3717 | G LOSS = 0.3380 | AVG R =0.4931 |  
iteration 2550 | D LOSS = 1.3699 | G LOSS = 1.5460 | AVG R =0.4917 |  
iteration 2600 | D LOSS = 1.3698 | G LOSS = 1.4013 | AVG R =0.4911 |  
iteration 2650 | D LOSS = 1.3701 | G LOSS = 0.5571 | AVG R =0.4911 |  
iteration 2700 | D LOSS = 1.3701 | G LOSS = -0.1650 | AVG R =0.4938 |  
iteration 2750 | D LOSS = 1.3673 | G LOSS = 1.1497 | AVG R =0.4932 |  
iteration 2800 | D LOSS = 1.3678 | G LOSS = 1.5065 | AVG R =0.4900 |  
iteration 2850 | D LOSS = 1.3680 | G LOSS = -2.8127 | AVG R =0.4903 |  
iteration 2900 | D LOSS = 1.3684 | G LOSS = -0.8847 | AVG R =0.4916 |  
iteration 2950 | D LOSS = 1.3674 | G LOSS = 2.0642 | AVG R =0.4920 |  
iteration 3000 | D LOSS = 1.3666 | G LOSS = -2.1240 | AVG R =0.4918 |  
iteration 3050 | D LOSS = 1.3681 | G LOSS = 2.0287 | AVG R =0.4910 |  
iteration 3100 | D LOSS = 1.3668 | G LOSS = -0.8796 | AVG R =0.4910 |  
iteration 3150 | D LOSS = 1.3662 | G LOSS = 1.3496 | AVG R =0.4906 |  
iteration 3200 | D LOSS = 1.3665 | G LOSS = 1.3213 | AVG R =0.4908 |  
iteration 3250 | D LOSS = 1.3672 | G LOSS = 0.9179 | AVG R =0.4901 |  
iteration 3300 | D LOSS = 1.3665 | G LOSS = -1.1386 | AVG R =0.4892 |  
iteration 3350 | D LOSS = 1.3657 | G LOSS = -2.0293 | AVG R =0.4883 |  
iteration 3400 | D LOSS = 1.3658 | G LOSS = 0.5835 | AVG R =0.4887 |  
iteration 3450 | D LOSS = 1.3665 | G LOSS = -1.2642 | AVG R =0.4899 |  
iteration 3500 | D LOSS = 1.3658 | G LOSS = 0.3797 | AVG R =0.4886 |  
iteration 3550 | D LOSS = 1.3659 | G LOSS = -2.2907 | AVG R =0.4901 |  
iteration 3600 | D LOSS = 1.3641 | G LOSS = -1.3134 | AVG R =0.4892 |  
iteration 3650 | D LOSS = 1.3641 | G LOSS = 2.2437 | AVG R =0.4889 |  
iteration 3700 | D LOSS = 1.3660 | G LOSS = -2.9887 | AVG R =0.4885 |  
iteration 3750 | D LOSS = 1.3647 | G LOSS = 2.5205 | AVG R =0.4892 |  
iteration 3800 | D LOSS = 1.3643 | G LOSS = -3.7388 | AVG R =0.4888 |  
iteration 3850 | D LOSS = 1.3648 | G LOSS = 2.9979 | AVG R =0.4881 |  
iteration 3900 | D LOSS = 1.3650 | G LOSS = -1.8347 | AVG R =0.4893 |  
iteration 3950 | D LOSS = 1.3631 | G LOSS = -2.4658 | AVG R =0.4882 |  
iteration 4000 | D LOSS = 1.3631 | G LOSS = 1.8602 | AVG R =0.4885 |  
iteration 4050 | D LOSS = 1.3635 | G LOSS = -1.8546 | AVG R =0.4886 |  
iteration 4100 | D LOSS = 1.3644 | G LOSS = 3.4596 | AVG R =0.4892 |  
iteration 4150 | D LOSS = 1.3638 | G LOSS = -4.0533 | AVG R =0.4875 |  
iteration 4200 | D LOSS = 1.3648 | G LOSS = 3.2486 | AVG R =0.4876 |  
iteration 4250 | D LOSS = 1.3643 | G LOSS = -4.9204 | AVG R =0.4892 |  
iteration 4300 | D LOSS = 1.3640 | G LOSS = 4.9874 | AVG R =0.4894 |  
iteration 4350 | D LOSS = 1.3654 | G LOSS = -6.7990 | AVG R =0.4874 |  
iteration 4400 | D LOSS = 1.3652 | G LOSS = 4.1904 | AVG R =0.4891 |  
iteration 4450 | D LOSS = 1.3665 | G LOSS = -6.9598 | AVG R =0.4896 |  
iteration 4500 | D LOSS = 1.3655 | G LOSS = 3.0997 | AVG R =0.4886 |  
iteration 4550 | D LOSS = 1.3660 | G LOSS = -6.6682 | AVG R =0.4887 |  
iteration 4600 | D LOSS = 1.3656 | G LOSS = 7.1660 | AVG R =0.4900 |  
iteration 4650 | D LOSS = 1.3640 | G LOSS = -10.7989 | AVG R =0.4895 |  
iteration 4700 | D LOSS = 1.3648 | G LOSS = 9.3311 | AVG R =0.4894 |  
iteration 4750 | D LOSS = 1.3647 | G LOSS = -9.2284 | AVG R =0.4871 |  
iteration 4800 | D LOSS = 1.3625 | G LOSS = 13.0372 | AVG R =0.4910 |  
iteration 4850 | D LOSS = 1.3655 | G LOSS = -5.0620 | AVG R =0.4867 |  
iteration 4900 | D LOSS = 1.3660 | G LOSS = -7.7499 | AVG R =0.4870 |  
iteration 4950 | D LOSS = 1.3660 | G LOSS = 10.1059 | AVG R =0.4906 |  
iteration 5000 | D LOSS = 1.3634 | G LOSS = -17.5747 | AVG R =0.4878 |  
iteration 5050 | D LOSS = 1.3635 | G LOSS = 8.2943 | AVG R =0.4892 |  
iteration 5100 | D LOSS = 1.3674 | G LOSS = 1.7133 | AVG R =0.4881 |  
iteration 5150 | D LOSS = 1.3690 | G LOSS = -20.1513 | AVG R =0.4914 |  
iteration 5200 | D LOSS = 1.3677 | G LOSS = 18.3825 | AVG R =0.4898 |  
iteration 5250 | D LOSS = 1.3657 | G LOSS = -13.7604 | AVG R =0.4869 |  
iteration 5300 | D LOSS = 1.3673 | G LOSS = -14.9180 | AVG R =0.4896 |  
iteration 5350 | D LOSS = 1.3673 | G LOSS = 16.2441 | AVG R =0.4905 |  
iteration 5400 | D LOSS = 1.3665 | G LOSS = -14.0895 | AVG R =0.4880 |  
iteration 5450 | D LOSS = 1.3637 | G LOSS = 17.7054 | AVG R =0.4879 |  
iteration 5500 | D LOSS = 1.3640 | G LOSS = 1.4390 | AVG R =0.4902 |  
iteration 5550 | D LOSS = 1.3646 | G LOSS = 4.4466 | AVG R =0.4872 |  
iteration 5600 | D LOSS = 1.3638 | G LOSS = 2.8024 | AVG R =0.4885 |  
iteration 5650 | D LOSS = 1.3572 | G LOSS = -27.0830 | AVG R =0.4886 |  
iteration 5700 | D LOSS = 1.2841 | G LOSS = -59073.8867 | AVG R =0.4410 |  
iteration 5750 | D LOSS = 1.1970 | G LOSS = 1392214.5000 | AVG R =0.3880 |  
iteration 5800 | D LOSS = 1.1670 | G LOSS = -1178599.1250 | AVG R =0.3844 |  
iteration 5850 | D LOSS = 1.1995 | G LOSS = -6715609.5000 | AVG R =0.4058 |  
iteration 5900 | D LOSS = 1.2053 | G LOSS = 7904369.5000 | AVG R =0.4141 |  
iteration 5950 | D LOSS = 1.2187 | G LOSS = 62271688.0000 | AVG R =0.4100 |  
iteration 6000 | D LOSS = 1.1988 | G LOSS = -53356528.0000 | AVG R =0.3988 |  
iteration 6050 | D LOSS = 1.2007 | G LOSS = -1046844608.0000 | AVG R =0.4019 |  
iteration 6100 | D LOSS = 1.2036 | G LOSS = -316782304.0000 | AVG R =0.4036 |  
iteration 6150 | D LOSS = 1.1876 | G LOSS = -4917363712.0000 | AVG R =0.3953 |  
iteration 6200 | D LOSS = 1.1956 | G LOSS = -10442056704.0000 | AVG R =0.4007 |  
iteration 6250 | D LOSS = 1.2054 | G LOSS = -25640540160.0000 | AVG R =0.4068 |  
iteration 6300 | D LOSS = 1.2209 | G LOSS = -43690082304.0000 | AVG R =0.4250 |  
iteration 6350 | D LOSS = 1.2136 | G LOSS = -68201738240.0000 | AVG R =0.4213 |  
iteration 6400 | D LOSS = 1.2087 | G LOSS = -107611668480.0000 | AVG R =0.4097 |  
iteration 6450 | D LOSS = 1.2152 | G LOSS = -144872603648.0000 | AVG R =0.4154 |  
iteration 6500 | D LOSS = 1.2087 | G LOSS = -276969816064.0000 | AVG R =0.4163 |  
iteration 6550 | D LOSS = 1.2114 | G LOSS = -468916207616.0000 | AVG R =0.4154 |  
iteration 6600 | D LOSS = 1.2143 | G LOSS = -640140967936.0000 | AVG R =0.4116 |  
iteration 6650 | D LOSS = 1.1854 | G LOSS = -823587110912.0000 | AVG R =0.3961 |  
iteration 6700 | D LOSS = 1.2006 | G LOSS = -1481852190720.0000 | AVG R =0.4046 |  
iteration 6750 | D LOSS = 1.2059 | G LOSS = -1244726558720.0000 | AVG R =0.4115 |  
iteration 6800 | D LOSS = 1.2144 | G LOSS = -1523532038144.0000 | AVG R =0.4184 |  
iteration 6850 | D LOSS = 1.2154 | G LOSS = -1767836614656.0000 | AVG R =0.4210 |  
iteration 6900 | D LOSS = 1.2102 | G LOSS = -2734227193856.0000 | AVG R =0.4147 |  
iteration 6950 | D LOSS = 1.2047 | G LOSS = -4047964471296.0000 | AVG R =0.4104 |  
