α=1.00%, θ*=3.40, TPR=0.0190, FPR=0.0069, PPV=0.7338, Advantage=0.0121
α=2.00%, θ*=3.40, TPR=0.0190, FPR=0.0069, PPV=0.7338, Advantage=0.0121
α=3.00%, θ*=3.45, TPR=0.0332, FPR=0.0230, PPV=0.5905, Advantage=0.0102
α=4.00%, θ*=3.50, TPR=0.0478, FPR=0.0345, PPV=0.5808, Advantage=0.0133
α=5.00%, θ*=3.55, TPR=0.0770, FPR=0.0437, PPV=0.6382, Advantage=0.0334
α=6.00%, θ*=3.55, TPR=0.0770, FPR=0.0437, PPV=0.6382, Advantage=0.0334
α=7.00%, θ*=3.55, TPR=0.0770, FPR=0.0437, PPV=0.6382, Advantage=0.0334
α=8.00%, θ*=3.55, TPR=0.0770, FPR=0.0437, PPV=0.6382, Advantage=0.0334
α=9.00%, θ*=3.55, TPR=0.0770, FPR=0.0437, PPV=0.6382, Advantage=0.0334
α=10.00%, θ*=3.60, TPR=0.1143, FPR=0.0920, PPV=0.5542, Advantage=0.0224
α=11.00%, θ*=3.60, TPR=0.1143, FPR=0.0920, PPV=0.5542, Advantage=0.0224
α=12.00%, θ*=3.60, TPR=0.1143, FPR=0.0920, PPV=0.5542, Advantage=0.0224
α=13.00%, θ*=3.60, TPR=0.1143, FPR=0.0920, PPV=0.5542, Advantage=0.0224
α=14.00%, θ*=3.60, TPR=0.1143, FPR=0.0920, PPV=0.5542, Advantage=0.0224
α=15.00%, θ*=3.60, TPR=0.1143, FPR=0.0920, PPV=0.5542, Advantage=0.0224
α=16.00%, θ*=3.60, TPR=0.1143, FPR=0.0920, PPV=0.5542, Advantage=0.0224
α=17.00%, θ*=3.65, TPR=0.1597, FPR=0.1678, PPV=0.4876, Advantage=-0.0081
α=18.00%, θ*=3.65, TPR=0.1597, FPR=0.1678, PPV=0.4876, Advantage=-0.0081
α=19.00%, θ*=3.65, TPR=0.1597, FPR=0.1678, PPV=0.4876, Advantage=-0.0081
α=20.00%, θ*=3.65, TPR=0.1597, FPR=0.1678, PPV=0.4876, Advantage=-0.0081
α=21.00%, θ*=3.65, TPR=0.1597, FPR=0.1678, PPV=0.4876, Advantage=-0.0081
α=22.00%, θ*=3.70, TPR=0.2077, FPR=0.2161, PPV=0.4901, Advantage=-0.0084
α=23.00%, θ*=3.70, TPR=0.2077, FPR=0.2161, PPV=0.4901, Advantage=-0.0084
α=24.00%, θ*=3.70, TPR=0.2077, FPR=0.2161, PPV=0.4901, Advantage=-0.0084
α=25.00%, θ*=3.70, TPR=0.2077, FPR=0.2161, PPV=0.4901, Advantage=-0.0084
α=26.00%, θ*=3.70, TPR=0.2077, FPR=0.2161, PPV=0.4901, Advantage=-0.0084
α=27.00%, θ*=3.70, TPR=0.2077, FPR=0.2161, PPV=0.4901, Advantage=-0.0084
α=28.00%, θ*=3.70, TPR=0.2077, FPR=0.2161, PPV=0.4901, Advantage=-0.0084
α=29.00%, θ*=3.75, TPR=0.2523, FPR=0.2851, PPV=0.4695, Advantage=-0.0327
α=30.00%, θ*=3.75, TPR=0.2523, FPR=0.2851, PPV=0.4695, Advantage=-0.0327
α=31.00%, θ*=3.80, TPR=0.3045, FPR=0.3057, PPV=0.4990, Advantage=-0.0013
α=32.00%, θ*=3.80, TPR=0.3045, FPR=0.3057, PPV=0.4990, Advantage=-0.0013
α=33.00%, θ*=3.80, TPR=0.3045, FPR=0.3057, PPV=0.4990, Advantage=-0.0013
α=34.00%, θ*=3.80, TPR=0.3045, FPR=0.3057, PPV=0.4990, Advantage=-0.0013
α=35.00%, θ*=3.80, TPR=0.3045, FPR=0.3057, PPV=0.4990, Advantage=-0.0013
α=36.00%, θ*=3.80, TPR=0.3045, FPR=0.3057, PPV=0.4990, Advantage=-0.0013
α=37.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=38.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=39.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=40.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=41.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=42.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=43.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=44.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=45.00%, θ*=3.85, TPR=0.3642, FPR=0.3678, PPV=0.4975, Advantage=-0.0036
α=46.00%, θ*=3.90, TPR=0.4205, FPR=0.4506, PPV=0.4828, Advantage=-0.0300
α=47.00%, θ*=3.90, TPR=0.4205, FPR=0.4506, PPV=0.4828, Advantage=-0.0300
α=48.00%, θ*=3.90, TPR=0.4205, FPR=0.4506, PPV=0.4828, Advantage=-0.0300
α=49.00%, θ*=3.90, TPR=0.4205, FPR=0.4506, PPV=0.4828, Advantage=-0.0300
α=50.00%, θ*=3.95, TPR=0.4764, FPR=0.4920, PPV=0.4919, Advantage=-0.0156
α=51.00%, θ*=3.95, TPR=0.4764, FPR=0.4920, PPV=0.4919, Advantage=-0.0156
α=52.00%, θ*=3.95, TPR=0.4764, FPR=0.4920, PPV=0.4919, Advantage=-0.0156
α=53.00%, θ*=3.95, TPR=0.4764, FPR=0.4920, PPV=0.4919, Advantage=-0.0156
α=54.00%, θ*=3.95, TPR=0.4764, FPR=0.4920, PPV=0.4919, Advantage=-0.0156
