α=1.00%, θ*=3.55, TPR=0.0041, FPR=0.0068, PPV=0.3771, Advantage=-0.0027
α=2.00%, θ*=3.75, TPR=0.0429, FPR=0.0183, PPV=0.7016, Advantage=0.0247
α=3.00%, θ*=3.80, TPR=0.0603, FPR=0.0205, PPV=0.7457, Advantage=0.0397
α=4.00%, θ*=3.80, TPR=0.0603, FPR=0.0205, PPV=0.7457, Advantage=0.0397
α=5.00%, θ*=3.85, TPR=0.0847, FPR=0.0434, PPV=0.6612, Advantage=0.0413
α=6.00%, θ*=3.85, TPR=0.0847, FPR=0.0434, PPV=0.6612, Advantage=0.0413
α=7.00%, θ*=3.90, TPR=0.1186, FPR=0.0616, PPV=0.6579, Advantage=0.0569
α=8.00%, θ*=3.90, TPR=0.1186, FPR=0.0616, PPV=0.6579, Advantage=0.0569
α=9.00%, θ*=3.90, TPR=0.1186, FPR=0.0616, PPV=0.6579, Advantage=0.0569
α=10.00%, θ*=3.95, TPR=0.1549, FPR=0.0982, PPV=0.6121, Advantage=0.0567
α=11.00%, θ*=3.95, TPR=0.1549, FPR=0.0982, PPV=0.6121, Advantage=0.0567
α=12.00%, θ*=3.95, TPR=0.1549, FPR=0.0982, PPV=0.6121, Advantage=0.0567
α=13.00%, θ*=3.95, TPR=0.1549, FPR=0.0982, PPV=0.6121, Advantage=0.0567
α=14.00%, θ*=3.95, TPR=0.1549, FPR=0.0982, PPV=0.6121, Advantage=0.0567
α=15.00%, θ*=3.95, TPR=0.1549, FPR=0.0982, PPV=0.6121, Advantage=0.0567
α=16.00%, θ*=4.00, TPR=0.1937, FPR=0.1507, PPV=0.5625, Advantage=0.0430
α=17.00%, θ*=4.00, TPR=0.1937, FPR=0.1507, PPV=0.5625, Advantage=0.0430
α=18.00%, θ*=4.00, TPR=0.1937, FPR=0.1507, PPV=0.5625, Advantage=0.0430
α=19.00%, θ*=4.00, TPR=0.1937, FPR=0.1507, PPV=0.5625, Advantage=0.0430
α=20.00%, θ*=4.00, TPR=0.1937, FPR=0.1507, PPV=0.5625, Advantage=0.0430
α=21.00%, θ*=4.05, TPR=0.2491, FPR=0.2055, PPV=0.5480, Advantage=0.0436
α=22.00%, θ*=4.05, TPR=0.2491, FPR=0.2055, PPV=0.5480, Advantage=0.0436
α=23.00%, θ*=4.05, TPR=0.2491, FPR=0.2055, PPV=0.5480, Advantage=0.0436
α=24.00%, θ*=4.05, TPR=0.2491, FPR=0.2055, PPV=0.5480, Advantage=0.0436
α=25.00%, θ*=4.05, TPR=0.2491, FPR=0.2055, PPV=0.5480, Advantage=0.0436
α=26.00%, θ*=4.10, TPR=0.3030, FPR=0.2534, PPV=0.5445, Advantage=0.0496
α=27.00%, θ*=4.10, TPR=0.3030, FPR=0.2534, PPV=0.5445, Advantage=0.0496
α=28.00%, θ*=4.10, TPR=0.3030, FPR=0.2534, PPV=0.5445, Advantage=0.0496
α=29.00%, θ*=4.10, TPR=0.3030, FPR=0.2534, PPV=0.5445, Advantage=0.0496
α=30.00%, θ*=4.10, TPR=0.3030, FPR=0.2534, PPV=0.5445, Advantage=0.0496
α=31.00%, θ*=4.10, TPR=0.3030, FPR=0.2534, PPV=0.5445, Advantage=0.0496
α=32.00%, θ*=4.10, TPR=0.3030, FPR=0.2534, PPV=0.5445, Advantage=0.0496
α=33.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=34.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=35.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=36.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=37.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=38.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=39.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=40.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=41.00%, θ*=4.15, TPR=0.3674, FPR=0.3242, PPV=0.5312, Advantage=0.0432
α=42.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=43.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=44.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=45.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=46.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=47.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=48.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=49.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=50.00%, θ*=4.20, TPR=0.4330, FPR=0.4155, PPV=0.5103, Advantage=0.0175
α=51.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=52.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=53.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=54.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=55.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=56.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=57.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=58.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=59.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=60.00%, θ*=4.25, TPR=0.5055, FPR=0.5068, PPV=0.4993, Advantage=-0.0014
α=61.00%, θ*=4.30, TPR=0.5784, FPR=0.6096, PPV=0.4869, Advantage=-0.0312
α=62.00%, θ*=4.30, TPR=0.5784, FPR=0.6096, PPV=0.4869, Advantage=-0.0312
α=63.00%, θ*=4.30, TPR=0.5784, FPR=0.6096, PPV=0.4869, Advantage=-0.0312
α=64.00%, θ*=4.30, TPR=0.5784, FPR=0.6096, PPV=0.4869, Advantage=-0.0312
α=65.00%, θ*=4.30, TPR=0.5784, FPR=0.6096, PPV=0.4869, Advantage=-0.0312
α=66.00%, θ*=4.35, TPR=0.6416, FPR=0.6575, PPV=0.4939, Advantage=-0.0159
α=67.00%, θ*=4.35, TPR=0.6416, FPR=0.6575, PPV=0.4939, Advantage=-0.0159
α=68.00%, θ*=4.40, TPR=0.6992, FPR=0.6735, PPV=0.5094, Advantage=0.0257
α=69.00%, θ*=4.40, TPR=0.6992, FPR=0.6735, PPV=0.5094, Advantage=0.0257
α=70.00%, θ*=4.45, TPR=0.7448, FPR=0.6963, PPV=0.5168, Advantage=0.0485
α=71.00%, θ*=4.45, TPR=0.7448, FPR=0.6963, PPV=0.5168, Advantage=0.0485
α=72.00%, θ*=4.45, TPR=0.7448, FPR=0.6963, PPV=0.5168, Advantage=0.0485
α=73.00%, θ*=4.45, TPR=0.7448, FPR=0.6963, PPV=0.5168, Advantage=0.0485
α=74.00%, θ*=4.50, TPR=0.7831, FPR=0.7352, PPV=0.5158, Advantage=0.0480
α=75.00%, θ*=4.50, TPR=0.7831, FPR=0.7352, PPV=0.5158, Advantage=0.0480
α=76.00%, θ*=4.50, TPR=0.7831, FPR=0.7352, PPV=0.5158, Advantage=0.0480
