Logging
iteration 0 | D LOSS = 1.4247 | G LOSS = 0.0327 | AVG R =0.5389 |  
iteration 50 | D LOSS = 1.1650 | G LOSS = -0.2409 | AVG R =0.3745 |  
iteration 100 | D LOSS = 1.1964 | G LOSS = -0.6809 | AVG R =0.3979 |  
iteration 150 | D LOSS = 1.2131 | G LOSS = -1.3342 | AVG R =0.4143 |  
iteration 200 | D LOSS = 1.2487 | G LOSS = -2.3093 | AVG R =0.4356 |  
iteration 250 | D LOSS = 1.2929 | G LOSS = -4.3362 | AVG R =0.4569 |  
iteration 300 | D LOSS = 1.3313 | G LOSS = -7.3718 | AVG R =0.4779 |  
iteration 350 | D LOSS = 1.3573 | G LOSS = -7.5072 | AVG R =0.4882 |  
iteration 400 | D LOSS = 1.3652 | G LOSS = -7.9491 | AVG R =0.4882 |  
iteration 450 | D LOSS = 1.3659 | G LOSS = -4.4959 | AVG R =0.4893 |  
iteration 500 | D LOSS = 1.3636 | G LOSS = -1.2883 | AVG R =0.4886 |  
iteration 550 | D LOSS = 1.3607 | G LOSS = -1.5634 | AVG R =0.4870 |  
iteration 600 | D LOSS = 1.3591 | G LOSS = -1.4354 | AVG R =0.4875 |  
iteration 650 | D LOSS = 1.3572 | G LOSS = -0.2930 | AVG R =0.4858 |  
iteration 700 | D LOSS = 1.3548 | G LOSS = -1.2704 | AVG R =0.4844 |  
iteration 750 | D LOSS = 1.3532 | G LOSS = -0.6521 | AVG R =0.4828 |  
iteration 800 | D LOSS = 1.3512 | G LOSS = 0.8160 | AVG R =0.4820 |  
iteration 850 | D LOSS = 1.3475 | G LOSS = -0.6045 | AVG R =0.4807 |  
iteration 900 | D LOSS = 1.3450 | G LOSS = 0.3842 | AVG R =0.4802 |  
iteration 950 | D LOSS = 1.3453 | G LOSS = 0.1171 | AVG R =0.4785 |  
iteration 1000 | D LOSS = 1.3438 | G LOSS = 0.7055 | AVG R =0.4787 |  
iteration 1050 | D LOSS = 1.3426 | G LOSS = 1.0551 | AVG R =0.4779 |  
iteration 1100 | D LOSS = 1.3425 | G LOSS = -0.6041 | AVG R =0.4770 |  
iteration 1150 | D LOSS = 1.3428 | G LOSS = 0.8549 | AVG R =0.4776 |  
iteration 1200 | D LOSS = 1.3428 | G LOSS = -0.2637 | AVG R =0.4772 |  
iteration 1250 | D LOSS = 1.3403 | G LOSS = 1.0795 | AVG R =0.4775 |  
iteration 1300 | D LOSS = 1.3401 | G LOSS = 0.5829 | AVG R =0.4774 |  
iteration 1350 | D LOSS = 1.3401 | G LOSS = 1.1748 | AVG R =0.4767 |  
iteration 1400 | D LOSS = 1.3403 | G LOSS = 0.9389 | AVG R =0.4766 |  
iteration 1450 | D LOSS = 1.3403 | G LOSS = 0.5635 | AVG R =0.4766 |  
iteration 1500 | D LOSS = 1.3414 | G LOSS = 0.7542 | AVG R =0.4774 |  
iteration 1550 | D LOSS = 1.3419 | G LOSS = -0.8373 | AVG R =0.4776 |  
iteration 1600 | D LOSS = 1.3427 | G LOSS = 0.3390 | AVG R =0.4779 |  
iteration 1650 | D LOSS = 1.3430 | G LOSS = 0.4517 | AVG R =0.4779 |  
iteration 1700 | D LOSS = 1.3423 | G LOSS = -0.8307 | AVG R =0.4777 |  
iteration 1750 | D LOSS = 1.3432 | G LOSS = 0.2982 | AVG R =0.4787 |  
iteration 1800 | D LOSS = 1.3430 | G LOSS = 1.5529 | AVG R =0.4785 |  
iteration 1850 | D LOSS = 1.3438 | G LOSS = 0.2342 | AVG R =0.4785 |  
iteration 1900 | D LOSS = 1.3428 | G LOSS = 1.3158 | AVG R =0.4780 |  
iteration 1950 | D LOSS = 1.3440 | G LOSS = 0.2633 | AVG R =0.4786 |  
iteration 2000 | D LOSS = 1.3440 | G LOSS = -0.5272 | AVG R =0.4789 |  
iteration 2050 | D LOSS = 1.3435 | G LOSS = 1.0605 | AVG R =0.4791 |  
iteration 2100 | D LOSS = 1.3444 | G LOSS = -1.4832 | AVG R =0.4785 |  
iteration 2150 | D LOSS = 1.3456 | G LOSS = 2.6449 | AVG R =0.4793 |  
iteration 2200 | D LOSS = 1.3443 | G LOSS = 0.6424 | AVG R =0.4796 |  
iteration 2250 | D LOSS = 1.3444 | G LOSS = -0.8800 | AVG R =0.4793 |  
iteration 2300 | D LOSS = 1.3442 | G LOSS = 0.1987 | AVG R =0.4790 |  
iteration 2350 | D LOSS = 1.3429 | G LOSS = 0.9192 | AVG R =0.4787 |  
iteration 2400 | D LOSS = 1.3448 | G LOSS = -0.1838 | AVG R =0.4788 |  
iteration 2450 | D LOSS = 1.3441 | G LOSS = 1.1211 | AVG R =0.4788 |  
iteration 2500 | D LOSS = 1.3440 | G LOSS = -0.1187 | AVG R =0.4790 |  
iteration 2550 | D LOSS = 1.3456 | G LOSS = -1.0912 | AVG R =0.4787 |  
iteration 2600 | D LOSS = 1.3452 | G LOSS = -0.5575 | AVG R =0.4795 |  
iteration 2650 | D LOSS = 1.3451 | G LOSS = -0.7552 | AVG R =0.4791 |  
iteration 2700 | D LOSS = 1.3468 | G LOSS = 0.2286 | AVG R =0.4804 |  
iteration 2750 | D LOSS = 1.3457 | G LOSS = 0.5046 | AVG R =0.4794 |  
iteration 2800 | D LOSS = 1.3459 | G LOSS = -0.0073 | AVG R =0.4804 |  
iteration 2850 | D LOSS = 1.3472 | G LOSS = 0.5052 | AVG R =0.4805 |  
iteration 2900 | D LOSS = 1.3460 | G LOSS = 0.9872 | AVG R =0.4806 |  
iteration 2950 | D LOSS = 1.3467 | G LOSS = 1.5323 | AVG R =0.4798 |  
iteration 3000 | D LOSS = 1.3474 | G LOSS = 1.0951 | AVG R =0.4807 |  
iteration 3050 | D LOSS = 1.3478 | G LOSS = 0.2779 | AVG R =0.4802 |  
iteration 3100 | D LOSS = 1.3485 | G LOSS = 0.1985 | AVG R =0.4798 |  
iteration 3150 | D LOSS = 1.3484 | G LOSS = -0.3244 | AVG R =0.4808 |  
iteration 3200 | D LOSS = 1.3485 | G LOSS = -1.7569 | AVG R =0.4804 |  
iteration 3250 | D LOSS = 1.3496 | G LOSS = 1.5802 | AVG R =0.4815 |  
iteration 3300 | D LOSS = 1.3489 | G LOSS = 1.9170 | AVG R =0.4812 |  
iteration 3350 | D LOSS = 1.3510 | G LOSS = -0.7172 | AVG R =0.4814 |  
iteration 3400 | D LOSS = 1.3488 | G LOSS = 0.2480 | AVG R =0.4821 |  
iteration 3450 | D LOSS = 1.3502 | G LOSS = 0.8157 | AVG R =0.4818 |  
iteration 3500 | D LOSS = 1.3506 | G LOSS = 0.8125 | AVG R =0.4824 |  
iteration 3550 | D LOSS = 1.3518 | G LOSS = -0.4628 | AVG R =0.4829 |  
iteration 3600 | D LOSS = 1.3533 | G LOSS = -0.6894 | AVG R =0.4832 |  
iteration 3650 | D LOSS = 1.3536 | G LOSS = -0.2673 | AVG R =0.4824 |  
iteration 3700 | D LOSS = 1.3526 | G LOSS = -0.2897 | AVG R =0.4828 |  
iteration 3750 | D LOSS = 1.3533 | G LOSS = -0.1067 | AVG R =0.4835 |  
iteration 3800 | D LOSS = 1.3520 | G LOSS = -0.7420 | AVG R =0.4836 |  
iteration 3850 | D LOSS = 1.3539 | G LOSS = 0.2843 | AVG R =0.4838 |  
iteration 3900 | D LOSS = 1.3536 | G LOSS = 0.2826 | AVG R =0.4831 |  
iteration 3950 | D LOSS = 1.3521 | G LOSS = 0.6214 | AVG R =0.4841 |  
iteration 4000 | D LOSS = 1.3534 | G LOSS = -0.0796 | AVG R =0.4837 |  
iteration 4050 | D LOSS = 1.3531 | G LOSS = -0.3537 | AVG R =0.4831 |  
iteration 4100 | D LOSS = 1.3530 | G LOSS = 0.1749 | AVG R =0.4838 |  
iteration 4150 | D LOSS = 1.3543 | G LOSS = 0.3666 | AVG R =0.4841 |  
iteration 4200 | D LOSS = 1.3543 | G LOSS = -0.4752 | AVG R =0.4841 |  
