α=1.00%, θ*=1.35, TPR=0.0098, FPR=0.0044, PPV=0.6909, Advantage=0.0054
α=2.00%, θ*=1.40, TPR=0.0164, FPR=0.0132, PPV=0.5551, Advantage=0.0033
α=3.00%, θ*=1.50, TPR=0.0348, FPR=0.0263, PPV=0.5694, Advantage=0.0085
α=4.00%, θ*=1.55, TPR=0.0463, FPR=0.0351, PPV=0.5689, Advantage=0.0112
α=5.00%, θ*=1.60, TPR=0.0610, FPR=0.0439, PPV=0.5818, Advantage=0.0172
α=6.00%, θ*=1.60, TPR=0.0610, FPR=0.0439, PPV=0.5818, Advantage=0.0172
α=7.00%, θ*=1.65, TPR=0.0774, FPR=0.0636, PPV=0.5491, Advantage=0.0138
α=8.00%, θ*=1.65, TPR=0.0774, FPR=0.0636, PPV=0.5491, Advantage=0.0138
α=9.00%, θ*=1.65, TPR=0.0774, FPR=0.0636, PPV=0.5491, Advantage=0.0138
α=10.00%, θ*=1.65, TPR=0.0774, FPR=0.0636, PPV=0.5491, Advantage=0.0138
α=11.00%, θ*=1.65, TPR=0.0774, FPR=0.0636, PPV=0.5491, Advantage=0.0138
α=12.00%, θ*=1.70, TPR=0.0973, FPR=0.1162, PPV=0.4556, Advantage=-0.0189
α=13.00%, θ*=1.75, TPR=0.1242, FPR=0.1250, PPV=0.4985, Advantage=-0.0008
α=14.00%, θ*=1.75, TPR=0.1242, FPR=0.1250, PPV=0.4985, Advantage=-0.0008
α=15.00%, θ*=1.80, TPR=0.1544, FPR=0.1425, PPV=0.5199, Advantage=0.0118
α=16.00%, θ*=1.80, TPR=0.1544, FPR=0.1425, PPV=0.5199, Advantage=0.0118
α=17.00%, θ*=1.85, TPR=0.1840, FPR=0.1623, PPV=0.5314, Advantage=0.0217
α=18.00%, θ*=1.85, TPR=0.1840, FPR=0.1623, PPV=0.5314, Advantage=0.0217
α=19.00%, θ*=1.85, TPR=0.1840, FPR=0.1623, PPV=0.5314, Advantage=0.0217
α=20.00%, θ*=1.90, TPR=0.2298, FPR=0.1952, PPV=0.5408, Advantage=0.0347
α=21.00%, θ*=1.90, TPR=0.2298, FPR=0.1952, PPV=0.5408, Advantage=0.0347
α=22.00%, θ*=1.95, TPR=0.2759, FPR=0.2105, PPV=0.5672, Advantage=0.0654
α=23.00%, θ*=1.95, TPR=0.2759, FPR=0.2105, PPV=0.5672, Advantage=0.0654
α=24.00%, θ*=2.00, TPR=0.3284, FPR=0.2303, PPV=0.5878, Advantage=0.0981
α=25.00%, θ*=2.00, TPR=0.3284, FPR=0.2303, PPV=0.5878, Advantage=0.0981
α=26.00%, θ*=2.00, TPR=0.3284, FPR=0.2303, PPV=0.5878, Advantage=0.0981
α=27.00%, θ*=2.05, TPR=0.3766, FPR=0.2654, PPV=0.5867, Advantage=0.1113
α=28.00%, θ*=2.05, TPR=0.3766, FPR=0.2654, PPV=0.5867, Advantage=0.1113
α=29.00%, θ*=2.05, TPR=0.3766, FPR=0.2654, PPV=0.5867, Advantage=0.1113
α=30.00%, θ*=2.05, TPR=0.3766, FPR=0.2654, PPV=0.5867, Advantage=0.1113
α=31.00%, θ*=2.10, TPR=0.4259, FPR=0.3048, PPV=0.5828, Advantage=0.1211
α=32.00%, θ*=2.10, TPR=0.4259, FPR=0.3048, PPV=0.5828, Advantage=0.1211
α=33.00%, θ*=2.10, TPR=0.4259, FPR=0.3048, PPV=0.5828, Advantage=0.1211
α=34.00%, θ*=2.10, TPR=0.4259, FPR=0.3048, PPV=0.5828, Advantage=0.1211
α=35.00%, θ*=2.10, TPR=0.4259, FPR=0.3048, PPV=0.5828, Advantage=0.1211
α=36.00%, θ*=2.10, TPR=0.4259, FPR=0.3048, PPV=0.5828, Advantage=0.1211
α=37.00%, θ*=2.15, TPR=0.4744, FPR=0.3618, PPV=0.5673, Advantage=0.1126
α=38.00%, θ*=2.15, TPR=0.4744, FPR=0.3618, PPV=0.5673, Advantage=0.1126
α=39.00%, θ*=2.15, TPR=0.4744, FPR=0.3618, PPV=0.5673, Advantage=0.1126
α=40.00%, θ*=2.15, TPR=0.4744, FPR=0.3618, PPV=0.5673, Advantage=0.1126
α=41.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=42.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=43.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=44.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=45.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=46.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=47.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=48.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=49.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=50.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
α=51.00%, θ*=2.20, TPR=0.5168, FPR=0.4079, PPV=0.5589, Advantage=0.1089
