Logging
ITERATION 0.0000 | TOTAL G LOSS 0.0093
ITERATION 1.0000 | TOTAL G LOSS -0.1573
ITERATION 2.0000 | TOTAL G LOSS -0.2038
ITERATION 3.0000 | TOTAL G LOSS -0.1850
ITERATION 4.0000 | TOTAL G LOSS -0.2767
ITERATION 5.0000 | TOTAL G LOSS -0.0118
ITERATION 6.0000 | TOTAL G LOSS -0.0985
ITERATION 7.0000 | TOTAL G LOSS -0.1117
ITERATION 8.0000 | TOTAL G LOSS -0.0975
ITERATION 9.0000 | TOTAL G LOSS -0.4536
ITERATION 10.0000 | TOTAL G LOSS -0.0713
ITERATION 11.0000 | TOTAL G LOSS -0.1430
ITERATION 12.0000 | TOTAL G LOSS -0.1811
ITERATION 13.0000 | TOTAL G LOSS -0.1659
ITERATION 14.0000 | TOTAL G LOSS -0.1377
ITERATION 15.0000 | TOTAL G LOSS -0.0945
ITERATION 16.0000 | TOTAL G LOSS -0.1820
ITERATION 17.0000 | TOTAL G LOSS -0.0992
ITERATION 18.0000 | TOTAL G LOSS -0.2185
ITERATION 19.0000 | TOTAL G LOSS -0.0213
ITERATION 20.0000 | TOTAL G LOSS -0.0634
ITERATION 21.0000 | TOTAL G LOSS -0.1757
ITERATION 22.0000 | TOTAL G LOSS -0.2324
ITERATION 23.0000 | TOTAL G LOSS -0.0735
ITERATION 24.0000 | TOTAL G LOSS -0.1366
ITERATION 25.0000 | TOTAL G LOSS -0.0769
ITERATION 26.0000 | TOTAL G LOSS -0.1916
ITERATION 27.0000 | TOTAL G LOSS -0.1961
ITERATION 28.0000 | TOTAL G LOSS -0.2790
ITERATION 29.0000 | TOTAL G LOSS -0.0687
ITERATION 30.0000 | TOTAL G LOSS -0.1471
ITERATION 31.0000 | TOTAL G LOSS -0.2809
ITERATION 32.0000 | TOTAL G LOSS -0.2606
ITERATION 33.0000 | TOTAL G LOSS -0.1953
ITERATION 34.0000 | TOTAL G LOSS -0.1525
ITERATION 35.0000 | TOTAL G LOSS -0.1766
ITERATION 36.0000 | TOTAL G LOSS -0.2133
ITERATION 37.0000 | TOTAL G LOSS -0.2040
ITERATION 38.0000 | TOTAL G LOSS -0.0238
ITERATION 39.0000 | TOTAL G LOSS -0.1508
ITERATION 40.0000 | TOTAL G LOSS -0.1756
ITERATION 41.0000 | TOTAL G LOSS -0.3452
ITERATION 42.0000 | TOTAL G LOSS -0.2462
ITERATION 43.0000 | TOTAL G LOSS -0.3218
ITERATION 44.0000 | TOTAL G LOSS -0.2814
ITERATION 45.0000 | TOTAL G LOSS -0.3052
ITERATION 46.0000 | TOTAL G LOSS -0.3681
ITERATION 47.0000 | TOTAL G LOSS -0.1492
ITERATION 48.0000 | TOTAL G LOSS -0.2445
ITERATION 49.0000 | TOTAL G LOSS -0.2912
ITERATION 50.0000 | TOTAL G LOSS -0.2618
ITERATION 51.0000 | TOTAL G LOSS -0.3546
ITERATION 52.0000 | TOTAL G LOSS -0.2940
ITERATION 53.0000 | TOTAL G LOSS -0.2914
ITERATION 54.0000 | TOTAL G LOSS -0.3697
ITERATION 55.0000 | TOTAL G LOSS -0.4651
ITERATION 56.0000 | TOTAL G LOSS -0.4014
ITERATION 57.0000 | TOTAL G LOSS -0.2336
ITERATION 58.0000 | TOTAL G LOSS -0.2853
ITERATION 59.0000 | TOTAL G LOSS -0.3075
ITERATION 60.0000 | TOTAL G LOSS -0.4059
ITERATION 61.0000 | TOTAL G LOSS -0.1812
ITERATION 62.0000 | TOTAL G LOSS -0.4140
ITERATION 63.0000 | TOTAL G LOSS -0.3300
ITERATION 64.0000 | TOTAL G LOSS -0.3358
ITERATION 65.0000 | TOTAL G LOSS -0.3451
ITERATION 66.0000 | TOTAL G LOSS -0.2579
