feature,avg_drop_acc
Total Cholesterol (mg/dL)_value (mg/dL),0.008879999999999999
blood_glucose_mean,0.007039999999999998
Cataracts (1+ eyes),0.005880000000000005
Kidney problems,0.005799999999999997
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.005640000000000001
Rate,0.00536
High blood pressure,0.004719999999999996
HDL Cholesterol (mg/dL)_value (mg/dL),0.0044399999999999995
Circulation problems,0.0035600000000000033
delayed_recall_with_no_clue_time_value,0.003400000000000003
blood_glucose_std,0.0033599999999999984
Alkaline Phosphatase (IU/L)_value (IU/L),0.003280000000000003
stress_mean,0.0032400000000000024
moca_total_score_value,0.002799999999999998
AST (IU/L)_value (IU/L),0.002440000000000002
Arthritis,0.0023999999999999933
cube_visuospatial_executive_time_value,0.0021600000000000018
Heart attack,0.0021200000000000017
heart_rate_mean,0.0019200000000000016
resting_heart_rate,0.0017599999999999972
cube_visuospatial_executive_value,0.0017599999999999972
moca_abstraction_time_value,0.0016000000000000014
trails_visuospatial_executive_value,0.0016000000000000014
BUN (mg/dL)_value (mg/dL),0.0015200000000000014
digitspan_time_value,0.0014000000000000013
naming_value,0.0013600000000000012
Albumin (g/dL)_value (g/dL),0.0013200000000000013
Marijuana user,0.001320000000000001
Glaucoma (1+),0.0012800000000000012
P,0.001240000000000001
CRP - HS (mg/L)_value (mg/L),0.001240000000000001
Dry eye (1+),0.001200000000000001
moca_orientation_value,0.001200000000000001
repetition_value,0.0011999999999999966
act_walking_hrs,0.001160000000000001
High blood cholesterol,0.0011200000000000012
Low blood pressure,0.001120000000000001
QT,0.001080000000000001
sleep_deep_hrs,0.0009600000000000008
QRS,0.0008400000000000008
Hearing impairment,0.0008000000000000007
moca_orientation_time_value,0.0006400000000000005
BORDERLINE,0.0006000000000000005
memory_trial2_time_value,0.0006000000000000005
memory_trial1_value,0.0004800000000000004
Triglycerides (mg/dL)_value (mg/dL),0.00040000000000000034
subtraction_time_value,0.00040000000000000034
Age-related macular degeneration,0.0003600000000000003
Creatinine (mg/dL)_value (md/dL),0.0003600000000000003
QTc,0.0003600000000000003
ABNORMAL,0.0002800000000000003
Mild cognitive impairmen,0.0002800000000000002
act_generic_hrs,0.0002400000000000002
BUN/Creatinine ratio_value,0.00020000000000000023
Digestive problems,0.00020000000000000004
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",0.00019999999999999982
naming_time_value,0.0001200000000000001
Urine Albumin (mg/dL)_value (mg/DL),8.000000000000007e-05
OTHERWISE NORMAL,4.0000000000000105e-05
Retinal vascular occlusion,-4.000000000000004e-05
Diabetic retinopathy (1+),-4.000000000000009e-05
total_kcal,-8.000000000000003e-05
Parkinson's disease,-8.000000000000003e-05
act_running_hrs,-8.000000000000007e-05
Multiple sclerosis,-8.000000000000007e-05
trails_visuospatial_executive_time_value,-0.00012000000000000006
act_sedentary_hrs,-0.00012000000000000013
INSULIN (ng/mL)_value (ng/mL),-0.00016000000000000018
A/G Ratio_value,-0.00020000000000000017
moca_abstraction_value,-0.00024000000000000011
sleep_awake_hrs,-0.00024000000000000025
NORMAL,-0.0002800000000000002
ALT (IU/L)_value (IU/L),-0.00028000000000000025
memory_trial1_time_value,-0.00028000000000000025
Urine Creatinine (mg/dL)_value (mg/DL),-0.00040000000000000034
"Globulin, Total (g/dL)_value (g/dL)",-0.0004400000000000004
lettera_value,-0.0004400000000000004
Osteoporosis,-0.0004400000000000004
Stroke,-0.00044000000000000045
memory_trial2_value,-0.0004800000000000004
sleep_rem_hrs,-0.0005200000000000004
Potassium (mEq/L)_value (mEq/L),-0.0005200000000000005
repetition_time_value,-0.0005600000000000005
subtraction_value,-0.0006000000000000005
Glucose (mg/dL)_value (mg/dL),-0.0006400000000000006
Obesity,-0.0006800000000000007
PR,-0.0007200000000000007
total_steps,-0.0007200000000000007
Other neurological conditions,-0.0007600000000000007
QRSD,-0.0007600000000000008
clock_visuospatial_executive_time_value,-0.0008800000000000008
resp_rate_mean,-0.0009600000000000008
C-Peptide (ng/mL)_value (ng/mL),-0.000960000000000001
sleep_light_hrs,-0.001040000000000001
moca_combined_mis_score_value,-0.001040000000000001
Urinary problems,-0.0010400000000000055
Bilirubin Total (mg/dL)_value (mg/dL),-0.001160000000000001
T,-0.0013200000000000013
"Protein, Total (g/dL)_value (g/dL)",-0.0014000000000000013
Chloride (mEq/L)_value (mEq/L),-0.0014400000000000014
fluency_language_value,-0.0016000000000000014
Sodium (mEq/L)_value (mEq/L),-0.001880000000000002
lettera_time_value,-0.0019200000000000016
Other heart issues (pacemaker),-0.002080000000000002
Chronic pullmonary problems,-0.0032400000000000076
Calcium (mg/dL)_value (mg/dL),-0.0038800000000000037
Cancer,-0.005280000000000005
