,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,0.09978246685416495,0.09790138703041129,0.528536457862549,0.1226131994534587,0.18057683991100532,0.671902639369638,0.1763184406001307,-0.1303128278476255,0.05523432332522159,-0.08072029048883468,0.04642428756283784,0.05050985351073006,0.01909456917697176,-0.12221327400492814,-0.037829731385133694,-0.19068014502222225,0.06916295913138806,-0.004281330142736546,0.030556336371890973,0.07787686580237667,-0.019062499003291565,-0.07556979892475983,-0.0911130847130421,0.07181467106306887,0.06628102026653246,0.040156827115356834,-0.04256869113521007,-0.08361808089492877,0.10677965815288538,0.15694237726543317,0.06154347693369708,-0.09161840314304671,0.0886928793587819,-0.02662762095586464,-0.10819068422951983,0.11067033354642625,-0.06658514945078435,-0.060126732409791585,-0.0566492125514984,0.0064480778605432885,0.10536413375197427,0.06269150624642607,-0.014252758524673018,0.014779760210045213,-0.048482915700950174,-0.0787542660714387,0.049733856169218674,-0.03167623214450584,-0.07870862873221046,0.02200824150904287,-0.01777219992321526,0.04422049818578956,0.07324393734074387,-0.0440983594313125,-0.010692610642267751,-0.06572005128407014,-0.012710010744990957,-0.020665406379072406,-0.05165794400893341,-0.03765516079801233,-0.04452763742607715,0.009171751281091862,-0.12505298899124154,0.4859763428773375,-0.04686222962705597,-0.0750481647608272,-0.37446897674809265,0.1894549189213168,0.004227781587028953,0.024906855565789233,-0.01298094036249048,-0.0248635947415966,0.000798046989706025,0.00536271842493576,-0.0695910099951943,-0.013573860771005683,0.02662926538348726,0.015824582302882056,-0.02831768600522425,-0.04019518792538942,-0.011655059748014049,0.03765978094330652,-0.04227973693613395,0.02588829142671842,0.17818343657194982,0.15012493774272553,0.009068581717742918,0.0018304341645267847,0.010727107261820168,0.011385623470020215,0.16336405634362736,-0.006871245078963284,-0.016286916592824,-0.014385325011538422,0.011042761816764285,0.008413502085813535,0.005638626688202009,0.24629089163006576,-0.08165204542096759,-0.06990316208331464,0.008062707160807975,0.029730738365061432,0.04842913484835755,-0.18831908743890305,-0.02065344259135461,0.017031986308459045,-0.06327893537618082
blood_glucose_mean,0.09978246685416495,1.0,0.05520621029571863,0.0883522887436686,0.13227483261111528,0.02495973525034088,0.1096497916379773,0.02969645879310693,-0.00938306369061933,0.02375335905263162,-0.04732176608580393,0.02644088745078119,0.044798991714569,0.056279373924734116,-0.03021456435509932,0.0018595817696167828,-0.08343441984804567,0.0835387374356937,0.0662382101812471,-0.03299477490143761,0.055779799275300336,0.10180701382273231,-0.026943488054277532,-0.051000405409720666,0.10515329823114655,0.09421795015053218,0.028740110965548436,-0.002006476404262043,-0.03979055948236145,0.08302226562955524,0.0527883592641624,0.07504459798547765,-0.0657246022773877,0.07214360508573692,-0.08152104290103088,0.029888511975571175,-0.00115471943488436,0.0072758525423003255,-0.0813557686345799,0.05757828739051529,0.07553386364105272,0.06538020966863603,0.05923773460462469,0.12828434238062292,0.010923929720163683,0.06229512447711471,0.000375090735855491,0.05426628964827311,0.018068182629059154,-0.14047495691435624,0.00743917019997498,-0.0032773583038656277,0.05666292492867814,0.04411051215900703,-0.010571872711258883,0.05739721630261918,-0.1284251990650731,-0.0849668795192701,-0.07284821846045725,-0.09231715290750402,-0.07468922351032647,-0.07388823833044733,-0.06272272679604575,-0.08469141107381342,0.12758876329844104,0.02014671829655496,0.0581320565863098,-0.030133950951804128,0.11833595696577177,-0.011437451936933943,-0.061917541842100306,-0.01819960979588487,0.04172905659365247,0.09749044922283122,0.04431974954006133,0.1440866248239002,0.04197089404281535,0.03807517553534845,0.07083118135636873,-0.0037489250050486925,0.0057114216845212005,0.0019413569312564832,0.06377323166133092,0.04389202363056851,0.03835145864818318,0.08447615867834565,0.142560572246253,0.10333198889537923,0.03822163189831618,0.012542690271820967,0.00783047563306745,0.051053258859788446,0.04767877588299842,0.07236819907470551,0.0145567190540745,0.025144019309339467,0.022839727670160095,0.06239574755946048,0.17720479704631134,0.049147834390936736,0.10326545878798635,0.0273607099080275,-0.09645969245242049,-0.03926324505707471,-0.10657581327580502,-0.043976057489540914,-0.03265133067143246,-0.06525098421548448
resp_rate_mean,0.09790138703041129,0.05520621029571863,1.0,0.08247030406339872,0.054666055763748354,0.005711311257806269,0.06658146086155506,0.022122067933538655,-4.769518062019353e-05,0.031627343281748294,0.00829738406384193,0.017704694282744106,0.0568131738848424,0.0497046978572844,-0.021152569100971273,-0.008586158026126027,-0.03403353080550098,0.0511975705748034,0.0389113201399059,-0.05149502782544591,0.03726102138587341,0.03391636911730244,-0.013514721095249432,-0.010233323681207569,0.05694818703332771,0.07400803277863154,-0.006379455251093812,-0.020674380829908655,-0.0005418656884798352,0.05610676499081962,0.008014369521119023,0.023118895046801126,-0.027321365081421408,0.03278015987039642,-0.07102720495350319,0.017915311263651885,-0.021155973752863332,0.0014497189472636616,-0.08066122742118265,0.03333487368251087,0.031506534269605604,0.053845843700668715,0.029048432873159623,0.05220470677056292,0.002196439513223234,0.032853926047611184,-0.005054834290232591,0.017402782624639936,0.049374241101737874,-0.06967407186814303,-0.0006749679075012164,0.00384328634823787,0.048515943849828304,0.038508111077121675,-0.008738512823656341,0.042018837456085825,-0.03235849200161659,-0.06276693171124967,-0.04858478546628494,-0.04201802371335259,-0.038388670568034675,-0.06481824491190044,-0.025424859983796493,-0.06250264698839203,0.08159397113477296,0.011762070240662087,0.013163722294828512,-0.03713923785975329,0.05098582823511289,-0.00046392015954735324,-0.019159663834960438,-0.021419652407200656,0.020055636506764268,0.04294433357246443,0.0226899801401841,0.05433859323321036,-0.0006438650066987222,0.018900945027636746,0.028388089417398937,0.02449010167853992,0.01468241390837992,0.01131020980236007,0.03173893239690142,0.02532703725819825,0.024660286328247048,0.0519496009262733,0.10686980561361534,0.03978312022600345,0.022596833891010547,0.01968308459018638,0.009911627818043452,0.06246072296301546,0.043105000285071395,0.027335943325334018,0.01519636374295339,0.017333542714258604,-0.011264757665565086,0.03702204995952756,0.10060375195840203,0.025233656751855522,0.029397738730196372,0.007498848250804705,-0.004567720932120315,-0.04640774022271974,-0.0582510468478276,-0.025209351483208357,-0.03164857883756977,-0.02662063822289833
stress_mean,0.528536457862549,0.0883522887436686,0.08247030406339872,1.0,0.09211733248943897,0.12671045190056326,0.5027742772260712,0.12495033941693494,-0.12760242437189814,0.04188008822706226,-0.07944131385443748,0.04671366886784419,0.0348569357836857,0.02415797496177628,-0.07510620879010232,-0.04176905815793537,-0.12119440000910824,0.05813613247783185,-0.00789481483704759,-0.05763173879029133,0.060155138965394206,0.0020333926228144517,-0.05239373335254299,-0.08189462057658783,0.05402472859267147,0.06035018041295344,0.004012578872562447,-0.04496266448184949,-0.05113805770536028,0.07331751749534564,0.050923261595812216,0.039704294815486034,-0.06636376326423708,0.0661464829285441,-0.04419748952401863,-0.061523766465413895,-0.004097370629956141,-0.059419311737304616,-0.05401685702240201,-0.03826012777819412,0.019483424174798696,0.0807370219970206,0.0358593175131778,-0.017350185062753255,-0.005489406423261516,-0.035882925141998784,-0.0631051408374135,0.03711290529450301,-0.029311344997839484,-0.08676296710917362,0.0025491167628017915,-0.02075159280640065,0.046688975892355544,0.03943833365705426,-0.06442934314354305,-0.004525712210889072,-0.06613205437286158,-0.038488711140258244,0.001940840092276343,-0.05767521419527689,-0.034501972508851876,-0.04192360851233551,0.01029997690027937,-0.09619406516949067,0.37242759482522053,-0.039859687364157736,-0.04433587329948939,-0.30360236532180296,0.15734810515931505,-0.017077605678085042,-0.010074623692726667,-0.05146830098538939,-0.01899936010518508,-0.00674911969265239,0.03734813533554576,-0.03116447790099843,-0.02812546120957417,0.02759804344994105,0.026247902571811678,0.003203706147307641,-0.041064725439872246,-0.03195878216293588,0.01945936995237572,-0.039074991846774154,0.041728643412531394,0.13417088514953612,0.12286664161306018,0.010138985370738892,-0.04113003261974894,0.0001702517582595694,0.024830099160773857,0.1279800991102774,0.00459880951392355,-0.004426356127582614,-0.025017684321426568,0.002548051279491174,0.0010921436655892324,0.025491776624650433,0.20821808618648158,-0.06968592664840921,-0.040484880021677286,0.0430213460561574,-0.030302451493696394,0.06428515882717016,-0.1536957254459854,-0.03999037651825774,0.003178213632613521,-0.040717919723356005
blood_glucose_std,0.1226131994534587,0.13227483261111528,0.054666055763748354,0.09211733248943897,1.0,0.024134258929485192,0.0981572488225297,0.03202484664371602,-0.04210888549520412,0.027976158097087006,-0.034924316918989125,0.033676701714586484,0.07693372828281898,0.06628447157930133,-0.027407912202476153,-0.024357725332729733,-0.07696476738795617,0.09593968800707818,0.06689204767503769,-0.06188322340700975,0.049003901194607534,0.11601873876651826,-0.0009390336003681194,-0.016256999074205983,0.09349945585681547,0.12669272390559022,0.025108725765701223,-0.016375548062816762,0.003928918991553797,0.10704023493279356,0.013405917809700124,0.09094401162345643,-0.07485782513615452,0.08117570473395674,-0.08459494301704118,0.018626096735272452,-0.016124313401337267,0.02611914032895599,-0.07117328164792003,0.05313082161273747,0.08310708400895121,0.06327466909462814,0.03775214314108956,0.12431391129962525,0.02891821541847738,0.07871257514984603,0.01151927333206361,0.07602450496541913,0.040925096571320055,-0.1536318063057063,0.04555634783043805,0.0057585497040945136,0.0783473399577484,0.07214299801967151,-0.02241499486930519,0.04755814014746229,-0.1656569340105458,-0.11650212773661961,-0.09589174495083036,-0.11188495646958298,-0.09777633108555095,-0.11601316809175305,-0.08679546703041419,-0.10803758281007203,0.10637172361672095,0.053379810437653705,0.052578537676888075,-0.022740116147949272,0.10872045034279637,-0.04229070733674409,-0.05675555032864774,-0.019664750073944928,0.049777240165137626,0.12326633198919035,0.05698668839526325,0.13345916934063248,0.04573327796406316,0.02153353301705604,0.05865501002222266,0.035384730302505,-0.03426114105876221,0.04263741537931559,0.09197207651994956,0.07122686322039731,0.08186630868186752,0.09703350121990799,0.16925791938105772,0.11561938508813399,0.04964228271331909,0.041268289737850766,-0.00020695825359098207,0.09262800416060782,0.05131751292178952,0.06363369883214606,0.05770964872209812,-0.004849385995624347,0.054307521717051756,0.05249901841507681,0.17050190424365314,0.06570007519470973,0.08998346701586642,0.00875724433536121,-0.059354866791534386,-0.07250881691115663,-0.13777122701924358,-0.042095807598771344,-0.013379369642199684,-0.0700727203796285
total_steps,0.18057683991100532,0.02495973525034088,0.005711311257806269,0.12671045190056326,0.024134258929485192,1.0,0.1647313937858237,0.11267095645639404,-0.04417315622166597,0.011346450756984386,0.01383646361785427,0.01682093720711931,0.006374554812891737,0.0019333274639235518,0.049021215918738786,-0.059533661206206095,-0.09268447624978553,0.030552249245171748,0.005575857299499422,0.06040929117019768,0.0074862707221185895,0.008112255197196374,-0.01340812802345127,-0.017335679763569933,-0.009455451979495813,-0.009464346285614747,0.01228370703765168,-0.0059487169751703,-0.04494649160325565,0.047609675819564046,0.1209831363913387,0.030136548086734542,0.02823599333036425,0.061130477348171265,0.04629570423695495,-0.033894435401181214,0.10258926070032681,-0.05090574721272567,0.04551750088948889,0.029909128289904083,-0.01027599288748826,0.014169564124879316,0.03022573416396416,-0.014311775323805174,0.004944571197482924,0.03775686344270876,0.020707592348749148,0.024831276027433166,0.01040853321293585,-0.0339668679616132,0.017340324352172653,0.006861026926038245,0.04245890284545329,0.02621683864773118,0.05374696123453204,0.0354903776346383,0.007197763997668038,-0.02183268332753717,-0.009445888103053076,-0.002024355163962727,-0.04666155544836622,-0.008699894457856678,-0.07020892606890679,-0.061932625668552274,0.10504872838941762,0.007452974913269407,-0.03503203330306191,-0.09687131533415216,0.04592285513073394,0.008056837301114344,0.026874487735168578,-0.004801430277416907,-0.03413226667848789,-0.0615620400560927,-0.014530194230208626,-0.10545932049256522,-0.03330794553885117,0.009293384513554895,-0.03165171156011406,-0.011939091341933435,0.0061650825732817,-0.026451832470854635,-0.010161909663199555,-0.039575127381240326,-0.00848568226897609,0.032133461961268775,-0.009026128326307599,-0.01828827753978285,0.02214226666253455,-0.013233295547191035,-0.0030768795280633537,0.01214526694158963,-0.016658017174138787,-0.029543244088008964,0.01752742741410114,-0.00792548453988973,0.034509576768956586,-0.02089916286351967,0.010431160115925311,-0.07031252030446046,-0.04681251093940831,0.006066337865537866,-0.1143122717132405,0.13790090528390758,-0.03444280474215632,-0.03196709773110701,0.007855316099868583,-0.00813397069685765
resting_heart_rate,0.671902639369638,0.1096497916379773,0.06658146086155506,0.5027742772260712,0.0981572488225297,0.1647313937858237,1.0,0.14183885076218528,-0.1514123008498054,0.065336384042057,-0.08368202238516925,0.04581713113099374,0.050593399830012487,0.0192077312700864,-0.12648044675593784,-0.004344809310248279,-0.16958389100595075,0.06373883663407753,-0.024576850279003682,0.014077144644368728,0.0857033064187362,-0.023832377113526,-0.06757009805783766,-0.08595798953784412,0.07462233918788336,0.05609599251824402,0.05096943281482046,-0.02683005145123282,-0.07714602664658052,0.11089605260454229,0.12520531615067704,0.0685656652834942,-0.09533051192353525,0.06974524274893694,-0.036407300510247396,-0.07972692683819023,0.08104302840019782,-0.06684675294238879,-0.07102445904214157,-0.047790639829051317,0.01863704002539036,0.10986025050692562,0.04618081543138668,-0.025869063889460555,0.02998551685542777,-0.03431983922787355,-0.08972784557300831,0.04357587314400533,-0.025837294596112174,-0.07783822121931355,0.010646891658280642,-0.008267617767578962,0.04493784492254786,0.04430346905630118,-0.07079868549829899,-0.028732427479034005,-0.045800733270293666,-0.0001551422398238488,0.00757278433056664,-0.05245770920323113,-0.058842373542300624,-0.05342786912374676,0.03405891375861333,-0.12240546690113309,0.4952442206236521,-0.06399266940938404,-0.07562374954659454,-0.3786635703528429,0.1995721394484942,0.0030719201829973084,-0.0020068880852588274,-0.04435781565755084,-0.02480946121856271,0.004051746641410847,0.01000943911031965,-0.048850378939149036,-0.01701399676365475,0.03423787129175706,0.012654486922680584,-0.0011216403026997094,-0.03452068603435395,-0.004339439643820758,0.03981388681606787,-0.05468473292486191,0.03399242665315259,0.17104670986432857,0.15496397359768826,0.009003955165260752,-0.021903049161435432,0.0016511335365198192,0.005821533625013251,0.1775309268856277,-0.025966101202939722,-0.005952830853646469,-0.02138479360122352,0.005807888876084392,0.0045677550596588705,0.005417618778115656,0.2376522388141187,-0.0765025482330183,-0.06213926264212742,0.045413218656498645,0.04644766274700954,0.02038877140623814,-0.17170772390293715,-0.005103331912613761,0.02704247582861855,-0.04263611936303687
total_kcal,0.1763184406001307,0.02969645879310693,0.022122067933538655,0.12495033941693494,0.03202484664371602,0.11267095645639404,0.14183885076218528,1.0,-0.007639518193450868,0.011706132733743019,0.01845697380640389,0.013100827381389214,0.014271056444339245,0.00898153569164128,0.02433967956359307,-0.04587954383483915,-0.07294239409792705,0.025924579110272218,0.012366191290122374,0.05695983965212743,0.014168634020167579,-0.021318323592593166,-0.00952248325412952,0.003230018050888981,0.007728795542858647,0.013992769323298954,0.04103248045148097,-0.010502584749035494,-0.0495169370530841,0.014575841414203889,0.10700947685696112,-0.020132776093539993,0.020568194012160895,0.012921965492464178,0.04338743549961694,-0.04864980363786741,0.08087313438768062,-0.06688895280058156,0.04618597327343087,0.031674147525618465,0.014923912939929052,0.048914009868676965,0.023529871428171513,-0.007123675859127325,0.02477297527888577,0.010055745129908866,0.033017249283322066,0.035408991973265455,0.029442252285190592,-0.022031883097605155,0.006609882542107573,0.025263997404346168,0.030261585017436154,-0.0032470869733709335,0.021865825148611216,0.03328822312382536,-0.009615416083833137,-0.007865924318967899,-0.007353816153891036,-0.03994243943395792,-0.01976794340048446,0.011523203451542015,-0.04035044273987362,-0.025091966769706202,0.1145012861149622,-0.03691517234772762,-0.029566366157478197,-0.09213503050473076,0.02386771787546894,0.0021347509009168072,0.027004004045308116,0.0013361370374873156,-0.024914440668042215,-0.04616061532179086,-0.029817408660325936,-0.08532212199533333,-0.017480647019466736,0.014433073247228702,-0.0217952600462992,-0.0003671609355913649,0.011863213466884525,-0.014335121998097305,-0.02074315512822246,-0.032144599693746244,-0.01445943594009553,0.007632025547542876,0.021088441805954112,-0.029864128238563107,-0.0046979598894978155,0.0030304233497904097,0.008848413085784119,-0.0007116945888350099,-0.02159497406299069,-0.05176592532795877,-0.0042418939723774555,0.010570877780410028,-0.002320120257525364,-0.03718345024971673,0.038274179972641036,-0.08438421197029476,-0.046117112802666664,0.0026166988162744133,-0.040200028097575446,0.08049223693498866,-0.02297355150994614,-0.009811502328721564,0.024193426861744277,-0.028794370790721
sleep_light_hrs,-0.1303128278476255,-0.00938306369061933,-4.769518062019353e-05,-0.12760242437189814,-0.04210888549520412,-0.04417315622166597,-0.1514123008498054,-0.007639518193450868,1.0,0.0010440804783760282,0.025328609684526604,-0.010311300178208012,0.0003589616598038113,-0.0014858729498014713,0.030574327027805426,0.004490851282568582,0.006742658153896254,-0.005349340178570892,-0.0018149661749287463,0.01896387756241068,-0.011851211781885477,0.01986553235809135,0.02632391040258425,0.03108017039470918,-0.01777005642124848,-0.023888977632298525,-0.0017895289251550625,-0.005594100438438341,0.011278644599798025,-0.02596579091100011,0.009723698239476726,-0.023184943547893837,0.01908458149366201,-0.019005984148962294,0.016082970727521538,0.03026512384132911,0.00969340704136569,-0.004688638944993803,0.02352312076395255,0.016391609528084262,-0.01049854778886338,-0.004580312602504232,0.005451003976542134,0.011055145966134671,-0.009326439081854054,0.014780536959103394,0.042529213156855324,0.013900606778176816,0.028399429619190484,0.03231031673376181,0.007767200530518259,0.013325166054082658,-0.006054013496239869,0.007916341070897918,0.009514174107956424,0.019874116506912985,0.011555343471902835,0.02644970051599095,-0.014729060556024189,-0.005479263598397631,0.02485467479010558,0.002126638947654371,0.00804571802830241,0.016454310170586902,-0.08973441321376698,0.002697681290525995,0.021199662446930067,0.08996627238414824,-0.03165167291890276,0.01060279883644406,0.01785716311603227,0.009204967882258204,0.01529642496492503,0.001241522610290019,-5.4170784072699214e-05,-0.03682799252106909,0.008862307560667788,-0.015104345703258136,-0.0005287171765867662,0.0007650013016582771,0.031065337654449854,-0.0022821330710824828,-0.016993188172120605,-0.012069302467169495,-0.02027584813409179,-0.04914968483852364,-0.04190037008309684,-0.00887769710627772,0.05424944530984985,-0.002248987775591994,-0.001670944444926438,-0.05399449218574025,0.0166211362875605,0.005405182658240859,0.004548391870683652,0.0022604535751735433,-0.011799683894581177,-0.02642792627606072,-0.07282253258299336,0.02275707363545948,0.006952767612405561,-0.00787535061083771,0.009992167592252715,-0.03048292393712627,0.02842796160781741,0.0014357559307501477,0.013724849652064202,-0.012916733059364537
sleep_deep_hrs,0.05523432332522159,0.02375335905263162,0.031627343281748294,0.04188008822706226,0.027976158097087006,0.011346450756984386,0.065336384042057,0.011706132733743019,0.0010440804783760282,1.0,-0.008247683045658573,-0.012700444863688534,0.014891299125359591,0.027052423118016047,-0.028073530615218757,-0.0027553863165210046,0.0034680354780594045,0.03885602707310723,0.032020540508592495,-0.0091163690945099,0.022678136375373952,0.009989348534830812,0.031199527936859223,0.010731942592643925,-0.00049291183299419,0.030277379027062946,-0.0001317993381038875,-0.018007870166076894,0.003979640601207791,0.044930186404737935,-0.0113452536577796,0.020694626490624278,-0.020236026204975947,0.003901772150227509,-0.016967687503864785,0.008404378168309476,0.002343550019884551,0.0012556732554603065,-0.041031929692949005,0.04024535264018286,-0.0024234154367100726,0.034471251929210724,-0.014916075644718712,0.00558070641481758,0.006779871344687852,-0.0032614132283872127,-0.012683831558161565,0.0089713101230445,-0.014658971353997446,-0.019117467555001356,0.012673266214950274,0.012021807564602072,0.008908825497684783,0.02693314798846153,0.01503352846670639,0.022450391031186706,-0.02582485042787353,-0.014164644791625037,-0.009673318048879874,-0.034686234289711265,-0.019431823428553718,0.010342302951304628,0.011993694622639831,-0.0219734738137911,0.03841085031909686,0.021768309968337667,0.02937119098792436,-0.022770650285802843,0.0272881692822459,-0.01159152168032692,-0.007269734460271141,-0.0011341015055097296,0.0022392461166926385,0.02786925406089384,0.012066020514828248,0.00872759849882328,0.0037737063807802467,-0.01855760626347209,-0.011923049315799029,-0.00771888250669691,-0.008904721181807476,-0.010169259156092694,0.025245234274525474,-0.01062223781454403,0.026098647739251003,0.0016297354606781566,0.022269090374808682,0.010019472744822615,0.0161600292342601,-0.013675213435234765,-0.007706933394302522,0.024838289701161458,0.0176725443166007,0.006784038965411941,0.022964587800921542,0.0020178732844758967,-0.006219718080670818,0.006408728609138979,0.03807696725191818,0.000724188050531556,0.05898868324498401,0.02394329255318131,-0.041766770199519535,-0.04427798160931931,-0.018192626333338804,-0.0036939314736944224,-0.01383026193777743,0.002580386553984742
