Logging
iteration 0 | D LOSS = 1.4131 | G LOSS = -0.1926 | AVG R =0.5259 |  
iteration 50 | D LOSS = 1.1739 | G LOSS = -0.3320 | AVG R =0.3712 |  
iteration 100 | D LOSS = 1.1880 | G LOSS = -0.5880 | AVG R =0.3927 |  
iteration 150 | D LOSS = 1.2145 | G LOSS = -1.2673 | AVG R =0.4146 |  
iteration 200 | D LOSS = 1.2430 | G LOSS = -2.1177 | AVG R =0.4292 |  
iteration 250 | D LOSS = 1.2847 | G LOSS = -4.4171 | AVG R =0.4557 |  
iteration 300 | D LOSS = 1.3282 | G LOSS = -6.8398 | AVG R =0.4739 |  
iteration 350 | D LOSS = 1.3552 | G LOSS = -8.7063 | AVG R =0.4881 |  
iteration 400 | D LOSS = 1.3674 | G LOSS = -8.4252 | AVG R =0.4907 |  
iteration 450 | D LOSS = 1.3705 | G LOSS = -4.9181 | AVG R =0.4909 |  
iteration 500 | D LOSS = 1.3682 | G LOSS = -3.0580 | AVG R =0.4918 |  
iteration 550 | D LOSS = 1.3659 | G LOSS = -1.7604 | AVG R =0.4894 |  
iteration 600 | D LOSS = 1.3633 | G LOSS = -0.6299 | AVG R =0.4878 |  
iteration 650 | D LOSS = 1.3606 | G LOSS = 0.4610 | AVG R =0.4874 |  
iteration 700 | D LOSS = 1.3593 | G LOSS = 1.2278 | AVG R =0.4858 |  
iteration 750 | D LOSS = 1.3566 | G LOSS = -0.8851 | AVG R =0.4850 |  
iteration 800 | D LOSS = 1.3536 | G LOSS = -0.9132 | AVG R =0.4835 |  
iteration 850 | D LOSS = 1.3530 | G LOSS = 0.8368 | AVG R =0.4828 |  
iteration 900 | D LOSS = 1.3505 | G LOSS = 0.1850 | AVG R =0.4819 |  
iteration 950 | D LOSS = 1.3499 | G LOSS = -0.4076 | AVG R =0.4807 |  
iteration 1000 | D LOSS = 1.3479 | G LOSS = 0.1160 | AVG R =0.4800 |  
iteration 1050 | D LOSS = 1.3466 | G LOSS = 0.3001 | AVG R =0.4801 |  
iteration 1100 | D LOSS = 1.3476 | G LOSS = 0.1866 | AVG R =0.4791 |  
iteration 1150 | D LOSS = 1.3450 | G LOSS = 1.5364 | AVG R =0.4801 |  
iteration 1200 | D LOSS = 1.3450 | G LOSS = 1.2307 | AVG R =0.4793 |  
iteration 1250 | D LOSS = 1.3447 | G LOSS = -0.5619 | AVG R =0.4791 |  
iteration 1300 | D LOSS = 1.3456 | G LOSS = -0.2195 | AVG R =0.4798 |  
iteration 1350 | D LOSS = 1.3444 | G LOSS = 0.3652 | AVG R =0.4795 |  
iteration 1400 | D LOSS = 1.3457 | G LOSS = -0.6633 | AVG R =0.4789 |  
iteration 1450 | D LOSS = 1.3459 | G LOSS = 0.2049 | AVG R =0.4792 |  
iteration 1500 | D LOSS = 1.3456 | G LOSS = 0.2401 | AVG R =0.4793 |  
iteration 1550 | D LOSS = 1.3455 | G LOSS = 1.2332 | AVG R =0.4792 |  
iteration 1600 | D LOSS = 1.3464 | G LOSS = 0.5500 | AVG R =0.4798 |  
iteration 1650 | D LOSS = 1.3463 | G LOSS = -0.0747 | AVG R =0.4797 |  
iteration 1700 | D LOSS = 1.3463 | G LOSS = -0.7340 | AVG R =0.4803 |  
iteration 1750 | D LOSS = 1.3469 | G LOSS = 0.3990 | AVG R =0.4792 |  
iteration 1800 | D LOSS = 1.3477 | G LOSS = 0.6857 | AVG R =0.4801 |  
iteration 1850 | D LOSS = 1.3481 | G LOSS = -0.1776 | AVG R =0.4809 |  
iteration 1900 | D LOSS = 1.3485 | G LOSS = 0.1689 | AVG R =0.4808 |  
iteration 1950 | D LOSS = 1.3480 | G LOSS = -0.2136 | AVG R =0.4813 |  
iteration 2000 | D LOSS = 1.3477 | G LOSS = 0.2590 | AVG R =0.4808 |  
iteration 2050 | D LOSS = 1.3485 | G LOSS = 0.3934 | AVG R =0.4809 |  
iteration 2100 | D LOSS = 1.3492 | G LOSS = -0.2001 | AVG R =0.4813 |  
iteration 2150 | D LOSS = 1.3483 | G LOSS = -0.2823 | AVG R =0.4811 |  
iteration 2200 | D LOSS = 1.3487 | G LOSS = 0.4032 | AVG R =0.4811 |  
iteration 2250 | D LOSS = 1.3489 | G LOSS = 0.6247 | AVG R =0.4810 |  
iteration 2300 | D LOSS = 1.3494 | G LOSS = -0.1832 | AVG R =0.4815 |  
iteration 2350 | D LOSS = 1.3497 | G LOSS = -0.5178 | AVG R =0.4818 |  
iteration 2400 | D LOSS = 1.3502 | G LOSS = -1.5272 | AVG R =0.4820 |  
iteration 2450 | D LOSS = 1.3498 | G LOSS = 0.4360 | AVG R =0.4818 |  
iteration 2500 | D LOSS = 1.3504 | G LOSS = -0.7510 | AVG R =0.4824 |  
iteration 2550 | D LOSS = 1.3505 | G LOSS = -0.1321 | AVG R =0.4827 |  
iteration 2600 | D LOSS = 1.3509 | G LOSS = 0.6759 | AVG R =0.4824 |  
iteration 2650 | D LOSS = 1.3511 | G LOSS = 0.4994 | AVG R =0.4834 |  
iteration 2700 | D LOSS = 1.3516 | G LOSS = -1.0275 | AVG R =0.4829 |  
iteration 2750 | D LOSS = 1.3526 | G LOSS = -0.6205 | AVG R =0.4826 |  
iteration 2800 | D LOSS = 1.3524 | G LOSS = 0.8385 | AVG R =0.4831 |  
iteration 2850 | D LOSS = 1.3517 | G LOSS = 0.8625 | AVG R =0.4832 |  
iteration 2900 | D LOSS = 1.3525 | G LOSS = 0.7037 | AVG R =0.4832 |  
iteration 2950 | D LOSS = 1.3539 | G LOSS = 1.2177 | AVG R =0.4834 |  
iteration 3000 | D LOSS = 1.3536 | G LOSS = 0.7869 | AVG R =0.4837 |  
iteration 3050 | D LOSS = 1.3535 | G LOSS = 1.0500 | AVG R =0.4841 |  
iteration 3100 | D LOSS = 1.3556 | G LOSS = 0.2950 | AVG R =0.4841 |  
iteration 3150 | D LOSS = 1.3548 | G LOSS = 1.0365 | AVG R =0.4839 |  
iteration 3200 | D LOSS = 1.3541 | G LOSS = 1.7671 | AVG R =0.4840 |  
iteration 3250 | D LOSS = 1.3548 | G LOSS = -0.1779 | AVG R =0.4844 |  
iteration 3300 | D LOSS = 1.3552 | G LOSS = -0.9259 | AVG R =0.4841 |  
iteration 3350 | D LOSS = 1.3550 | G LOSS = 0.3911 | AVG R =0.4847 |  
