α=1.00%, θ*=0.95, TPR=1.0000, FPR=0.0000, PPV=1.0000, Advantage=1.0000
α=2.00%, θ*=1.15, TPR=1.0000, FPR=0.0161, PPV=0.9842, Advantage=0.9839
α=3.00%, θ*=1.20, TPR=1.0000, FPR=0.0299, PPV=0.9710, Advantage=0.9701
α=4.00%, θ*=1.25, TPR=1.0000, FPR=0.0368, PPV=0.9645, Advantage=0.9632
α=5.00%, θ*=1.25, TPR=1.0000, FPR=0.0368, PPV=0.9645, Advantage=0.9632
α=6.00%, θ*=1.30, TPR=1.0000, FPR=0.0552, PPV=0.9477, Advantage=0.9448
α=7.00%, θ*=1.30, TPR=1.0000, FPR=0.0552, PPV=0.9477, Advantage=0.9448
α=8.00%, θ*=1.30, TPR=1.0000, FPR=0.0552, PPV=0.9477, Advantage=0.9448
α=9.00%, θ*=1.30, TPR=1.0000, FPR=0.0552, PPV=0.9477, Advantage=0.9448
α=10.00%, θ*=1.35, TPR=1.0000, FPR=0.0920, PPV=0.9158, Advantage=0.9080
α=11.00%, θ*=1.35, TPR=1.0000, FPR=0.0920, PPV=0.9158, Advantage=0.9080
α=12.00%, θ*=1.35, TPR=1.0000, FPR=0.0920, PPV=0.9158, Advantage=0.9080
α=13.00%, θ*=1.35, TPR=1.0000, FPR=0.0920, PPV=0.9158, Advantage=0.9080
α=14.00%, θ*=1.40, TPR=1.0000, FPR=0.1310, PPV=0.8841, Advantage=0.8690
α=15.00%, θ*=1.40, TPR=1.0000, FPR=0.1310, PPV=0.8841, Advantage=0.8690
α=16.00%, θ*=1.45, TPR=1.0000, FPR=0.1563, PPV=0.8648, Advantage=0.8437
α=17.00%, θ*=1.45, TPR=1.0000, FPR=0.1563, PPV=0.8648, Advantage=0.8437
α=18.00%, θ*=1.45, TPR=1.0000, FPR=0.1563, PPV=0.8648, Advantage=0.8437
α=19.00%, θ*=1.45, TPR=1.0000, FPR=0.1563, PPV=0.8648, Advantage=0.8437
α=20.00%, θ*=1.50, TPR=1.0000, FPR=0.1908, PPV=0.8398, Advantage=0.8092
α=21.00%, θ*=1.50, TPR=1.0000, FPR=0.1908, PPV=0.8398, Advantage=0.8092
α=22.00%, θ*=1.50, TPR=1.0000, FPR=0.1908, PPV=0.8398, Advantage=0.8092
α=23.00%, θ*=1.55, TPR=1.0000, FPR=0.2253, PPV=0.8161, Advantage=0.7747
α=24.00%, θ*=1.55, TPR=1.0000, FPR=0.2253, PPV=0.8161, Advantage=0.7747
α=25.00%, θ*=1.55, TPR=1.0000, FPR=0.2253, PPV=0.8161, Advantage=0.7747
α=26.00%, θ*=1.55, TPR=1.0000, FPR=0.2253, PPV=0.8161, Advantage=0.7747
