feature,avg_drop_acc
QTc,0.00965517241379311
High blood pressure,0.008735632183908049
blood_glucose_mean,0.0073563218390804595
LDL Cholesterol Calculation (mg/dL)_value (mg/dL),0.00689655172413795
Urinary problems,0.006436781609195414
BORDERLINE,0.006436781609195408
blood_glucose_std,0.006436781609195402
Calcium (mg/dL)_value (mg/dL),0.005977011494252884
stress_mean,0.0045977011494252994
repetition_time_value,0.004597701149425296
Chloride (mEq/L)_value (mEq/L),0.004137931034482771
sleep_deep_hrs,0.0041379310344827535
Total Cholesterol (mg/dL)_value (mg/dL),0.003678160919540247
Glaucoma (1+),0.003678160919540243
act_walking_hrs,0.003678160919540239
moca_orientation_time_value,0.003678160919540234
Glucose (mg/dL)_value (mg/dL),0.003678160919540226
resp_rate_mean,0.0032183908045976977
memory_trial2_value,0.002758620689655174
sleep_light_hrs,0.002758620689655174
heart_rate_mean,0.002298850574712659
resting_heart_rate,0.002298850574712659
Osteoporosis,0.0022988505747126454
Circulation problems,0.002298850574712641
cube_visuospatial_executive_time_value,0.002298850574712641
Bilirubin Total (mg/dL)_value (mg/dL),0.001839080459770126
PR,0.001839080459770113
Alkaline Phosphatase (IU/L)_value (IU/L),0.001839080459770113
subtraction_time_value,0.001839080459770113
INSULIN (ng/mL)_value (ng/mL),0.001379310344827598
ALT (IU/L)_value (IU/L),0.001379310344827598
Cancer,0.0013793103448275978
AST (IU/L)_value (IU/L),0.001379310344827593
BUN/Creatinine ratio_value,0.001379310344827589
Cataracts (1+ eyes),0.001379310344827589
QRS,0.0013793103448275848
T,0.0013793103448275846
digitspan_time_value,0.0013793103448275841
NORMAL,0.0009195402298850655
"Globulin, Total (g/dL)_value (g/dL)",0.0009195402298850651
Marijuana user,0.0009195402298850609
naming_time_value,0.0009195402298850565
memory_trial1_time_value,0.0009195402298850565
Other neurological conditions,0.0009195402298850562
Obesity,0.00045977011494254607
A/G Ratio_value,0.00045977011494254124
"Protein, Total (g/dL)_value (g/dL)",0.00045977011494253707
lettera_time_value,0.0004597701149425326
sleep_awake_hrs,0.00045977011494252823
subtraction_value,0.00045977011494252823
Creatinine (mg/dL)_value (md/dL),0.000459770114942528
trails_visuospatial_executive_time_value,0.0
Urine Albumin (mg/dL)_value (mg/DL),0.0
act_running_hrs,0.0
Retinal vascular occlusion,0.0
Triglycerides (mg/dL)_value (mg/dL),0.0
Sodium (mEq/L)_value (mEq/L),0.0
Parkinson's disease,0.0
Other heart issues (pacemaker),0.0
Multiple sclerosis,0.0
act_generic_hrs,0.0
delayed_recall_with_no_clue_time_value,-1.7347234759768072e-19
"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",-1.7347234759768072e-19
Albumin (g/dL)_value (g/dL),-3.4694469519536144e-19
Heart attack,-0.00045977011494252823
moca_orientation_value,-0.00045977011494252823
moca_abstraction_time_value,-0.00045977011494252823
CRP - HS (mg/L)_value (mg/L),-0.0004597701149425284
act_sedentary_hrs,-0.0009195402298850476
P,-0.0009195402298850562
Mild cognitive impairmen,-0.0009195402298850565
lettera_value,-0.0013793103448275802
total_steps,-0.0013793103448275844
naming_value,-0.0013793103448275846
repetition_value,-0.0013793103448275846
clock_visuospatial_executive_time_value,-0.0013793103448275846
HDL Cholesterol (mg/dL)_value (mg/dL),-0.0013793103448275848
Rate,-0.001839080459770099
sleep_rem_hrs,-0.001839080459770113
Low blood pressure,-0.001839080459770113
Digestive problems,-0.001839080459770113
BUN (mg/dL)_value (mg/dL),-0.002298850574712641
trails_visuospatial_executive_value,-0.0027586206896551557
moca_abstraction_value,-0.0032183908045976886
moca_total_score_value,-0.003218390804597697
C-Peptide (ng/mL)_value (ng/mL),-0.003678160919540226
memory_trial2_time_value,-0.003678160919540226
total_kcal,-0.003678160919540226
Potassium (mEq/L)_value (mEq/L),-0.0041379310344827535
Diabetic retinopathy (1+),-0.004597701149425282
Hearing impairment,-0.0045977011494252856
Kidney problems,-0.00597701149425287
Chronic pullmonary problems,-0.006436781609195394
fluency_language_value,-0.006896551724137922
Urine Creatinine (mg/dL)_value (mg/DL),-0.007356321839080446
Age-related macular degeneration,-0.007356321839080452
memory_trial1_value,-0.009195402298850564
Arthritis,-0.010114942528735616
QRSD,-0.011034482758620682
ABNORMAL,-0.011494252873563208
QT,-0.011494252873563213
Stroke,-0.011954022988505727
Dry eye (1+),-0.013333333333333336
High blood cholesterol,-0.013793103448275857
OTHERWISE NORMAL,-0.01563218390804595
cube_visuospatial_executive_value,-0.015632183908045962
moca_combined_mis_score_value,-0.019310344827586184
