Logging
iteration 0 | D LOSS = 1.3828 | G LOSS = 0.7098 | mean_pen: 0.0176 |  
iteration 50 | D LOSS = 1.1636 | G LOSS = 1.0156 | mean_pen: 0.0159 |  
iteration 100 | D LOSS = 1.1960 | G LOSS = 0.9337 | mean_pen: 0.0127 |  
iteration 150 | D LOSS = 1.2240 | G LOSS = 0.8819 | mean_pen: 0.0086 |  
iteration 200 | D LOSS = 1.2460 | G LOSS = 0.8504 | mean_pen: 0.0045 |  
iteration 250 | D LOSS = 1.2623 | G LOSS = 0.8299 | mean_pen: 0.0020 |  
iteration 300 | D LOSS = 1.2648 | G LOSS = 0.8246 | mean_pen: 0.0008 |  
iteration 350 | D LOSS = 1.2639 | G LOSS = 0.8271 | mean_pen: 0.0004 |  
iteration 400 | D LOSS = 1.2617 | G LOSS = 0.8283 | mean_pen: 0.0002 |  
iteration 450 | D LOSS = 1.2630 | G LOSS = 0.8246 | mean_pen: 0.0001 |  
iteration 500 | D LOSS = 1.2605 | G LOSS = 0.8303 | mean_pen: 0.0001 |  
iteration 550 | D LOSS = 1.2579 | G LOSS = 0.8324 | mean_pen: 0.0001 |  
iteration 600 | D LOSS = 1.2577 | G LOSS = 0.8321 | mean_pen: 0.0001 |  
iteration 650 | D LOSS = 1.2506 | G LOSS = 0.8379 | mean_pen: 0.0001 |  
iteration 700 | D LOSS = 1.2518 | G LOSS = 0.8441 | mean_pen: 0.0001 |  
iteration 750 | D LOSS = 1.2419 | G LOSS = 0.8448 | mean_pen: 0.0000 |  
iteration 800 | D LOSS = 1.2333 | G LOSS = 0.8607 | mean_pen: 0.0000 |  
iteration 850 | D LOSS = 1.2322 | G LOSS = 0.8625 | mean_pen: 0.0000 |  
iteration 900 | D LOSS = 1.2237 | G LOSS = 0.8660 | mean_pen: 0.0000 |  
iteration 950 | D LOSS = 1.2201 | G LOSS = 0.8754 | mean_pen: 0.0000 |  
iteration 1000 | D LOSS = 1.2161 | G LOSS = 0.8838 | mean_pen: 0.0000 |  
iteration 1050 | D LOSS = 1.2150 | G LOSS = 0.8836 | mean_pen: 0.0000 |  
iteration 1100 | D LOSS = 1.2045 | G LOSS = 0.8885 | mean_pen: 0.0000 |  
iteration 1150 | D LOSS = 1.2092 | G LOSS = 0.8923 | mean_pen: 0.0000 |  
iteration 1200 | D LOSS = 1.2027 | G LOSS = 0.9004 | mean_pen: 0.0000 |  
iteration 1250 | D LOSS = 1.2019 | G LOSS = 0.8957 | mean_pen: 0.0000 |  
iteration 1300 | D LOSS = 1.2041 | G LOSS = 0.8979 | mean_pen: 0.0000 |  
iteration 1350 | D LOSS = 1.1880 | G LOSS = 0.9029 | mean_pen: 0.0000 |  
iteration 1400 | D LOSS = 1.1942 | G LOSS = 0.9048 | mean_pen: 0.0000 |  
iteration 1450 | D LOSS = 1.1963 | G LOSS = 0.9050 | mean_pen: 0.0000 |  
iteration 1500 | D LOSS = 1.1921 | G LOSS = 0.9006 | mean_pen: 0.0000 |  
iteration 1550 | D LOSS = 1.1958 | G LOSS = 0.9060 | mean_pen: 0.0000 |  
iteration 1600 | D LOSS = 1.2019 | G LOSS = 0.9057 | mean_pen: 0.0000 |  
iteration 1650 | D LOSS = 1.1898 | G LOSS = 0.9064 | mean_pen: 0.0000 |  
iteration 1700 | D LOSS = 1.1960 | G LOSS = 0.9053 | mean_pen: 0.0000 |  
iteration 1750 | D LOSS = 1.1924 | G LOSS = 0.9102 | mean_pen: 0.0000 |  
iteration 1800 | D LOSS = 1.1811 | G LOSS = 0.9138 | mean_pen: 0.0000 |  
iteration 1850 | D LOSS = 1.1979 | G LOSS = 0.9150 | mean_pen: 0.0000 |  
iteration 1900 | D LOSS = 1.1771 | G LOSS = 0.9120 | mean_pen: 0.0000 |  
iteration 1950 | D LOSS = 1.1873 | G LOSS = 0.9124 | mean_pen: 0.0000 |  
iteration 2000 | D LOSS = 1.2067 | G LOSS = 0.9113 | mean_pen: 0.0000 |  
iteration 2050 | D LOSS = 1.1887 | G LOSS = 0.9112 | mean_pen: 0.0000 |  
iteration 2100 | D LOSS = 1.1759 | G LOSS = 0.9080 | mean_pen: 0.0000 |  
iteration 2150 | D LOSS = 1.1800 | G LOSS = 0.9154 | mean_pen: 0.0000 |  
iteration 2200 | D LOSS = 1.1882 | G LOSS = 0.9088 | mean_pen: 0.0000 |  
iteration 2250 | D LOSS = 1.1829 | G LOSS = 0.9148 | mean_pen: 0.0000 |  
iteration 2300 | D LOSS = 1.1908 | G LOSS = 0.9176 | mean_pen: 0.0000 |  
iteration 2350 | D LOSS = 1.1651 | G LOSS = 0.9147 | mean_pen: 0.0000 |  
iteration 2400 | D LOSS = 1.1620 | G LOSS = 0.9140 | mean_pen: 0.0000 |  
iteration 2450 | D LOSS = 1.1957 | G LOSS = 0.9145 | mean_pen: 0.0000 |  
iteration 2500 | D LOSS = 1.1781 | G LOSS = 0.9121 | mean_pen: 0.0000 |  
iteration 2550 | D LOSS = 1.1811 | G LOSS = 0.9214 | mean_pen: 0.0000 |  
iteration 2600 | D LOSS = 1.1781 | G LOSS = 0.9227 | mean_pen: 0.0000 |  
iteration 2650 | D LOSS = 1.1871 | G LOSS = 0.9194 | mean_pen: 0.0000 |  
iteration 2700 | D LOSS = 1.1668 | G LOSS = 0.9227 | mean_pen: 0.0000 |  
iteration 2750 | D LOSS = 1.1953 | G LOSS = 0.9164 | mean_pen: 0.0000 |  
iteration 2800 | D LOSS = 1.1955 | G LOSS = 0.9238 | mean_pen: 0.0000 |  
iteration 2850 | D LOSS = 1.1985 | G LOSS = 0.9182 | mean_pen: 0.0000 |  
iteration 2900 | D LOSS = 1.1843 | G LOSS = 0.9214 | mean_pen: 0.0000 |  
iteration 2950 | D LOSS = 1.1911 | G LOSS = 0.9284 | mean_pen: 0.0000 |  
iteration 3000 | D LOSS = 1.1584 | G LOSS = 0.9244 | mean_pen: 0.0000 |  
iteration 3050 | D LOSS = 1.1553 | G LOSS = 0.9275 | mean_pen: 0.0000 |  
iteration 3100 | D LOSS = 1.1726 | G LOSS = 0.9290 | mean_pen: 0.0000 |  
iteration 3150 | D LOSS = 1.1780 | G LOSS = 0.9241 | mean_pen: 0.0000 |  
iteration 3200 | D LOSS = 1.1968 | G LOSS = 0.9262 | mean_pen: 0.0000 |  
iteration 3250 | D LOSS = 1.1678 | G LOSS = 0.9185 | mean_pen: 0.0000 |  
iteration 3300 | D LOSS = 1.1844 | G LOSS = 0.9238 | mean_pen: 0.0000 |  
iteration 3350 | D LOSS = 1.1870 | G LOSS = 0.9209 | mean_pen: 0.0000 |  
iteration 3400 | D LOSS = 1.1793 | G LOSS = 0.9249 | mean_pen: 0.0000 |  
iteration 3450 | D LOSS = 1.1697 | G LOSS = 0.9199 | mean_pen: 0.0000 |  
iteration 3500 | D LOSS = 1.1573 | G LOSS = 0.9180 | mean_pen: 0.0000 |  
iteration 3550 | D LOSS = 1.1831 | G LOSS = 0.9237 | mean_pen: 0.0000 |  
iteration 3600 | D LOSS = 1.1869 | G LOSS = 0.9172 | mean_pen: 0.0000 |  
iteration 3650 | D LOSS = 1.1715 | G LOSS = 0.9195 | mean_pen: 0.0000 |  
iteration 3700 | D LOSS = 1.1689 | G LOSS = 0.9233 | mean_pen: 0.0000 |  
iteration 3750 | D LOSS = 1.2072 | G LOSS = 0.9237 | mean_pen: 0.0000 |  
iteration 3800 | D LOSS = 1.1831 | G LOSS = 0.9185 | mean_pen: 0.0000 |  
iteration 3850 | D LOSS = 1.1713 | G LOSS = 0.9228 | mean_pen: 0.0000 |  
iteration 3900 | D LOSS = 1.1786 | G LOSS = 0.9250 | mean_pen: 0.0000 |  
iteration 3950 | D LOSS = 1.1880 | G LOSS = 0.9260 | mean_pen: 0.0000 |  
iteration 4000 | D LOSS = 1.1670 | G LOSS = 0.9260 | mean_pen: 0.0000 |  
iteration 4050 | D LOSS = 1.1743 | G LOSS = 0.9262 | mean_pen: 0.0000 |  
iteration 4100 | D LOSS = 1.1595 | G LOSS = 0.9218 | mean_pen: 0.0000 |  
iteration 4150 | D LOSS = 1.1665 | G LOSS = 0.9287 | mean_pen: 0.0000 |  
iteration 4200 | D LOSS = 1.1690 | G LOSS = 0.9228 | mean_pen: 0.0000 |  
iteration 4250 | D LOSS = 1.2009 | G LOSS = 0.9237 | mean_pen: 0.0000 |  
iteration 4300 | D LOSS = 1.1843 | G LOSS = 0.9282 | mean_pen: 0.0000 |  
iteration 4350 | D LOSS = 1.1707 | G LOSS = 0.9301 | mean_pen: 0.0000 |  
iteration 4400 | D LOSS = 1.1664 | G LOSS = 0.9273 | mean_pen: 0.0000 |  
iteration 4450 | D LOSS = 1.1468 | G LOSS = 0.9268 | mean_pen: 0.0000 |  
iteration 4500 | D LOSS = 1.1867 | G LOSS = 0.9274 | mean_pen: 0.0000 |  
iteration 4550 | D LOSS = 1.1972 | G LOSS = 0.9265 | mean_pen: 0.0000 |  
iteration 4600 | D LOSS = 1.2026 | G LOSS = 0.9265 | mean_pen: 0.0000 |  
iteration 4650 | D LOSS = 1.1841 | G LOSS = 0.9283 | mean_pen: 0.0000 |  
iteration 4700 | D LOSS = 1.2314 | G LOSS = 0.9318 | mean_pen: 0.0000 |  
iteration 4750 | D LOSS = 1.2018 | G LOSS = 0.9319 | mean_pen: 0.0000 |  
iteration 4800 | D LOSS = 1.1486 | G LOSS = 0.9290 | mean_pen: 0.0000 |  
iteration 4850 | D LOSS = 1.1891 | G LOSS = 0.9367 | mean_pen: 0.0000 |  
iteration 4900 | D LOSS = 1.1479 | G LOSS = 0.9307 | mean_pen: 0.0000 |  
iteration 4950 | D LOSS = 1.1374 | G LOSS = 0.9332 | mean_pen: 0.0000 |  
iteration 5000 | D LOSS = 1.2301 | G LOSS = 0.9339 | mean_pen: 0.0000 |  
iteration 5050 | D LOSS = 1.2082 | G LOSS = 0.9309 | mean_pen: 0.0000 |  
iteration 5100 | D LOSS = 1.1693 | G LOSS = 0.9310 | mean_pen: 0.0000 |  
iteration 5150 | D LOSS = 1.1762 | G LOSS = 0.9362 | mean_pen: 0.0000 |  
iteration 5200 | D LOSS = 1.1582 | G LOSS = 0.9325 | mean_pen: 0.0000 |  
iteration 5250 | D LOSS = 1.1481 | G LOSS = 0.9362 | mean_pen: 0.0000 |  
iteration 5300 | D LOSS = 1.2176 | G LOSS = 0.9356 | mean_pen: 0.0000 |  
iteration 5350 | D LOSS = 1.1722 | G LOSS = 0.9333 | mean_pen: 0.0000 |  
iteration 5400 | D LOSS = 1.2198 | G LOSS = 0.9324 | mean_pen: 0.0000 |  
iteration 5450 | D LOSS = 1.1510 | G LOSS = 0.9315 | mean_pen: 0.0000 |  
iteration 5500 | D LOSS = 1.1823 | G LOSS = 0.9303 | mean_pen: 0.0000 |  
iteration 5550 | D LOSS = 1.2090 | G LOSS = 0.9290 | mean_pen: 0.0000 |  
iteration 5600 | D LOSS = 1.1747 | G LOSS = 0.9319 | mean_pen: 0.0000 |  
iteration 5650 | D LOSS = 1.1660 | G LOSS = 0.9353 | mean_pen: 0.0000 |  
iteration 5700 | D LOSS = 1.1779 | G LOSS = 0.9283 | mean_pen: 0.0000 |  
iteration 5750 | D LOSS = 1.1696 | G LOSS = 0.9339 | mean_pen: 0.0000 |  
iteration 5800 | D LOSS = 1.1694 | G LOSS = 0.9363 | mean_pen: 0.0000 |  
iteration 5850 | D LOSS = 1.1879 | G LOSS = 0.9345 | mean_pen: 0.0000 |  
iteration 5900 | D LOSS = 1.1510 | G LOSS = 0.9374 | mean_pen: 0.0000 |  
iteration 5950 | D LOSS = 1.1642 | G LOSS = 0.9326 | mean_pen: 0.0000 |  
iteration 6000 | D LOSS = 1.1858 | G LOSS = 0.9356 | mean_pen: 0.0000 |  
iteration 6050 | D LOSS = 1.1780 | G LOSS = 0.9339 | mean_pen: 0.0000 |  
iteration 6100 | D LOSS = 1.1817 | G LOSS = 0.9293 | mean_pen: 0.0000 |  
iteration 6150 | D LOSS = 1.1747 | G LOSS = 0.9373 | mean_pen: 0.0000 |  
iteration 6200 | D LOSS = 1.1737 | G LOSS = 0.9374 | mean_pen: 0.0000 |  
iteration 6250 | D LOSS = 1.1837 | G LOSS = 0.9376 | mean_pen: 0.0000 |  
iteration 6300 | D LOSS = 1.1707 | G LOSS = 0.9275 | mean_pen: 0.0000 |  
iteration 6350 | D LOSS = 1.2173 | G LOSS = 0.9292 | mean_pen: 0.0000 |  
iteration 6400 | D LOSS = 1.1542 | G LOSS = 0.9362 | mean_pen: 0.0000 |  
iteration 6450 | D LOSS = 1.1835 | G LOSS = 0.9299 | mean_pen: 0.0000 |  
iteration 6500 | D LOSS = 1.1499 | G LOSS = 0.9307 | mean_pen: 0.0000 |  
