,heart_rate_mean,blood_glucose_mean,resp_rate_mean,stress_mean,blood_glucose_std,total_steps,resting_heart_rate,total_kcal,sleep_light_hrs,sleep_deep_hrs,sleep_rem_hrs,sleep_awake_hrs,act_generic_hrs,act_running_hrs,act_walking_hrs,act_sedentary_hrs,A/G Ratio_value,ALT (IU/L)_value (IU/L),AST (IU/L)_value (IU/L),Albumin (g/dL)_value (g/dL),Alkaline Phosphatase (IU/L)_value (IU/L),BUN (mg/dL)_value (mg/dL),BUN/Creatinine ratio_value,Bilirubin Total (mg/dL)_value (mg/dL),C-Peptide (ng/mL)_value (ng/mL),CRP - HS (mg/L)_value (mg/L),Calcium (mg/dL)_value (mg/dL),"Carbon Dioxide, Total (mEq/L)_value (mEq/L)",Chloride (mEq/L)_value (mEq/L),Creatinine (mg/dL)_value (md/dL),"Globulin, Total (g/dL)_value (g/dL)",Glucose (mg/dL)_value (mg/dL),HDL Cholesterol (mg/dL)_value (mg/dL),INSULIN (ng/mL)_value (ng/mL),LDL Cholesterol Calculation (mg/dL)_value (mg/dL),Potassium (mEq/L)_value (mEq/L),"Protein, Total (g/dL)_value (g/dL)",Sodium (mEq/L)_value (mEq/L),Total Cholesterol (mg/dL)_value (mg/dL),Triglycerides (mg/dL)_value (mg/dL),Urine Albumin (mg/dL)_value (mg/DL),Urine Creatinine (mg/dL)_value (mg/DL),clock_visuospatial_executive_time_value,delayed_recall_with_no_clue_time_value,digitspan_time_value,memory_trial1_time_value,memory_trial2_time_value,moca_abstraction_time_value,moca_orientation_time_value,moca_total_score_value,naming_time_value,repetition_time_value,subtraction_time_value,cube_visuospatial_executive_time_value,lettera_time_value,trails_visuospatial_executive_time_value,moca_combined_mis_score_value,memory_trial1_value,memory_trial2_value,moca_abstraction_value,moca_orientation_value,naming_value,repetition_value,subtraction_value,Rate,PR,QRSD,QT,QTc,P,QRS,T,Age-related macular degeneration,Arthritis,Cancer,Cataracts (1+ eyes),Chronic pullmonary problems,Circulation problems,Diabetic retinopathy (1+),Digestive problems,Marijuana user,Dry eye (1+),Glaucoma (1+),Hearing impairment,Heart attack,High blood cholesterol,High blood pressure,Kidney problems,Low blood pressure,Mild cognitive impairmen,Multiple sclerosis,Obesity,Osteoporosis,Other heart issues (pacemaker),Other neurological conditions,Parkinson's disease,Retinal vascular occlusion,Stroke,Type 2 Diabetes,Urinary problems,ABNORMAL,BORDERLINE,NORMAL,OTHERWISE NORMAL,cube_visuospatial_executive_value,fluency_language_value,lettera_value,trails_visuospatial_executive_value
heart_rate_mean,1.0,-0.032344510520169005,-0.008196303166254866,0.02370739483325749,-0.007013330893830655,0.010741742293214084,0.04626563918245154,0.033898599298109296,0.009390931277955787,0.032469869197400136,-0.0007057489217957225,-0.0015668478690475302,0.016854524412874355,0.00046325403933564316,0.005548403946084462,-0.01970604724759941,-0.031740008984543155,0.025195792391415534,0.01964616080144184,-0.020593491743959788,0.002756343313433183,-0.020451574326545267,0.00836541650727433,0.03448137419870684,0.016957616671262683,-0.012222069453054473,0.019598287013102397,0.002771753125312838,0.015836447295956003,0.05557958767656299,0.04848265821812712,0.0157290438822869,0.05446720111704408,0.00873703297335998,0.05418362603021973,0.03689498963014396,-0.013587257573665372,-0.013425915470722121,0.015403163812358314,0.023120780774215102,0.009943285388391601,0.01156806183711724,-0.015685171411914556,0.01163746601131711,0.02762224431762881,0.019292735179864715,0.013987428881525689,0.03442596156979501,-0.008037574740564714,-0.014693192408665665,0.027843565922494058,0.03670130339361499,0.022419618331913974,-0.0001666607857819855,-0.02551893994681828,-1.3618040079490935e-05,-0.021765342728654186,0.0016276709998823112,-0.03294034685513193,-0.014241601723368517,-0.001790019990145308,-0.014094161404889059,-0.004715252649138262,0.010348019422503409,0.027580197255549097,0.024767830124903606,-0.030122568960051735,0.029039029620988435,0.021681123530087717,0.04975591514456889,0.007300776105027178,0.0008306470622138195,-0.027317367488819338,0.014672854604840118,-0.024333775766839486,0.0028736582707921438,0.0028352213225569882,0.009941647259765384,0.0021431579191601626,0.011600267151313166,0.004510209302537115,-0.007332167413498983,0.0008191566735874612,0.01562785307998911,0.0012875136745327507,-0.0081516442428474,-0.016238066475311685,0.0007041911695225381,-0.0058896218997461156,-0.0038913033962817236,-0.005755216784102832,0.0074691396216918825,-0.012997441258338453,-0.011497329787407059,0.007269247189140381,-0.0018194387133918803,-0.03201587473840413,-0.003789332328270784,-0.005768932143139296,0.009336442249927168,-0.008682729329096051,-0.014146981214142441,-0.000935261794554819,-0.023460225048145558,0.023255842100006967,-0.01620799649946674,-0.004089762478166916,0.005267439733075872
blood_glucose_mean,-0.032344510520169005,1.0,0.02936292148358679,-0.007377504559611132,0.016262225059204483,0.038519981064744066,0.03722864024835836,0.03788027673291084,0.02278632799364336,0.00583792351354844,0.008603737767454767,0.04004833674292182,0.04475016643081925,0.025667219748864958,0.05223774326258703,-0.09475462914071996,0.020861357343252684,0.047715112666767596,0.05223408438681177,-0.048210363448347046,0.04793662343519855,0.021387674069086843,0.04540760014925875,0.04508815686816775,0.03347353486112957,0.056523502512383424,-0.03158647375142125,0.04113759832380368,-0.012255648233052035,0.012623862378704545,0.0690374501950369,0.03239577103985649,-0.002961239340876031,0.0382456816883352,0.045024778372542325,0.02982109770713614,-0.022837472868035148,-0.03315719122404366,0.04893870125334701,0.04139943939341951,0.012563140691165502,0.02110008594452219,0.02223012024772516,0.04001397557727068,0.037192064074251165,0.04935533347950123,-0.013361866132084196,0.039718946875990875,0.030539811740476392,-0.03415036600544637,0.03304843143618252,0.01081898615534801,0.032347265820565706,0.027168728397543248,0.03953828599843182,0.04211774612347899,-0.029209909785410902,-0.046844736365008174,-0.04261828423992494,-0.044819319801802836,-0.02663595600357817,-0.04792875510316839,-0.024625945473603708,-0.028811548488599674,0.07148053051938358,0.04381150273480601,0.040719822627458935,0.031710612378865605,0.04508278122607226,0.03554140605542501,-0.002474368636928712,0.01962512296173035,-0.007532696329793324,0.008140914546660199,-0.02643826529037576,0.004538400562200907,-0.012002193657633392,0.0017697475290904964,0.004898084273459403,0.00351513458259356,-0.02896652985673003,0.00962556394345899,0.021296782521176637,0.010589002642231527,0.0014399153451011152,-0.0294259723241245,-0.035245694187203615,-0.01818809426192351,-0.0030986095024099227,-0.014613226897377598,-0.0034200711913393287,0.004065125490338024,0.0026101044314742806,0.022552619283888548,-0.004309286005511035,-0.00895949325659994,-0.006186456252908164,-0.0035842797423543027,0.011096005321790914,-0.004371670851381819,-0.003943714593567469,0.021749855209539468,-0.013840053260887688,0.03385684452968923,-0.004085291341416423,0.013900822407112757,-0.016336418731073363,0.002752544308388195
resp_rate_mean,-0.008196303166254866,0.02936292148358679,1.0,0.0006846175932703248,0.03134596409508032,0.06259626239850868,0.03173164341201824,0.034084264965921235,0.011702825458249785,0.04733976047346682,0.01539789508570102,0.024593867092127433,0.031072087330213674,0.04939051878038633,0.026296787163002024,-0.06320114962035499,-0.019392452199366174,0.017344579889332783,0.034897231792619915,-0.05495719092572561,0.009370355172854826,0.045376503815780116,0.044806959023829744,0.03500545684866287,0.051021413005944635,0.03954861840902195,-0.003170562400990375,0.02255633465755126,-0.03739445294937711,0.04403812269107147,0.02163496344039863,0.04696623803655661,0.027496913139267724,0.03745443711558007,0.04393151845008161,-0.006983878255647416,-0.004675513853998472,-0.06492943306002541,0.05078543174734119,0.06244833316156045,0.014379225410406118,0.025009313961564014,0.036086215738296255,0.023326804862939705,0.021902816448934735,0.04938134878319329,0.026431746885144623,0.04396730187043007,0.0300988068722138,-0.05076476118160768,0.023399325637037248,0.023778608203810902,0.05848365929796898,0.016195104921587083,0.008532082876679527,0.04948915451012401,-0.03971257467338894,-0.019140390590923186,-0.03395309643401288,-0.04847888412973303,-0.02018001705637798,-0.01597301694779389,-0.028438546968663766,-0.030447022143693533,0.06840234557930243,0.043746401140316034,-0.0017727800354136588,0.030423807929623417,0.026852970841188054,0.05628525187807816,0.022463530733025913,0.04887479986525181,-0.012097122836598228,0.0038489277891344867,-0.001492846070220584,-0.003962267576977447,0.015778146360489527,0.019806733176550278,0.001138919561222335,0.002934624449749958,0.009629937919834906,0.025452655849949646,0.004860949096302569,0.00010887007466680875,0.006070182847520592,0.00506564204894093,-0.009311229766026522,-0.013968937154685893,-0.005653256031873341,0.008945069906393259,-0.016046354205806523,0.014578032969185504,-0.003866664334416742,0.008851673670282882,-0.009082360251692461,-0.010487166234466386,0.0023930315272489506,0.0016154576001432214,0.01960213098086622,-0.01633996062967002,-0.026083020566221644,0.004870538617567219,0.009113453223868438,-0.0024311417871148893,0.020213670390280505,-0.004954502547662117,-0.014129052853049242,-0.0008683484547270014
stress_mean,0.02370739483325749,-0.007377504559611132,0.0006846175932703248,1.0,-0.017574002414857057,-0.03061314446588217,-0.02424956167409532,-0.011631099891660059,0.013103242053350912,-0.010411388453337816,-0.0325796256427217,-0.02470751348656791,-0.014631076995039804,-0.023015533301032662,-0.024678794338154997,0.03277160743047929,-0.0009067201341255324,-0.012412956756082684,-0.005298479482379573,4.6042258994015555e-05,-0.017843108420411317,-0.011479586480939628,-0.00857910512914831,-0.013835178883538407,-0.020234466736625975,-0.010355451724309048,0.01788581320445859,0.012521524319223739,0.053202558437181906,-0.005467768511529078,0.003554424115986173,-0.008754785831228238,-0.021145753813215484,0.01762017382374338,-0.029359705911991652,-0.01914411086300533,-0.0005328140969680265,-0.018116718761934457,0.007670874349758548,-0.014974344209713062,-0.007553737121996064,0.010989654464697352,0.0018528941654136046,-0.004653021101361205,0.008964657573774846,0.017325442272389947,0.010473359822704574,0.0072837407540655985,0.03074835204396886,0.014718664134674065,0.00827376090755187,-0.0005795087513073984,-0.009223441997392633,-0.010765283754971183,-0.006773670677577273,-0.026102700573863782,0.006298423711034785,-0.009055995969053342,0.02125727676937452,-0.007847553155807156,0.007126038391907188,0.022794265974998566,-0.018222893741025332,0.012266799348741534,0.03209604134360192,-0.02014508980982236,-0.025550271516352065,0.005121873245486744,-0.011999822450833916,0.030014819104210166,0.010486207175888454,-0.019088914556784648,-0.0019701723166653286,0.01498532659163605,0.016328728265793388,-0.017088420354375144,-0.0016228466940188203,0.010822711061275535,0.006603641567936783,-0.02250265210180793,-0.011123654585856098,-0.021899439785270234,0.0023059908683850036,0.0017995586670820532,0.018221400801446394,-0.0011679658292024328,0.020280688891343438,-0.006766501895179085,-0.02261207274144921,0.008354973346603416,-0.006636451827385021,-0.013516153606305845,0.001286860286177696,0.003863043971766841,-0.014727576657520274,-0.0051355369513370564,-0.017702033360111582,0.01182629413742826,-0.0018240791354825292,-0.024302039627707897,0.007777518644595671,-0.0018165291508545176,-0.007391510776755015,-0.006719830473028119,-0.0202740272004977,-0.018613717899694432,-0.008080361433615525,0.022537968485796735
blood_glucose_std,-0.007013330893830655,0.016262225059204483,0.03134596409508032,-0.017574002414857057,1.0,0.04211866648553814,0.031017798044466163,0.05347860874666798,0.002940843269014433,0.02812199760068508,0.022713040927758808,0.027622695359987147,0.05929331516276684,0.04163142404243074,-0.0037753648069227554,-0.08328310679435864,-0.0014475914064652274,0.04743708658801056,0.03432137320611962,-0.08242749324806532,0.005370848965658351,0.03166900149347545,0.03850008842853117,0.05865217037758112,0.054640519902876966,0.0402744964216439,-0.038076232756812864,0.018070512148082068,-0.032075917772834445,0.047189422556201295,0.08815113745294632,0.07286732452143982,0.05133486379378782,0.05182063199222817,0.043721245160579084,0.02209527028213022,0.01600420467224015,-0.04718654524131019,0.049535084807112335,0.047082555420309015,0.05835645950828222,0.016152622563684858,0.02863421204150829,0.042833466311877816,0.029225560401851886,0.03478911403353923,6.375437202580091e-05,0.029727677121252027,0.04004652696826671,-0.06406133715751533,0.02463572319996904,0.005829718786240234,0.040513521253468986,0.03238678391610394,0.021737627307392954,0.04199682474006302,-0.038630021839912244,-0.04137833723346767,-0.07312036721038709,-0.03782531398253608,-0.07119324955458999,-0.06889201065204015,-0.02769188146672498,-0.04716837070044341,0.05108561101914203,0.036085423186745035,0.042958483195068016,0.04775837315155672,0.02602272577481482,0.05836806855992252,0.015756695377378584,0.03976935886305841,-0.0001906375858853835,-0.015262387234753497,0.019418440040929807,-0.0021246539186291504,0.01905139939684928,0.010159254933773076,0.0027166645601151515,0.026223220009963685,0.009317607413866705,0.0009149727681584379,0.0036421595952122157,-0.004716454654329972,-0.009555852074996787,0.008572890285686705,-0.017190969333509498,-0.0026641882284981913,-0.005529593605282278,0.009757115755096196,-0.0014967828100314275,-0.010028463807595422,-0.0025087792340809127,-0.0038902580680248047,0.018620559129035777,-0.02482236914015621,-0.01638010208054195,0.010093321558006888,-0.007962924483300469,0.002903014142269223,0.008916575414991018,0.026673842109900387,0.0011679740372416909,0.02975293760477802,0.00574269192711885,-0.005089765862116119,0.0038165045401443716,-0.0035686724595374946
total_steps,0.010741742293214084,0.038519981064744066,0.06259626239850868,-0.03061314446588217,0.04211866648553814,1.0,0.029817785051188084,0.03378659895749975,0.03207348943439914,0.0488322772219242,0.04986565500973121,0.06193708496114728,0.06444191031176405,0.039701649252123154,0.0623456684447664,-0.09231484332061586,-0.011199579593749868,0.010081308194151511,0.06494773284567128,-0.0791735452297215,0.018847654842971098,0.033330326154699746,0.0365205373271687,0.024222016200263957,0.032985598073715955,0.06278499219116127,-0.05218531268246192,0.004631198766851213,-0.038834944526472334,0.05190228691893374,0.0865915502585408,0.04049243838100706,0.07594720105245621,0.05579407040101667,0.04239194590904132,0.04720208144168782,-0.024493961483637337,-0.041646375824653754,0.06613149050825404,0.02102037519163177,0.054752890439275496,0.02785236080604053,0.04821535230105954,0.04446163981181126,0.028170808075738237,0.013741875607370157,0.018977611578602494,0.06346866833596017,0.028022703068257385,-0.04913826025671295,0.0413898557636318,0.04251705266221284,0.023030949109696355,0.043683292328600375,0.03769196406678563,0.061326412183353496,-0.06658386488008178,-0.05412455778841923,-0.06811902919315221,-0.03883568435853577,-0.0460872102444395,-0.054554620124034524,-0.014669422108977332,-0.04875068833464596,0.044978357176881374,0.019644230037736334,0.016239244896239166,0.010254213472121564,0.04399845889930453,0.038773524197957175,0.029669808128955966,0.02620452184915733,-0.013081109068696323,-0.00220415803053592,-0.0008453025414701552,0.007739306517166295,-0.006817103483546195,0.017081399327922107,-0.007419443231229002,-0.0028733078123297073,-0.008639288933005864,-0.004448664118070837,0.013475324324630377,-0.0004481229815887505,-0.013448765353098018,-0.005828526529125482,0.0014596226079056978,-0.018779144262432452,0.021442845488935523,-0.008304278421521998,0.007427690836427934,0.00627067108859607,-0.01093360597472817,0.010855422353214786,-0.0009294719717367333,0.005677870773607167,0.014397255712005856,0.021220356918279375,0.02463956593483543,0.015977131582797347,0.018454398818575947,-0.004259261887880502,-0.005456837458271383,-0.004993333237537026,0.009295486405449027,-0.01606629757915373,-0.02979827355680253,-0.011549752504427342
resting_heart_rate,0.04626563918245154,0.03722864024835836,0.03173164341201824,-0.02424956167409532,0.031017798044466163,0.029817785051188084,1.0,0.01465042504768708,0.0014470986323615366,0.045987203450369545,0.034149706194991435,0.009119243815094122,0.060317564390193805,0.04728291767050379,0.03731200104825306,-0.09123921825747298,-0.006785245908742267,0.045111875300235374,0.04926620667563074,-0.06151775644268028,0.026348430731763565,0.0169913027803041,0.05220045971436502,0.05685953652567654,0.039195086563871696,0.04964263575179891,-0.023529734211619073,0.046131234799560515,-0.01037784798059004,0.061049174796897476,0.08832295579515144,0.039863431535041544,0.010304285611855797,0.021104964971409675,0.05111913138163709,0.056920960410421266,-0.03904450896169557,0.001571618671911134,0.05771373118584297,0.03348157995558142,0.024867545759287235,0.02025769646313067,0.040198532389079764,0.0355839176486043,0.05381375164075829,0.017432316238743147,0.06101982165858736,0.0405817266226557,0.0029923446341493134,-0.06318720624267594,0.04612676697105819,0.03712565453039194,0.06673633976989506,0.04794395648696212,0.022766862474876935,0.06593511957769696,-0.04018948420392608,-0.034994861913109,-0.05192656255878633,-0.05811105188122041,-0.03947904808904661,-0.03146015334246991,-0.024365543796165245,-0.05371025204594006,0.02761125252607208,0.005753756015543598,0.03371328835896448,0.030073483650694344,0.011694861258627311,0.05433629199030017,0.025878170971068218,0.013716062636757079,0.0017283361565194233,-0.007935783183951,0.005738798708634284,0.0011096263013604625,-0.00045792831844215597,0.010779505850214033,0.0003327911474125424,-0.007643692477258113,5.129596886057025e-05,0.003451001338381856,-0.004606762743279171,-0.009001242684466892,0.0022169630899246413,-0.013727171220321365,0.012755572376964936,-0.023697269445275605,-0.006737500897430328,0.02447964626940297,0.007702647921074155,0.00499033189065484,-0.0010618540236371698,0.0010642826983459776,-0.02834319607275009,-0.013746327650243978,0.01563501211205251,0.010426827352027837,-0.030532396793958104,0.0014564237246728273,-0.004155192038255847,-0.014973215552810117,0.002120626204858231,-0.004548336733238864,-0.02175313519814329,-0.014922470703721477,0.014990973482060178,-0.012469871017810021
total_kcal,0.033898599298109296,0.03788027673291084,0.034084264965921235,-0.011631099891660059,0.05347860874666798,0.03378659895749975,0.01465042504768708,1.0,0.003871559159261368,0.028106969005957497,0.020978986547507596,0.006712302134394269,0.0674676793367038,0.05113536413314974,0.029172160673573647,-0.09870159732455842,-0.010444397882753352,0.039640489861460154,0.0740247553099768,-0.07084094219128549,0.030346173461692015,0.03284372380971022,0.052966628518788784,0.03861796549010222,0.03515808236397391,0.024267922165627023,-0.008792742125967035,0.015594078287519398,-0.02206709214139911,0.049548031379117494,0.04626652550130808,0.05130504265606562,0.04079021114412273,0.022035923712203486,0.035206620358506725,0.02869426759828033,-0.021187295315716205,-0.0761057579501545,0.059249774676266166,0.04561197775977896,0.05037965205565266,0.04314081716147181,0.021193958588199276,0.05512047810298089,0.05577977818366666,0.03211451576993056,0.03309952236995985,0.0438185805947402,0.03707216046763233,-0.07298687370245069,0.04709109521180425,0.01972239448261256,0.04693449428406079,0.0423220783276524,0.027389174051929574,0.03589306978613371,-0.06107686869912575,-0.07542321931482351,-0.06910887766663552,-0.06810278800880501,-0.0723311817318545,-0.05429145264712756,-0.043315935602714975,-0.039559406967153134,0.028081977634082256,0.02156538184398877,0.0576796747564367,0.010970454036538442,0.0048752467487359185,0.04973698713188239,0.03150307248717611,0.028633386507264075,-0.0008643331785030204,-0.010696132027113309,0.020284394551018554,0.0029795796835232562,0.002611193598041044,0.018503220842080097,0.007006149119390366,-0.0001454973131548406,0.009123119753644715,0.010622604140593208,0.02390789956482232,-0.006618863822220108,0.006117688265175383,0.01825607205841849,0.010685142656855755,0.016664261728376262,0.020989745928463872,-0.01977269185932241,0.010272803810300392,-0.014487950280397963,-0.0038448795781059293,0.01772963992128059,0.016601923771941918,-0.0025045629521114558,-0.009835067118379158,-0.009158009551419967,0.003060470707280919,-0.0231345627763879,0.014257887100850967,-0.002468469093605801,-0.016059463265994573,0.004618453266761788,0.024614833365104002,-0.010888264380985984,0.0020593642098706215,-0.005646414707703367
sleep_light_hrs,0.009390931277955787,0.02278632799364336,0.011702825458249785,0.013103242053350912,0.002940843269014433,0.03207348943439914,0.0014470986323615366,0.003871559159261368,1.0,-0.004148799345481694,0.009337779521441937,0.025157073580250825,0.029995560529802918,0.02996043226164595,0.021006514059760246,-0.07208544797764775,-0.01018273849576159,0.013138048501690596,0.014523976696675165,-0.04887319736246925,0.003857727823151433,0.01785264376054684,0.03992566092837518,0.032639009707960284,0.04536792074844227,0.026544444832529587,-0.01867132772135354,-0.0021204945429718603,0.016669013699923737,0.002342352529838385,0.0396011887650706,0.02342746619491326,0.026116111630397038,0.03819819886456559,0.007320637115348077,0.012440037280788178,-0.03898909946115785,-0.01861999152497799,0.004648732924397142,0.03077912755011344,0.02454027097639293,0.0256354090591785,0.026259295291924726,0.03077428478011991,0.017169060218786274,0.023901323736097317,-0.00849201273728382,0.06118296648030641,0.022167885013147582,-0.03306016976097788,0.0448763135555749,0.036036552853780456,0.014763748857646922,0.014786167507402316,0.010977521390909253,0.03736513068772264,-0.028504576538918084,-0.03506565994448552,-0.02871325487090789,-0.0025904140115764183,-0.041968451553624476,-0.037290203633939444,-0.025671251859836236,-0.04935118758994484,0.03231605513975913,0.022039270802596878,0.05258841766186453,0.04310201913246955,0.031026761614188672,0.02395558133255121,0.042786581802298954,0.03554165081672989,0.008649829150629071,0.01629262994344428,-0.0342830671389075,0.006251355859641213,-0.008747620094415367,0.01262229348668688,0.0013666532363835625,-0.008678117628778449,-0.023208501815620137,-0.00025590284378493804,-0.0029180064473873935,0.0013568864165684155,0.018975320973042664,-0.026644011071695277,-0.0015590434059960653,-0.011335338449130214,0.006513545232404791,-0.018533493705136912,-0.01545697795999226,-0.0011061511531347329,-0.0027354759456823027,-0.011507023048013517,0.017928571081984652,-0.006242861479508961,-0.0030149101548722695,-0.0010264958930760533,-0.004966685236425236,-0.012522031215819232,-0.00860815611707479,0.010713476719788865,0.01183324126507361,-0.00031870446721514635,-0.006532967168092238,-0.004517361578844172,-0.01777929719249191,0.0028380327220998685
sleep_deep_hrs,0.032469869197400136,0.00583792351354844,0.04733976047346682,-0.010411388453337816,0.02812199760068508,0.0488322772219242,0.045987203450369545,0.028106969005957497,-0.004148799345481694,1.0,0.007024913730505691,0.027238304023665734,0.07062282142823775,0.037404802539847695,0.03846403907729162,-0.05550565377544723,0.002719454226226851,0.03789333402803324,0.05162345059582083,-0.05305645420628329,0.03331230413640109,0.027757577489494548,0.009539167881292287,0.036143012910489505,0.0543637739765254,0.042524943375924024,-0.00838305087300684,-0.004740588639172036,0.011408754496705177,0.04902840201992669,0.07239574684643368,0.05121111065038026,0.01710836679686454,0.006491162766634363,0.03054510717721524,0.05999749978770919,-0.011861757166275596,-0.03873481820064031,0.039977518026945796,0.07179294247679818,0.03861006721161882,0.008121846285665413,0.0382406441242146,0.021796815811523144,0.009784435704580013,0.04383351951452442,0.041655058714719605,0.030411757775744057,0.021190766891464402,-0.06318510154057297,0.024062151766347302,0.04209502426870722,0.041713731329349114,0.029231566342673473,0.040408783344670844,0.016681737050206893,-0.03170536851296175,-0.038330102877396084,-0.056812790821148644,-0.030480525303360827,-0.06529375157305196,-0.052665584000786934,-0.02140426525612452,-0.04906761746176104,0.035028976941567924,0.0293835285076522,0.009754150302929874,0.03988295253867693,0.036625735793888364,0.026285637089541746,-0.0008881522355196839,0.030478208483527534,-0.019564732544107673,-0.021856579409915557,-0.004732830459033173,-0.010314402721006933,-0.01994733122196454,-0.0007612586259422631,-0.007130735140878548,0.013442203065073287,0.027071565291123707,-0.016949791161565114,-0.0024626340930204555,-0.013696056275150815,0.023708008194276847,-0.003982471692492132,0.0013942217672525707,0.0021127132398193224,-0.01978926774550355,-0.0040201088104962895,-0.0004346174621857914,-0.007172416865878027,0.028460661386970832,0.021734594190874704,0.012922583611715369,-0.005003515016136393,-0.0029447372973392246,0.0012286158192771064,0.01171083958032051,-0.0006826164949751738,-0.010025522995671304,-0.026296762306835465,-0.00842628684789541,0.010734753896975988,0.017856154950356935,-0.005376141192758604,-0.00014899388668099736,-0.013964376568155204
