Logging
ITERATION 0.0000 | MEAN PEN (*.2) 0.0174 | TOTAL G LOSS 0.6355
ITERATION 1.0000 | MEAN PEN (*.2) 0.0172 | TOTAL G LOSS 0.6459
ITERATION 2.0000 | MEAN PEN (*.2) 0.0167 | TOTAL G LOSS 0.6564
ITERATION 3.0000 | MEAN PEN (*.2) 0.0168 | TOTAL G LOSS 0.6668
ITERATION 4.0000 | MEAN PEN (*.2) 0.0167 | TOTAL G LOSS 0.6779
ITERATION 5.0000 | MEAN PEN (*.2) 0.0171 | TOTAL G LOSS 0.6897
ITERATION 6.0000 | MEAN PEN (*.2) 0.0166 | TOTAL G LOSS 0.6995
ITERATION 7.0000 | MEAN PEN (*.2) 0.0167 | TOTAL G LOSS 0.7089
ITERATION 8.0000 | MEAN PEN (*.2) 0.0166 | TOTAL G LOSS 0.7172
ITERATION 9.0000 | MEAN PEN (*.2) 0.0170 | TOTAL G LOSS 0.7272
ITERATION 10.0000 | MEAN PEN (*.2) 0.0164 | TOTAL G LOSS 0.7354
ITERATION 11.0000 | MEAN PEN (*.2) 0.0164 | TOTAL G LOSS 0.7485
ITERATION 12.0000 | MEAN PEN (*.2) 0.0161 | TOTAL G LOSS 0.7567
ITERATION 13.0000 | MEAN PEN (*.2) 0.0158 | TOTAL G LOSS 0.7669
ITERATION 14.0000 | MEAN PEN (*.2) 0.0160 | TOTAL G LOSS 0.7775
ITERATION 15.0000 | MEAN PEN (*.2) 0.0155 | TOTAL G LOSS 0.7867
ITERATION 16.0000 | MEAN PEN (*.2) 0.0154 | TOTAL G LOSS 0.7983
ITERATION 17.0000 | MEAN PEN (*.2) 0.0153 | TOTAL G LOSS 0.8101
ITERATION 18.0000 | MEAN PEN (*.2) 0.0146 | TOTAL G LOSS 0.8167
ITERATION 19.0000 | MEAN PEN (*.2) 0.0149 | TOTAL G LOSS 0.8319
ITERATION 20.0000 | MEAN PEN (*.2) 0.0146 | TOTAL G LOSS 0.8395
ITERATION 21.0000 | MEAN PEN (*.2) 0.0148 | TOTAL G LOSS 0.8553
ITERATION 22.0000 | MEAN PEN (*.2) 0.0145 | TOTAL G LOSS 0.8614
ITERATION 23.0000 | MEAN PEN (*.2) 0.0143 | TOTAL G LOSS 0.8717
ITERATION 24.0000 | MEAN PEN (*.2) 0.0139 | TOTAL G LOSS 0.8792
ITERATION 25.0000 | MEAN PEN (*.2) 0.0138 | TOTAL G LOSS 0.8881
ITERATION 26.0000 | MEAN PEN (*.2) 0.0134 | TOTAL G LOSS 0.8901
ITERATION 27.0000 | MEAN PEN (*.2) 0.0136 | TOTAL G LOSS 0.9036
ITERATION 28.0000 | MEAN PEN (*.2) 0.0131 | TOTAL G LOSS 0.9085
ITERATION 29.0000 | MEAN PEN (*.2) 0.0129 | TOTAL G LOSS 0.9159
ITERATION 30.0000 | MEAN PEN (*.2) 0.0128 | TOTAL G LOSS 0.9249
ITERATION 31.0000 | MEAN PEN (*.2) 0.0122 | TOTAL G LOSS 0.9190
ITERATION 32.0000 | MEAN PEN (*.2) 0.0121 | TOTAL G LOSS 0.9281
ITERATION 33.0000 | MEAN PEN (*.2) 0.0115 | TOTAL G LOSS 0.9266
ITERATION 34.0000 | MEAN PEN (*.2) 0.0116 | TOTAL G LOSS 0.9299
ITERATION 35.0000 | MEAN PEN (*.2) 0.0114 | TOTAL G LOSS 0.9306
ITERATION 36.0000 | MEAN PEN (*.2) 0.0111 | TOTAL G LOSS 0.9265
ITERATION 37.0000 | MEAN PEN (*.2) 0.0110 | TOTAL G LOSS 0.9348
ITERATION 38.0000 | MEAN PEN (*.2) 0.0104 | TOTAL G LOSS 0.9306
ITERATION 39.0000 | MEAN PEN (*.2) 0.0101 | TOTAL G LOSS 0.9256
ITERATION 40.0000 | MEAN PEN (*.2) 0.0099 | TOTAL G LOSS 0.9289
ITERATION 41.0000 | MEAN PEN (*.2) 0.0098 | TOTAL G LOSS 0.9247
ITERATION 42.0000 | MEAN PEN (*.2) 0.0094 | TOTAL G LOSS 0.9248
ITERATION 43.0000 | MEAN PEN (*.2) 0.0086 | TOTAL G LOSS 0.9166
ITERATION 44.0000 | MEAN PEN (*.2) 0.0085 | TOTAL G LOSS 0.9224
ITERATION 45.0000 | MEAN PEN (*.2) 0.0081 | TOTAL G LOSS 0.9179
ITERATION 46.0000 | MEAN PEN (*.2) 0.0078 | TOTAL G LOSS 0.9188
ITERATION 47.0000 | MEAN PEN (*.2) 0.0077 | TOTAL G LOSS 0.9181
ITERATION 48.0000 | MEAN PEN (*.2) 0.0075 | TOTAL G LOSS 0.9218
ITERATION 49.0000 | MEAN PEN (*.2) 0.0070 | TOTAL G LOSS 0.9116
ITERATION 50.0000 | MEAN PEN (*.2) 0.0065 | TOTAL G LOSS 0.9005
ITERATION 51.0000 | MEAN PEN (*.2) 0.0063 | TOTAL G LOSS 0.9014
ITERATION 52.0000 | MEAN PEN (*.2) 0.0059 | TOTAL G LOSS 0.8950
ITERATION 53.0000 | MEAN PEN (*.2) 0.0058 | TOTAL G LOSS 0.8923
ITERATION 54.0000 | MEAN PEN (*.2) 0.0054 | TOTAL G LOSS 0.8816
ITERATION 55.0000 | MEAN PEN (*.2) 0.0055 | TOTAL G LOSS 0.8850
ITERATION 56.0000 | MEAN PEN (*.2) 0.0049 | TOTAL G LOSS 0.8823
ITERATION 57.0000 | MEAN PEN (*.2) 0.0047 | TOTAL G LOSS 0.8749
ITERATION 58.0000 | MEAN PEN (*.2) 0.0046 | TOTAL G LOSS 0.8795
ITERATION 59.0000 | MEAN PEN (*.2) 0.0043 | TOTAL G LOSS 0.8669
ITERATION 60.0000 | MEAN PEN (*.2) 0.0042 | TOTAL G LOSS 0.8601
ITERATION 61.0000 | MEAN PEN (*.2) 0.0038 | TOTAL G LOSS 0.8625
ITERATION 62.0000 | MEAN PEN (*.2) 0.0034 | TOTAL G LOSS 0.8569
ITERATION 63.0000 | MEAN PEN (*.2) 0.0036 | TOTAL G LOSS 0.8601
ITERATION 64.0000 | MEAN PEN (*.2) 0.0033 | TOTAL G LOSS 0.8524
ITERATION 65.0000 | MEAN PEN (*.2) 0.0031 | TOTAL G LOSS 0.8507
ITERATION 66.0000 | MEAN PEN (*.2) 0.0029 | TOTAL G LOSS 0.8510
ITERATION 67.0000 | MEAN PEN (*.2) 0.0027 | TOTAL G LOSS 0.8456
ITERATION 68.0000 | MEAN PEN (*.2) 0.0024 | TOTAL G LOSS 0.8424
ITERATION 69.0000 | MEAN PEN (*.2) 0.0024 | TOTAL G LOSS 0.8474
ITERATION 70.0000 | MEAN PEN (*.2) 0.0023 | TOTAL G LOSS 0.8418
ITERATION 71.0000 | MEAN PEN (*.2) 0.0021 | TOTAL G LOSS 0.8398
ITERATION 72.0000 | MEAN PEN (*.2) 0.0021 | TOTAL G LOSS 0.8402
ITERATION 73.0000 | MEAN PEN (*.2) 0.0019 | TOTAL G LOSS 0.8349
ITERATION 74.0000 | MEAN PEN (*.2) 0.0017 | TOTAL G LOSS 0.8345
ITERATION 75.0000 | MEAN PEN (*.2) 0.0017 | TOTAL G LOSS 0.8364
ITERATION 76.0000 | MEAN PEN (*.2) 0.0016 | TOTAL G LOSS 0.8362
ITERATION 77.0000 | MEAN PEN (*.2) 0.0015 | TOTAL G LOSS 0.8293
ITERATION 78.0000 | MEAN PEN (*.2) 0.0014 | TOTAL G LOSS 0.8304
ITERATION 79.0000 | MEAN PEN (*.2) 0.0013 | TOTAL G LOSS 0.8288
ITERATION 80.0000 | MEAN PEN (*.2) 0.0012 | TOTAL G LOSS 0.8325
ITERATION 81.0000 | MEAN PEN (*.2) 0.0012 | TOTAL G LOSS 0.8285
